# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;škeriaca sa tvár;škeriaca sa tvár|tvár|úškľabok|úškrn
🍸;kokteilový pohár;bar|drink|kokteilový pohár|koktejl|pohár
🍹;tropický nápoj;bar|drink|tropický|tropický nápoj
🍺;pivový pohár;bar|drink|pivo|pivový pohár|pohár
🍻;štrngajúce pivové poháre;bar|drink|pivo|pohár|štrngajúce pivové poháre|štrngať
🥂;štrngajúce poháriky;nápoj|oslavovať|pohár|prípitok|štrngajúce poháriky|štrngať
🥃;pohár na whisky;alkohol|pohár|pohár na whisky|pohárik|whisky
🫗;liatie;liatie|nápoj|pohár|prázdny|rozliať
🥤;pohár so slamkou;džús|limonáda|pohár so slamkou
🧋;perlivý čaj;bublinky|čaj|mlieko|perlivý čaj
🧃;nápoj v krabičke;džús v krabičke|krabicový džús|nápoj v krabičke|nápojová krabička|pitie v krabičke
🧉;maté;maté|nápoj|pitie
🧊;kocka ľadu;chlad|kocka ľadu|ľad|ľadová kocka|ľadovec|studený
🥢;paličky;jedlo|paličky
🍽️;vidlička, nôž a tanier;nôž|nôž a tanier|tanier|varenie|vidlička|vidlička, nôž a tanier
🍴;vidlička a nôž;nôž|varenie|vidlička|vidlička a nôž
🥄;lyžica;lyžica|príbor
🔪;kuchynský nôž;kuchynský nôž|nástroj|nôž|varenie|zbraň
🫙;pohár;nádoba|pohár|prázdny|pyré|zásoby|zaváranina
🏺;amfora;amfora|krčah|nádoba|nápoj|varenie

[travel_places]
🌍;zemeguľa s Európou a Afrikou;afrika|európa|glóbus|svet|zem|zemeguľa s Európou a Afrikou
🌎;zemeguľa s Amerikou;amerika|glóbus|svet|zem|zemeguľa s Amerikou
🌏;zemeguľa s Áziou a Austráliou;austrália|ázia|glóbus|svet|zem|zemeguľa s Áziou a Austráliou
🌐;zemeguľa s poludníkmi;glóbus|poludníky|svet|zem|zemeguľa s poludníkmi
🗺️;mapa sveta;mapa|mapa sveta|svet
🗾;mapa Japonska;japonsko|mapa|mapa Japonska
🧭;kompas;buzola|kompas|magnet|navigácia|orientácia
🏔️;zasnežený vrch;chlad|hora|sneh|vrch|zasnežený vrch
⛰️;vrch;hora|štít|vrch
🌋;sopka;erupcia|hora|sopka|vrch
🗻;Fudžisan;fudži|Fudžisan|hora|vrch
🏕️;stanovanie;kemping|stanovanie|táborenie
🏖️;pláž so slnečníkom;pláž|pláž so slnečníkom|slnečník
🏜️;púšť;púšť|pustatina
🏝️;opustený ostrov;opustený|ostrov
🏞️;národný park;národný park|park|rezervácia
🏟️;štadión;aréna|ihrisko|štadión
🏛️;historická budova;dom|historická budova|historické
🏗️;stavba;budova|dom|stavba
🧱;tehla;hlina|malta|stena|tehla|tehly
🪨;kameň;balvan|kameň|skala
🪵;drevo;brvno|drevo|klát|poleno
🛖;chatrč;búda|chatrč|chyža|jurta
🏘️;domy;budova|dom|domy
🏚️;opustený dom;budova|dom|opustený dom|spustnutý dom
🏠;dom;budova|bydlisko|dom|domov
🏡;dom so záhradou;budova|bydlisko|dom so záhradou|domov|záhrada
🏢;kancelárska budova;administratíva|budova|kancelárie|kancelárska budova
🏣;japonská pošta;budova|japonská|pošta
🏤;európska pošta;budova|európska|pošta
🏥;nemocnica;budova|doktor|lekár|nemocnica
🏦;banka;banka|budova
🏨;hotel;budova|hotel
🏩;hodinový hotel;hodinový|hotel|láska
🏪;zmiešaný tovar;obchod|potraviny|tovar|zmiešaný tovar
🏫;škola;budova|škola
🏬;obchodný dom;budova|obchodný dom|obchody
🏭;továreň;budova|továreň
🏯;japonský zámok;budova|hrad|japonský|japonský zámok
🏰;zámok;budova|európska|zámok
💒;svadba;kaplnka|romantika|svadba
🗼;tokijská veža;tokijská veža|tokio|veža
🗽;socha slobody;sloboda|socha|socha slobody
⛪;kostol;budova|kostol|kresťan|kríž|náboženstvo
🕌;mešita;budova|islam|mešita|moslim|náboženstvo
🛕;hinduistický chrám;chrám|hinduista|hinduistický chrám|hinduizmus|svätyňa
🕍;synagóga;budova|chrám|náboženstvo|synagóga|žid
⛩️;šintoistická svätyňa;náboženstvo|šintó|šintoistická svätyňa|svätyňa
🕋;kába;islam|kába|moslim|náboženstvo
⛲;fontána;fontána|vodomet|vodostrek
⛺;stan;kempovať|stan|táboriť
🌁;hmlisto;hmla|hmlisto|počasie
🌃;noc s hviezdami;hviezda|noc|noc s hviezdami|počasie
🏙️;mestská panoráma;budova|mesto|mestská panoráma
🌄;východ slnka nad horami;hora|počasie|ráno|slnko|východ slnka|východ slnka nad horami
🌅;východ slnka;počasie|ráno|slnko|východ slnka
🌆;mestská panoráma pri súmraku;mesto|mestská panoráma pri súmraku|panoráma|večer|západ slnka|zotmenie
🌇;západ slnka;budova|počasie|slnko|západ slnka|zotmenie
🌉;most v noci;most|most v noci|noc|počasie
♨️;horúce pramene;horúce|horúce pramene|para|žriedla
🎠;kolotočový kôň;kolotoč|kolotočový kôň|kôň
🛝;šmykľavka;hra|ihrisko|šmykľavka
🎡;ruské koleso;koleso|lunapark|ruské
🎢;horská dráha;dráha|horská dráha|lunapark
💈;pútač holičstva;holič|pútač|pútač holičstva|účes
🎪;šapito;cirkus|šapito|stan
🚂;rušeň;lokomotíva|rušeň|vlak|železnica
🚃;vozeň;vagón|vlak|vozeň|železnica
🚄;rýchlovlak;dopravný prostriedok|rýchlostný|rýchlovlak|šinkansen|vlak|železnica
🚅;japonský rýchlovlak;dopravný prostriedok|japonský|japonský rýchlovlak|rýchlostný|šinkansen|vlak|železnica
🚆;vlak;dopravný prostriedok|vlak|železnica
🚇;metro;dopravný prostriedok|dráha|metro|podzemná
🚈;ľahké metro;dopravný prostriedok|ľahké metro|železnica
🚉;stanica;dopravný prostriedok|stanica|vlak|železnica
🚊;električka;dopravný prostriedok|električka
🚝;monorail;dopravný prostriedok|monorail
🚞;zubačka;dopravný prostriedok|horská|vozeň|železnica|zubačka
🚋;vozeň električky;dopravný prostriedok|električka|trolejbus|vozeň|vozeň električky
🚌;autobus;autobus|dopravný prostriedok
🚍;prichádzajúci autobus;autobus|dopravný prostriedok|prichádzajúce|prichádzajúci autobus
🚎;trolejbus;autobus|dopravný prostriedok|električka|trolejbus
🚐;minibus;autobus|dopravný prostriedok|minibus
🚑;sanitka;dopravný prostriedok|sanitka
🚒;hasičské auto;auto|dopravný prostriedok|hasiči|hasičské auto|oheň
🚓;policajné auto;auto|dopravný prostriedok|hliadka|policajné auto|polícia
🚔;prichádzajúce policajné auto;auto|dopravný prostriedok|polícia|prichádzajúce|prichádzajúce policajné auto
🚕;taxík;dopravný prostriedok|taxi|taxík
🚖;prichádzajúci taxík;dopravný prostriedok|prichádzajúce|prichádzajúci taxík|taxi
🚗;auto;auto|dopravný prostriedok
🚘;prichádzajúce auto;auto|automobil|dopravný prostriedok|prichádzajúce
🚙;SUV;dopravný prostriedok|rekreačné|SUV
🛻;pikap;auto|pikap|zásobovanie
🚚;zásobovacie auto;dopravný prostriedok|kamión|zásobovacie auto|zásobovanie
🚛;ťahač s návesom;dopravný prostriedok|kamión|nákladné auto|náves|ťahač s návesom
🚜;traktor;dopravný prostriedok|traktor
🏎️;pretekárske auto;auto|pretekárske auto|preteky
🏍️;motocykel;motocykel|motorka|preteky
🛵;skúter;motorka|skúter
🦽;mechanický invalidný vozík;invalid|mechanický invalidný vozík|pomôcka|prístupnosť
🦼;elektrický invalidný vozík;elektrický invalidný vozík|invalid|pomôcka|prístupnosť
🛺;autorikša;autorikša|motorikša|tuk‑tuk
🚲;bicykel;bicykel|dopravný prostriedok
🛴;kolobežka;kolobežka
🛹;skejtbord;doska|skejt|skejtbord
🛼;koliesková korčuľa;koliesková|korčuľa
🚏;autobusová zastávka;autobus|autobusová zastávka|zastávka
🛣️;diaľnica;cesta|diaľnica
🛤️;železničná trať;vlak|železnica|železničná trať
🛢️;barel;barel|ropa|sud
⛽;čerpacia stanica;benzín|čerpacia stanica|čerpacie zariadenie|palivo|pumpa|stanica
🛞;koleso;koleso|kruh|otáčanie|pneumatika
🚨;policajný maják;auto|dopravný prostriedok|maják|otáčajúce sa|policajný maják|polícia|svetlo
🚥;vodorovný semafor;premávka|signál|svetlo|vodorovný semafor
🚦;zvislý semafor;premávka|signál|svetlo|zvislý semafor
🛑;značka stop;osemuholník|stop|zastaviť|značka
🚧;práce na ceste;bariéra|práce na ceste
⚓;kotva;kotva|loď|nástroj
🛟;záchranné koleso;bezpečnosť|koleso|pomoc|vznášanie|záchrana|záchranné koleso
⛵;plachetnica;dopravný prostriedok|jachta|loď|more|plachetnica|stredisko
🛶;kanoe;kanoe|loď
🚤;rýchly čln;čln|loď|motor|motorový čln|rýchly čln
🛳️;zaoceánska loď;dopravný prostriedok|loď|pasažier|zaoceánska loď
⛴️;trajekt;loď|trajekt
🛥️;motorový čln;dopravný prostriedok|loď|motorová loď|motorový čln
🚢;loď;dopravný prostriedok|loď
✈️;lietadlo;dopravný prostriedok|lietadlo
🛩️;malé lietadlo;dopravný prostriedok|lietadlo|malé lietadlo
🛫;odlet lietadla;dopravný prostriedok|lietadlo|odlet|odlet lietadla|odlety|registrácia
🛬;prílet lietadla;dopravný prostriedok|lietadlo|prílet|prílet lietadla|prílety|pristávajúce
🪂;padák;padák|paragliding|parašutizmus|plachtenie|závesné lietanie|zoskok s padákom
💺;sedadlo;kreslo|sedadlo|stolička
🚁;helikoptéra;dopravný prostriedok|helikoptéra|vrtuľník
🚟;lanovka;dopravný prostriedok|lanovka|závesná|železnica
🚠;horská lanovka;dopravný prostriedok|gondola|hora|horská lanovka|lanovka
🚡;visutá lanovka;dopravný prostriedok|gondola|kabína|lanovka|lanovková doprava|visutá
🛰️;družica;dopravný prostriedok|družica|vesmír
🚀;raketa;dopravný prostriedok|raketa|vesmír
🛸;lietajúci tanier;lietajúci tanier|ufo|ufóni
🛎️;recepčný zvonček;hotel|hotelový sluha|recepčný zvonček|zvonček
🧳;batožina;baliť|batožina|cesta|cestovať|dovolenka
⌛;presýpacie hodiny;meranie času|piesok|presýpacie hodiny
⏳;bežiace presýpacie hodiny;bežiace presýpacie hodiny|meranie času|piesok
⌚;hodinky;hodinky|hodiny
⏰;budík;budík|hodiny
⏱️;stopky;hodiny|stopky
⏲️;časovač;časovač|hodiny|meranie času
🕰️;kozubové hodiny;hodiny|kozubové hodiny
🕛;dvanásť hodín;00|12|12:00|dvanásť|hod|hodín
🕧;pol jednej;12|12:30|30|dvanásť|hodín|pol jednej|tridsať
🕐;jedna hodina;00|1|1:00|hod|hodiny|jedna|jedna hodina
🕜;pol druhej;1|1:30|30|hod|hodiny|pol druhej|tridsať
🕑;dve hodiny;00|2|2:00|dve|hod|hodiny
🕝;pol tretej;2|2:30|30|dve|hodiny|pol tretej|tridsať
🕒;tri hodiny;00|3|3:00|hod|hodiny|tri
🕞;pol štvrtej;3|3:30|30|hodiny|pol štvrtej|tri|tridsať
🕓;štyri hodiny;00|4|4:00|hod|hodiny|štyri
🕟;pol piatej;30|4|4:30|hodiny|pol piatej|štyri|tridsať
🕔;päť hodín;00|5|5:00|hod|hodiny|päť|päť hodín
🕠;pol šiestej;30|5|5:30|hodiny|päť|pol šiestej|tridsať
🕕;šesť hodín;00|6|6:00|hod|hodiny|šesť|šesť hodín
🕡;pol siedmej;30|6|6:30|hodiny|pol siedmej|šest|tridsať
🕖;sedem hodín;00|7|7:00|hod|hodiny|sedem|sedem hodín
🕢;pol ôsmej;30|7|7:30|hodiny|pol ôsmej|sedem|tridsať
🕗;osem hodín;00|8|8:00|hod|hodiny|osem|osem hodín
🕣;pol deviatej;30|8|8:30|hodiny|osem|pol deviatej|tridsať
🕘;deväť hodín;00|9|9:00|deväť|deväť hodín|hod|hodiny
🕤;pol desiatej;30|9|9:30|deväť|hodiny|pol desiatej|tridsať
🕙;desať hodín;00|10|10:00|desať|desať hodín|hod|hodiny
🕥;pol jedenástej;10|10:30|30|desať|hodiny|pol jedenástej|tridsať
🕚;jedenásť hodín;00|11|11:00|hod|hodiny|jedenásť|jedenásť hodín
🕦;pol dvanástej;11|11:30|30|hodiny|jedenásť|pol dvanástej|tridsať
🌑;nov;mesiac|nov|počasie|tmavý|vesmír
🌒;dorastajúci polmesiac;dorastajúci polmesiac|mesiac|narastajúci|počasie|polmesiac|vesmír
🌓;prvá štvrť mesiaca;mesiac|počasie|prvá štvrť mesiaca|štvrť|vesmír
🌔;dorastajúci mesiac;dorastajúci mesiac|mesiac|narastajúci|počasie|vesmír|vypuklý
🌕;spln;mesiac|počasie|spln|vesmír
🌖;ubúdajúci mesiac;mesiac|počasie|ubúdajúci|vesmír|vypuklý
🌗;posledná štvrť mesiaca;mesiac|počasie|posledná štvrť mesiaca|štvrť|vesmír
🌘;ubúdajúci polmesiac;mesiac|počasie|polmesiac|ubúdajúci|vesmír
🌙;polmesiac;mesiac|počasie|polmesiac|vesmír
🌚;nov s tvárou;mesiac|nov s tvárou|počasie|tvár|vesmír
🌛;mesiac v prvej štvrti s tvárou;mesiac|mesiac v prvej štvrti s tvárou|počasie|štvrť|tvár|vesmír
🌜;mesiac v poslednej štvrti s tvárou;mesiac|mesiac v poslednej štvrti s tvárou|počasie|štvrť|tvár|vesmír
🌡️;teplomer;počasie|teplomer
☀️;slnko;jas|lúče|počasie|slnečno|slnko|vesmír
🌝;spln s tvárou;jas|mesiac|počasie|spln|spln s tvárou|tvár|vesmír
🌞;slnko s tvárou;jas|počasie|slnko|slnko s tvárou|tvár|vesmír
🪐;planéta s prstencom;planéta s prstencom|saturn
⭐;hviezda;biela stredná hviezda|hviezda
🌟;žiariaca hviezda;hviezda|jas|trblietať|záblesk|žiariaca hviezda|žiariť
🌠;padajúca hviezda;hviezda|padajúca|vesmír
🌌;mliečna dráha;mliečna dráha|počasie|vesmír
☁️;oblak;oblak|počasie
⛅;slnko za oblakom;oblak|počasie|slnko|slnko za oblakom
⛈️;oblak s bleskom a dažďom;dážd|hrom|oblak|oblak s bleskom a dažďom|počasie
🌤️;slnko za malým oblakom;oblak|počasie|slnko|slnko za malým oblakom
🌥️;slnko za veľkým oblakom;oblak|počasie|slnko|slnko za veľkým oblakom
🌦️;slnko za dažďovým oblakom;dážď|oblak|počasie|slnko|slnko za dažďovým oblakom
🌧️;dažďový oblak;dážď|dažďový oblak|oblak|počasie
🌨️;snehový oblak;oblak|počasie|sneh|snehový oblak|studený
🌩️;oblak s bleskom;blesk|oblak|oblak s bleskom|počasie
🌪️;tornádo;oblak|počasie|tornádo|vzdušný vír
🌫️;hmla;hmla|oblak|počasie
🌬️;vietor;fúkanie|oblak|počasie|tvár|vietor
🌀;cyklón;cyklón|kolotoč|počasie|tajfún|točiaca sa hlava
🌈;dúha;dážď|dúha|počasie
🌂;zatvorený dáždnik;dážď|dáždnik|oblečenie|počasie|zatvorený dáždnik
☂️;dáždnik;dážď|dáždnik|oblečenie|počasie
☔;dáždnik s kvapkami;dážď|dáždnik|dáždnik s kvapkami|kvapka|oblečenie|počasie
⛱️;slnečník;dážď|počasie|slnečník|slnko
⚡;vysoké napätie;blesk|elektrina|napätie|nebezpečenstvo|prúd|vysoké napätie
❄️;snehová vločka;počasie|sneh|snehová vločka|studené
☃️;snehuliak;počasie|sneh|snehuliak|studené
⛄;snehuliak bez snehu;počasie|sneh|snehuliak|snehuliak bez snehu|studené
☄️;kométa;kométa|vesmír
🔥;oheň;oheň|plameň
💧;kvapka;kvapka|počasie|pot|studené
🌊;morská vlna;morská vlna|oceán|počasie|vlna|voda

[activities]
🎃;halloweenská tekvica;halloween|halloweenska tekvica|halloweenská tekvica|oslava|svietnik|tekvica
🎄;vianočný stromček;oslava|stromček|vianoce|vianočný stromček
🎆;ohňostroj;ohňostroj|oslava
🎇;prskavka;iskra|ohňostroj|oslava|prskavka
🧨;petarda;dynamit|ohňostroj|petarda|výbušnina
✨;iskry;*|hviezda|iskra|iskry
🎈;balónik;balónik|oslava
🎉;konfety;konfety|oslava|párty|salónka
🎊;konfetová guľa;guľa|konfetová guľa|konfety|oslava
🎋;stromček tanabata;japonský|oslava|stromček|tanabata|zástava
🎍;borovicová dekorácia;bambus|borovicová dekorácia|ihličie|japonské|oslava|rastlina
🎎;japonské bábiky;bábka|festival|japonské bábiky|japonský|oslava
🎏;koinobori;kapor|koinobori|oslava|vlajka
🎐;veterná zvonkohra;oslava|veterná zvonkohra|vietor|zvonec|zvonkohra
🎑;slávnosti mesiaca;mesiac|obrad|oslava|slávnosti mesiaca
🧧;červená obálka;červená obálka|chung-pao|darček|peniaze|šťastie
🎀;stuha;oslava|stuha
🎁;zabalený darček;balík|dar|darček|oslava|zabalený
🎗️;stužka;oslava|pripomienka|stužka
🎟️;vstupenky;lístok|vstupenka|vstupenky
🎫;lístok;lístok|vstupenka
🎖️;vojenská medaila;armáda|oslava|vojenská medaila|vyznamenanie
🏆;trofej;cena|trofej
🏅;športová medaila;medaila|šport|športová medaila|víťaz
🥇;zlatá medaila;medaila|prvé miesto|šport|víťaz|zlatá medaila|zlato
🥈;strieborná medaila;druhé miesto|medaila|šport|strieborná medaila|striebro
🥉;bronzová medaila;bronz|bronzová medaila|medaila|šport|tretie miesto
⚽;futbal;futbal|lopta
⚾;bejzbal;bejzbal|lopta
🥎;softbal;loptička|rukavica|softbal
🏀;basketbal;basketbal|kôš|lopta
🏐;volejbal;hra|lopta|volejbal
🏈;americký futbal;americký|futbal|lopta
🏉;ragby;futbal|lopta|ragby
🎾;tenis;lopta|raketa|tenis
🥏;lietajúci disk;disk|lietajúci disk|tanier
🎳;bowling;bowling|guľa|hra
🏏;kriket;hra|kriket|lopta|pálka
🏑;pozemný hokej;hokej|hokejka|hra|lopta|pole|pozemný hokej
🏒;ľadový hokej;hokej|hokejka|hra|ľad|ľadový hokej|puk
🥍;lakros;bránka|lakros|loptička|palica
🏓;stolný tenis;hra|lopta|raketa|stolný|tenis
🏸;bedminton;bedminton|hra|loptička|raketa
🥊;boxovacia rukavica;box|boxovacia rukavica|rukavica|šport
🥋;úbor na bojové umenie;bojové umenia|džudo|karate|šport|taekwondo|úbor|úbor na bojové umenie
🥅;bránka;bránka|gól|sieť|šport
⛳;zástava v jamke;golf|jamka|zástava v jamke
⛸️;korčuľa;korčuľa|ľad
🎣;udica;ryba|udica
🤿;potápačská maska;okuliare|potápačská maska|potápačské okuliare|potápanie|šnorchel|šnorchlovanie
🎽;bežecké tričko;beh|bežecké tričko|šerpa|tričko
🎿;lyže;lyže|sneh
🛷;sane;sane|sánky
🥌;curlingový kameň;curling|curlingový kameň|kameň
🎯;presný zásah;cieľ|hra|oko|presný stred|presný zásah|šípka|stred|zásah
🪀;jojo;cievka|hračka|jo-jo|jojo|kolísanie
🪁;papierový šarkan;let|lietanie|papierový šarkan|púšťanie|stúpanie|vzlietnutie
🔫;vodná pištoľ;nástroj|pištoľ|revolver|vodná pištoľ|zbraň
🎱;biliardová guľa č. 8;8|biliard|biliardová guľa č. 8|guľa č. 8|hra|osem
🔮;krištáľová guľa;fantasy|krištáľ|krištáľová guľa|rozprávka|veštenie
🪄;kúzelná palička;čarodejníčka|čarodejník|kúzelná palička|kúzlo
🎮;videohra;hra|ovládač|videohra
🕹️;joystick;hra|joystick|páka|videohra
🎰;výherný automat;hazard|hra|výherný automat|výhra
🎲;hracia kocka;hra|hracia kocka|kocka|kocky
🧩;skladačka;dielik|dieliky|puzzle|skladačka
🧸;medvedík;hračka|medvedík|plyšiak|plyšový
🪅;piñata;oslava|párty|piñata|večierok
🪩;zrkadlová guľa;blyšťanie|disko|párty|tanec|zrkadlová guľa
🪆;matriošky;bábika|matrioška|matriošky|ruská
♠️;pika;farba|hra|karta|pika
♥️;srdce;farba|hra|karta|srdce|srdcia
♦️;káro;farba|hra|kára|káro|karta
♣️;kríž;farba|hra|karta|kríž|trojlístky|trojlístok
♟️;pešiak;figúrka|pešiak|šach
🃏;žolík;hra|hracie|karta|žolík
🀄;madžongový červený drak;červený|hra|madžong|madžongový červený drak
🎴;japonské karty;hra|hracie|japonská|japonské karty|karta|kvetová
🎭;divadlo;divadelné|divadlo|maska|umenie
🖼️;zarámovaný obraz;maľba|múzeum|obraz|rám|umenie|zarámovaný obraz
🎨;maliarska paleta;maľba|maliarska paleta|múzeum|paleta|umenie
🧵;cievka nite;cievka|cievka nite|ihla|niť|šitie|vlákno
🪡;ihla;ihla|krajčír|šitie|stehy|vyšívanie
🧶;klbko;háčkovanie|klbko|pletenie
🪢;uzol;lano|povraz|šnúra|uzol|zamotané|zaviazať

[objects]
👓;okuliare;oko|okuliare
🕶️;slnečné okuliare;oko|okuliare|slnečné okuliare|tmavé
🥽;ochranné okuliare;ochrana očí|ochranné okuliare|plávanie|zváranie
🥼;laboratórny plášť;doktor|laboratórny plášť|pokus|vedec
🦺;bezpečnostná vesta;bezpečnosť|bezpečnostná vesta|núdza|reflexná|vesta|výstražná
👔;kravata;kravata|oblečenie
👕;tričko;košeľa|oblečenie|tričko
👖;rifle;gate|nohavice|oblečenie|rifle
🧣;šál;krk|šál
🧤;rukavice;ruka|rukavice
🧥;kabát;bunda|kabát
🧦;ponožky;pančucha|ponožky
👗;šaty;oblečenie|šaty
👘;kimono;kimono|oblečenie
🥻;sárí;oblečenie|odev|sárí|šaty
🩱;jednodielne plavky;dámske plavky|jednodielne plavky
🩲;slipy;bielizeň|jednodielne|plavky|slipy|spodky
🩳;šortky;jednodielne|kraťasy|krátke nohavice|plavky|šortky|spodky|trenírky
👙;bikini;bikini|oblečenie|plávanie|plávať
👚;dámske oblečenie;dámske oblečenie|oblečenie|žena
🪭;skladací vejár;chladenie|hanblivosť|horúco|kmitavý pohyb|skladací vejár|tanec|vejár
👛;peňaženka;koruna|oblečenie|peňaženka
👜;kabelka;kabelka|oblečenie|taška
👝;malá kabelka;malá kabelka|oblečenie|taška
🛍️;nákupné tašky;hotel|nákupné tašky|nakupovanie|taška
🎒;školský batoh;aktovka|batoh|škola|školský batoh
🩴;žabky;pláž|sandále|žabky
👞;pánska topánka;muž|oblečenie|pánska topánka|topánka
👟;bežecká topánka;bežecká topánka|oblečenie|športové|teniska|topánka
🥾;pohorka;kempovať|pohorka|stanovať|táboriť|turistika
🥿;balerína;balerína|balerínka|cvička|papučka
👠;topánka na podpätku;oblečenie|podpätok|topánka|topánka na podpätku|žena
👡;dámsky sandál;dámsky sandál|oblečenie|sandál|topánka|žena
🩰;baletné špice;balet|baletné špice|tanec
👢;dámska čižma;čižma|dámska čižma|oblečenie|obuv|žena
🪮;hrebeň na kučeravé vlasy;afro|česať|hrebeň|hrebeň na kučeravé vlasy|vlasy
👑;koruna;koruna|kráľ|kráľovná|oblečenie
👒;dámsky klobúk;dámsky klobúk|klobúk|oblečenie|žena
🎩;cylinder;cylinder|klobúk|oblečenie|vysoký
🎓;promočná čiapka;čiapka|klobúk|oblečenie|oslava|promócia|promočná čiapka
🧢;šiltovka;bejzbalová čiapka|šiltovka
🪖;vojenská helma;armáda|helma|prilba|vojak|vojenská helma|vojsko
⛑️;záchranárska helma;helma|kríž|pomoc|prilba|tvár|záchranár|záchranárska helma
📿;modlitebné koráliky;koráliky|modlitba|modlitebné koráliky|náhrdelník|ruženec
💄;rúž;kozmetika|makeup|rúž
💍;prsteň;diamant|prsteň|romanca
💎;drahokam;diamant|drahokam|klenot|romanca
🔇;vypnutý reproduktor;hlasitosť|reproduktor|stlmený|tichý|vypnutý
🔈;nízka hlasitosť;nízka hlasitosť|reproduktor
🔉;stredná hlasitosť;reproduktor|stredná hlasitosť
🔊;vysoká hlasitosť;reproduktor|vysoká hlasitosť
📢;amplión;amplión|nahlas|verejný rozhlas
📣;megafón;megafón|povzbudzovanie
📯;poštová trúba;pošta|poštová|trúba
🔔;zvon;zvon|zvonček
🔕;prečiarknutý zvon;prečiarknutý zvon|stíšené|stlmené|ticho|zakázané zvonenie
🎼;notová osnova;hudba|notová osnova|osnova
🎵;nota;hudba|nota
🎶;noty;hudba|nota|noty
🎙️;štúdiový mikrofón;hudba|mikrofón|štúdio|štúdiový mikrofón
🎚️;posúvač;hudba|posúvač|úroveň
🎛️;gombíky;gombíky|hudba|ovládanie
🎤;mikrofón;karaoke|mikrofón
🎧;slúchadlá;slúchadlá|slúchadlo
📻;rádio;rádio|video
🎷;saxofón;hudba|nástroj|saxofón
🪗;akordeón;akordeón|harmonika|ťahacia
🎸;gitara;gitara|hudba|nástroj
🎹;klávesy;hudba|klávesy|klavír|nástroj
🎺;trúbka;hudba|nástroj|trúbka
🎻;husle;hudba|husle|nástroj
🪕;bendžo;banjo|bendžo|hudba|nástroj|strunový
🥁;bubon;bubenícke|bubon|hudba|paličky
🪘;kongo;bubenícke|bubon|kongo|rytmus
🪇;rumbagule;hrkať|hudba|nástroj|perkusie|rumbagule|triasť
🪈;píšťalka;drevený dychový hudobný nástroj|flauta|hudba|pikola|píšťalka|záznamník
📱;mobil;mobil|mobilný|telefón
📲;mobil so šípkou;hovor|mobil|mobil so šípkou|mobilný|prijímať|šípka|telefón
☎️;telefón;telefón
📞;slúchadlo telefónu;slúchadlo|slúchadlo telefónu|telefón
📟;pejdžer;pager|pejdžer
📠;fax;fax|telefax
🔋;batéria;batéria
🪫;slabá batéria;elektronika|málo energie|slabá batéria
🔌;zástrčka;elektrická|elektrina|prípojka|zástrčka
💻;prenosný počítač;osobný|pc|počítač|prenosný počítač
🖥️;stolný počítač;stolný|stolný počítač
🖨️;tlačiareň;počítač|tlačiareň
⌨️;klávesnica;klávesnica|počítač
🖱️;počítačová myš;myš|počítač|počítačová myš|tlačidlo
🖲️;trackball;počítač|trackball
💽;počítačový disk;disk|optický|počítač|počítačový disk
💾;disketa;disk|disketa|počítač
💿;optický disk;cd|dvd|optický disk|počítač
📀;dvd;blu-ray|cd|dvd|počítač
🧮;počítadlo;abakus|počítadlo|počítanie|počty
🎥;filmová kamera;film|filmová kamera|kamera|kino
🎞️;filmový pás;film|filmový|kino|pás
📽️;filmový projektor;film|filmový projektor|kino|projektor|video
🎬;klapka;film|klapka
📺;televízor;televízia|televízor|tv|video
📷;fotoaparát;fotoaparát|video
📸;fotoaparát s bleskom;blesk|fotoaparát|fotoaparát s bleskom|video
📹;videokamera;fotoaparát|video|videokamera
📼;videokazeta;kazeta|vhs|video|videokazeta
🔍;doľava naklonená lupa;doľava naklonená lupa|hľadanie|lupa|nástroj|priblíženie
🔎;doprava naklonená lupa;doprava naklonená lupa|hľadanie|lupa|nástroj|priblíženie
🕯️;sviečka;svetlo|sviečka
💡;žiarovka;elektrické|komiks|nápad|svetlo|žiarovka
🔦;baterka;baterka|elektrické|nástroj|svetlo|svietidlo
🏮;červený lampión;bar|červené|červený lampión|japonský|lampión|svetlo
🪔;dija;dija|indická|lampa|olej
📔;zápisník so zdobeným obalom;kniha|obal|zápisník|zápisník so zdobeným obalom|zdobený
📕;zatvorená kniha;kniha|zatvorená
📖;otvorená kniha;kniha|otvorená
📗;zelená kniha;kniha|zelená
📘;modrá kniha;kniha|modrá
📙;oranžová kniha;kniha|oranžová
📚;knihy;kniha|knihy|literatúra
📓;zápisník;poznámkový zošit|zápisník
📒;účtovná kniha;poznámkový zošit|účtovná kniha
📃;ohnutá stránka;dokument|ohnutá stránka|ohnutie|stránka
📜;zvitok;papier|zvitok
📄;líce stránky;dokument|líce stránky|stránka
📰;noviny;noviny|správy
🗞️;zvinuté noviny;noviny|správy|zrolované|zvinuté
📑;záložky;karty|označenie|záložka|záložky|značka
🔖;záložka;karty|označenie|záložka|značka
🏷️;štítok;ceduľka|menovka|štítok
💰;mešec peňazí;dolár|mešec peňazí|peniaze|vrece|vrece na peniaze
🪙;minca;minca|peniaz|peniaze|poklad|zlato
💴;jenová bankovka;banka|bankovka|jen|jenová bankovka|mena|peniaze|účet
