# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;laia naeratusega nägu;irve|laia naeratusega nägu|naeratus|nägu
	🧑🏼‍❤️‍🧑🏾;paarike südamega: täiskasvanu, täiskasvanu, keskmiselt hele nahatoon, keskmiselt tume nahatoon;armastus|keskmiselt hele nahatoon|keskmiselt tume nahatoon|paarike südamega|paarike südamega: täiskasvanu, täiskasvanu, keskmiselt hele nahatoon, keskmiselt tume nahatoon|romantika|süda|täiskasvanu
	🧑🏼‍❤️‍🧑🏿;paarike südamega: täiskasvanu, täiskasvanu, keskmiselt hele nahatoon, tume nahatoon;armastus|keskmiselt hele nahatoon|paarike südamega|paarike südamega: täiskasvanu, täiskasvanu, keskmiselt hele nahatoon, tume nahatoon|romantika|süda|täiskasvanu|tume nahatoon
	🧑🏽‍❤️‍🧑🏻;paarike südamega: täiskasvanu, täiskasvanu, keskmine nahatoon, hele nahatoon;armastus|hele nahatoon|keskmine nahatoon|paarike südamega|paarike südamega: täiskasvanu, täiskasvanu, keskmine nahatoon, hele nahatoon|romantika|süda|täiskasvanu
	🧑🏽‍❤️‍🧑🏼;paarike südamega: täiskasvanu, täiskasvanu, keskmine nahatoon, keskmiselt hele nahatoon;armastus|keskmine nahatoon|keskmiselt hele nahatoon|paarike südamega|paarike südamega: täiskasvanu, täiskasvanu, keskmine nahatoon, keskmiselt hele nahatoon|romantika|süda|täiskasvanu
	🧑🏽‍❤️‍🧑🏾;paarike südamega: täiskasvanu, täiskasvanu, keskmine nahatoon, keskmiselt tume nahatoon;armastus|keskmine nahatoon|keskmiselt tume nahatoon|paarike südamega|paarike südamega: täiskasvanu, täiskasvanu, keskmine nahatoon, keskmiselt tume nahatoon|romantika|süda|täiskasvanu
	🧑🏽‍❤️‍🧑🏿;paarike südamega: täiskasvanu, täiskasvanu, keskmine nahatoon, tume nahatoon;armastus|keskmine nahatoon|paarike südamega|paarike südamega: täiskasvanu, täiskasvanu, keskmine nahatoon, tume nahatoon|romantika|süda|täiskasvanu|tume nahatoon
	🧑🏾‍❤️‍🧑🏻;paarike südamega: täiskasvanu, täiskasvanu, keskmiselt tume nahatoon, hele nahatoon;armastus|hele nahatoon|keskmiselt tume nahatoon|paarike südamega|paarike südamega: täiskasvanu, täiskasvanu, keskmiselt tume nahatoon, hele nahatoon|romantika|süda|täiskasvanu
	🧑🏾‍❤️‍🧑🏼;paarike südamega: täiskasvanu, täiskasvanu, keskmiselt tume nahatoon, keskmiselt hele nahatoon;armastus|keskmiselt hele nahatoon|keskmiselt tume nahatoon|paarike südamega|paarike südamega: täiskasvanu, täiskasvanu, keskmiselt tume nahatoon, keskmiselt hele nahatoon|romantika|süda|täiskasvanu
	🧑🏾‍❤️‍🧑🏽;paarike südamega: täiskasvanu, täiskasvanu, keskmiselt tume nahatoon, keskmine nahatoon;armastus|keskmine nahatoon|keskmiselt tume nahatoon|paarike südamega|paarike südamega: täiskasvanu, täiskasvanu, keskmiselt tume nahatoon, keskmine nahatoon|romantika|süda|täiskasvanu
	🧑🏾‍❤️‍🧑🏿;paarike südamega: täiskasvanu, täiskasvanu, keskmiselt tume nahatoon, tume nahatoon;armastus|keskmiselt tume nahatoon|paarike südamega|paarike südamega: täiskasvanu, täiskasvanu, keskmiselt tume nahatoon, tume nahatoon|romantika|süda|täiskasvanu|tume nahatoon
	🧑🏿‍❤️‍🧑🏻;paarike südamega: täiskasvanu, täiskasvanu, tume nahatoon, hele nahatoon;armastus|hele nahatoon|paarike südamega|paarike südamega: täiskasvanu, täiskasvanu, tume nahatoon, hele nahatoon|romantika|süda|täiskasvanu|tume nahatoon
	🧑🏿‍❤️‍🧑🏼;paarike südamega: täiskasvanu, täiskasvanu, tume nahatoon, keskmiselt hele nahatoon;armastus|keskmiselt hele nahatoon|paarike südamega|paarike südamega: täiskasvanu, täiskasvanu, tume nahatoon, keskmiselt hele nahatoon|romantika|süda|täiskasvanu|tume nahatoon
	🧑🏿‍❤️‍🧑🏽;paarike südamega: täiskasvanu, täiskasvanu, tume nahatoon, keskmine nahatoon;armastus|keskmine nahatoon|paarike südamega|paarike südamega: täiskasvanu, täiskasvanu, tume nahatoon, keskmine nahatoon|romantika|süda|täiskasvanu|tume nahatoon
	🧑🏿‍❤️‍🧑🏾;paarike südamega: täiskasvanu, täiskasvanu, tume nahatoon, keskmiselt tume nahatoon;armastus|keskmiselt tume nahatoon|paarike südamega|paarike südamega: täiskasvanu, täiskasvanu, tume nahatoon, keskmiselt tume nahatoon|romantika|süda|täiskasvanu|tume nahatoon
👩‍❤️‍👨;paarike südamega: naine, mees;armastus|mees|naine|paarike südamega|paarike südamega: naine, mees|romantika|süda
	👩🏻‍❤️‍👨🏻;paarike südamega: naine, mees, hele nahatoon;armastus|hele nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, hele nahatoon|romantika|süda
	👩🏻‍❤️‍👨🏼;paarike südamega: naine, mees, hele nahatoon, keskmiselt hele nahatoon;armastus|hele nahatoon|keskmiselt hele nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, hele nahatoon, keskmiselt hele nahatoon|romantika|süda
	👩🏻‍❤️‍👨🏽;paarike südamega: naine, mees, hele nahatoon, keskmine nahatoon;armastus|hele nahatoon|keskmine nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, hele nahatoon, keskmine nahatoon|romantika|süda
	👩🏻‍❤️‍👨🏾;paarike südamega: naine, mees, hele nahatoon, keskmiselt tume nahatoon;armastus|hele nahatoon|keskmiselt tume nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, hele nahatoon, keskmiselt tume nahatoon|romantika|süda
	👩🏻‍❤️‍👨🏿;paarike südamega: naine, mees, hele nahatoon, tume nahatoon;armastus|hele nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, hele nahatoon, tume nahatoon|romantika|süda|tume nahatoon
	👩🏼‍❤️‍👨🏻;paarike südamega: naine, mees, keskmiselt hele nahatoon, hele nahatoon;armastus|hele nahatoon|keskmiselt hele nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, keskmiselt hele nahatoon, hele nahatoon|romantika|süda
	👩🏼‍❤️‍👨🏼;paarike südamega: naine, mees, keskmiselt hele nahatoon;armastus|keskmiselt hele nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, keskmiselt hele nahatoon|romantika|süda
	👩🏼‍❤️‍👨🏽;paarike südamega: naine, mees, keskmiselt hele nahatoon, keskmine nahatoon;armastus|keskmine nahatoon|keskmiselt hele nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, keskmiselt hele nahatoon, keskmine nahatoon|romantika|süda
	👩🏼‍❤️‍👨🏾;paarike südamega: naine, mees, keskmiselt hele nahatoon, keskmiselt tume nahatoon;armastus|keskmiselt hele nahatoon|keskmiselt tume nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, keskmiselt hele nahatoon, keskmiselt tume nahatoon|romantika|süda
	👩🏼‍❤️‍👨🏿;paarike südamega: naine, mees, keskmiselt hele nahatoon, tume nahatoon;armastus|keskmiselt hele nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, keskmiselt hele nahatoon, tume nahatoon|romantika|süda|tume nahatoon
	👩🏽‍❤️‍👨🏻;paarike südamega: naine, mees, keskmine nahatoon, hele nahatoon;armastus|hele nahatoon|keskmine nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, keskmine nahatoon, hele nahatoon|romantika|süda
	👩🏽‍❤️‍👨🏼;paarike südamega: naine, mees, keskmine nahatoon, keskmiselt hele nahatoon;armastus|keskmine nahatoon|keskmiselt hele nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, keskmine nahatoon, keskmiselt hele nahatoon|romantika|süda
	👩🏽‍❤️‍👨🏽;paarike südamega: naine, mees, keskmine nahatoon;armastus|keskmine nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, keskmine nahatoon|romantika|süda
	👩🏽‍❤️‍👨🏾;paarike südamega: naine, mees, keskmine nahatoon, keskmiselt tume nahatoon;armastus|keskmine nahatoon|keskmiselt tume nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, keskmine nahatoon, keskmiselt tume nahatoon|romantika|süda
	👩🏽‍❤️‍👨🏿;paarike südamega: naine, mees, keskmine nahatoon, tume nahatoon;armastus|keskmine nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, keskmine nahatoon, tume nahatoon|romantika|süda|tume nahatoon
	👩🏾‍❤️‍👨🏻;paarike südamega: naine, mees, keskmiselt tume nahatoon, hele nahatoon;armastus|hele nahatoon|keskmiselt tume nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, keskmiselt tume nahatoon, hele nahatoon|romantika|süda
	👩🏾‍❤️‍👨🏼;paarike südamega: naine, mees, keskmiselt tume nahatoon, keskmiselt hele nahatoon;armastus|keskmiselt hele nahatoon|keskmiselt tume nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, keskmiselt tume nahatoon, keskmiselt hele nahatoon|romantika|süda
	👩🏾‍❤️‍👨🏽;paarike südamega: naine, mees, keskmiselt tume nahatoon, keskmine nahatoon;armastus|keskmine nahatoon|keskmiselt tume nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, keskmiselt tume nahatoon, keskmine nahatoon|romantika|süda
	👩🏾‍❤️‍👨🏾;paarike südamega: naine, mees, keskmiselt tume nahatoon;armastus|keskmiselt tume nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, keskmiselt tume nahatoon|romantika|süda
	👩🏾‍❤️‍👨🏿;paarike südamega: naine, mees, keskmiselt tume nahatoon, tume nahatoon;armastus|keskmiselt tume nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, keskmiselt tume nahatoon, tume nahatoon|romantika|süda|tume nahatoon
	👩🏿‍❤️‍👨🏻;paarike südamega: naine, mees, tume nahatoon, hele nahatoon;armastus|hele nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, tume nahatoon, hele nahatoon|romantika|süda|tume nahatoon
	👩🏿‍❤️‍👨🏼;paarike südamega: naine, mees, tume nahatoon, keskmiselt hele nahatoon;armastus|keskmiselt hele nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, tume nahatoon, keskmiselt hele nahatoon|romantika|süda|tume nahatoon
	👩🏿‍❤️‍👨🏽;paarike südamega: naine, mees, tume nahatoon, keskmine nahatoon;armastus|keskmine nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, tume nahatoon, keskmine nahatoon|romantika|süda|tume nahatoon
	👩🏿‍❤️‍👨🏾;paarike südamega: naine, mees, tume nahatoon, keskmiselt tume nahatoon;armastus|keskmiselt tume nahatoon|mees|naine|paarike südamega|paarike südamega: naine, mees, tume nahatoon, keskmiselt tume nahatoon|romantika|süda|tume nahatoon
	👩🏿‍❤️‍👨🏿;paarike südamega: naine, mees, tume nahatoon;armastus|mees|naine|paarike südamega|paarike südamega: naine, mees, tume nahatoon|romantika|süda|tume nahatoon
👨‍❤️‍👨;paarike südamega: mees, mees;armastus|mees|paarike südamega|paarike südamega: mees, mees|romantika|süda
	👨🏻‍❤️‍👨🏻;paarike südamega: mees, mees, hele nahatoon;armastus|hele nahatoon|mees|paarike südamega|paarike südamega: mees, mees, hele nahatoon|romantika|süda
	👨🏻‍❤️‍👨🏼;paarike südamega: mees, mees, hele nahatoon, keskmiselt hele nahatoon;armastus|hele nahatoon|keskmiselt hele nahatoon|mees|paarike südamega|paarike südamega: mees, mees, hele nahatoon, keskmiselt hele nahatoon|romantika|süda
	👨🏻‍❤️‍👨🏽;paarike südamega: mees, mees, hele nahatoon, keskmine nahatoon;armastus|hele nahatoon|keskmine nahatoon|mees|paarike südamega|paarike südamega: mees, mees, hele nahatoon, keskmine nahatoon|romantika|süda
	👨🏻‍❤️‍👨🏾;paarike südamega: mees, mees, hele nahatoon, keskmiselt tume nahatoon;armastus|hele nahatoon|keskmiselt tume nahatoon|mees|paarike südamega|paarike südamega: mees, mees, hele nahatoon, keskmiselt tume nahatoon|romantika|süda
	👨🏻‍❤️‍👨🏿;paarike südamega: mees, mees, hele nahatoon, tume nahatoon;armastus|hele nahatoon|mees|paarike südamega|paarike südamega: mees, mees, hele nahatoon, tume nahatoon|romantika|süda|tume nahatoon
	👨🏼‍❤️‍👨🏻;paarike südamega: mees, mees, keskmiselt hele nahatoon, hele nahatoon;armastus|hele nahatoon|keskmiselt hele nahatoon|mees|paarike südamega|paarike südamega: mees, mees, keskmiselt hele nahatoon, hele nahatoon|romantika|süda
	👨🏼‍❤️‍👨🏼;paarike südamega: mees, mees, keskmiselt hele nahatoon;armastus|keskmiselt hele nahatoon|mees|paarike südamega|paarike südamega: mees, mees, keskmiselt hele nahatoon|romantika|süda
	👨🏼‍❤️‍👨🏽;paarike südamega: mees, mees, keskmiselt hele nahatoon, keskmine nahatoon;armastus|keskmine nahatoon|keskmiselt hele nahatoon|mees|paarike südamega|paarike südamega: mees, mees, keskmiselt hele nahatoon, keskmine nahatoon|romantika|süda
	👨🏼‍❤️‍👨🏾;paarike südamega: mees, mees, keskmiselt hele nahatoon, keskmiselt tume nahatoon;armastus|keskmiselt hele nahatoon|keskmiselt tume nahatoon|mees|paarike südamega|paarike südamega: mees, mees, keskmiselt hele nahatoon, keskmiselt tume nahatoon|romantika|süda
	👨🏼‍❤️‍👨🏿;paarike südamega: mees, mees, keskmiselt hele nahatoon, tume nahatoon;armastus|keskmiselt hele nahatoon|mees|paarike südamega|paarike südamega: mees, mees, keskmiselt hele nahatoon, tume nahatoon|romantika|süda|tume nahatoon
	👨🏽‍❤️‍👨🏻;paarike südamega: mees, mees, keskmine nahatoon, hele nahatoon;armastus|hele nahatoon|keskmine nahatoon|mees|paarike südamega|paarike südamega: mees, mees, keskmine nahatoon, hele nahatoon|romantika|süda
	👨🏽‍❤️‍👨🏼;paarike südamega: mees, mees, keskmine nahatoon, keskmiselt hele nahatoon;armastus|keskmine nahatoon|keskmiselt hele nahatoon|mees|paarike südamega|paarike südamega: mees, mees, keskmine nahatoon, keskmiselt hele nahatoon|romantika|süda
	👨🏽‍❤️‍👨🏽;paarike südamega: mees, mees, keskmine nahatoon;armastus|keskmine nahatoon|mees|paarike südamega|paarike südamega: mees, mees, keskmine nahatoon|romantika|süda
	👨🏽‍❤️‍👨🏾;paarike südamega: mees, mees, keskmine nahatoon, keskmiselt tume nahatoon;armastus|keskmine nahatoon|keskmiselt tume nahatoon|mees|paarike südamega|paarike südamega: mees, mees, keskmine nahatoon, keskmiselt tume nahatoon|romantika|süda
	👨🏽‍❤️‍👨🏿;paarike südamega: mees, mees, keskmine nahatoon, tume nahatoon;armastus|keskmine nahatoon|mees|paarike südamega|paarike südamega: mees, mees, keskmine nahatoon, tume nahatoon|romantika|süda|tume nahatoon
	👨🏾‍❤️‍👨🏻;paarike südamega: mees, mees, keskmiselt tume nahatoon, hele nahatoon;armastus|hele nahatoon|keskmiselt tume nahatoon|mees|paarike südamega|paarike südamega: mees, mees, keskmiselt tume nahatoon, hele nahatoon|romantika|süda
	👨🏾‍❤️‍👨🏼;paarike südamega: mees, mees, keskmiselt tume nahatoon, keskmiselt hele nahatoon;armastus|keskmiselt hele nahatoon|keskmiselt tume nahatoon|mees|paarike südamega|paarike südamega: mees, mees, keskmiselt tume nahatoon, keskmiselt hele nahatoon|romantika|süda
	👨🏾‍❤️‍👨🏽;paarike südamega: mees, mees, keskmiselt tume nahatoon, keskmine nahatoon;armastus|keskmine nahatoon|keskmiselt tume nahatoon|mees|paarike südamega|paarike südamega: mees, mees, keskmiselt tume nahatoon, keskmine nahatoon|romantika|süda
	👨🏾‍❤️‍👨🏾;paarike südamega: mees, mees, keskmiselt tume nahatoon;armastus|keskmiselt tume nahatoon|mees|paarike südamega|paarike südamega: mees, mees, keskmiselt tume nahatoon|romantika|süda
	👨🏾‍❤️‍👨🏿;paarike südamega: mees, mees, keskmiselt tume nahatoon, tume nahatoon;armastus|keskmiselt tume nahatoon|mees|paarike südamega|paarike südamega: mees, mees, keskmiselt tume nahatoon, tume nahatoon|romantika|süda|tume nahatoon
	👨🏿‍❤️‍👨🏻;paarike südamega: mees, mees, tume nahatoon, hele nahatoon;armastus|hele nahatoon|mees|paarike südamega|paarike südamega: mees, mees, tume nahatoon, hele nahatoon|romantika|süda|tume nahatoon
	👨🏿‍❤️‍👨🏼;paarike südamega: mees, mees, tume nahatoon, keskmiselt hele nahatoon;armastus|keskmiselt hele nahatoon|mees|paarike südamega|paarike südamega: mees, mees, tume nahatoon, keskmiselt hele nahatoon|romantika|süda|tume nahatoon
	👨🏿‍❤️‍👨🏽;paarike südamega: mees, mees, tume nahatoon, keskmine nahatoon;armastus|keskmine nahatoon|mees|paarike südamega|paarike südamega: mees, mees, tume nahatoon, keskmine nahatoon|romantika|süda|tume nahatoon
	👨🏿‍❤️‍👨🏾;paarike südamega: mees, mees, tume nahatoon, keskmiselt tume nahatoon;armastus|keskmiselt tume nahatoon|mees|paarike südamega|paarike südamega: mees, mees, tume nahatoon, keskmiselt tume nahatoon|romantika|süda|tume nahatoon
	👨🏿‍❤️‍👨🏿;paarike südamega: mees, mees, tume nahatoon;armastus|mees|paarike südamega|paarike südamega: mees, mees, tume nahatoon|romantika|süda|tume nahatoon
👩‍❤️‍👩;paarike südamega: naine, naine;armastus|naine|paarike südamega|paarike südamega: naine, naine|romantika|süda
	👩🏻‍❤️‍👩🏻;paarike südamega: naine, naine, hele nahatoon;armastus|hele nahatoon|naine|paarike südamega|paarike südamega: naine, naine, hele nahatoon|romantika|süda
	👩🏻‍❤️‍👩🏼;paarike südamega: naine, naine, hele nahatoon, keskmiselt hele nahatoon;armastus|hele nahatoon|keskmiselt hele nahatoon|naine|paarike südamega|paarike südamega: naine, naine, hele nahatoon, keskmiselt hele nahatoon|romantika|süda
	👩🏻‍❤️‍👩🏽;paarike südamega: naine, naine, hele nahatoon, keskmine nahatoon;armastus|hele nahatoon|keskmine nahatoon|naine|paarike südamega|paarike südamega: naine, naine, hele nahatoon, keskmine nahatoon|romantika|süda
	👩🏻‍❤️‍👩🏾;paarike südamega: naine, naine, hele nahatoon, keskmiselt tume nahatoon;armastus|hele nahatoon|keskmiselt tume nahatoon|naine|paarike südamega|paarike südamega: naine, naine, hele nahatoon, keskmiselt tume nahatoon|romantika|süda
	👩🏻‍❤️‍👩🏿;paarike südamega: naine, naine, hele nahatoon, tume nahatoon;armastus|hele nahatoon|naine|paarike südamega|paarike südamega: naine, naine, hele nahatoon, tume nahatoon|romantika|süda|tume nahatoon
	👩🏼‍❤️‍👩🏻;paarike südamega: naine, naine, keskmiselt hele nahatoon, hele nahatoon;armastus|hele nahatoon|keskmiselt hele nahatoon|naine|paarike südamega|paarike südamega: naine, naine, keskmiselt hele nahatoon, hele nahatoon|romantika|süda
	👩🏼‍❤️‍👩🏼;paarike südamega: naine, naine, keskmiselt hele nahatoon;armastus|keskmiselt hele nahatoon|naine|paarike südamega|paarike südamega: naine, naine, keskmiselt hele nahatoon|romantika|süda
	👩🏼‍❤️‍👩🏽;paarike südamega: naine, naine, keskmiselt hele nahatoon, keskmine nahatoon;armastus|keskmine nahatoon|keskmiselt hele nahatoon|naine|paarike südamega|paarike südamega: naine, naine, keskmiselt hele nahatoon, keskmine nahatoon|romantika|süda
	👩🏼‍❤️‍👩🏾;paarike südamega: naine, naine, keskmiselt hele nahatoon, keskmiselt tume nahatoon;armastus|keskmiselt hele nahatoon|keskmiselt tume nahatoon|naine|paarike südamega|paarike südamega: naine, naine, keskmiselt hele nahatoon, keskmiselt tume nahatoon|romantika|süda
	👩🏼‍❤️‍👩🏿;paarike südamega: naine, naine, keskmiselt hele nahatoon, tume nahatoon;armastus|keskmiselt hele nahatoon|naine|paarike südamega|paarike südamega: naine, naine, keskmiselt hele nahatoon, tume nahatoon|romantika|süda|tume nahatoon
	👩🏽‍❤️‍👩🏻;paarike südamega: naine, naine, keskmine nahatoon, hele nahatoon;armastus|hele nahatoon|keskmine nahatoon|naine|paarike südamega|paarike südamega: naine, naine, keskmine nahatoon, hele nahatoon|romantika|süda
	👩🏽‍❤️‍👩🏼;paarike südamega: naine, naine, keskmine nahatoon, keskmiselt hele nahatoon;armastus|keskmine nahatoon|keskmiselt hele nahatoon|naine|paarike südamega|paarike südamega: naine, naine, keskmine nahatoon, keskmiselt hele nahatoon|romantika|süda
	👩🏽‍❤️‍👩🏽;paarike südamega: naine, naine, keskmine nahatoon;armastus|keskmine nahatoon|naine|paarike südamega|paarike südamega: naine, naine, keskmine nahatoon|romantika|süda
	👩🏽‍❤️‍👩🏾;paarike südamega: naine, naine, keskmine nahatoon, keskmiselt tume nahatoon;armastus|keskmine nahatoon|keskmiselt tume nahatoon|naine|paarike südamega|paarike südamega: naine, naine, keskmine nahatoon, keskmiselt tume nahatoon|romantika|süda
	👩🏽‍❤️‍👩🏿;paarike südamega: naine, naine, keskmine nahatoon, tume nahatoon;armastus|keskmine nahatoon|naine|paarike südamega|paarike südamega: naine, naine, keskmine nahatoon, tume nahatoon|romantika|süda|tume nahatoon
	👩🏾‍❤️‍👩🏻;paarike südamega: naine, naine, keskmiselt tume nahatoon, hele nahatoon;armastus|hele nahatoon|keskmiselt tume nahatoon|naine|paarike südamega|paarike südamega: naine, naine, keskmiselt tume nahatoon, hele nahatoon|romantika|süda
	👩🏾‍❤️‍👩🏼;paarike südamega: naine, naine, keskmiselt tume nahatoon, keskmiselt hele nahatoon;armastus|keskmiselt hele nahatoon|keskmiselt tume nahatoon|naine|paarike südamega|paarike südamega: naine, naine, keskmiselt tume nahatoon, keskmiselt hele nahatoon|romantika|süda
	👩🏾‍❤️‍👩🏽;paarike südamega: naine, naine, keskmiselt tume nahatoon, keskmine nahatoon;armastus|keskmine nahatoon|keskmiselt tume nahatoon|naine|paarike südamega|paarike südamega: naine, naine, keskmiselt tume nahatoon, keskmine nahatoon|romantika|süda
	👩🏾‍❤️‍👩🏾;paarike südamega: naine, naine, keskmiselt tume nahatoon;armastus|keskmiselt tume nahatoon|naine|paarike südamega|paarike südamega: naine, naine, keskmiselt tume nahatoon|romantika|süda
	👩🏾‍❤️‍👩🏿;paarike südamega: naine, naine, keskmiselt tume nahatoon, tume nahatoon;armastus|keskmiselt tume nahatoon|naine|paarike südamega|paarike südamega: naine, naine, keskmiselt tume nahatoon, tume nahatoon|romantika|süda|tume nahatoon
	👩🏿‍❤️‍👩🏻;paarike südamega: naine, naine, tume nahatoon, hele nahatoon;armastus|hele nahatoon|naine|paarike südamega|paarike südamega: naine, naine, tume nahatoon, hele nahatoon|romantika|süda|tume nahatoon
	👩🏿‍❤️‍👩🏼;paarike südamega: naine, naine, tume nahatoon, keskmiselt hele nahatoon;armastus|keskmiselt hele nahatoon|naine|paarike südamega|paarike südamega: naine, naine, tume nahatoon, keskmiselt hele nahatoon|romantika|süda|tume nahatoon
	👩🏿‍❤️‍👩🏽;paarike südamega: naine, naine, tume nahatoon, keskmine nahatoon;armastus|keskmine nahatoon|naine|paarike südamega|paarike südamega: naine, naine, tume nahatoon, keskmine nahatoon|romantika|süda|tume nahatoon
	👩🏿‍❤️‍👩🏾;paarike südamega: naine, naine, tume nahatoon, keskmiselt tume nahatoon;armastus|keskmiselt tume nahatoon|naine|paarike südamega|paarike südamega: naine, naine, tume nahatoon, keskmiselt tume nahatoon|romantika|süda|tume nahatoon
	👩🏿‍❤️‍👩🏿;paarike südamega: naine, naine, tume nahatoon;armastus|naine|paarike südamega|paarike südamega: naine, naine, tume nahatoon|romantika|süda|tume nahatoon
👨‍👩‍👦;perekond: mees, naine, poiss;ema|isa|laps|mees|naine|perekond|perekond: mees, naine, poiss|poiss
👨‍👩‍👧;perekond: mees, naine, tüdruk;ema|isa|laps|mees|naine|perekond|perekond: mees, naine, tüdruk|tüdruk
👨‍👩‍👧‍👦;perekond: mees, naine, tüdruk, poiss;ema|isa|laps|mees|naine|perekond|perekond: mees, naine, tüdruk, poiss|poiss|tüdruk
👨‍👩‍👦‍👦;perekond: mees, naine, poiss, poiss;ema|isa|laps|mees|naine|perekond|perekond: mees, naine, poiss, poiss|poiss
👨‍👩‍👧‍👧;perekond: mees, naine, tüdruk, tüdruk;ema|isa|laps|mees|naine|perekond|perekond: mees, naine, tüdruk, tüdruk|tüdruk
👨‍👨‍👦;perekond: mees, mees, poiss;ema|isa|laps|mees|perekond|perekond: mees, mees, poiss|poiss
👨‍👨‍👧;perekond: mees, mees, tüdruk;ema|isa|laps|mees|perekond|perekond: mees, mees, tüdruk|tüdruk
👨‍👨‍👧‍👦;perekond: mees, mees, tüdruk, poiss;ema|isa|laps|mees|perekond|perekond: mees, mees, tüdruk, poiss|poiss|tüdruk
👨‍👨‍👦‍👦;perekond: mees, mees, poiss, poiss;ema|isa|laps|mees|perekond|perekond: mees, mees, poiss, poiss|poiss
👨‍👨‍👧‍👧;perekond: mees, mees, tüdruk, tüdruk;ema|isa|laps|mees|perekond|perekond: mees, mees, tüdruk, tüdruk|tüdruk
👩‍👩‍👦;perekond: naine, naine, poiss;ema|isa|laps|naine|perekond|perekond: naine, naine, poiss|poiss
👩‍👩‍👧;perekond: naine, naine, tüdruk;ema|isa|laps|naine|perekond|perekond: naine, naine, tüdruk|tüdruk
👩‍👩‍👧‍👦;perekond: naine, naine, tüdruk, poiss;ema|isa|laps|naine|perekond|perekond: naine, naine, tüdruk, poiss|poiss|tüdruk
👩‍👩‍👦‍👦;perekond: naine, naine, poiss, poiss;ema|isa|laps|naine|perekond|perekond: naine, naine, poiss, poiss|poiss
👩‍👩‍👧‍👧;perekond: naine, naine, tüdruk, tüdruk;ema|isa|laps|naine|perekond|perekond: naine, naine, tüdruk, tüdruk|tüdruk
👨‍👦;perekond: mees, poiss;ema|isa|laps|mees|perekond|perekond: mees, poiss|poiss
👨‍👦‍👦;perekond: mees, poiss, poiss;ema|isa|laps|mees|perekond|perekond: mees, poiss, poiss|poiss
👨‍👧;perekond: mees, tüdruk;ema|isa|laps|mees|perekond|perekond: mees, tüdruk|tüdruk
👨‍👧‍👦;perekond: mees, tüdruk, poiss;ema|isa|laps|mees|perekond|perekond: mees, tüdruk, poiss|poiss|tüdruk
👨‍👧‍👧;perekond: mees, tüdruk, tüdruk;ema|isa|laps|mees|perekond|perekond: mees, tüdruk, tüdruk|tüdruk
👩‍👦;perekond: naine, poiss;ema|isa|laps|naine|perekond|perekond: naine, poiss|poiss
👩‍👦‍👦;perekond: naine, poiss, poiss;ema|isa|laps|naine|perekond|perekond: naine, poiss, poiss|poiss
👩‍👧;perekond: naine, tüdruk;ema|isa|laps|naine|perekond|perekond: naine, tüdruk|tüdruk
👩‍👧‍👦;perekond: naine, tüdruk, poiss;ema|isa|laps|naine|perekond|perekond: naine, tüdruk, poiss|poiss|tüdruk
👩‍👧‍👧;perekond: naine, tüdruk, tüdruk;ema|isa|laps|naine|perekond|perekond: naine, tüdruk, tüdruk|tüdruk
🗣️;kõnelev pea;kõnelev pea|nägu|pea|rääkimine|siluett
👤;büsti siluett;büst|büsti siluett|siluett
👥;büstide siluetid;büst|büstide siluetid|siluett
🫂;kallistavad inimesed;hüvastijätt|kallistavad inimesed|kallistus|tänu|tervitus
👪;perekond;ema|isa|laps|perekond
🧑‍🧑‍🧒;perekond: täiskasvanu, täiskasvanu, laps;laps|perekond: täiskasvanu|perekond: täiskasvanu, täiskasvanu, laps|täiskasvanu
🧑‍🧑‍🧒‍🧒;perekond: täiskasvanu, täiskasvanu, laps, laps;laps|perekond: täiskasvanu|perekond: täiskasvanu, täiskasvanu, laps, laps|täiskasvanu
🧑‍🧒;perekond: täiskasvanu, laps;laps|perekond: täiskasvanu|perekond: täiskasvanu, laps
