# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت با لبخند|لبخند|نیش باز
	🧑🏾‍❤️‍💋‍🧑🏽;بوسه: شخص،‏ شخص،‏ پوست گندمی، و پوست طلایی;بوسه|بوسه: شخص،‏ شخص،‏ پوست گندمی، و پوست طلایی|پوست طلایی|پوست گندمی|داستان عاشقانه|زوج|شخص|عشق
	🧑🏾‍❤️‍💋‍🧑🏿;بوسه: شخص،‏ شخص،‏ پوست گندمی، و پوست آبنوسی;بوسه|بوسه: شخص،‏ شخص،‏ پوست گندمی، و پوست آبنوسی|پوست آبنوسی|پوست گندمی|داستان عاشقانه|زوج|شخص|عشق
	🧑🏿‍❤️‍💋‍🧑🏻;بوسه: شخص،‏ شخص،‏ پوست آبنوسی، و پوست سفید;بوسه|بوسه: شخص،‏ شخص،‏ پوست آبنوسی، و پوست سفید|پوست آبنوسی|پوست سفید|داستان عاشقانه|زوج|شخص|عشق
	🧑🏿‍❤️‍💋‍🧑🏼;بوسه: شخص،‏ شخص،‏ پوست آبنوسی، و پوست روشن;بوسه|بوسه: شخص،‏ شخص،‏ پوست آبنوسی، و پوست روشن|پوست آبنوسی|پوست روشن|داستان عاشقانه|زوج|شخص|عشق
	🧑🏿‍❤️‍💋‍🧑🏽;بوسه: شخص،‏ شخص،‏ پوست آبنوسی، و پوست طلایی;بوسه|بوسه: شخص،‏ شخص،‏ پوست آبنوسی، و پوست طلایی|پوست آبنوسی|پوست طلایی|داستان عاشقانه|زوج|شخص|عشق
	🧑🏿‍❤️‍💋‍🧑🏾;بوسه: شخص،‏ شخص،‏ پوست آبنوسی، و پوست گندمی;بوسه|بوسه: شخص،‏ شخص،‏ پوست آبنوسی، و پوست گندمی|پوست آبنوسی|پوست گندمی|داستان عاشقانه|زوج|شخص|عشق
👩‍❤️‍💋‍👨;بوسه: زن،‏ مرد;بوسه|بوسه: زن،‏ مرد|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏻‍❤️‍💋‍👨🏻;بوسه: زن،‏ مرد، و پوست سفید;بوسه|بوسه: زن،‏ مرد، و پوست سفید|پوست سفید|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏻‍❤️‍💋‍👨🏼;بوسه: زن،‏ مرد،‏ پوست سفید، و پوست روشن;بوسه|بوسه: زن،‏ مرد،‏ پوست سفید، و پوست روشن|پوست روشن|پوست سفید|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏻‍❤️‍💋‍👨🏽;بوسه: زن،‏ مرد،‏ پوست سفید، و پوست طلایی;بوسه|بوسه: زن،‏ مرد،‏ پوست سفید، و پوست طلایی|پوست سفید|پوست طلایی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏻‍❤️‍💋‍👨🏾;بوسه: زن،‏ مرد،‏ پوست سفید، و پوست گندمی;بوسه|بوسه: زن،‏ مرد،‏ پوست سفید، و پوست گندمی|پوست سفید|پوست گندمی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏻‍❤️‍💋‍👨🏿;بوسه: زن،‏ مرد،‏ پوست سفید، و پوست آبنوسی;بوسه|بوسه: زن،‏ مرد،‏ پوست سفید، و پوست آبنوسی|پوست آبنوسی|پوست سفید|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏼‍❤️‍💋‍👨🏻;بوسه: زن،‏ مرد،‏ پوست روشن، و پوست سفید;بوسه|بوسه: زن،‏ مرد،‏ پوست روشن، و پوست سفید|پوست روشن|پوست سفید|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏼‍❤️‍💋‍👨🏼;بوسه: زن،‏ مرد، و پوست روشن;بوسه|بوسه: زن،‏ مرد، و پوست روشن|پوست روشن|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏼‍❤️‍💋‍👨🏽;بوسه: زن،‏ مرد،‏ پوست روشن، و پوست طلایی;بوسه|بوسه: زن،‏ مرد،‏ پوست روشن، و پوست طلایی|پوست روشن|پوست طلایی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏼‍❤️‍💋‍👨🏾;بوسه: زن،‏ مرد،‏ پوست روشن، و پوست گندمی;بوسه|بوسه: زن،‏ مرد،‏ پوست روشن، و پوست گندمی|پوست روشن|پوست گندمی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏼‍❤️‍💋‍👨🏿;بوسه: زن،‏ مرد،‏ پوست روشن، و پوست آبنوسی;بوسه|بوسه: زن،‏ مرد،‏ پوست روشن، و پوست آبنوسی|پوست آبنوسی|پوست روشن|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏽‍❤️‍💋‍👨🏻;بوسه: زن،‏ مرد،‏ پوست طلایی، و پوست سفید;بوسه|بوسه: زن،‏ مرد،‏ پوست طلایی، و پوست سفید|پوست سفید|پوست طلایی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏽‍❤️‍💋‍👨🏼;بوسه: زن،‏ مرد،‏ پوست طلایی، و پوست روشن;بوسه|بوسه: زن،‏ مرد،‏ پوست طلایی، و پوست روشن|پوست روشن|پوست طلایی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏽‍❤️‍💋‍👨🏽;بوسه: زن،‏ مرد، و پوست طلایی;بوسه|بوسه: زن،‏ مرد، و پوست طلایی|پوست طلایی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏽‍❤️‍💋‍👨🏾;بوسه: زن،‏ مرد،‏ پوست طلایی، و پوست گندمی;بوسه|بوسه: زن،‏ مرد،‏ پوست طلایی، و پوست گندمی|پوست طلایی|پوست گندمی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏽‍❤️‍💋‍👨🏿;بوسه: زن،‏ مرد،‏ پوست طلایی، و پوست آبنوسی;بوسه|بوسه: زن،‏ مرد،‏ پوست طلایی، و پوست آبنوسی|پوست آبنوسی|پوست طلایی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏾‍❤️‍💋‍👨🏻;بوسه: زن،‏ مرد،‏ پوست گندمی، و پوست سفید;بوسه|بوسه: زن،‏ مرد،‏ پوست گندمی، و پوست سفید|پوست سفید|پوست گندمی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏾‍❤️‍💋‍👨🏼;بوسه: زن،‏ مرد،‏ پوست گندمی، و پوست روشن;بوسه|بوسه: زن،‏ مرد،‏ پوست گندمی، و پوست روشن|پوست روشن|پوست گندمی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏾‍❤️‍💋‍👨🏽;بوسه: زن،‏ مرد،‏ پوست گندمی، و پوست طلایی;بوسه|بوسه: زن،‏ مرد،‏ پوست گندمی، و پوست طلایی|پوست طلایی|پوست گندمی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏾‍❤️‍💋‍👨🏾;بوسه: زن،‏ مرد، و پوست گندمی;بوسه|بوسه: زن،‏ مرد، و پوست گندمی|پوست گندمی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏾‍❤️‍💋‍👨🏿;بوسه: زن،‏ مرد،‏ پوست گندمی، و پوست آبنوسی;بوسه|بوسه: زن،‏ مرد،‏ پوست گندمی، و پوست آبنوسی|پوست آبنوسی|پوست گندمی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏿‍❤️‍💋‍👨🏻;بوسه: زن،‏ مرد،‏ پوست آبنوسی، و پوست سفید;بوسه|بوسه: زن،‏ مرد،‏ پوست آبنوسی، و پوست سفید|پوست آبنوسی|پوست سفید|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏿‍❤️‍💋‍👨🏼;بوسه: زن،‏ مرد،‏ پوست آبنوسی، و پوست روشن;بوسه|بوسه: زن،‏ مرد،‏ پوست آبنوسی، و پوست روشن|پوست آبنوسی|پوست روشن|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏿‍❤️‍💋‍👨🏽;بوسه: زن،‏ مرد،‏ پوست آبنوسی، و پوست طلایی;بوسه|بوسه: زن،‏ مرد،‏ پوست آبنوسی، و پوست طلایی|پوست آبنوسی|پوست طلایی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏿‍❤️‍💋‍👨🏾;بوسه: زن،‏ مرد،‏ پوست آبنوسی، و پوست گندمی;بوسه|بوسه: زن،‏ مرد،‏ پوست آبنوسی، و پوست گندمی|پوست آبنوسی|پوست گندمی|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏿‍❤️‍💋‍👨🏿;بوسه: زن،‏ مرد، و پوست آبنوسی;بوسه|بوسه: زن،‏ مرد، و پوست آبنوسی|پوست آبنوسی|داستان عاشقانه|زن|زوج|عشق|مرد
👨‍❤️‍💋‍👨;بوسه: مرد،‏ مرد;بوسه|بوسه: مرد،‏ مرد|داستان عاشقانه|زوج|عشق|مرد
	👨🏻‍❤️‍💋‍👨🏻;بوسه: مرد،‏ مرد، و پوست سفید;بوسه|بوسه: مرد،‏ مرد، و پوست سفید|پوست سفید|داستان عاشقانه|زوج|عشق|مرد
	👨🏻‍❤️‍💋‍👨🏼;بوسه: مرد،‏ مرد،‏ پوست سفید، و پوست روشن;بوسه|بوسه: مرد،‏ مرد،‏ پوست سفید، و پوست روشن|پوست روشن|پوست سفید|داستان عاشقانه|زوج|عشق|مرد
	👨🏻‍❤️‍💋‍👨🏽;بوسه: مرد،‏ مرد،‏ پوست سفید، و پوست طلایی;بوسه|بوسه: مرد،‏ مرد،‏ پوست سفید، و پوست طلایی|پوست سفید|پوست طلایی|داستان عاشقانه|زوج|عشق|مرد
	👨🏻‍❤️‍💋‍👨🏾;بوسه: مرد،‏ مرد،‏ پوست سفید، و پوست گندمی;بوسه|بوسه: مرد،‏ مرد،‏ پوست سفید، و پوست گندمی|پوست سفید|پوست گندمی|داستان عاشقانه|زوج|عشق|مرد
	👨🏻‍❤️‍💋‍👨🏿;بوسه: مرد،‏ مرد،‏ پوست سفید، و پوست آبنوسی;بوسه|بوسه: مرد،‏ مرد،‏ پوست سفید، و پوست آبنوسی|پوست آبنوسی|پوست سفید|داستان عاشقانه|زوج|عشق|مرد
	👨🏼‍❤️‍💋‍👨🏻;بوسه: مرد،‏ مرد،‏ پوست روشن، و پوست سفید;بوسه|بوسه: مرد،‏ مرد،‏ پوست روشن، و پوست سفید|پوست روشن|پوست سفید|داستان عاشقانه|زوج|عشق|مرد
	👨🏼‍❤️‍💋‍👨🏼;بوسه: مرد،‏ مرد، و پوست روشن;بوسه|بوسه: مرد،‏ مرد، و پوست روشن|پوست روشن|داستان عاشقانه|زوج|عشق|مرد
	👨🏼‍❤️‍💋‍👨🏽;بوسه: مرد،‏ مرد،‏ پوست روشن، و پوست طلایی;بوسه|بوسه: مرد،‏ مرد،‏ پوست روشن، و پوست طلایی|پوست روشن|پوست طلایی|داستان عاشقانه|زوج|عشق|مرد
	👨🏼‍❤️‍💋‍👨🏾;بوسه: مرد،‏ مرد،‏ پوست روشن، و پوست گندمی;بوسه|بوسه: مرد،‏ مرد،‏ پوست روشن، و پوست گندمی|پوست روشن|پوست گندمی|داستان عاشقانه|زوج|عشق|مرد
	👨🏼‍❤️‍💋‍👨🏿;بوسه: مرد،‏ مرد،‏ پوست روشن، و پوست آبنوسی;بوسه|بوسه: مرد،‏ مرد،‏ پوست روشن، و پوست آبنوسی|پوست آبنوسی|پوست روشن|داستان عاشقانه|زوج|عشق|مرد
	👨🏽‍❤️‍💋‍👨🏻;بوسه: مرد،‏ مرد،‏ پوست طلایی، و پوست سفید;بوسه|بوسه: مرد،‏ مرد،‏ پوست طلایی، و پوست سفید|پوست سفید|پوست طلایی|داستان عاشقانه|زوج|عشق|مرد
	👨🏽‍❤️‍💋‍👨🏼;بوسه: مرد،‏ مرد،‏ پوست طلایی، و پوست روشن;بوسه|بوسه: مرد،‏ مرد،‏ پوست طلایی، و پوست روشن|پوست روشن|پوست طلایی|داستان عاشقانه|زوج|عشق|مرد
	👨🏽‍❤️‍💋‍👨🏽;بوسه: مرد،‏ مرد، و پوست طلایی;بوسه|بوسه: مرد،‏ مرد، و پوست طلایی|پوست طلایی|داستان عاشقانه|زوج|عشق|مرد
	👨🏽‍❤️‍💋‍👨🏾;بوسه: مرد،‏ مرد،‏ پوست طلایی، و پوست گندمی;بوسه|بوسه: مرد،‏ مرد،‏ پوست طلایی، و پوست گندمی|پوست طلایی|پوست گندمی|داستان عاشقانه|زوج|عشق|مرد
	👨🏽‍❤️‍💋‍👨🏿;بوسه: مرد،‏ مرد،‏ پوست طلایی، و پوست آبنوسی;بوسه|بوسه: مرد،‏ مرد،‏ پوست طلایی، و پوست آبنوسی|پوست آبنوسی|پوست طلایی|داستان عاشقانه|زوج|عشق|مرد
	👨🏾‍❤️‍💋‍👨🏻;بوسه: مرد،‏ مرد،‏ پوست گندمی، و پوست سفید;بوسه|بوسه: مرد،‏ مرد،‏ پوست گندمی، و پوست سفید|پوست سفید|پوست گندمی|داستان عاشقانه|زوج|عشق|مرد
	👨🏾‍❤️‍💋‍👨🏼;بوسه: مرد،‏ مرد،‏ پوست گندمی، و پوست روشن;بوسه|بوسه: مرد،‏ مرد،‏ پوست گندمی، و پوست روشن|پوست روشن|پوست گندمی|داستان عاشقانه|زوج|عشق|مرد
	👨🏾‍❤️‍💋‍👨🏽;بوسه: مرد،‏ مرد،‏ پوست گندمی، و پوست طلایی;بوسه|بوسه: مرد،‏ مرد،‏ پوست گندمی، و پوست طلایی|پوست طلایی|پوست گندمی|داستان عاشقانه|زوج|عشق|مرد
	👨🏾‍❤️‍💋‍👨🏾;بوسه: مرد،‏ مرد، و پوست گندمی;بوسه|بوسه: مرد،‏ مرد، و پوست گندمی|پوست گندمی|داستان عاشقانه|زوج|عشق|مرد
	👨🏾‍❤️‍💋‍👨🏿;بوسه: مرد،‏ مرد،‏ پوست گندمی، و پوست آبنوسی;بوسه|بوسه: مرد،‏ مرد،‏ پوست گندمی، و پوست آبنوسی|پوست آبنوسی|پوست گندمی|داستان عاشقانه|زوج|عشق|مرد
	👨🏿‍❤️‍💋‍👨🏻;بوسه: مرد،‏ مرد،‏ پوست آبنوسی، و پوست سفید;بوسه|بوسه: مرد،‏ مرد،‏ پوست آبنوسی، و پوست سفید|پوست آبنوسی|پوست سفید|داستان عاشقانه|زوج|عشق|مرد
	👨🏿‍❤️‍💋‍👨🏼;بوسه: مرد،‏ مرد،‏ پوست آبنوسی، و پوست روشن;بوسه|بوسه: مرد،‏ مرد،‏ پوست آبنوسی، و پوست روشن|پوست آبنوسی|پوست روشن|داستان عاشقانه|زوج|عشق|مرد
	👨🏿‍❤️‍💋‍👨🏽;بوسه: مرد،‏ مرد،‏ پوست آبنوسی، و پوست طلایی;بوسه|بوسه: مرد،‏ مرد،‏ پوست آبنوسی، و پوست طلایی|پوست آبنوسی|پوست طلایی|داستان عاشقانه|زوج|عشق|مرد
	👨🏿‍❤️‍💋‍👨🏾;بوسه: مرد،‏ مرد،‏ پوست آبنوسی، و پوست گندمی;بوسه|بوسه: مرد،‏ مرد،‏ پوست آبنوسی، و پوست گندمی|پوست آبنوسی|پوست گندمی|داستان عاشقانه|زوج|عشق|مرد
	👨🏿‍❤️‍💋‍👨🏿;بوسه: مرد،‏ مرد، و پوست آبنوسی;بوسه|بوسه: مرد،‏ مرد، و پوست آبنوسی|پوست آبنوسی|داستان عاشقانه|زوج|عشق|مرد
👩‍❤️‍💋‍👩;بوسه: زن،‏ زن;بوسه|بوسه: زن،‏ زن|داستان عاشقانه|زن|زوج|عشق
	👩🏻‍❤️‍💋‍👩🏻;بوسه: زن،‏ زن، و پوست سفید;بوسه|بوسه: زن،‏ زن، و پوست سفید|پوست سفید|داستان عاشقانه|زن|زوج|عشق
	👩🏻‍❤️‍💋‍👩🏼;بوسه: زن،‏ زن،‏ پوست سفید، و پوست روشن;بوسه|بوسه: زن،‏ زن،‏ پوست سفید، و پوست روشن|پوست روشن|پوست سفید|داستان عاشقانه|زن|زوج|عشق
	👩🏻‍❤️‍💋‍👩🏽;بوسه: زن،‏ زن،‏ پوست سفید، و پوست طلایی;بوسه|بوسه: زن،‏ زن،‏ پوست سفید، و پوست طلایی|پوست سفید|پوست طلایی|داستان عاشقانه|زن|زوج|عشق
	👩🏻‍❤️‍💋‍👩🏾;بوسه: زن،‏ زن،‏ پوست سفید، و پوست گندمی;بوسه|بوسه: زن،‏ زن،‏ پوست سفید، و پوست گندمی|پوست سفید|پوست گندمی|داستان عاشقانه|زن|زوج|عشق
	👩🏻‍❤️‍💋‍👩🏿;بوسه: زن،‏ زن،‏ پوست سفید، و پوست آبنوسی;بوسه|بوسه: زن،‏ زن،‏ پوست سفید، و پوست آبنوسی|پوست آبنوسی|پوست سفید|داستان عاشقانه|زن|زوج|عشق
	👩🏼‍❤️‍💋‍👩🏻;بوسه: زن،‏ زن،‏ پوست روشن، و پوست سفید;بوسه|بوسه: زن،‏ زن،‏ پوست روشن، و پوست سفید|پوست روشن|پوست سفید|داستان عاشقانه|زن|زوج|عشق
	👩🏼‍❤️‍💋‍👩🏼;بوسه: زن،‏ زن، و پوست روشن;بوسه|بوسه: زن،‏ زن، و پوست روشن|پوست روشن|داستان عاشقانه|زن|زوج|عشق
	👩🏼‍❤️‍💋‍👩🏽;بوسه: زن،‏ زن،‏ پوست روشن، و پوست طلایی;بوسه|بوسه: زن،‏ زن،‏ پوست روشن، و پوست طلایی|پوست روشن|پوست طلایی|داستان عاشقانه|زن|زوج|عشق
	👩🏼‍❤️‍💋‍👩🏾;بوسه: زن،‏ زن،‏ پوست روشن، و پوست گندمی;بوسه|بوسه: زن،‏ زن،‏ پوست روشن، و پوست گندمی|پوست روشن|پوست گندمی|داستان عاشقانه|زن|زوج|عشق
	👩🏼‍❤️‍💋‍👩🏿;بوسه: زن،‏ زن،‏ پوست روشن، و پوست آبنوسی;بوسه|بوسه: زن،‏ زن،‏ پوست روشن، و پوست آبنوسی|پوست آبنوسی|پوست روشن|داستان عاشقانه|زن|زوج|عشق
	👩🏽‍❤️‍💋‍👩🏻;بوسه: زن،‏ زن،‏ پوست طلایی، و پوست سفید;بوسه|بوسه: زن،‏ زن،‏ پوست طلایی، و پوست سفید|پوست سفید|پوست طلایی|داستان عاشقانه|زن|زوج|عشق
	👩🏽‍❤️‍💋‍👩🏼;بوسه: زن،‏ زن،‏ پوست طلایی، و پوست روشن;بوسه|بوسه: زن،‏ زن،‏ پوست طلایی، و پوست روشن|پوست روشن|پوست طلایی|داستان عاشقانه|زن|زوج|عشق
	👩🏽‍❤️‍💋‍👩🏽;بوسه: زن،‏ زن، و پوست طلایی;بوسه|بوسه: زن،‏ زن، و پوست طلایی|پوست طلایی|داستان عاشقانه|زن|زوج|عشق
	👩🏽‍❤️‍💋‍👩🏾;بوسه: زن،‏ زن،‏ پوست طلایی، و پوست گندمی;بوسه|بوسه: زن،‏ زن،‏ پوست طلایی، و پوست گندمی|پوست طلایی|پوست گندمی|داستان عاشقانه|زن|زوج|عشق
	👩🏽‍❤️‍💋‍👩🏿;بوسه: زن،‏ زن،‏ پوست طلایی، و پوست آبنوسی;بوسه|بوسه: زن،‏ زن،‏ پوست طلایی، و پوست آبنوسی|پوست آبنوسی|پوست طلایی|داستان عاشقانه|زن|زوج|عشق
	👩🏾‍❤️‍💋‍👩🏻;بوسه: زن،‏ زن،‏ پوست گندمی، و پوست سفید;بوسه|بوسه: زن،‏ زن،‏ پوست گندمی، و پوست سفید|پوست سفید|پوست گندمی|داستان عاشقانه|زن|زوج|عشق
	👩🏾‍❤️‍💋‍👩🏼;بوسه: زن،‏ زن،‏ پوست گندمی، و پوست روشن;بوسه|بوسه: زن،‏ زن،‏ پوست گندمی، و پوست روشن|پوست روشن|پوست گندمی|داستان عاشقانه|زن|زوج|عشق
	👩🏾‍❤️‍💋‍👩🏽;بوسه: زن،‏ زن،‏ پوست گندمی، و پوست طلایی;بوسه|بوسه: زن،‏ زن،‏ پوست گندمی، و پوست طلایی|پوست طلایی|پوست گندمی|داستان عاشقانه|زن|زوج|عشق
	👩🏾‍❤️‍💋‍👩🏾;بوسه: زن،‏ زن، و پوست گندمی;بوسه|بوسه: زن،‏ زن، و پوست گندمی|پوست گندمی|داستان عاشقانه|زن|زوج|عشق
	👩🏾‍❤️‍💋‍👩🏿;بوسه: زن،‏ زن،‏ پوست گندمی، و پوست آبنوسی;بوسه|بوسه: زن،‏ زن،‏ پوست گندمی، و پوست آبنوسی|پوست آبنوسی|پوست گندمی|داستان عاشقانه|زن|زوج|عشق
	👩🏿‍❤️‍💋‍👩🏻;بوسه: زن،‏ زن،‏ پوست آبنوسی، و پوست سفید;بوسه|بوسه: زن،‏ زن،‏ پوست آبنوسی، و پوست سفید|پوست آبنوسی|پوست سفید|داستان عاشقانه|زن|زوج|عشق
	👩🏿‍❤️‍💋‍👩🏼;بوسه: زن،‏ زن،‏ پوست آبنوسی، و پوست روشن;بوسه|بوسه: زن،‏ زن،‏ پوست آبنوسی، و پوست روشن|پوست آبنوسی|پوست روشن|داستان عاشقانه|زن|زوج|عشق
	👩🏿‍❤️‍💋‍👩🏽;بوسه: زن،‏ زن،‏ پوست آبنوسی، و پوست طلایی;بوسه|بوسه: زن،‏ زن،‏ پوست آبنوسی، و پوست طلایی|پوست آبنوسی|پوست طلایی|داستان عاشقانه|زن|زوج|عشق
	👩🏿‍❤️‍💋‍👩🏾;بوسه: زن،‏ زن،‏ پوست آبنوسی، و پوست گندمی;بوسه|بوسه: زن،‏ زن،‏ پوست آبنوسی، و پوست گندمی|پوست آبنوسی|پوست گندمی|داستان عاشقانه|زن|زوج|عشق
	👩🏿‍❤️‍💋‍👩🏿;بوسه: زن،‏ زن، و پوست آبنوسی;بوسه|بوسه: زن،‏ زن، و پوست آبنوسی|پوست آبنوسی|داستان عاشقانه|زن|زوج|عشق
💑;زوج عاشق;داستان عاشقانه|زوج|زوج عاشق|عشق|قلب
	💑🏻;زوج عاشق: پوست سفید;پوست سفید|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: پوست سفید|عشق|قلب
	💑🏼;زوج عاشق: پوست روشن;پوست روشن|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: پوست روشن|عشق|قلب
	💑🏽;زوج عاشق: پوست طلایی;پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: پوست طلایی|عشق|قلب
	💑🏾;زوج عاشق: پوست گندمی;پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: پوست گندمی|عشق|قلب
	💑🏿;زوج عاشق: پوست آبنوسی;پوست آبنوسی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: پوست آبنوسی|عشق|قلب
	🧑🏻‍❤️‍🧑🏼;زوج عاشق: شخص،‏ شخص،‏ پوست سفید، و پوست روشن;پوست روشن|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست سفید، و پوست روشن|شخص|عشق|قلب
	🧑🏻‍❤️‍🧑🏽;زوج عاشق: شخص،‏ شخص،‏ پوست سفید، و پوست طلایی;پوست سفید|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست سفید، و پوست طلایی|شخص|عشق|قلب
	🧑🏻‍❤️‍🧑🏾;زوج عاشق: شخص،‏ شخص،‏ پوست سفید، و پوست گندمی;پوست سفید|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست سفید، و پوست گندمی|شخص|عشق|قلب
	🧑🏻‍❤️‍🧑🏿;زوج عاشق: شخص،‏ شخص،‏ پوست سفید، و پوست آبنوسی;پوست آبنوسی|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست سفید، و پوست آبنوسی|شخص|عشق|قلب
	🧑🏼‍❤️‍🧑🏻;زوج عاشق: شخص،‏ شخص،‏ پوست روشن، و پوست سفید;پوست روشن|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست روشن، و پوست سفید|شخص|عشق|قلب
	🧑🏼‍❤️‍🧑🏽;زوج عاشق: شخص،‏ شخص،‏ پوست روشن، و پوست طلایی;پوست روشن|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست روشن، و پوست طلایی|شخص|عشق|قلب
	🧑🏼‍❤️‍🧑🏾;زوج عاشق: شخص،‏ شخص،‏ پوست روشن، و پوست گندمی;پوست روشن|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست روشن، و پوست گندمی|شخص|عشق|قلب
	🧑🏼‍❤️‍🧑🏿;زوج عاشق: شخص،‏ شخص،‏ پوست روشن، و پوست آبنوسی;پوست آبنوسی|پوست روشن|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست روشن، و پوست آبنوسی|شخص|عشق|قلب
	🧑🏽‍❤️‍🧑🏻;زوج عاشق: شخص،‏ شخص،‏ پوست طلایی، و پوست سفید;پوست سفید|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست طلایی، و پوست سفید|شخص|عشق|قلب
	🧑🏽‍❤️‍🧑🏼;زوج عاشق: شخص،‏ شخص،‏ پوست طلایی، و پوست روشن;پوست روشن|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست طلایی، و پوست روشن|شخص|عشق|قلب
	🧑🏽‍❤️‍🧑🏾;زوج عاشق: شخص،‏ شخص،‏ پوست طلایی، و پوست گندمی;پوست طلایی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست طلایی، و پوست گندمی|شخص|عشق|قلب
	🧑🏽‍❤️‍🧑🏿;زوج عاشق: شخص،‏ شخص،‏ پوست طلایی، و پوست آبنوسی;پوست آبنوسی|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست طلایی، و پوست آبنوسی|شخص|عشق|قلب
	🧑🏾‍❤️‍🧑🏻;زوج عاشق: شخص،‏ شخص،‏ پوست گندمی، و پوست سفید;پوست سفید|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست گندمی، و پوست سفید|شخص|عشق|قلب
	🧑🏾‍❤️‍🧑🏼;زوج عاشق: شخص،‏ شخص،‏ پوست گندمی، و پوست روشن;پوست روشن|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست گندمی، و پوست روشن|شخص|عشق|قلب
	🧑🏾‍❤️‍🧑🏽;زوج عاشق: شخص،‏ شخص،‏ پوست گندمی، و پوست طلایی;پوست طلایی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست گندمی، و پوست طلایی|شخص|عشق|قلب
	🧑🏾‍❤️‍🧑🏿;زوج عاشق: شخص،‏ شخص،‏ پوست گندمی، و پوست آبنوسی;پوست آبنوسی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست گندمی، و پوست آبنوسی|شخص|عشق|قلب
	🧑🏿‍❤️‍🧑🏻;زوج عاشق: شخص،‏ شخص،‏ پوست آبنوسی، و پوست سفید;پوست آبنوسی|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|زوج عاشق: شخص،‏ شخص،‏ پوست آبنوسی، و پوست سفید|شخص|عشق|قلب
