# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;დაკრეჭილი სახე;დაკრეჭა|დაკრეჭილი|სახე
	👨🏿‍❤️‍💋‍👨🏽;კოცნა: კაცი, კაცი, კანის მუქი ტონალობა, კანის საშუალო ტონალობა;კანის მუქი ტონალობა|კანის საშუალო ტონალობა|კაცი|კოცნა|კოცნა: კაცი, კაცი, კანის მუქი ტონალობა, კანის საშუალო ტონალობა|რომანტიკა|წყვილი
	👨🏿‍❤️‍💋‍👨🏾;კოცნა: კაცი, კაცი, კანის მუქი ტონალობა, საშუალოდან მუქამდე კანის ტონალობა;კანის მუქი ტონალობა|კაცი|კოცნა|კოცნა: კაცი, კაცი, კანის მუქი ტონალობა, საშუალოდან მუქამდე კანის ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|წყვილი
	👨🏿‍❤️‍💋‍👨🏿;კოცნა: კაცი, კაცი, კანის მუქი ტონალობა;კანის მუქი ტონალობა|კაცი|კოცნა|კოცნა: კაცი, კაცი, კანის მუქი ტონალობა|რომანტიკა|წყვილი
👩‍❤️‍💋‍👩;კოცნა: ქალი, ქალი;კოცნა|კოცნა: ქალი, ქალი|რომანტიკა|ქალი|წყვილი
	👩🏻‍❤️‍💋‍👩🏻;კოცნა: ქალი, ქალი, კანის ღია ტონალობა;კანის ღია ტონალობა|კოცნა|კოცნა: ქალი, ქალი, კანის ღია ტონალობა|რომანტიკა|ქალი|წყვილი
	👩🏻‍❤️‍💋‍👩🏼;კოცნა: ქალი, ქალი, კანის ღია ტონალობა, ღიადან საშუალომდე კანის ტონალობა;კანის ღია ტონალობა|კოცნა|კოცნა: ქალი, ქალი, კანის ღია ტონალობა, ღიადან საშუალომდე კანის ტონალობა|რომანტიკა|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი
	👩🏻‍❤️‍💋‍👩🏽;კოცნა: ქალი, ქალი, კანის ღია ტონალობა, კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|კანის ღია ტონალობა|კოცნა|კოცნა: ქალი, ქალი, კანის ღია ტონალობა, კანის საშუალო ტონალობა|რომანტიკა|ქალი|წყვილი
	👩🏻‍❤️‍💋‍👩🏾;კოცნა: ქალი, ქალი, კანის ღია ტონალობა, საშუალოდან მუქამდე კანის ტონალობა;კანის ღია ტონალობა|კოცნა|კოცნა: ქალი, ქალი, კანის ღია ტონალობა, საშუალოდან მუქამდე კანის ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|ქალი|წყვილი
	👩🏻‍❤️‍💋‍👩🏿;კოცნა: ქალი, ქალი, კანის ღია ტონალობა, კანის მუქი ტონალობა;კანის მუქი ტონალობა|კანის ღია ტონალობა|კოცნა|კოცნა: ქალი, ქალი, კანის ღია ტონალობა, კანის მუქი ტონალობა|რომანტიკა|ქალი|წყვილი
	👩🏼‍❤️‍💋‍👩🏻;კოცნა: ქალი, ქალი, ღიადან საშუალომდე კანის ტონალობა, კანის ღია ტონალობა;კანის ღია ტონალობა|კოცნა|კოცნა: ქალი, ქალი, ღიადან საშუალომდე კანის ტონალობა, კანის ღია ტონალობა|რომანტიკა|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი
	👩🏼‍❤️‍💋‍👩🏼;კოცნა: ქალი, ქალი, ღიადან საშუალომდე კანის ტონალობა;კოცნა|კოცნა: ქალი, ქალი, ღიადან საშუალომდე კანის ტონალობა|რომანტიკა|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი
	👩🏼‍❤️‍💋‍👩🏽;კოცნა: ქალი, ქალი, ღიადან საშუალომდე კანის ტონალობა, კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|კოცნა|კოცნა: ქალი, ქალი, ღიადან საშუალომდე კანის ტონალობა, კანის საშუალო ტონალობა|რომანტიკა|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი
	👩🏼‍❤️‍💋‍👩🏾;კოცნა: ქალი, ქალი, ღიადან საშუალომდე კანის ტონალობა, საშუალოდან მუქამდე კანის ტონალობა;კოცნა|კოცნა: ქალი, ქალი, ღიადან საშუალომდე კანის ტონალობა, საშუალოდან მუქამდე კანის ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი
	👩🏼‍❤️‍💋‍👩🏿;კოცნა: ქალი, ქალი, ღიადან საშუალომდე კანის ტონალობა, კანის მუქი ტონალობა;კანის მუქი ტონალობა|კოცნა|კოცნა: ქალი, ქალი, ღიადან საშუალომდე კანის ტონალობა, კანის მუქი ტონალობა|რომანტიკა|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი
	👩🏽‍❤️‍💋‍👩🏻;კოცნა: ქალი, ქალი, კანის საშუალო ტონალობა, კანის ღია ტონალობა;კანის საშუალო ტონალობა|კანის ღია ტონალობა|კოცნა|კოცნა: ქალი, ქალი, კანის საშუალო ტონალობა, კანის ღია ტონალობა|რომანტიკა|ქალი|წყვილი
	👩🏽‍❤️‍💋‍👩🏼;კოცნა: ქალი, ქალი, კანის საშუალო ტონალობა, ღიადან საშუალომდე კანის ტონალობა;კანის საშუალო ტონალობა|კოცნა|კოცნა: ქალი, ქალი, კანის საშუალო ტონალობა, ღიადან საშუალომდე კანის ტონალობა|რომანტიკა|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი
	👩🏽‍❤️‍💋‍👩🏽;კოცნა: ქალი, ქალი, კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|კოცნა|კოცნა: ქალი, ქალი, კანის საშუალო ტონალობა|რომანტიკა|ქალი|წყვილი
	👩🏽‍❤️‍💋‍👩🏾;კოცნა: ქალი, ქალი, კანის საშუალო ტონალობა, საშუალოდან მუქამდე კანის ტონალობა;კანის საშუალო ტონალობა|კოცნა|კოცნა: ქალი, ქალი, კანის საშუალო ტონალობა, საშუალოდან მუქამდე კანის ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|ქალი|წყვილი
	👩🏽‍❤️‍💋‍👩🏿;კოცნა: ქალი, ქალი, კანის საშუალო ტონალობა, კანის მუქი ტონალობა;კანის მუქი ტონალობა|კანის საშუალო ტონალობა|კოცნა|კოცნა: ქალი, ქალი, კანის საშუალო ტონალობა, კანის მუქი ტონალობა|რომანტიკა|ქალი|წყვილი
	👩🏾‍❤️‍💋‍👩🏻;კოცნა: ქალი, ქალი, საშუალოდან მუქამდე კანის ტონალობა, კანის ღია ტონალობა;კანის ღია ტონალობა|კოცნა|კოცნა: ქალი, ქალი, საშუალოდან მუქამდე კანის ტონალობა, კანის ღია ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|ქალი|წყვილი
	👩🏾‍❤️‍💋‍👩🏼;კოცნა: ქალი, ქალი, საშუალოდან მუქამდე კანის ტონალობა, ღიადან საშუალომდე კანის ტონალობა;კოცნა|კოცნა: ქალი, ქალი, საშუალოდან მუქამდე კანის ტონალობა, ღიადან საშუალომდე კანის ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი
	👩🏾‍❤️‍💋‍👩🏽;კოცნა: ქალი, ქალი, საშუალოდან მუქამდე კანის ტონალობა, კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|კოცნა|კოცნა: ქალი, ქალი, საშუალოდან მუქამდე კანის ტონალობა, კანის საშუალო ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|ქალი|წყვილი
	👩🏾‍❤️‍💋‍👩🏾;კოცნა: ქალი, ქალი, საშუალოდან მუქამდე კანის ტონალობა;კოცნა|კოცნა: ქალი, ქალი, საშუალოდან მუქამდე კანის ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|ქალი|წყვილი
	👩🏾‍❤️‍💋‍👩🏿;კოცნა: ქალი, ქალი, საშუალოდან მუქამდე კანის ტონალობა, კანის მუქი ტონალობა;კანის მუქი ტონალობა|კოცნა|კოცნა: ქალი, ქალი, საშუალოდან მუქამდე კანის ტონალობა, კანის მუქი ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|ქალი|წყვილი
	👩🏿‍❤️‍💋‍👩🏻;კოცნა: ქალი, ქალი, კანის მუქი ტონალობა, კანის ღია ტონალობა;კანის მუქი ტონალობა|კანის ღია ტონალობა|კოცნა|კოცნა: ქალი, ქალი, კანის მუქი ტონალობა, კანის ღია ტონალობა|რომანტიკა|ქალი|წყვილი
	👩🏿‍❤️‍💋‍👩🏼;კოცნა: ქალი, ქალი, კანის მუქი ტონალობა, ღიადან საშუალომდე კანის ტონალობა;კანის მუქი ტონალობა|კოცნა|კოცნა: ქალი, ქალი, კანის მუქი ტონალობა, ღიადან საშუალომდე კანის ტონალობა|რომანტიკა|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი
	👩🏿‍❤️‍💋‍👩🏽;კოცნა: ქალი, ქალი, კანის მუქი ტონალობა, კანის საშუალო ტონალობა;კანის მუქი ტონალობა|კანის საშუალო ტონალობა|კოცნა|კოცნა: ქალი, ქალი, კანის მუქი ტონალობა, კანის საშუალო ტონალობა|რომანტიკა|ქალი|წყვილი
	👩🏿‍❤️‍💋‍👩🏾;კოცნა: ქალი, ქალი, კანის მუქი ტონალობა, საშუალოდან მუქამდე კანის ტონალობა;კანის მუქი ტონალობა|კოცნა|კოცნა: ქალი, ქალი, კანის მუქი ტონალობა, საშუალოდან მუქამდე კანის ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|ქალი|წყვილი
	👩🏿‍❤️‍💋‍👩🏿;კოცნა: ქალი, ქალი, კანის მუქი ტონალობა;კანის მუქი ტონალობა|კოცნა|კოცნა: ქალი, ქალი, კანის მუქი ტონალობა|რომანტიკა|ქალი|წყვილი
💑;წყვილი და გული;გული|რომანტიკა|სიყვარული|წყვილი|წყვილი და გული
	💑🏻;წყვილი და გული: კანის ღია ტონალობა;გული|კანის ღია ტონალობა|რომანტიკა|სიყვარული|წყვილი|წყვილი და გული|წყვილი და გული: კანის ღია ტონალობა
	💑🏼;წყვილი და გული: ღიადან საშუალომდე კანის ტონალობა;გული|რომანტიკა|სიყვარული|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: ღიადან საშუალომდე კანის ტონალობა
	💑🏽;წყვილი და გული: კანის საშუალო ტონალობა;გული|კანის საშუალო ტონალობა|რომანტიკა|სიყვარული|წყვილი|წყვილი და გული|წყვილი და გული: კანის საშუალო ტონალობა
	💑🏾;წყვილი და გული: საშუალოდან მუქამდე კანის ტონალობა;გული|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|სიყვარული|წყვილი|წყვილი და გული|წყვილი და გული: საშუალოდან მუქამდე კანის ტონალობა
	💑🏿;წყვილი და გული: კანის მუქი ტონალობა;გული|კანის მუქი ტონალობა|რომანტიკა|სიყვარული|წყვილი|წყვილი და გული|წყვილი და გული: კანის მუქი ტონალობა
	🧑🏻‍❤️‍🧑🏼;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის ღია ტონალობა, ღიადან საშუალომდე კანის ტონალობა;გული|კანის ღია ტონალობა|რომანტიკა|სიყვარული|სრულწლოვანი|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის ღია ტონალობა, ღიადან საშუალომდე კანის ტონალობა
	🧑🏻‍❤️‍🧑🏽;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის ღია ტონალობა, კანის საშუალო ტონალობა;გული|კანის საშუალო ტონალობა|კანის ღია ტონალობა|რომანტიკა|სიყვარული|სრულწლოვანი|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის ღია ტონალობა, კანის საშუალო ტონალობა
	🧑🏻‍❤️‍🧑🏾;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის ღია ტონალობა, საშუალოდან მუქამდე კანის ტონალობა;გული|კანის ღია ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|სიყვარული|სრულწლოვანი|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის ღია ტონალობა, საშუალოდან მუქამდე კანის ტონალობა
	🧑🏻‍❤️‍🧑🏿;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის ღია ტონალობა, კანის მუქი ტონალობა;გული|კანის მუქი ტონალობა|კანის ღია ტონალობა|რომანტიკა|სიყვარული|სრულწლოვანი|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის ღია ტონალობა, კანის მუქი ტონალობა
	🧑🏼‍❤️‍🧑🏻;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, ღიადან საშუალომდე კანის ტონალობა, კანის ღია ტონალობა;გული|კანის ღია ტონალობა|რომანტიკა|სიყვარული|სრულწლოვანი|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, ღიადან საშუალომდე კანის ტონალობა, კანის ღია ტონალობა
	🧑🏼‍❤️‍🧑🏽;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, ღიადან საშუალომდე კანის ტონალობა, კანის საშუალო ტონალობა;გული|კანის საშუალო ტონალობა|რომანტიკა|სიყვარული|სრულწლოვანი|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, ღიადან საშუალომდე კანის ტონალობა, კანის საშუალო ტონალობა
	🧑🏼‍❤️‍🧑🏾;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, ღიადან საშუალომდე კანის ტონალობა, საშუალოდან მუქამდე კანის ტონალობა;გული|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|სიყვარული|სრულწლოვანი|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, ღიადან საშუალომდე კანის ტონალობა, საშუალოდან მუქამდე კანის ტონალობა
	🧑🏼‍❤️‍🧑🏿;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, ღიადან საშუალომდე კანის ტონალობა, კანის მუქი ტონალობა;გული|კანის მუქი ტონალობა|რომანტიკა|სიყვარული|სრულწლოვანი|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, ღიადან საშუალომდე კანის ტონალობა, კანის მუქი ტონალობა
	🧑🏽‍❤️‍🧑🏻;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის საშუალო ტონალობა, კანის ღია ტონალობა;გული|კანის საშუალო ტონალობა|კანის ღია ტონალობა|რომანტიკა|სიყვარული|სრულწლოვანი|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის საშუალო ტონალობა, კანის ღია ტონალობა
	🧑🏽‍❤️‍🧑🏼;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის საშუალო ტონალობა, ღიადან საშუალომდე კანის ტონალობა;გული|კანის საშუალო ტონალობა|რომანტიკა|სიყვარული|სრულწლოვანი|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის საშუალო ტონალობა, ღიადან საშუალომდე კანის ტონალობა
	🧑🏽‍❤️‍🧑🏾;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის საშუალო ტონალობა, საშუალოდან მუქამდე კანის ტონალობა;გული|კანის საშუალო ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|სიყვარული|სრულწლოვანი|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის საშუალო ტონალობა, საშუალოდან მუქამდე კანის ტონალობა
	🧑🏽‍❤️‍🧑🏿;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის საშუალო ტონალობა, კანის მუქი ტონალობა;გული|კანის მუქი ტონალობა|კანის საშუალო ტონალობა|რომანტიკა|სიყვარული|სრულწლოვანი|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის საშუალო ტონალობა, კანის მუქი ტონალობა
	🧑🏾‍❤️‍🧑🏻;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, საშუალოდან მუქამდე კანის ტონალობა, კანის ღია ტონალობა;გული|კანის ღია ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|სიყვარული|სრულწლოვანი|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, საშუალოდან მუქამდე კანის ტონალობა, კანის ღია ტონალობა
	🧑🏾‍❤️‍🧑🏼;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, საშუალოდან მუქამდე კანის ტონალობა, ღიადან საშუალომდე კანის ტონალობა;გული|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|სიყვარული|სრულწლოვანი|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, საშუალოდან მუქამდე კანის ტონალობა, ღიადან საშუალომდე კანის ტონალობა
	🧑🏾‍❤️‍🧑🏽;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, საშუალოდან მუქამდე კანის ტონალობა, კანის საშუალო ტონალობა;გული|კანის საშუალო ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|სიყვარული|სრულწლოვანი|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, საშუალოდან მუქამდე კანის ტონალობა, კანის საშუალო ტონალობა
	🧑🏾‍❤️‍🧑🏿;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, საშუალოდან მუქამდე კანის ტონალობა, კანის მუქი ტონალობა;გული|კანის მუქი ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|სიყვარული|სრულწლოვანი|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, საშუალოდან მუქამდე კანის ტონალობა, კანის მუქი ტონალობა
	🧑🏿‍❤️‍🧑🏻;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის მუქი ტონალობა, კანის ღია ტონალობა;გული|კანის მუქი ტონალობა|კანის ღია ტონალობა|რომანტიკა|სიყვარული|სრულწლოვანი|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის მუქი ტონალობა, კანის ღია ტონალობა
	🧑🏿‍❤️‍🧑🏼;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის მუქი ტონალობა, ღიადან საშუალომდე კანის ტონალობა;გული|კანის მუქი ტონალობა|რომანტიკა|სიყვარული|სრულწლოვანი|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის მუქი ტონალობა, ღიადან საშუალომდე კანის ტონალობა
	🧑🏿‍❤️‍🧑🏽;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის მუქი ტონალობა, კანის საშუალო ტონალობა;გული|კანის მუქი ტონალობა|კანის საშუალო ტონალობა|რომანტიკა|სიყვარული|სრულწლოვანი|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის მუქი ტონალობა, კანის საშუალო ტონალობა
	🧑🏿‍❤️‍🧑🏾;წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის მუქი ტონალობა, საშუალოდან მუქამდე კანის ტონალობა;გული|კანის მუქი ტონალობა|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|სიყვარული|სრულწლოვანი|წყვილი|წყვილი და გული|წყვილი და გული: სრულწლოვანი, სრულწლოვანი, კანის მუქი ტონალობა, საშუალოდან მუქამდე კანის ტონალობა
👩‍❤️‍👨;წყვილი და გული: ქალი, კაცი;გული|კაცი|რომანტიკა|სიყვარული|ქალი|წყვილი|წყვილი და გული|წყვილი და გული: ქალი, კაცი
	👩🏻‍❤️‍👨🏻;წყვილი და გული: ქალი, კაცი, კანის ღია ტონალობა;გული|კანის ღია ტონალობა|კაცი|რომანტიკა|სიყვარული|ქალი|წყვილი|წყვილი და გული|წყვილი და გული: ქალი, კაცი, კანის ღია ტონალობა
	👩🏻‍❤️‍👨🏼;წყვილი და გული: ქალი, კაცი, კანის ღია ტონალობა, ღიადან საშუალომდე კანის ტონალობა;გული|კანის ღია ტონალობა|კაცი|რომანტიკა|სიყვარული|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: ქალი, კაცი, კანის ღია ტონალობა, ღიადან საშუალომდე კანის ტონალობა
	👩🏻‍❤️‍👨🏽;წყვილი და გული: ქალი, კაცი, კანის ღია ტონალობა, კანის საშუალო ტონალობა;გული|კანის საშუალო ტონალობა|კანის ღია ტონალობა|კაცი|რომანტიკა|სიყვარული|ქალი|წყვილი|წყვილი და გული|წყვილი და გული: ქალი, კაცი, კანის ღია ტონალობა, კანის საშუალო ტონალობა
	👩🏻‍❤️‍👨🏾;წყვილი და გული: ქალი, კაცი, კანის ღია ტონალობა, საშუალოდან მუქამდე კანის ტონალობა;გული|კანის ღია ტონალობა|კაცი|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|სიყვარული|ქალი|წყვილი|წყვილი და გული|წყვილი და გული: ქალი, კაცი, კანის ღია ტონალობა, საშუალოდან მუქამდე კანის ტონალობა
	👩🏻‍❤️‍👨🏿;წყვილი და გული: ქალი, კაცი, კანის ღია ტონალობა, კანის მუქი ტონალობა;გული|კანის მუქი ტონალობა|კანის ღია ტონალობა|კაცი|რომანტიკა|სიყვარული|ქალი|წყვილი|წყვილი და გული|წყვილი და გული: ქალი, კაცი, კანის ღია ტონალობა, კანის მუქი ტონალობა
	👩🏼‍❤️‍👨🏻;წყვილი და გული: ქალი, კაცი, ღიადან საშუალომდე კანის ტონალობა, კანის ღია ტონალობა;გული|კანის ღია ტონალობა|კაცი|რომანტიკა|სიყვარული|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: ქალი, კაცი, ღიადან საშუალომდე კანის ტონალობა, კანის ღია ტონალობა
	👩🏼‍❤️‍👨🏼;წყვილი და გული: ქალი, კაცი, ღიადან საშუალომდე კანის ტონალობა;გული|კაცი|რომანტიკა|სიყვარული|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: ქალი, კაცი, ღიადან საშუალომდე კანის ტონალობა
	👩🏼‍❤️‍👨🏽;წყვილი და გული: ქალი, კაცი, ღიადან საშუალომდე კანის ტონალობა, კანის საშუალო ტონალობა;გული|კანის საშუალო ტონალობა|კაცი|რომანტიკა|სიყვარული|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: ქალი, კაცი, ღიადან საშუალომდე კანის ტონალობა, კანის საშუალო ტონალობა
	👩🏼‍❤️‍👨🏾;წყვილი და გული: ქალი, კაცი, ღიადან საშუალომდე კანის ტონალობა, საშუალოდან მუქამდე კანის ტონალობა;გული|კაცი|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|სიყვარული|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: ქალი, კაცი, ღიადან საშუალომდე კანის ტონალობა, საშუალოდან მუქამდე კანის ტონალობა
	👩🏼‍❤️‍👨🏿;წყვილი და გული: ქალი, კაცი, ღიადან საშუალომდე კანის ტონალობა, კანის მუქი ტონალობა;გული|კანის მუქი ტონალობა|კაცი|რომანტიკა|სიყვარული|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: ქალი, კაცი, ღიადან საშუალომდე კანის ტონალობა, კანის მუქი ტონალობა
	👩🏽‍❤️‍👨🏻;წყვილი და გული: ქალი, კაცი, კანის საშუალო ტონალობა, კანის ღია ტონალობა;გული|კანის საშუალო ტონალობა|კანის ღია ტონალობა|კაცი|რომანტიკა|სიყვარული|ქალი|წყვილი|წყვილი და გული|წყვილი და გული: ქალი, კაცი, კანის საშუალო ტონალობა, კანის ღია ტონალობა
	👩🏽‍❤️‍👨🏼;წყვილი და გული: ქალი, კაცი, კანის საშუალო ტონალობა, ღიადან საშუალომდე კანის ტონალობა;გული|კანის საშუალო ტონალობა|კაცი|რომანტიკა|სიყვარული|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყვილი|წყვილი და გული|წყვილი და გული: ქალი, კაცი, კანის საშუალო ტონალობა, ღიადან საშუალომდე კანის ტონალობა
	👩🏽‍❤️‍👨🏽;წყვილი და გული: ქალი, კაცი, კანის საშუალო ტონალობა;გული|კანის საშუალო ტონალობა|კაცი|რომანტიკა|სიყვარული|ქალი|წყვილი|წყვილი და გული|წყვილი და გული: ქალი, კაცი, კანის საშუალო ტონალობა
	👩🏽‍❤️‍👨🏾;წყვილი და გული: ქალი, კაცი, კანის საშუალო ტონალობა, საშუალოდან მუქამდე კანის ტონალობა;გული|კანის საშუალო ტონალობა|კაცი|რომანტიკა|საშუალოდან მუქამდე კანის ტონალობა|სიყვარული|ქალი|წყვილი|წყვილი და გული|წყვილი და გული: ქალი, კაცი, კანის საშუალო ტონალობა, საშუალოდან მუქამდე კანის ტონალობა
