# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;režeči obraz;obraz|režanje|režeči obraz
	👨🏽‍❤️‍👨🏿;par s srčkom: moški, moški, srednji ten kože in temen ten kože;ljubezen|moški|par|par s srčkom|par s srčkom: moški, moški, srednji ten kože in temen ten kože|romanca|srce|srednji ten kože|temen ten kože
	👨🏾‍❤️‍👨🏻;par s srčkom: moški, moški, srednje temen ten kože in svetel ten kože;ljubezen|moški|par|par s srčkom|par s srčkom: moški, moški, srednje temen ten kože in svetel ten kože|romanca|srce|srednje temen ten kože|svetel ten kože
	👨🏾‍❤️‍👨🏼;par s srčkom: moški, moški, srednje temen ten kože in srednje svetel ten kože;ljubezen|moški|par|par s srčkom|par s srčkom: moški, moški, srednje temen ten kože in srednje svetel ten kože|romanca|srce|srednje svetel ten kože|srednje temen ten kože
	👨🏾‍❤️‍👨🏽;par s srčkom: moški, moški, srednje temen ten kože in srednji ten kože;ljubezen|moški|par|par s srčkom|par s srčkom: moški, moški, srednje temen ten kože in srednji ten kože|romanca|srce|srednje temen ten kože|srednji ten kože
	👨🏾‍❤️‍👨🏾;par s srčkom: moški, moški in srednje temen ten kože;ljubezen|moški|par|par s srčkom|par s srčkom: moški, moški in srednje temen ten kože|romanca|srce|srednje temen ten kože
	👨🏾‍❤️‍👨🏿;par s srčkom: moški, moški, srednje temen ten kože in temen ten kože;ljubezen|moški|par|par s srčkom|par s srčkom: moški, moški, srednje temen ten kože in temen ten kože|romanca|srce|srednje temen ten kože|temen ten kože
	👨🏿‍❤️‍👨🏻;par s srčkom: moški, moški, temen ten kože in svetel ten kože;ljubezen|moški|par|par s srčkom|par s srčkom: moški, moški, temen ten kože in svetel ten kože|romanca|srce|svetel ten kože|temen ten kože
	👨🏿‍❤️‍👨🏼;par s srčkom: moški, moški, temen ten kože in srednje svetel ten kože;ljubezen|moški|par|par s srčkom|par s srčkom: moški, moški, temen ten kože in srednje svetel ten kože|romanca|srce|srednje svetel ten kože|temen ten kože
	👨🏿‍❤️‍👨🏽;par s srčkom: moški, moški, temen ten kože in srednji ten kože;ljubezen|moški|par|par s srčkom|par s srčkom: moški, moški, temen ten kože in srednji ten kože|romanca|srce|srednji ten kože|temen ten kože
	👨🏿‍❤️‍👨🏾;par s srčkom: moški, moški, temen ten kože in srednje temen ten kože;ljubezen|moški|par|par s srčkom|par s srčkom: moški, moški, temen ten kože in srednje temen ten kože|romanca|srce|srednje temen ten kože|temen ten kože
	👨🏿‍❤️‍👨🏿;par s srčkom: moški, moški in temen ten kože;ljubezen|moški|par|par s srčkom|par s srčkom: moški, moški in temen ten kože|romanca|srce|temen ten kože
👩‍❤️‍👩;par s srčkom: ženska in ženska;ljubezen|par|par s srčkom|par s srčkom: ženska in ženska|romanca|srce|ženska
	👩🏻‍❤️‍👩🏻;par s srčkom: ženska, ženska in svetel ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska in svetel ten kože|romanca|srce|svetel ten kože|ženska
	👩🏻‍❤️‍👩🏼;par s srčkom: ženska, ženska, svetel ten kože in srednje svetel ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, svetel ten kože in srednje svetel ten kože|romanca|srce|srednje svetel ten kože|svetel ten kože|ženska
	👩🏻‍❤️‍👩🏽;par s srčkom: ženska, ženska, svetel ten kože in srednji ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, svetel ten kože in srednji ten kože|romanca|srce|srednji ten kože|svetel ten kože|ženska
	👩🏻‍❤️‍👩🏾;par s srčkom: ženska, ženska, svetel ten kože in srednje temen ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, svetel ten kože in srednje temen ten kože|romanca|srce|srednje temen ten kože|svetel ten kože|ženska
	👩🏻‍❤️‍👩🏿;par s srčkom: ženska, ženska, svetel ten kože in temen ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, svetel ten kože in temen ten kože|romanca|srce|svetel ten kože|temen ten kože|ženska
	👩🏼‍❤️‍👩🏻;par s srčkom: ženska, ženska, srednje svetel ten kože in svetel ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, srednje svetel ten kože in svetel ten kože|romanca|srce|srednje svetel ten kože|svetel ten kože|ženska
	👩🏼‍❤️‍👩🏼;par s srčkom: ženska, ženska in srednje svetel ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska in srednje svetel ten kože|romanca|srce|srednje svetel ten kože|ženska
	👩🏼‍❤️‍👩🏽;par s srčkom: ženska, ženska, srednje svetel ten kože in srednji ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, srednje svetel ten kože in srednji ten kože|romanca|srce|srednje svetel ten kože|srednji ten kože|ženska
	👩🏼‍❤️‍👩🏾;par s srčkom: ženska, ženska, srednje svetel ten kože in srednje temen ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, srednje svetel ten kože in srednje temen ten kože|romanca|srce|srednje svetel ten kože|srednje temen ten kože|ženska
	👩🏼‍❤️‍👩🏿;par s srčkom: ženska, ženska, srednje svetel ten kože in temen ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, srednje svetel ten kože in temen ten kože|romanca|srce|srednje svetel ten kože|temen ten kože|ženska
	👩🏽‍❤️‍👩🏻;par s srčkom: ženska, ženska, srednji ten kože in svetel ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, srednji ten kože in svetel ten kože|romanca|srce|srednji ten kože|svetel ten kože|ženska
	👩🏽‍❤️‍👩🏼;par s srčkom: ženska, ženska, srednji ten kože in srednje svetel ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, srednji ten kože in srednje svetel ten kože|romanca|srce|srednje svetel ten kože|srednji ten kože|ženska
	👩🏽‍❤️‍👩🏽;par s srčkom: ženska, ženska in srednji ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska in srednji ten kože|romanca|srce|srednji ten kože|ženska
	👩🏽‍❤️‍👩🏾;par s srčkom: ženska, ženska, srednji ten kože in srednje temen ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, srednji ten kože in srednje temen ten kože|romanca|srce|srednje temen ten kože|srednji ten kože|ženska
	👩🏽‍❤️‍👩🏿;par s srčkom: ženska, ženska, srednji ten kože in temen ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, srednji ten kože in temen ten kože|romanca|srce|srednji ten kože|temen ten kože|ženska
	👩🏾‍❤️‍👩🏻;par s srčkom: ženska, ženska, srednje temen ten kože in svetel ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, srednje temen ten kože in svetel ten kože|romanca|srce|srednje temen ten kože|svetel ten kože|ženska
	👩🏾‍❤️‍👩🏼;par s srčkom: ženska, ženska, srednje temen ten kože in srednje svetel ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, srednje temen ten kože in srednje svetel ten kože|romanca|srce|srednje svetel ten kože|srednje temen ten kože|ženska
	👩🏾‍❤️‍👩🏽;par s srčkom: ženska, ženska, srednje temen ten kože in srednji ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, srednje temen ten kože in srednji ten kože|romanca|srce|srednje temen ten kože|srednji ten kože|ženska
	👩🏾‍❤️‍👩🏾;par s srčkom: ženska, ženska in srednje temen ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska in srednje temen ten kože|romanca|srce|srednje temen ten kože|ženska
	👩🏾‍❤️‍👩🏿;par s srčkom: ženska, ženska, srednje temen ten kože in temen ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, srednje temen ten kože in temen ten kože|romanca|srce|srednje temen ten kože|temen ten kože|ženska
	👩🏿‍❤️‍👩🏻;par s srčkom: ženska, ženska, temen ten kože in svetel ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, temen ten kože in svetel ten kože|romanca|srce|svetel ten kože|temen ten kože|ženska
	👩🏿‍❤️‍👩🏼;par s srčkom: ženska, ženska, temen ten kože in srednje svetel ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, temen ten kože in srednje svetel ten kože|romanca|srce|srednje svetel ten kože|temen ten kože|ženska
	👩🏿‍❤️‍👩🏽;par s srčkom: ženska, ženska, temen ten kože in srednji ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, temen ten kože in srednji ten kože|romanca|srce|srednji ten kože|temen ten kože|ženska
	👩🏿‍❤️‍👩🏾;par s srčkom: ženska, ženska, temen ten kože in srednje temen ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska, temen ten kože in srednje temen ten kože|romanca|srce|srednje temen ten kože|temen ten kože|ženska
	👩🏿‍❤️‍👩🏿;par s srčkom: ženska, ženska in temen ten kože;ljubezen|par|par s srčkom|par s srčkom: ženska, ženska in temen ten kože|romanca|srce|temen ten kože|ženska
👨‍👩‍👦;družina: moški, ženska in fant;družina|družina: moški, ženska in fant|fant|mati|moški|oče|otrok|ženska
👨‍👩‍👧;družina: moški, ženska in dekle;dekle|družina|družina: moški, ženska in dekle|mati|moški|oče|otrok|ženska
👨‍👩‍👧‍👦;družina: moški, ženska, dekle in fant;dekle|družina|družina: moški, ženska, dekle in fant|fant|mati|moški|oče|otrok|ženska
👨‍👩‍👦‍👦;družina: moški, ženska, fant in fant;družina|družina: moški, ženska, fant in fant|fant|mati|moški|oče|otrok|ženska
👨‍👩‍👧‍👧;družina: moški, ženska, dekle in dekle;dekle|družina|družina: moški, ženska, dekle in dekle|mati|moški|oče|otrok|ženska
👨‍👨‍👦;družina: moški, moški in fant;družina|družina: moški, moški in fant|fant|mati|moški|oče|otrok
👨‍👨‍👧;družina: moški, moški in dekle;dekle|družina|družina: moški, moški in dekle|mati|moški|oče|otrok
👨‍👨‍👧‍👦;družina: moški, moški, dekle in fant;dekle|družina|družina: moški, moški, dekle in fant|fant|mati|moški|oče|otrok
👨‍👨‍👦‍👦;družina: moški, moški, fant in fant;družina|družina: moški, moški, fant in fant|fant|mati|moški|oče|otrok
👨‍👨‍👧‍👧;družina: moški, moški, dekle in dekle;dekle|družina|družina: moški, moški, dekle in dekle|mati|moški|oče|otrok
👩‍👩‍👦;družina: ženska, ženska in fant;družina|družina: ženska, ženska in fant|fant|mati|oče|otrok|ženska
👩‍👩‍👧;družina: ženska, ženska in dekle;dekle|družina|družina: ženska, ženska in dekle|mati|oče|otrok|ženska
👩‍👩‍👧‍👦;družina: ženska, ženska, dekle in fant;dekle|družina|družina: ženska, ženska, dekle in fant|fant|mati|oče|otrok|ženska
👩‍👩‍👦‍👦;družina: ženska, ženska, fant in fant;družina|družina: ženska, ženska, fant in fant|fant|mati|oče|otrok|ženska
👩‍👩‍👧‍👧;družina: ženska, ženska, dekle in dekle;dekle|družina|družina: ženska, ženska, dekle in dekle|mati|oče|otrok|ženska
👨‍👦;družina: moški in fant;družina|družina: moški in fant|fant|mati|moški|oče|otrok
👨‍👦‍👦;družina: moški, fant in fant;družina|družina: moški, fant in fant|fant|mati|moški|oče|otrok
👨‍👧;družina: moški in dekle;dekle|družina|družina: moški in dekle|mati|moški|oče|otrok
👨‍👧‍👦;družina: moški, dekle in fant;dekle|družina|družina: moški, dekle in fant|fant|mati|moški|oče|otrok
👨‍👧‍👧;družina: moški, dekle in dekle;dekle|družina|družina: moški, dekle in dekle|mati|moški|oče|otrok
👩‍👦;družina: ženska in fant;družina|družina: ženska in fant|fant|mati|oče|otrok|ženska
👩‍👦‍👦;družina: ženska, fant in fant;družina|družina: ženska, fant in fant|fant|mati|oče|otrok|ženska
👩‍👧;družina: ženska in dekle;dekle|družina|družina: ženska in dekle|mati|oče|otrok|ženska
👩‍👧‍👦;družina: ženska, dekle in fant;dekle|družina|družina: ženska, dekle in fant|fant|mati|oče|otrok|ženska
👩‍👧‍👧;družina: ženska, dekle in dekle;dekle|družina|družina: ženska, dekle in dekle|mati|oče|otrok|ženska
🗣️;govoreča glava;glava|govoreča glava|govoriti|govorjenje|obraz|silhueta
👤;silhueta doprsja;doprsje|silhueta|silhueta doprsja
👥;silhueti doprsja;doprsje|silhueta|silhueti doprsja
🫂;osebi, ki se objemata;hvala|ki se objemata|nasvidenje|objem|osebi|osebi, ki se objemata|živijo
👪;družina;družina|mati|oče|otrok
🧑‍🧑‍🧒;družina: odrasla oseba, odrasla oseba, otrok;družina: odrasla oseba|družina: odrasla oseba, odrasla oseba, otrok|odrasla oseba|otrok
🧑‍🧑‍🧒‍🧒;družina: odrasla oseba, odrasla oseba, otrok, otrok;družina: odrasla oseba|družina: odrasla oseba, odrasla oseba, otrok, otrok|odrasla oseba|otrok
🧑‍🧒;družina: odrasla oseba, otrok;družina: odrasla oseba|družina: odrasla oseba, otrok|otrok
🧑‍🧒‍🧒;družina: odrasla oseba, otrok, otrok;družina: odrasla oseba|družina: odrasla oseba, otrok, otrok|otrok
👣;stopinje;oblačila|odtis|stopinja|stopinje|telo

[animals_nature]
🐵;opičji obraz;obraz|opica|opičji obraz
🐒;opica;opica
🦍;gorila;gorila|žival
🦧;orangutan;opica|orangutan
🐶;pasji obraz;domači ljubljenček|obraz|pasji obraz|pes
🐕;pes;domači ljubljenček|pes
🦮;pes vodnik;pes vodnik|slepi|vodnik
🐕‍🦺;službeni pes;policijski|pomoč|reševalni|službeni pes|vojaški
🐩;pudelj;pes|pudelj
🐺;volk;obraz|volk
🦊;lisica;lisica|obraz
🦝;rakun;radoveden|rakun|zvijačen
🐱;mačji obraz;domači ljubljenček|mačji obraz|mačka|obraz
🐈;mačka;domači ljubljenček|mačka
🐈‍⬛;črna mačka;črna|mačka|smola
🦁;lev;lev|obraz|zodiak
🐯;tigrov obraz;obraz|tiger|tigrov obraz
🐅;tiger;tiger
🐆;leopard;leopard
🐴;konjev obraz;konj|konjev obraz|obraz
🫎;los;los|rogovje|sesalec|žival
🫏;osel;mula|osel|osliček|sesalec|trmast|žival
🐎;konj;dirkanje|konj|konjske dirke
🦄;samorog;obraz|samorog
🦓;zebra;zebra
🦌;jelen;jelen|žival
🦬;bizon;bivol|bizon|čreda|zober
🐮;kravji obraz;krava|kravji obraz|obraz
🐂;vol;bik|vol|zodiak
🐃;vodni bivol;bivol|voda|vodni bivol
🐄;krava;krava
🐷;prašičji obraz;obraz|prašič|prašičji obraz
🐖;prašič;prašič|svinja
🐗;divja svinja;divja svinja|divji|prašič
🐽;prašičji rilec;obraz|prašič|prašičji rilec|rilec
🐏;oven;ovca|oven|zodiak
🐑;ovca;ovca|ovčka
🐐;koza;koza|kozorog|zodiak
🐪;kamela;dromedar|grba|kamela
🐫;dvogrba kamela;dvogrba kamela|dvogrbo|grba|kamela
🦙;lama;alpaka|gvanako|lama|vikunja|volna
🦒;žirafa;žirafa
🐘;slon;slon
🦣;mamut;izumrtje|mamut|okel|velik|volnatost
🦏;nosorog;nosorog|žival
🦛;povodni konj;hipo|povodni konj
🐭;mišji obraz;miš|mišji obraz|obraz
🐁;miš;miš|miška
🐀;podgana;podgana
🐹;hrček;domači ljubljenček|hrček|obraz
🐰;zajčji obraz;domači ljubljenček|obraz|zajček|zajčji obraz|zajec
🐇;zajec;domači ljubljenček|zajček|zajec
🐿️;progasta veverica;progasta veverica|veverica
🦫;bober;bober|jez
🦔;jež;jež
🦇;netopir;netopir|žival
🐻;medved;medved|obraz
🐻‍❄️;severni medved;beli|medved|polarni|severni medved
🐨;koala;koala|medved
🐼;panda;obraz|panda
🦥;lenivec;len|lenivec|počasen|zaspan
🦦;vidra;igriva|lovi ribe|vidra
🦨;skunk;skunk|smrdi
🦘;kenguru;Avstralija|kenguru|mlad kenguru|skok|vrečar
🦡;jazbec;jazbec|medarski jazbec|nadloga
🐾;odtisi tac;odtis|odtisi tac|šapa|tace
🦃;puran;puran
🐔;kokoš;kokoš|kokoška|kura
🐓;petelin;petelin
🐣;pišče, ki se izvali;ki se izvali|mladič|piščanček|pišče|pišče, ki se izvali|valjenje
🐤;piščanček;mladič|piščanček|valjenje
🐥;piščanček, gleda naprej;gleda naprej|mladič|piščanček|piščanček, gleda naprej
🐦;ptica;ptič|ptica|ptiček
🐧;pingvin;pingvin
🕊️;golobica;golobica|leteti|mir|ptič
🦅;orel;orel|ptica
🦆;raca;ptica|raca
🦢;labod;grdi raček|labod|mlad labod|ptica
🦉;sova;pamet|ptica|sova
🦤;dodo;dodo|izumrtje|Mavricij|velik
🪶;pero;lahek|letenje|perje|pero|ptica
🦩;flamingo;flamingo|nastopaški|tropski|vpadljiv
🦚;pav;bahava|pav|pavica|ponosna|ptica
🦜;papagaj;govor|papagaj|pirat|ptič
🪽;krilo;angelsko|krilo|letalstvo|letenje|mitologija|ptica
🐦‍⬛;kos;črna|kos|krokar|poljska vrana|ptica|vrana
🪿;gos;gaganje|gos|neumno|perutnica|ptica
🐦‍🔥;feniks;fantazija|feniks|ognjeni ptič|reinkarnacija|vnovično rojstvo
🐸;žaba;obraz|žaba
🐊;krokodil;krokodil
🐢;želva;želva
🦎;kuščar;kuščar|plazilec
🐍;kača;kača|kačenosec|prinašalec|zodiak
🐲;zmajski obraz;obraz|pravljica|zmaj|zmajski obraz
🐉;zmaj;pravljica|zmaj
🦕;zavropod;brahiozaver|brontozaver|diplodok|zavropod
🦖;tiranozaver;tiranozaver
🐳;kit, ki brizga vodo;brizganje|ki brizga vodo|kit|kit, ki brizga vodo|obraz
🐋;kit;kit
🐬;delfin;delfin|fliper
🦭;tjulenj;morski lev|tjulenj
🐟;riba;riba|ribi|zodiak
🐠;tropska riba;riba|tropska riba|tropsko
🐡;riba napihovalka;riba|riba napihovalka|tropsko
🦈;morski pes;morski pes|riba
🐙;hobotnica;hobotnica
🐚;spiralna školjka;školjka|spiralna školjka|spiralno
🪸;korala;greben|korala|ocean
🪼;meduza;au|meduza|morska|nevretenčar|opeklina|želo
🐌;polž;polž
🦋;metulj;insekt|lep|metulj
🐛;žuželka;žuželka
🐜;mravlja;mravlja|žuželka
🐝;čebela;čebela|žuželka
🪲;hrošč;hrošč|insekt|žuželka
🐞;pikapolonica;hrošč|pikapolonica|žuželka
🦗;muren;muren
🪳;ščurek;ščurek|žuželka
🕷️;pajek;pajek|žuželka
🕸️;pajkova mreža;mreža|pajek|pajkova mreža
🦂;škorpijon;škorpijon|zodiak
🦟;komar;bolezen|insekt|komar|malarija|mrzlica|virus
🪰;muha;bolezen|domača muha|gnitje|ličinka|muha|muha cece|obad
🪱;črv;črv|deževnik|kolobarnik|zajedavec
🦠;mikrob;ameba|bakterija|mikrob|virus
💐;šopek;rastlina|romanca|roža|šopek
🌸;češnjev cvet;češnja|češnjev cvet|cvet|rastlina|roža
💮;bela cvetlica;bela cvetlica|roža
🪷;lotos;budizem|čistost|cvet|hinduizem|Indija|lotos|Vietnam
🏵️;rozeta;rastlina|rozeta
🌹;vrtnica;rastlina|roža|vrtnica
🥀;ovenela roža;ovenela|roža
🌺;hibiskus;hibiskus|rastlina|roža
🌻;sončnica;rastlina|roža|sonce|sončnica
🌼;cvet;cvet|rastlina|roža
🌷;tulipan;rastlina|roža|tulipan
🪻;hijacinta;bob|hijacinta|odolina|roža|sivka|volčji bob
🌱;sadika;mlado|rastlina|sadika
🪴;lončnica;dolgčas|gojenje|hiša|lončnica|neuporabno|rasti|rastlina
🌲;zimzeleno drevo;drevo|rastlina|zimzeleno drevo
🌳;listnato drevo;drevo|listnato|odpadanje|rastlina
🌴;palma;drevo|palma|rastlina
🌵;kaktus;kaktus|rastlina
🌾;snop riža;klas|rastlina|riž|snop riža
🌿;zelišče;list|rastlina|zelišče
☘️;deteljica;deteljica|rastlina
🍀;štiriperesna deteljica;4|detelja|list|rastlina|štiri|štiriperesna deteljica
🍁;javorov list;javor|javorov list|list|padanje|rastlina
🍂;padlo listje;list|padanje|padlo listje|rastlina
🍃;listje, ki se vrtinči v vetru;ki se vrtinči v vetru|list|listje|listje, ki se vrtinči v vetru|pihati|rastlina|veter|vrtinčiti se
🪹;prazno gnezdo;gnezdenje|prazno gnezdo
🪺;gnezdo z jajcema;gnezdenje|gnezdo z jajcema
🍄;goba;goba|rastlina

[food_drink]
🍇;grozdje;grozd|grozdje|rastlina|sadje
🍈;melona;melona|rastlina|sadje
🍉;lubenica;lubenica|rastlina|sadje
🍊;mandarina;mandarina|pomaranča|rastlina|sadje
🍋;limona;agrum|limona|rastlina|sadje
🍋‍🟩;limeta;agrum|citrus|limeta|sadež|tropski
🍌;banana;banana|rastlina|sadje
🍍;ananas;ananas|rastlina|sadje
🥭;mango;mango|sadež|tropski
🍎;rdeče jabolko;jabolko|rastlina|rdeče|sadje
🍏;zeleno jabolko;jabolko|rastlina|sadje|zeleno
🍐;hruška;hruška|rastlina|sadje
🍑;breskev;breskev|rastlina|sadje
🍒;češnje;češnja|češnje|rastlina|sadje
🍓;jagoda;jagoda|rastina|sadje
🫐;borovnice;borovnica|borovnice|črnica|jagoda|modra
🥝;kivi;hrana|kivi|sadje
🍅;paradižnik;paradižnik|rastlina|zelenjava
🫒;oliva;hrana|oliva
🥥;kokos;kokos
🥑;avokado;avokado|hrana|sadje
🍆;jajčevec;jajčevec|rastlina|zelenjava
🥔;krompir;hrana|krompir|zelenjava
🥕;korenje;hrana|korenje|zelenjava
🌽;koruzni storž;klas|koruza|koruzni storž|rastlina
🌶️;feferon;feferon|paprika|pekoče
🫑;paprika;babura|capsicum|paprika|zelenjava
🥒;kumara;hrana|kumara|zelenjava
🥬;listnato zelena;kitajsko zelje|listnato zelena|listni ohrovt|solata|zelje
🥦;brokoli;brokoli
🧄;česen;aromatično|česen|dišavnica|začimba
🧅;čebula;aromatično|čebula|solzenje
🥜;arašidi;arašid|arašidi|hrana|oreški|zelenjava
🫘;fižol;fižol|stročnica|živilo
🌰;kostanj;kostanj|rastlina
🫚;korenina ingverja;ingverjevo|korenina ingverja|pivo|začimba
🫛;strok graha;edamame|grah|seme|stročnice|strok|strok graha|zelenjava
🍄‍🟫;šampinjon;goba|hrana|narava|šampinjon|zelenjava
🍞;kruh;kruh|štruca
🥐;rogljič;francoski|hrana|pecivo|rogljič
🥖;bageta;bageta|francoska|hrana|kruh
🫓;indijski kruh;arepa|indijski kruh|lavaš|naan|pita
🥨;presta;presta
🥯;bagel;bagel|namaz|pekarna
🥞;palačinke;hrana|palačinke
🧇;vafelj;oblat|pecivo|vafelj
🧀;kos sira;kos sira|sir
🍖;meso s kostjo;kost|meso|meso s kostjo
🍗;piščančje bedro;bedro|kost|perutnina|piščančje bedro|piščanec
🥩;kos mesa;kos mesa
🥓;slanina;hrana|meso|slanina
🍔;hamburger;hamburger
🍟;krompirček;krompirček|ocvrt krompirček|pomfrit
🍕;pica;pica|rezina|sir
🌭;hot dog;hot dog|hrenovka
🥪;sendvič;sendvič
🌮;taco;mehiški prigrizek|taco
🌯;burito;burito|mehiški prigrizek
🫔;tamale;mehiška|tamale|zavitek
🥙;kebab;falafel|gyros|hrana|kebab|nadev
🧆;falafel;čičerika|falafel|kroglica
🥚;jajce;hrana|jajca|jajce
🍳;kuhanje;cvrtje|jajce|kuhanje|ponev
🥘;kozica s hrano;hrana|kozica|kozica s hrano|paella|ponev
🍲;skodelica hrane;obara|skodelica|skodelica hrane
🫕;fondi;čokolada|fondi|lonček|sir|stopljena|švicarski
🥣;skodelica z žlico;skodelica z žlico
🥗;zelena solata;hrana|solata|zelena
🍿;pokovka;kokice|pokovka
🧈;maslo;maslo|mlečni izdelek|mlečno
🧂;sol;sol|solnica|začimba
🥫;konzervirana hrana;konzervirana hrana
🍱;posoda za malico bento;bento|japonsko|malica|posoda|posoda za malico bento
🍘;rižev kreker;kreker|riž|rižev kreker
🍙;riževa kroglica;japonsko|kroglica|riž|riževa kroglica
🍚;kuhan riž;kuhan riž|kuhano|riž
🍛;riž s karijem;kari|riž|riž s karijem
🍜;skleda rezancev;ramen|rezanci|skleda|skleda rezancev|vrelo
🍝;špageti;špageti|testenine
🍠;pečeni sladki krompir;krompir|pečeni sladki krompir|pečeno|sladko
🍢;oden;kebab|morska hrana|oden|paličica|špila
🍣;suši;suši
🍤;ocvrt rakec;kozica|ocvrt rakec|ocvrto|rakec|tempura
🍥;ribji kolač s spiralo;kolač|pecivo|riba|ribji kolač s spiralo|spirala
🥮;lunina torta;festival|jesen|lunina torta|yuebing
🍡;dango;dango|japonsko|paličica|posladek|sladko|špila
🥟;cmok;cmok
🥠;piškotek sreče;piškotek sreče
🥡;embalaža za hrano;embalaža za hrano|kartonska embalaža za hrano
🦀;rakovica;rak|rakovica|zodiak
🦞;jastog;jastog|klešče|kremna juha|morska hrana
🦐;morski rakec;hrana|kozica|morski rakec|rak|škamp
🦑;ligenj;hrana|ligenj|mehkužec
🦪;ostriga;biser|ostriga|potapljanje|školjka
🍦;rahel sladoled;krema|led|mehko|posladek|rahel sladoled|sladko|sladoled
🍧;nastrgan led;led|nastrgan led|nastrgano|posladek|sladko
🍨;sladoled;krema|led|posladek|sladko|sladoled
🍩;krof;krof|posladek|sladko
🍪;piškot;piškot|posladek|sladko
🎂;rojstnodnevna torta;pecivo|posladek|rojstni dan|rojstnodnevna torta|sladko|slavje|torta
🍰;krhek kolač;krhek kolač|pecivo|posladek|rezina|sladko|torta
🧁;kolaček;kolaček|pekarna|posladek
🥧;pita;pita
🍫;tablica čokolade;čokolada|posladek|sladko|tablica|tablica čokolade
🍬;bonbon;bonbon|posladek|sladko
🍭;lizika;lizika|posladek|sladkarija|sladko
🍮;vanilijev puding;posladek|puding|sladko|vanilijev puding
🍯;vrč medu;kozarec za med|lonček|med|sladko|vrč medu
🍼;steklenička;dojenček|mleko|piti|steklenica|steklenička
🥛;kozarec mleka;kozarec|kozarec mleka|mleko|pijača
☕;vroč napitek;čaj|kava|napitek|piti|vrelo|vroč napitek|vroče
🫖;čajnik;čaj|čajnik|pijača|vrč
🍵;čajna skodelica brez ročaja;čaj|čajna skodelica brez ročaja|napitek|piti|skodelica|skodelica čaja
🍶;sake;bar|napitek|pijača|sake|skodelica|steklenica
🍾;odpiranje penine;bar|odleteti|odpiranje penine|pijača|steklenica|zamašek
🍷;vinski kozarec;bar|napitek|pijača|steklenica|vino|vinski kozarec
🍸;kozarec za koktajl;bar|koktajl|kozarec|kozarec za koktajl|pijača
🍹;tropska pijača;bar|pijača|tropska pijača|tropsko
🍺;vrček za pivo;bar|pijača|pivo|vrček|vrček za pivo
🍻;nazdravljanje z vrčkoma za pivo;bar|nazdravljanje z vrčkoma za pivo|pijača|pivo|trkanje|vrček
🥂;nazdravljanje;nazdravljanje|pijača|praznovanje|trkanje
🥃;kozarec žgane pijače;kozarec|kozarec žgane pijače|merica|viski|žgane pijače
🫗;zlivanje tekočine;kozarec|pijača|polivanje|prazen|zlivanje tekočine
🥤;kozarec s slamico;kozarec s slamico
🧋;čaj s kroglicami;biser|čaj|čaj s kroglicami|mleko|pena
🧃;tetrapak s pijačo;tetrapak s pijačo|tetrapak s sokom
🧉;mate čaj;mate čaj|napitek|pijača
🧊;ledena kocka;hladno|ledena kocka|ledeno|ohladitev
🥢;jedilne paličice;jedilne paličice
🍽️;vilice, nož in krožnik;krožnik|kuhanje|nož|nož in krožnik|vilice|vilice, nož in krožnik
🍴;vilice in nož;kuhanje|nož|vilice|vilice in nož
🥄;žlica;pribor|žlica
🔪;kuhinjski nož;hocho|kuhanje|kuhinjski nož|nož|orodje|orožje
🫙;kozarec za vlaganje;kozarec za vlaganje|omaka|posoda|prazna|shramba|začimba
🏺;amfora;amfora|kuhanje|orodje|orožje|pijača|vodnar|vrč|zodiak

[travel_places]
🌍;globus z Evropo in Afriko;Afrika|Evropa|globus|globus z Evropo in Afriko|svet|zemlja
