# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;πλατύ χαμόγελο;πλατύ χαμόγελο|πρόσωπο|σαρκασμός
💳;πιστωτική κάρτα;κάρτα|πιστωτική|χρήματα
🧾;απόδειξη;αποδεικτικά στοιχεία|αποδείξεις|απόδειξη|λογιστικά|λογιστική
💹;ανοδικό γράφημα με γιεν;ανοδικό γράφημα με γιεν|άνοδος|αύξηση|γιεν|γράφημα|τάση
✉️;φάκελος;e-mail|email|φάκελος
📧;email;email|γράμμα|επιστολή
📨;εισερχόμενος φάκελος;e-mail|email|γράμμα|εισερχόμενα|εισερχόμενος φάκελος|επιστολή|λήψη|φάκελος
📩;φάκελος με βέλος;e-mail|email|βέλος|εξερχόμενα|φάκελος|φάκελος με βέλος
📤;δίσκος εξερχομένων;αλληλογραφία|αποστολή|δίσκος|δίσκος εξερχομένων|επιστολή|κουτί
📥;δίσκος εισερχομένων;γράμμα|δίσκος|δίσκος εισερχομένων|εισερχόμενο|επιστολή|κουτί|λαμβάνω
📦;πακέτο;κουτί|πακέτο
📫;κλειστό γραμματοκιβώτιο με σηκωμένη σημαία;αλληλογραφία|γραμματοκιβώτιο|κλειστό|κλειστό γραμματοκιβώτιο με σηκωμένη σημαία
📪;κλειστό γραμματοκιβώτιο με χαμηλωμένη σημαία;γραμματοκιβώτιο|επιστολή|κλειστό|κλειστό γραμματοκιβώτιο με χαμηλωμένη σημαία|χαμηλωμένη σημαία
📬;ανοικτό γραμματοκιβώτιο με σηκωμένη σημαία;ανοικτό γραμματοκιβώτιο με σηκωμένη σημαία|ανοιχτό|γραμματοκιβώτιο|επιστολή
📭;ανοικτό γραμματοκιβώτιο με χαμηλωμένη σημαία;ανοικτό γραμματοκιβώτιο με χαμηλωμένη σημαία|ανοιχτό|γραμματοκιβώτιο|επιστολή|χαμηλωμένη σημαία
📮;γραμματοκιβώτιο ταχυδρομείου;γραμματοκιβώτιο|γραμματοκιβώτιο ταχυδρομείου|επιστολή
🗳️;κάλπη με ψηφοδέλτιο;κάλπη|κάλπη με ψηφοδέλτιο|κουτί
✏️;μολύβι;μολύβι
✒️;μαύρη πένα;μαύρη πένα|πένα
🖋️;μελανοφόρος;μελανοφόρος|πένα
🖊️;στιλό;στιλό|στιλό διαρκείας
🖌️;πινέλο;ζωγραφική|πινέλο
🖍️;κηρομπογιά;κηρομπογιά
📝;σημείωμα;μολύβι|σημείωμα
💼;χαρτοφύλακας;χαρτοφύλακας
📁;φάκελος αρχείων;αρχείο|φάκελος|φάκελος αρχείων
📂;ανοικτός φάκελος αρχείων;ανοικτός φάκελος αρχείων|ανοιχτός|αρχείο|φάκελος
🗂️;διαχωριστικά ευρετηρίου καρτών;διαχωριστικά|διαχωριστικά ευρετηρίου καρτών|ευρετήριο|κάρτα
📅;ημερολόγιο;ημερολόγιο|ημερομηνία
📆;ημερολόγιο με αποσπώμενες σελίδες;ημερολόγιο|ημερολόγιο με αποσπώμενες σελίδες
🗒️;σπιράλ σημειωματάριο;σημείωμα|σημειωματάριο|σπιράλ
🗓️;σπιράλ ημερολόγιο;ημερολόγιο|σημειωματάριο|σπιράλ
📇;ευρετήριο καρτών;ευρετήριο|ευρετήριο καρτών|κάρτα
📈;ανοδικό γράφημα;ανοδικό γράφημα|αύξηση|γράφημα|διάγραμμα|τάση
📉;καθοδικό γράφημα;γράφημα|διάγραμμα|καθοδικό γράφημα|μείωση|τάση
📊;γράφημα ράβδων;γραμμή|γράφημα|γράφημα ράβδων|διάγραμμα
📋;πρόχειρο;πρόχειρο
📌;πινέζα;πινέζα
📍;στρογγυλοκέφαλη πινέζα;πινέζα|στρογγυλοκέφαλη πινέζα
📎;συνδετήρας;συνδετήρας
🖇️;ενωμένοι συνδετήρες;ενωμένοι συνδετήρες|ενωμένος|συνδετήρας
📏;ίσιος χάρακας;ίσια άκρη|ίσιος χάρακας|χάρακας
📐;τριγωνικός χάρακας;σετ|τριγωνικός χάρακας|τρίγωνο|χάρακας
✂️;ψαλίδι;εργαλείο|κοπή|ψαλίδι
🗃️;καρτελοθήκη;αρχείο|κάρτα|καρτελοθήκη|κουτί
🗄️;αρχειοθήκη;αρχείο|αρχειοθήκη|συρτάρι
🗑️;καλάθι αχρήστων;κάδος αχρήστων|καλάθι αχρήστων
🔒;κλειδωμένο;κλειδωμένο|κλειστό
🔓;ξεκλείδωτο;ανοιχτό|κλειδαριά|κλείδωμα|ξεκλείδωτο
🔏;κλειδαριά με πένα;απόρρητο|κλειδαριά|κλειδαριά με πένα|μελάνι|πένα|στιλό
🔐;κλειδωμένο με κλειδί;ασφαλίζω|κλειδαριά|κλειδί|κλειδωμένο με κλειδί|κλειστό
🔑;κλειδί;κλειδί|κλειδώνω|κωδικός πρόσβασης
🗝️;παλιό κλειδί;κλειδί|κλειδώνω|παλιό|στοιχείο
🔨;σφυρί;εργαλείο|σφυρί
🪓;τσεκούρι;ξύλο|σχίζω|τεμαχίζω|τσεκουράκι|τσεκούρι
⛏️;αξίνα;αξίνα|εξόρυξη|εργαλείο
⚒️;σφυρί και αξίνα;αξίνα|εργαλείο|σφυρί|σφυρί και αξίνα
🛠️;σφυρί και γαλλικό κλειδί;εργαλείο|κλειδί|σφυρί|σφυρί και γαλλικό κλειδί
🗡️;στιλέτο;μαχαίρι|όπλο|στιλέτο
⚔️;σταυρωτά σπαθιά;όπλο|σπαθιά|σταυρωτά
💣;βόμβα;βόμβα|κόμικ
🪃;μπούμερανγκ;αυστραλία|μπούμερανγκ|συνέπεια
🏹;τόξο και βέλος;βέλος|εργαλείο|ζώδιο|όπλο|τόξο|τόξο και βέλος|τοξοβόλος|Τοξότης
🛡️;ασπίδα;ασπίδα|όπλο
🪚;πριόνι ξυλουργού;εργαλείο|ξυλεία|ξυλουργός|πριόνι|πριόνι ξυλουργού
🔧;γαλλικό κλειδί;γαλλικό κλειδί|εργαλείο
🪛;κατσαβίδι;βίδωμα|εργαλείο|κατσαβίδι
🔩;βίδα και παξιμάδι;βίδα|βίδα και παξιμάδι|εργαλείο|παξιμάδι
⚙️;γρανάζι;γρανάζι|εργαλείο|οδοντωτός τροχός
🗜️;σφιγκτήρας;εργαλείο|πρέσα|σφίγγω|σφιγκτήρας
⚖️;ζυγαριά;δικαιοσύνη|ζυγαριά|ζυγίζω|Ζυγός|ζώδιο|ισορροπία
🦯;μπαστούνι τυφλών;μπαστούνι τυφλών|προσβασιμότητα|τυφλός
🔗;κρίκος;κρίκος|σύνδεσμος
⛓️‍💥;σπασμένη αλυσίδα;αλυσίδα|ελευθερία|σπάζω|σπάσιμο|σπασμένη αλυσίδα|χειροπέδες
⛓️;αλυσίδες;αλυσίδα|αλυσίδες
🪝;γάντζος;γάντζος|καμπύλη|κύρτωμα|παγιδεύω|πιάνω|σημείο πώλησης
🧰;εργαλειοθήκη;εργαλείο|εργαλειοθήκη|μηχανικός|μπαούλο
🧲;μαγνήτης;έλξη|μαγνήτης|μαγνητικό|πέταλο
🪜;σκάλα;σκάλα|σκαλί|σκαλοπάτι|σκαρφαλώνω
⚗️;αποστακτήριο;αποστακτήριο|εργαλείο|χημεία
🧪;δοκιμαστικός σωλήνας;δοκιμαστικός σωλήνας|επιστήμη|εργαστήριο|πείραμα|χημεία|χημικός
🧫;τρυβλίο καλλιέργειας;βακτήρια|βιολογία|βιολόγος|εργαστήριο|καλλιέργεια|τρυβλίο καλλιέργειας
🧬;dna;dna|βιολόγος|γενετικός|γονίδια|εξέλιξη|ζωή
🔬;μικροσκόπιο;επιστήμη|εργαλείο|μικροσκόπιο
🔭;τηλεσκόπιο;επιστήμη|εργαλείο|τηλεσκόπιο
📡;δορυφορική κεραία;δορυφορική|κεραία|πιάτο
💉;σύριγγα;άρρωστος|βελόνα|γιατρός|ένεση|εργαλείο|σύριγγα|φάρμακο
🩸;σταγόνα αίματος;αιμοδοσία|έμμηνος ρήση|σταγόνα αίματος|φάρμακο
💊;χάπι;άρρωστος|γιατρός|φάρμακο|χάπι
🩹;αυτοκόλλητο χανζαπλάστ;αυτοκόλλητο χανζαπλάστ|χανζαπλάστ
🩼;πατερίτσα;αναπηρία|βοήθημα κίνησης|δεκανίκι|μπαστούνι|πατερίτσα|τραύμα
🩺;στηθοσκόπιο;γιατρός|καρδιά|στηθοσκόπιο|φάρμακο
🩻;ακτινογραφία;ακτινογραφία|γιατρός|ιατρικά|οστά|σκελετός
🚪;πόρτα;πόρτα
🛗;ασανσέρ;ανελκυστήρας|ασανσέρ|προσβασιμότητα
🪞;καθρέφτης;ανακλαστήρας|αντανάκλαση|καθρέφτης|κάτοπτρο
🪟;παράθυρο;άνοιγμα|διαφανές|θέα|καθαρός αέρας|παράθυρο|πλαίσιο
🛏️;κρεβάτι;κρεβάτι|ξενοδοχείο|ύπνος
🛋️;καναπές και φωτιστικό;καναπές|καναπές και φωτιστικό|ξενοδοχείο|φωτιστικό
🪑;καρέκλα;θέση|κάθισμα|κάθομαι|καρέκλα
🚽;τουαλέτα;λεκάνη|τουαλέτα
🪠;βεντούζα απόφραξης;αναρρόφηση|βεντούζα απόφραξης|τουαλέτα|υδραυλικός
🚿;ντους;νερό|ντους
🛁;μπανιέρα;μπανιέρα
🪤;ποντικοπαγίδα;δόλωμα|παγίδα|ποντικοπαγίδα|φάκα
🪒;ξυράφι;κοφτερό|ξυράφι|ξύρισμα
🧴;μπουκάλι λοσιόν;αντιηλιακό|ενυδατική|λοσιόν|μπουκάλι λοσιόν|σαμπουάν
🧷;παραμάνα;πάνα|πανκ ροκ|παραμάνα
🧹;σκούπα;καθάρισμα|μάγισσα|σκούπα|σκούπισμα
🧺;καλάθι;γεωργία|καλάθι|πικνικ|πλυντήριο
🧻;ρολό χαρτί;ρολό χαρτί|χαρτί κουζίνας|χαρτί υγείας
🪣;κουβάς;κάδος|κουβάς
🧼;σαπούνι;καθάρισμα|μπάνιο|πλάκα|σαπούνι|σαπουνίζω|σαπουνοθήκη
🫧;φυσαλίδες;καθάρισμα|ρέψιμο|σαπούνι|υποβρύχια|φυσαλίδες
🪥;οδοντόβουρτσα;βούρτσα|δόντια|καθαρό|μπάνιο|οδοντικός|οδοντόβουρτσα|υγιεινή
🧽;σφουγγάρι;απορροφητικό|καθάρισμα|πορώδης|σφουγγάρι
🧯;πυροσβεστήρας;κατασβήνω|πυροσβεστήρας|σβήνω|φωτιά
🛒;καρότσι αγορών;αγορές|καλάθι|καρότσι αγορών|ψώνια
🚬;τσιγάρο;κάπνισμα|τσιγάρο
⚰️;φέρετρο;θάνατος|φέρετρο
🪦;ταφόπλακα;κοιμητήριο|νεκροταφείο|ταφόπλακα|τάφος
⚱️;τεφροδόχος;θάνατος|κηδεία|στάχτες|τεφροδόχος
🧿;ματάκι;γούρι|κακό μάτι|ματάκι|φυλαχτό|χάντρα
🪬;χάμσα;Μαρία|Μύριαμ|προστασία|Φατίμα|φυλαχτό|χάμσα|χέρι
🗿;μοάι;άγαλμα|μοάι|πρόσωπο
🪧;πινακίδα;διαδηλώνω|διαμαρτυρία|πινακίδα
🪪;ταυτότητα;άδεια|ασφάλεια|δελτίο ταυτότητας|στοιχεία|ταυτότητα

[symbols]
🏧;σήμα ATM;ATM|αυτόματο|αυτοματοποιημένο|σήμα ATM|τράπεζα
🚮;σήμα ρίψης σκουπιδιών σε κάδο;απορρίμματα|κάδος απορριμμάτων|κάδος σκουπιδιών|σήμα ρίψης απορριμμάτων σε κάδο|σήμα ρίψης σκουπιδιών σε κάδο
🚰;πόσιμο νερό;νερό|πίνω|πόσιμο
♿;αναπηρικό καροτσάκι;αναπηρικό αμαξίδιο|αναπηρικό καροτσάκι|πρόσβαση
🚹;τουαλέτα ανδρών;WC|άνδρας|τουαλέτα|τουαλέτα ανδρών|τουαλέτα αντρών
🚺;τουαλέτα γυναικών;WC|γυναίκα|τουαλέτα|τουαλέτα γυναικών
🚻;δημόσια τουαλέτα;WC|δημόσια τουαλέτα|δημόσιες τουαλέτες|τουαλέτα|τουαλέτες
🚼;σύμβολο μωρού;αλλάζω|μωρό|σύμβολο μωρού
🚾;WC;WC|τουαλέτα|τουαλέτες
🛂;έλεγχος διαβατηρίων;διαβατήριο|έλεγχος|έλεγχος διαβατηρίων
🛃;τελωνείο;τελωνείο
🛄;παραλαβή αποσκευών;αποσκευές|παραλαβή|παραλαβή αποσκευών
🛅;φύλαξη αποσκευών;αποσκευές|βαλίτσες|ντουλάπι|φοριαμός|φύλαξη αποσκευών
⚠️;προειδοποίηση;προειδοποίηση
🚸;διάβαση παιδιών;διάβαση|διάβαση παιδιών|κίνηση|παιδί|πεζός
⛔;απαγορεύεται η είσοδος;απαγορεύεται|απαγορεύεται η είσοδος|απαγορευμένο|είσοδος|κίνηση
🚫;απαγορεύεται;απαγορεύεται|απαγορευμένο|είσοδος
🚳;απαγορεύονται τα ποδήλατα;απαγορεύεται|απαγορευμένο|απαγορεύονται τα ποδήλατα|ποδήλατο
🚭;απαγορεύεται το κάπνισμα;απαγορεύεται|απαγορεύεται το κάπνισμα|απαγορευμένο|κάπνισμα
🚯;απαγορεύεται η ρίψη σκουπιδιών;απαγορεύεται|απαγορεύεται η ρίψη απορριμμάτων|απαγορεύεται η ρίψη σκουπιδιών|απορρίμματα|σκουπίδια
🚱;μη πόσιμο νερό;μη πόσιμο νερό|νερό
🚷;απαγορεύεται η διάβαση πεζών;απαγορεύεται|απαγορεύεται η διάβαση πεζών|απαγορευμένο|απαγορεύονται οι πεζοί|πεζός
📵;απαγορεύονται τα κινητά;απαγορεύεται|απαγορεύεται η χρήση κινητού|απαγορεύονται τα κινητά|κινητό|τηλέφωνο
🔞;μόνο άνω των 18;18|απαγορεύεται|ηλικιακός περιορισμός|κάτω από το όριο ηλικίας|μόνο άνω των 18|μόνο άνω των δεκαοκτώ
☢️;ραδιενέργεια;ραδιενέργεια|σήμα
☣️;βιολογικός κίνδυνος;βιολογικός κίνδυνος|σήμα
⬆️;πάνω βέλος;απόλυτη|βέλος|βόρεια|κατεύθυνση|πάνω βέλος
↗️;πάνω δεξιό βέλος;βέλος|βορειοανατολικά|ενδιάμεση|κατεύθυνση|πάνω δεξιό βέλος
➡️;δεξιό βέλος;ανατολικά|απόλυτη|βέλος|δεξιό βέλος|κατεύθυνση
↘️;κάτω δεξιό βέλος;βέλος|ενδιάμεση|κατεύθυνση|κάτω δεξιό βέλος|νοτιοανατολικά
⬇️;κάτω βέλος;απόλυτη|βέλος|κατεύθυνση|κάτω|νότια
↙️;κάτω αριστερό βέλος;βέλος|ενδιάμεση|κατεύθυνση|κάτω αριστερό βέλος|νοτιοδυτικά
⬅️;αριστερό βέλος;απόλυτη|αριστερό βέλος|βέλος|δυτικά|κατεύθυνση
↖️;πάνω αριστερό βέλος;βέλος|βορειοδυτικά|ενδιάμεση|κατεύθυνση|πάνω αριστερό βέλος
↕️;πάνω κάτω βέλος;βέλος|πάνω κάτω βέλος
↔️;αριστερό δεξιό βέλος;αριστερό δεξιό βέλος|βέλος
↩️;δεξιό βέλος που στρίβει αριστερά;βέλος|δεξιό βέλος που στρίβει αριστερά
↪️;αριστερό βέλος που στρίβει δεξιά;αριστερό βέλος που στρίβει δεξιά|βέλος
⤴️;δεξιό βέλος που στρίβει πάνω;βέλος|δεξιό βέλος που στρίβει πάνω
⤵️;δεξιό βέλος που στρίβει κάτω;βέλος|δεξιό βέλος που στρίβει κάτω|κάτω
🔃;δεξιόστροφα κάθετα βέλη;βέλος|δεξιόστροφα κάθετα βέλη|δεξιόστροφο|επαναφόρτωση
🔄;κουμπί αριστερόστροφων βελών;αντίστροφα|αριστερόστροφο|βέλος|κουμπί αριστερόστροφων βελών
🔙;βέλος BACK;βέλος|βέλος BACK|πίσω
🔚;βέλος END;βέλος|βέλος END|τέλος
🔛;βέλος ON!;βέλος|βέλος ON!|ενεργοποίηση|σήμα
🔜;βέλος SOON;βέλος|βέλος SOON|σύντομα
🔝;βέλος TOP;βέλος|βέλος TOP|επάνω|κορυφή
🛐;τόπος λατρείας;θρησκεία|λατρεία|τόπος λατρείας
⚛️;σύμβολο ατόμου;άθεος|άτομο|σύμβολο ατόμου
🕉️;σύμβολο ομ;θρησκεία|ινδουιστικό|σύμβολο ομ
✡️;άστρο του Δαβίδ;αστέρι|άστρο του Δαβίδ|Δαβίδ|εβραϊκό|θρησκεία
☸️;τροχός ντάρμα;βουδιστικός|θρησκεία|ντάρμα|τροχός
☯️;γιν γιανγκ;γιανγκ|γιν|θρησκεία|τάο|ταοϊστικός
✝️;λατινικός σταυρός;θρησκεία|λατινικός σταυρός|σταυρός|χριστιανικός
☦️;ορθόδοξος σταυρός;θρησκεία|ορθόδοξος σταυρός|σταυρός|χριστιανικός
☪️;αστέρι και ημισέληνος;αστέρι και ημισέληνος|θρησκεία|ισλάμ|μουσουλμανικός
☮️;σύμβολο ειρήνης;ειρήνη|σύμβολο ειρήνης
🕎;επτάφωτη λυχνία;επτάφωτη λυχνία|θρησκεία|κηροπήγιο|μενορά
🔯;εξάλφα με σημάδι;αστέρι|εξάλφα με σημάδι|τύχη
🪯;Χάντα;θρησκεία|Σιχ|Χάντα
♈;Κριός;ζώδιο|Κριός
♉;Ταύρος;βόδι|ζώδιο|Ταύρος
♊;Δίδυμοι;Δίδυμοι|ζώδιο
♋;Καρκίνος;ζώδιο|Καρκίνος
♌;Λέων;ζώδιο|Λέων|λιοντάρι
♍;Παρθένος;ζώδιο|Παρθένος
♎;Ζυγός;δικαιοσύνη|ζυγαριά|Ζυγός|ζώδιο
♏;Σκορπιός (ζώδιο);ζώδιο|σκορπιός|Σκορπιός (ζώδιο)
♐;Τοξότης;ζώδιο|Τοξότης
♑;Αιγόκερως;Αιγόκερως|ζώδιο
♒;Υδροχόος;ζώδιο|κομιστής|νερό|Υδροχόος
♓;Ιχθύς;ζώδιο|Ιχθύες|Ιχθύς|ψάρι|ψάρια
⛎;Οφιούχος;ζώδιο|Οφιούχος|φίδι
🔀;κουμπί τυχαίας αναπαραγωγής;βέλος|κουμπί αναπαραγωγής σε τυχαία σειρά|κουμπί τυχαίας αναπαραγωγής|σταυρωτά
🔁;κουμπί επανάληψης;βέλος|δεξιόστροφο|επανάληψη|κουμπί επανάληψης
🔂;κουμπί επανάληψης ενός;βέλος|δεξιόστροφο|κουμπί επανάληψης ενός|μία φορά
▶️;κουμπί αναπαραγωγής;αναπαραγωγή|βέλος|δεξιό|κουμπί αναπαραγωγής|τρίγωνο
⏩;κουμπί γρήγορης προώθησης;βέλος|γρήγορη|διπλό|κουμπί γρήγορης προώθησης
⏭️;κουμπί επόμενου κομματιού;βέλος|επόμενη σκηνή|επόμενο κομμάτι|κουμπί επόμενου κομματιού|τρίγωνο
⏯️;κουμπί αναπαραγωγής ή παύσης;αναπαραγωγή|βέλος|δεξιά|κουμπί αναπαραγωγής ή παύσης|παύση|τρίγωνο
◀️;κουμπί επαναφοράς;αντιστροφή|αριστερά|βέλος|κουμπί επαναφοράς|τρίγωνο
⏪;κουμπί γρήγορης επαναφοράς;βέλος|διπλό|επαναφορά|κουμπί γρήγορης επαναφοράς
⏮️;κουμπί τελευταίου κομματιού;βέλος|κουμπί τελευταίου κομματιού|προηγούμενη σκηνή|προηγούμενο κομμάτι|τρίγωνο
🔼;κουμπί πάνω;βέλος|κόκκινο|κουμπί|κουμπί πάνω
⏫;κουμπί πάνω γρήγορα;βέλος|διπλό|κουμπί πάνω γρήγορα
🔽;κουμπί κάτω;βέλος|κάτω|κόκκινο|κουμπί
⏬;κουμπί κάτω γρήγορα;βέλος|διπλό|κάτω|κουμπί κάτω γρήγορα
⏸️;κουμπί παύσης;γραμμή|διπλή|κάθετη|κουμπί παύσης|παύση
⏹️;κουμπί διακοπής;διακοπή|κουμπί διακοπής|τετράγωνο
⏺️;κουμπί εγγραφής;εγγραφή|κουμπί εγγραφής|κύκλος
⏏️;κουμπί εξαγωγής;εξαγωγή|κουμπί εξαγωγής
🎦;κινηματογράφος;κάμερα|κινηματογράφος|ταινία|φιλμ
🔅;κουμπί μείωσης φωτισμού;κουμπί μείωσης φωτισμού|φωτεινότητα|φωτισμός|χαμηλός
🔆;κουμπί αύξησης φωτισμού;κουμπί αύξησης φωτισμού|φωτεινός|φωτεινότητα
📶;γραμμές ισχύος σήματος;γραμμές ισχύος σήματος|γραμμή|κεραία|κινητό|σήμα
🛜;ασύρματο;ασύρματο|διαδίκτυο|δίκτυο|ίντερνετ|υπολογιστής
📳;λειτουργία δόνησης;δόνηση|κινητό|λειτουργία|λειτουργία δόνησης|τηλέφωνο
📴;κινητό απενεργοποιημένο;απενεργοποιημένο|κινητό|τηλέφωνο
♀️;θηλυκό;γυναίκα|θηλυκό
♂️;αρσενικό;άντρας|αρσενικό
⚧️;σύμβολο της διεμφυλικότητας;διεμφυλικός|σύμβολο της διεμφυλικότητας
✖️;πολλαπλασιασμός;×|x|άκυρο|ακύρωση|πολλαπλασιάζω|πολλαπλασιασμός|σύμβολο
➕;συν;+|μαθηματικά|πρόσθεση|σύμβολο|συν
➖;πλην;-|−|αφαίρεση|μαθηματικά|μείον|πλην|σύμβολο
➗;διαίρεση;÷|διαίρεση|μαθηματικά|σύμβολο
🟰;σύμβολο ισότητας έντονο;ισότητα|μαθηματικά|σύμβολο ισότητας έντονο
♾️;άπειρο;αιώνια|άπειρο|απεριόριστα|για πάντα|καθολικό
‼️;διπλό θαυμαστικό;!|!!|διπλό θαυμαστικό|θαυμαστικό|θόρυβος|σημείο|στίξη
⁉️;θαυμαστικό με ερωτηματικό;!|!?|?|ερωτηματικό|ερώτηση|θαυμαστικό|θαυμαστικό με ερωτηματικό|σημείο|στίξη
❓;κόκκινο λατινικό ερωτηματικό;?|ερώτηση|κόκκινο λατινικό ερωτηματικό|λατινικό ερωτηματικό|σημείο|στίξη
❔;λευκό λατινικό ερωτηματικό;?|αχνό|ερώτηση|λευκό λατινικό ερωτηματικό|σημείο|στίξη
❕;λευκό θαυμαστικό;!|αχνό|θαυμαστικό|λευκό θαυμαστικό|σημείο|στίξη
❗;κόκκινο θαυμαστικό;!|θαυμαστικό|κόκκινο θαυμαστικό|σημείο|στίξη
〰️;κυματιστή παύλα;κυματιστή παύλα|κυματιστό|παύλα|στίξη
💱;ανταλλαγή νομισμάτων;ανταλλαγή νομισμάτων|ανταλλακτήριο|μετατροπή νομισμάτων|συνάλλαγμα|τράπεζα
💲;έντονο σύμβολο δολαρίου;δολάριο|έντονο σύμβολο δολαρίου|νόμισμα|χρήματα
⚕️;ιατρικό σύμβολο;ιατρική|ιατρικό σύμβολο|ράβδος|σύμβολο
♻️;σύμβολο ανακύκλωσης;ανακυκλώνω|σύμβολο ανακύκλωσης
⚜️;άνθος του κρίνου;άνθος του κρίνου|έμβλημα|έμβλημα με κρίνο|κρίνο|σύμβολο
🔱;έμβλημα τρίαινας;άγκυρα|έμβλημα|έμβλημα τρίαινας|εργαλείο|πλοίο|τρίαινα
📛;ταμπέλα ονόματος;κάρτα με όνομα|όνομα|σήμα|ταμπέλα ονόματος
🔰;ιαπωνικό σύμβολο για αρχάριους;αρχάριος|διάσημα|ιαπωνικό|ιαπωνικό σύμβολο για αρχάριους|φύλλο
⭕;κενός κόκκινος κύκλος;κενός κόκκινος κύκλος|κόκκινος|κύκλος|μεγάλος|ο
✅;κουμπί σημαδιού επιλογής;✓|επιλογή|κουμπί|κουμπί σημαδιού επιλογής|σημάδι
☑️;πλαίσιο επιλογής με σημάδι επιλογής;✓|επιλογή|πλαίσιο|πλαίσιο επιλογής με σημάδι επιλογής
✔️;σημάδι επιλογής;✓|επιλογή|σημάδι|σημάδι επιλογής
❌;σημάδι x;×|x|ακύρωση|πολλαπλασιάζω|πολλαπλασιασμός|σημάδι
❎;κουμπί σημαδιού x;×|κουμπί σημαδιού x|σημάδι|τετράγωνο
➰;βρόχος;βρόγχος|βρόχος|μπούκλα
➿;διπλός βρόχος;βρόγχος|διπλός|διπλός βρόχος|μπούκλα
〽️;σύμβολο εναλλαγής μέρους;σημάδι|σύμβολο εναλλαγής μέρους|τμήμα
✳️;οκτάκτινος αστερίσκος;*|αστερίσκος|οκτάκτινος αστερίσκος
✴️;οκτάκτινο αστέρι;*|αστέρι|οκτάκτινο αστέρι
❇️;σπινθήρας;*|λάμψη|σπινθήρας
©️;πνευματική ιδιοκτησία;c|πνευματικά δικαιώματα|πνευματική ιδιοκτησία
®️;σήμα κατατεθέν;r|αναγνωρισμένο|καταχωρισμένο|σήμα κατατεθέν
™️;εμπορικό σήμα;tm|εμπορικό σήμα|σήμα
#️⃣;πλήκτρο: #;πλήκτρο|πλήκτρο: #
*️⃣;πλήκτρο: *;πλήκτρο|πλήκτρο: *
0️⃣;πλήκτρο: 0;πλήκτρο|πλήκτρο: 0
1️⃣;πλήκτρο: 1;πλήκτρο|πλήκτρο: 1
2️⃣;πλήκτρο: 2;πλήκτρο|πλήκτρο: 2
3️⃣;πλήκτρο: 3;πλήκτρο|πλήκτρο: 3
4️⃣;πλήκτρο: 4;πλήκτρο|πλήκτρο: 4
5️⃣;πλήκτρο: 5;πλήκτρο|πλήκτρο: 5
6️⃣;πλήκτρο: 6;πλήκτρο|πλήκτρο: 6
7️⃣;πλήκτρο: 7;πλήκτρο|πλήκτρο: 7
8️⃣;πλήκτρο: 8;πλήκτρο|πλήκτρο: 8
9️⃣;πλήκτρο: 9;πλήκτρο|πλήκτρο: 9
🔟;πλήκτρο: 10;πλήκτρο|πλήκτρο: 10
🔠;κεφαλαία λατινικά;γράμματα|εισαγωγή|κεφαλαία|λατινικά
🔡;πεζά λατινικά;abcd|γράμματα|εισαγωγή|λατινικά|πεζά
🔢;αριθμοί;1234|αριθμοί|εισαγωγή
🔣;σύμβολα;εισαγωγή|σύμβολα
🔤;λατινικά γράμματα;abc|αλφάβητος|γράμματα|εισαγωγή|λατινικά
🅰️;κουμπί Α (ομάδα αίματος);a|κουμπί Α (ομάδα αίματος)|ομάδα αίματος
🆎;κουμπί ΑΒ (ομάδα αίματος);ab|κουμπί ΑΒ (ομάδα αίματος)|ομάδα αίματος
🅱️;κουμπί Β (ομάδα αίματος);b|κουμπί Β (ομάδα αίματος)|ομάδα αίματος
🆑;κουμπί CL;cl|κουμπί CL
🆒;κουμπί COOL;cool|κουμπί COOL|τέλεια
🆓;κουμπί FREE;free|δωρεάν|κουμπί FREE
ℹ️;πληροφορίες;i|πληροφορίες
🆔;κουμπί ID;id|κουμπί ID|ταυτότητα
Ⓜ️;M σε κύκλο;m|M σε κύκλο|κύκλος
🆕;κουμπί NEW;new|κουμπί NEW|νέο
🆖;κουμπί NG;ng|κουμπί NG
🅾️;κουμπί O (ομάδα αίματος);o|κουμπί O (ομάδα αίματος)|ομάδα αίματος
🆗;κουμπί OK;OK|κουμπί OK
🅿️;κουμπί P;κουμπί P|πάρκινγκ
🆘;κουμπί SOS;sos|βοήθεια|κουμπί SOS
🆙;κουμπί UP!;up|κουμπί UP!|πάνω|σήμα
🆚;κουμπί VS;vs|εναντίον|κουμπί VS
🈁;ιδεόγραμμα εδώ σε τετράγωνο;ιαπωνικό|ιδεόγραμμα εδώ σε τετράγωνο
🈂️;ιδεόγραμμα χρέωσης υπηρεσίας σε τετράγωνο;ιαπωνικό|ιδεόγραμμα χρέωσης υπηρεσίας σε τετράγωνο
🈷️;ιδεόγραμμα μηνιαίου ποσού σε τετράγωνο;ιαπωνικό|ιδεόγραμμα μηνιαίου ποσού σε τετράγωνο
🈶;ιδεόγραμμα επί πληρωμή σε τετράγωνο;ιαπωνικό|ιδεόγραμμα επί πληρωμή σε τετράγωνο
🈯;ιδεόγραμμα κράτησης σε τετράγωνο;ιαπωνικό|ιδεόγραμμα κράτησης σε τετράγωνο
