# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ပြုံးဖြဲဖြဲ မျက်နှာ;ပြုံးဖြဲဖြဲ|မျက်နှာ
	👨🏼‍🤝‍👨🏿;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားနုရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားနုရောင်|အသားမည်းရောင်
	👨🏽‍🤝‍👨🏻;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားလတ်ရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားဖြူရောင်|အသားလတ်ရောင်
	👨🏽‍🤝‍👨🏼;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားလတ်ရောင်နှင့် အသားနုရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားနုရောင်|အသားလတ်ရောင်
	👬🏽;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားလတ်ရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားလတ်ရောင်
	👨🏽‍🤝‍👨🏾;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားလတ်ရောင်နှင့် အသားညိုရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားညိုရောင်|အသားလတ်ရောင်
	👨🏽‍🤝‍👨🏿;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားလတ်ရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားမည်းရောင်|အသားလတ်ရောင်
	👨🏾‍🤝‍👨🏻;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားညိုရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားညိုရောင်|အသားဖြူရောင်
	👨🏾‍🤝‍👨🏼;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားညိုရောင်နှင့် အသားနုရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားညိုရောင်|အသားနုရောင်
	👨🏾‍🤝‍👨🏽;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားညိုရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားညိုရောင်|အသားလတ်ရောင်
	👬🏾;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားညိုရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားညိုရောင်
	👨🏾‍🤝‍👨🏿;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားညိုရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားညိုရောင်|အသားမည်းရောင်
	👨🏿‍🤝‍👨🏻;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားမည်းရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားဖြူရောင်|အသားမည်းရောင်
	👨🏿‍🤝‍👨🏼;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားမည်းရောင်နှင့် အသားနုရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားနုရောင်|အသားမည်းရောင်
	👨🏿‍🤝‍👨🏽;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားမည်းရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားမည်းရောင်|အသားလတ်ရောင်
	👨🏿‍🤝‍👨🏾;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားမည်းရောင်နှင့် အသားညိုရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားညိုရောင်|အသားမည်းရောင်
	👬🏿;လက်တွဲထားသော အမျိုးသား နှစ်ယောက် − အသားမည်းရောင်;စုံတွဲ|မေထုန်ရာသီ|လက်တွဲထားသော|လက်တွဲထားသော အမျိုးသား နှစ်ယောက်|အမျိုးသား|အမျိုးသားများ|အမြွှာပူး|အသားမည်းရောင်
💏;အနမ်း;စုံတွဲ|အနမ်း
	💏🏻;အနမ်း − အသားဖြူရောင်;စုံတွဲ|အနမ်း|အသားဖြူရောင်
	💏🏼;အနမ်း − အသားနုရောင်;စုံတွဲ|အနမ်း|အသားနုရောင်
	💏🏽;အနမ်း − အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အသားလတ်ရောင်
	💏🏾;အနမ်း − အသားညိုရောင်;စုံတွဲ|အနမ်း|အသားညိုရောင်
	💏🏿;အနမ်း − အသားမည်းရောင်;စုံတွဲ|အနမ်း|အသားမည်းရောင်
	🧑🏻‍❤️‍💋‍🧑🏼;အနမ်း − လူ - လူ - အသားဖြူရောင်နှင့် အသားနုရောင်;စုံတွဲ|လူ|အနမ်း|အသားနုရောင်|အသားဖြူရောင်
	🧑🏻‍❤️‍💋‍🧑🏽;အနမ်း − လူ - လူ - အသားဖြူရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|လူ|အနမ်း|အသားဖြူရောင်|အသားလတ်ရောင်
	🧑🏻‍❤️‍💋‍🧑🏾;အနမ်း − လူ - လူ - အသားဖြူရောင်နှင့် အသားညိုရောင်;စုံတွဲ|လူ|အနမ်း|အသားညိုရောင်|အသားဖြူရောင်
	🧑🏻‍❤️‍💋‍🧑🏿;အနမ်း − လူ - လူ - အသားဖြူရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|လူ|အနမ်း|အသားဖြူရောင်|အသားမည်းရောင်
	🧑🏼‍❤️‍💋‍🧑🏻;အနမ်း − လူ - လူ - အသားနုရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|လူ|အနမ်း|အသားနုရောင်|အသားဖြူရောင်
	🧑🏼‍❤️‍💋‍🧑🏽;အနမ်း − လူ - လူ - အသားနုရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|လူ|အနမ်း|အသားနုရောင်|အသားလတ်ရောင်
	🧑🏼‍❤️‍💋‍🧑🏾;အနမ်း − လူ - လူ - အသားနုရောင်နှင့် အသားညိုရောင်;စုံတွဲ|လူ|အနမ်း|အသားညိုရောင်|အသားနုရောင်
	🧑🏼‍❤️‍💋‍🧑🏿;အနမ်း − လူ - လူ - အသားနုရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|လူ|အနမ်း|အသားနုရောင်|အသားမည်းရောင်
	🧑🏽‍❤️‍💋‍🧑🏻;အနမ်း − လူ - လူ - အသားလတ်ရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|လူ|အနမ်း|အသားဖြူရောင်|အသားလတ်ရောင်
	🧑🏽‍❤️‍💋‍🧑🏼;အနမ်း − လူ - လူ - အသားလတ်ရောင်နှင့် အသားနုရောင်;စုံတွဲ|လူ|အနမ်း|အသားနုရောင်|အသားလတ်ရောင်
	🧑🏽‍❤️‍💋‍🧑🏾;အနမ်း − လူ - လူ - အသားလတ်ရောင်နှင့် အသားညိုရောင်;စုံတွဲ|လူ|အနမ်း|အသားညိုရောင်|အသားလတ်ရောင်
	🧑🏽‍❤️‍💋‍🧑🏿;အနမ်း − လူ - လူ - အသားလတ်ရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|လူ|အနမ်း|အသားမည်းရောင်|အသားလတ်ရောင်
	🧑🏾‍❤️‍💋‍🧑🏻;အနမ်း − လူ - လူ - အသားညိုရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|လူ|အနမ်း|အသားညိုရောင်|အသားဖြူရောင်
	🧑🏾‍❤️‍💋‍🧑🏼;အနမ်း − လူ - လူ - အသားညိုရောင်နှင့် အသားနုရောင်;စုံတွဲ|လူ|အနမ်း|အသားညိုရောင်|အသားနုရောင်
	🧑🏾‍❤️‍💋‍🧑🏽;အနမ်း − လူ - လူ - အသားညိုရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|လူ|အနမ်း|အသားညိုရောင်|အသားလတ်ရောင်
	🧑🏾‍❤️‍💋‍🧑🏿;အနမ်း − လူ - လူ - အသားညိုရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|လူ|အနမ်း|အသားညိုရောင်|အသားမည်းရောင်
	🧑🏿‍❤️‍💋‍🧑🏻;အနမ်း − လူ - လူ - အသားမည်းရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|လူ|အနမ်း|အသားဖြူရောင်|အသားမည်းရောင်
	🧑🏿‍❤️‍💋‍🧑🏼;အနမ်း − လူ - လူ - အသားမည်းရောင်နှင့် အသားနုရောင်;စုံတွဲ|လူ|အနမ်း|အသားနုရောင်|အသားမည်းရောင်
	🧑🏿‍❤️‍💋‍🧑🏽;အနမ်း − လူ - လူ - အသားမည်းရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|လူ|အနမ်း|အသားမည်းရောင်|အသားလတ်ရောင်
	🧑🏿‍❤️‍💋‍🧑🏾;အနမ်း − လူ - လူ - အသားမည်းရောင်နှင့် အသားညိုရောင်;စုံတွဲ|လူ|အနမ်း|အသားညိုရောင်|အသားမည်းရောင်
👩‍❤️‍💋‍👨;အနမ်း − အမျိုးသမီးနှင့် အမျိုးသား;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား
	👩🏻‍❤️‍💋‍👨🏻;အနမ်း − အမျိုးသမီး - အမျိုးသားနှင့် အသားဖြူရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားဖြူရောင်
	👩🏻‍❤️‍💋‍👨🏼;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားဖြူရောင်နှင့် အသားနုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားနုရောင်|အသားဖြူရောင်
	👩🏻‍❤️‍💋‍👨🏽;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားဖြူရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားဖြူရောင်|အသားလတ်ရောင်
	👩🏻‍❤️‍💋‍👨🏾;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားဖြူရောင်နှင့် အသားညိုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားညိုရောင်|အသားဖြူရောင်
	👩🏻‍❤️‍💋‍👨🏿;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားဖြူရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားဖြူရောင်|အသားမည်းရောင်
	👩🏼‍❤️‍💋‍👨🏻;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားနုရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားနုရောင်|အသားဖြူရောင်
	👩🏼‍❤️‍💋‍👨🏼;အနမ်း − အမျိုးသမီး - အမျိုးသားနှင့် အသားနုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားနုရောင်
	👩🏼‍❤️‍💋‍👨🏽;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားနုရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားနုရောင်|အသားလတ်ရောင်
	👩🏼‍❤️‍💋‍👨🏾;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားနုရောင်နှင့် အသားညိုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားညိုရောင်|အသားနုရောင်
	👩🏼‍❤️‍💋‍👨🏿;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားနုရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားနုရောင်|အသားမည်းရောင်
	👩🏽‍❤️‍💋‍👨🏻;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားလတ်ရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားဖြူရောင်|အသားလတ်ရောင်
	👩🏽‍❤️‍💋‍👨🏼;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားလတ်ရောင်နှင့် အသားနုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားနုရောင်|အသားလတ်ရောင်
	👩🏽‍❤️‍💋‍👨🏽;အနမ်း − အမျိုးသမီး - အမျိုးသားနှင့် အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားလတ်ရောင်
	👩🏽‍❤️‍💋‍👨🏾;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားလတ်ရောင်နှင့် အသားညိုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားညိုရောင်|အသားလတ်ရောင်
	👩🏽‍❤️‍💋‍👨🏿;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားလတ်ရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားမည်းရောင်|အသားလတ်ရောင်
	👩🏾‍❤️‍💋‍👨🏻;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားညိုရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားညိုရောင်|အသားဖြူရောင်
	👩🏾‍❤️‍💋‍👨🏼;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားညိုရောင်နှင့် အသားနုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားညိုရောင်|အသားနုရောင်
	👩🏾‍❤️‍💋‍👨🏽;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားညိုရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားညိုရောင်|အသားလတ်ရောင်
	👩🏾‍❤️‍💋‍👨🏾;အနမ်း − အမျိုးသမီး - အမျိုးသားနှင့် အသားညိုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားညိုရောင်
	👩🏾‍❤️‍💋‍👨🏿;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားညိုရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားညိုရောင်|အသားမည်းရောင်
	👩🏿‍❤️‍💋‍👨🏻;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားမည်းရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားဖြူရောင်|အသားမည်းရောင်
	👩🏿‍❤️‍💋‍👨🏼;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားမည်းရောင်နှင့် အသားနုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားနုရောင်|အသားမည်းရောင်
	👩🏿‍❤️‍💋‍👨🏽;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားမည်းရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားမည်းရောင်|အသားလတ်ရောင်
	👩🏿‍❤️‍💋‍👨🏾;အနမ်း − အမျိုးသမီး - အမျိုးသား - အသားမည်းရောင်နှင့် အသားညိုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားညိုရောင်|အသားမည်းရောင်
	👩🏿‍❤️‍💋‍👨🏿;အနမ်း − အမျိုးသမီး - အမျိုးသားနှင့် အသားမည်းရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အမျိုးသား|အသားမည်းရောင်
👨‍❤️‍💋‍👨;အနမ်း − အမျိုးသားနှင့် အမျိုးသား;စုံတွဲ|အနမ်း|အမျိုးသား
	👨🏻‍❤️‍💋‍👨🏻;အနမ်း − အမျိုးသား - အမျိုးသားနှင့် အသားဖြူရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားဖြူရောင်
	👨🏻‍❤️‍💋‍👨🏼;အနမ်း − အမျိုးသား - အမျိုးသား - အသားဖြူရောင်နှင့် အသားနုရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားနုရောင်|အသားဖြူရောင်
	👨🏻‍❤️‍💋‍👨🏽;အနမ်း − အမျိုးသား - အမျိုးသား - အသားဖြူရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားဖြူရောင်|အသားလတ်ရောင်
	👨🏻‍❤️‍💋‍👨🏾;အနမ်း − အမျိုးသား - အမျိုးသား - အသားဖြူရောင်နှင့် အသားညိုရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားညိုရောင်|အသားဖြူရောင်
	👨🏻‍❤️‍💋‍👨🏿;အနမ်း − အမျိုးသား - အမျိုးသား - အသားဖြူရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားဖြူရောင်|အသားမည်းရောင်
	👨🏼‍❤️‍💋‍👨🏻;အနမ်း − အမျိုးသား - အမျိုးသား - အသားနုရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားနုရောင်|အသားဖြူရောင်
	👨🏼‍❤️‍💋‍👨🏼;အနမ်း − အမျိုးသား - အမျိုးသားနှင့် အသားနုရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားနုရောင်
	👨🏼‍❤️‍💋‍👨🏽;အနမ်း − အမျိုးသား - အမျိုးသား - အသားနုရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားနုရောင်|အသားလတ်ရောင်
	👨🏼‍❤️‍💋‍👨🏾;အနမ်း − အမျိုးသား - အမျိုးသား - အသားနုရောင်နှင့် အသားညိုရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားညိုရောင်|အသားနုရောင်
	👨🏼‍❤️‍💋‍👨🏿;အနမ်း − အမျိုးသား - အမျိုးသား - အသားနုရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားနုရောင်|အသားမည်းရောင်
	👨🏽‍❤️‍💋‍👨🏻;အနမ်း − အမျိုးသား - အမျိုးသား - အသားလတ်ရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားဖြူရောင်|အသားလတ်ရောင်
	👨🏽‍❤️‍💋‍👨🏼;အနမ်း − အမျိုးသား - အမျိုးသား - အသားလတ်ရောင်နှင့် အသားနုရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားနုရောင်|အသားလတ်ရောင်
	👨🏽‍❤️‍💋‍👨🏽;အနမ်း − အမျိုးသား - အမျိုးသားနှင့် အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားလတ်ရောင်
	👨🏽‍❤️‍💋‍👨🏾;အနမ်း − အမျိုးသား - အမျိုးသား - အသားလတ်ရောင်နှင့် အသားညိုရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားညိုရောင်|အသားလတ်ရောင်
	👨🏽‍❤️‍💋‍👨🏿;အနမ်း − အမျိုးသား - အမျိုးသား - အသားလတ်ရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားမည်းရောင်|အသားလတ်ရောင်
	👨🏾‍❤️‍💋‍👨🏻;အနမ်း − အမျိုးသား - အမျိုးသား - အသားညိုရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားညိုရောင်|အသားဖြူရောင်
	👨🏾‍❤️‍💋‍👨🏼;အနမ်း − အမျိုးသား - အမျိုးသား - အသားညိုရောင်နှင့် အသားနုရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားညိုရောင်|အသားနုရောင်
	👨🏾‍❤️‍💋‍👨🏽;အနမ်း − အမျိုးသား - အမျိုးသား - အသားညိုရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားညိုရောင်|အသားလတ်ရောင်
	👨🏾‍❤️‍💋‍👨🏾;အနမ်း − အမျိုးသား - အမျိုးသားနှင့် အသားညိုရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားညိုရောင်
	👨🏾‍❤️‍💋‍👨🏿;အနမ်း − အမျိုးသား - အမျိုးသား - အသားညိုရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားညိုရောင်|အသားမည်းရောင်
	👨🏿‍❤️‍💋‍👨🏻;အနမ်း − အမျိုးသား - အမျိုးသား - အသားမည်းရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားဖြူရောင်|အသားမည်းရောင်
	👨🏿‍❤️‍💋‍👨🏼;အနမ်း − အမျိုးသား - အမျိုးသား - အသားမည်းရောင်နှင့် အသားနုရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားနုရောင်|အသားမည်းရောင်
	👨🏿‍❤️‍💋‍👨🏽;အနမ်း − အမျိုးသား - အမျိုးသား - အသားမည်းရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားမည်းရောင်|အသားလတ်ရောင်
	👨🏿‍❤️‍💋‍👨🏾;အနမ်း − အမျိုးသား - အမျိုးသား - အသားမည်းရောင်နှင့် အသားညိုရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားညိုရောင်|အသားမည်းရောင်
	👨🏿‍❤️‍💋‍👨🏿;အနမ်း − အမျိုးသား - အမျိုးသားနှင့် အသားမည်းရောင်;စုံတွဲ|အနမ်း|အမျိုးသား|အသားမည်းရောင်
👩‍❤️‍💋‍👩;အနမ်း − အမျိုးသမီးနှင့် အမျိုးသမီး;စုံတွဲ|အနမ်း|အမျိုးသမီး
	👩🏻‍❤️‍💋‍👩🏻;အနမ်း − အမျိုးသမီး - အမျိုးသမီးနှင့် အသားဖြူရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားဖြူရောင်
	👩🏻‍❤️‍💋‍👩🏼;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားဖြူရောင်နှင့် အသားနုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားနုရောင်|အသားဖြူရောင်
	👩🏻‍❤️‍💋‍👩🏽;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားဖြူရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားဖြူရောင်|အသားလတ်ရောင်
	👩🏻‍❤️‍💋‍👩🏾;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားဖြူရောင်နှင့် အသားညိုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားညိုရောင်|အသားဖြူရောင်
	👩🏻‍❤️‍💋‍👩🏿;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားဖြူရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားဖြူရောင်|အသားမည်းရောင်
	👩🏼‍❤️‍💋‍👩🏻;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားနုရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားနုရောင်|အသားဖြူရောင်
	👩🏼‍❤️‍💋‍👩🏼;အနမ်း − အမျိုးသမီး - အမျိုးသမီးနှင့် အသားနုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားနုရောင်
	👩🏼‍❤️‍💋‍👩🏽;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားနုရောင်နှင့် အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားနုရောင်|အသားလတ်ရောင်
	👩🏼‍❤️‍💋‍👩🏾;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားနုရောင်နှင့် အသားညိုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားညိုရောင်|အသားနုရောင်
	👩🏼‍❤️‍💋‍👩🏿;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားနုရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားနုရောင်|အသားမည်းရောင်
	👩🏽‍❤️‍💋‍👩🏻;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားလတ်ရောင်နှင့် အသားဖြူရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားဖြူရောင်|အသားလတ်ရောင်
	👩🏽‍❤️‍💋‍👩🏼;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားလတ်ရောင်နှင့် အသားနုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားနုရောင်|အသားလတ်ရောင်
	👩🏽‍❤️‍💋‍👩🏽;အနမ်း − အမျိုးသမီး - အမျိုးသမီးနှင့် အသားလတ်ရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားလတ်ရောင်
	👩🏽‍❤️‍💋‍👩🏾;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားလတ်ရောင်နှင့် အသားညိုရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားညိုရောင်|အသားလတ်ရောင်
	👩🏽‍❤️‍💋‍👩🏿;အနမ်း − အမျိုးသမီး - အမျိုးသမီး - အသားလတ်ရောင်နှင့် အသားမည်းရောင်;စုံတွဲ|အနမ်း|အမျိုးသမီး|အသားမည်းရောင်|အသားလတ်ရောင်
