# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;दाँत दिखाता चेहरा;खीस|खुश|चेहरा|दाँत दिखाता चेहरा|मजाकिया
🕯️;मोमबत्ती;प्रकाश|मोमबत्ती
💡;लाइट बल्ब, विचार;कॉमिक|प्रकाश|बल्ब|बिजली|लाइट बल्ब|लाइट बल्ब, विचार|विचार
🔦;टॉर्च;टॉर्च|प्रकाश|फ़्लैशलाइट|बिजली
🏮;लाल काग़ज़ी लालटेन;कंदील|लाल|लाल काग़ज़ी लालटेन|लालटेन
🪔;दीपक;तेल|दिया|दीपक|दीया|प्रदीप|बाती
📔;सजावटी कवर वाली नोटबुक;आवरण|कवर|किताब|नोटबुक|सजावट|सजावटी कवर वाली नोटबुक
📕;बंद किताब;पुस्तक|बंद किताब
📖;खुली किताब;खुली किताब|पुस्तक
📗;हरी किताब;पुस्तक|हरी किताब
📘;नीली किताब;नीली किताब|पुस्तक|शिक्षा
📙;नारंगी किताब;नारंगी किताब|पुस्तक|शिक्षा
📚;किताबें;किताबें|पुस्तक
📓;नोटबुक;नोटबुक
📒;लेजर, नोटबुक;किताब|नोटबुक|लेजर|लेजर, नोटबुक
📃;मुड़ा हुआ पृष्ठ;दस्तावेज़|पृष्ठ|मुड़ा हुआ पृष्ठ
📜;स्क्रॉल, पेपर स्क्रॉल;कागज़|काग़ज़|पेपर स्क्रॉल|सूचीपत्र|स्क्रॉल|स्क्रॉल, पेपर स्क्रॉल|स्क्रोल
📄;ऊपरी पृष्ठ;ऊपरी पृष्ठ|दस्तावेज़|पृष्ठ|सामने की ओर पृष्ठ
📰;समाचारपत्र;अखबार|अख़बार|पेपर|समाचार|समाचारपत्र
🗞️;रोल किया हुआ समाचारपत्र;अख़बार|पेपर|मोड़ा हुआ समाचार-पत्र|मोड़ा हुआ समाचारपत्र|रोल किया हुआ समाचारपत्र|समाचार|समाचार-पत्र|समाचारपत्र
📑;बुकमार्क टैब;टैब|निशान|पृष्ठ स्मृति|बुकमार्क|मार्कर
🔖;बुकमार्क;निशान|बुकमार्क
🏷️;लेबल;नाम|लेबल
🪙;सिक्का;अमीर|खजाना|धन|धातु|पैसा|रजत|सिक्का|सोना
💰;धन वाला बैग;डॉलर बैग|थैली|धन की थैली|धन वाला बैग|पैसे|पैसों की थैली
🪎;खज़ाने का संदूक;गहने|चांदी|धन|पुरस्कार|पैसा|बहुमूल्य वस्तुएं|रत्न|लूट|सोना
💴;येन नोट;नोट|पैसे|बिल|बैंकनोट|येन
💵;डॉलर नोट, बैंकनोट;डॉलर|डॉलर नोट, बैंकनोट|नोट|पैसे|बिल|बैंकनोट
💶;यूरो नोट;100|नोट|पैसे|बिल|बैंक नोट|यूरो
💷;पाउंड नोट;नोट|पाउंड|पैसे|बैंकनोट
💸;पंखों वाला धन;उड़ता बैंकनोट|उड़ते पैसे|नोट|पंखों वाला धन|पंखों वाले पैसे|पैसे|बैंक
💳;क्रेडिट कार्ड;कार्ड|क्रेडिट|धन
🧾;रसीद;अकाउंट|कागज़|खाता|खाते|नोट|प्रमाण|प्रूफ़|बहिखाता|बहीखाता|रसीद|रिसीट|लंबा|लंबी|लिस्ट|लेखांकन|साक्ष्य|सूची
💹;येन में बढ़त का रूझान दिखाता चार्ट;ऊपर की और|ऊपर जाता चार्ट|चार्ट|बढ़ता|बाज़ार|येन के साथ ऊपर जाता चार्ट|येन में बढ़त का रूझान दिखाता चार्ट|विकास
✉️;लिफ़ाफ़ा;ईमेल|मेल|लिफ़ाफ़ा
📧;ईमेल;ईमेल|पत्र|मेल|संचार
📨;इनकमिंग लिफ़ाफ़ा;आवक|इनकमिंग|इनकमिंग लिफ़ाफ़ा|ईमेल|पत्र|मेल|लिफाफा|संचार
📩;जावक मेल, प्रेषित मेल;आउटगोइंग|ईमेल|जावक|जावक मेल, प्रेषित मेल|पत्र|प्रेषित मेल|मेल|लिफाफा|संचार
📤;आउटबॉक्स ट्रे;आउटबॉक्स|ईमेल|चिट्ठी|ट्रे|पत्र|बॉक्स|मेल
📥;इनबॉक्स ट्रे;इनबॉक्स|इनबॉक्स शून्य|ईमेल|ट्रे|प्राप्त|बॉक्स|मेल|संचार
📦;पैकेज;पार्सल|पैकेज|बॉक्स|वितरण
📫;लहराते झंडे वाला मेलबॉक्स;झंडा|पोस्ट बॉक्स|बंद|मेल|मेलबॉक्स|लहराते झंडे वाला मेलबॉक्स
📪;झुके झंडे वाला मेलबॉक्स;झंडा|झुके झंडे वाला मेलबॉक्स|पोस्ट बॉक्स|बंद|मेल|मेलबॉक्स
📬;लहराते झंडे वाला खुला मेलबॉक्स;खुला|झंडा|पोस्ट बॉक्स|मेल|मेलबॉक्स|लहराते झंडे वाला खुला मेलबॉक्स
📭;झुके झंडे वाला खुला मेलबॉक्स;खुला|झंडा|झुके झंडे वाला खुला मेलबॉक्स|पोस्ट बॉक्स|मेल|मेलबॉक्स
📮;पोस्ट बॉक्स;डाक|पोस्ट बॉक्स|मेल|मेलबॉक्स
🗳️;मतपत्र के साथ मतपेटी;डिब्बा|बॉक्स|मतदान|मतपत्र के साथ मतपेटी
✏️;पेंसिल;पेंसिल
✒️;काली निब;कलम|काली निब|काली नोक|निब|नोक|पेन
🖋️;फ़ाउंटन पेन;कलम|पेन|फ़ाउंटन|स्याही पेन
🖊️;बॉलपेन;कलम|पेन|बॉल प्वाइंट|बॉलपेन
🖌️;पेंटब्रश;चित्रकारी|तूलिका|पेंटब्रश|पेंटिंग
🖍️;क्रेयॉन;क्रेयॉन|चित्रांकनी|मोम के रंग
📝;मेमो;पेंसिल|मीडिया|मेमो|संचार|स्मृतिपत्र
💼;ब्रीफ़केस;कार्यालय|ब्रीफ़केस|सूटकेस
📁;फ़ाइल फ़ोल्डर;फ़ाइल|फ़ोल्डर
📂;खुला फ़ाइल फ़ोल्डर;खुला|फ़ाइल|फ़ोल्डर
🗂️;कार्ड इंडेक्स डिवाइडर;अनुक्रम|कार्ड|कार्ड इंडेक्स डिवाइडर|विभाजक|सूची
📅;कैलेंडर;कैलेंडर|तारीख|तारीख़|तिथि|दिनांक
📆;फ़ाड़ने वाला कैलेंडर;कैलेंडर|फ़ाड़ने वाला कैलेंडर
🗒️;स्पाइरल नोटपैड;नोट|पैड|स्पाइरल नोटपैड
🗓️;स्पाइरल कैलेंडर;कैलेंडर|पैड|स्पाइरल
📇;कार्ड इंडेक्स;इंडेक्स|कार्ड इंडेक्स|रोलोडेक्स|सूची
📈;बढ़ते रुझान वाला चार्ट;ग्राफ़|चार्ट|बढ़ता रुझान|बढ़ता हुआ|बढ़ते रुझान वाला चार्ट
📉;घटते रुझान वाला चार्ट;ग्राफ़|घटता रुझान|घटता हुआ|घटते रुझान वाला चार्ट|चार्ट
📊;बार चार्ट;ग्राफ़|चार्ट|बार ग्राफ़|बार चार्ट|लेखाचित्र
📋;क्लिपबोर्ड;क्लिपबोर्ड|टिप्पणियाँ
📌;पुशपिन;नक़्शे की पिन|पिन|पुशपिन
📍;गोल पुशपिन;गोल पुशपिन|पिन|पुशपिन|मानचित्र|स्थान
📎;पेपरक्लिप;क्लिप|पेपरक्लिप
🖇️;लिंक किए गए पेपरक्लिप;पेपरक्लिप|लिंक|लिंक किए गए पेपरक्लिप
📏;स्ट्रेट रूलर;कोण|गणित|पैमाना|मापक|सीधा रूलर|स्ट्रेट रूलर
📐;त्रिकोणीय रूलर;कोण|गणित|गुनिया|तिकोना रूलर|त्रिकोण|त्रिकोणीय रूलर|पैमाना
✂️;कैंची;काटना|कैंची|टूल
🗃️;कार्ड फ़ाइल बॉक्स;कार्ड|डिब्बा|पेटी|फ़ाइल|बॉक्स
🗄️;फ़ाइल कैबिनेट;कैबिनेट|फ़ाइल|संदूक
🗑️;कचरा पेटी;कचरा पेटी|कचरे की टोकरी|रद्दी की टोकरी
🔒;बंद ताला;ताला|बंद
🔓;खुला ताला;खुला|ताला
🔏;फाउंटेन पेन के साथ ताला;गोपनीयता|ताला|फाउंटेन पेन के साथ ताला|स्याही|स्याही की पेन के साथ ताला|स्याही वाली पेन|स्याही वाले पेन के साथ ताला
🔐;चाबी के साथ बंद ताला;चाबी|चाबी के साथ ताला|चाबी के साथ बंद ताला|ताला|बंद|सुरक्षा|सुरक्षित
🔑;चाबी;चाबी|ताला|पासवर्ड
🗝️;पुरानी चाबी;चाबी|ताला|पुराना|पुरानी चाबी|संकेत
🔨;हथौड़ा;औज़ार|हथौड़ा
🪓;कुल्हाड़ी;औज़ार|काटना|कुल्हाड़ी|लकड़ी
⛏️;कुदाली;कुदाली|कुल्हाड़ी|खनन|खनन टूल
⚒️;हथौड़ा और कुल्हाड़ी;टूल|हथौड़ा और कुल्हाड़ी
🛠️;हथौड़ा और पाना;उपकरण|टूल|रैंच|हथौड़ा और पाना
🗡️;कटार;कटार|छुरी|हथियार
⚔️;क्रॉस बनाती तलवारें;क्रॉस बनाती तलवारें|तलवारें|हथियार
💣;बम;कॉमिक|खतरनाक|बम|भावना|विस्फोट
🪃;बूमरैंग;प्रतिप्रभाव|बाउंस बैक|बूमरैंग|रिटर्न|रिवर्स|रीबाउंड|हथियार
🏹;तीर और कमान;टूल|तीर|तीर और कमान|तीरंदाजी|धनु|धनुष|बाण|राशि
🛡️;ढाल;ढाल|हथियार
🪚;बढ़ई की आरी;आरी|औजार|कटर|काट-छाँट|काटाना|काठ की लकड़ी|ट्रिम|बढ़ई|बढ़ई की आरी
🔧;पाना;उपकरण|औज़ार|पाना|रेंच|रैंच
🪛;स्क्रूड्राइवर;औजार|टूल|पेचकस|स्क्रू|स्क्रूड्राइवर
🔩;नट और बोल्ट;औज़ार|नट|नट और बोल्ट|पेंच|बोल्ट
⚙️;गियर;उपकरण|गियर|टूल
🗜️;क्लैंप;उपकरण|कंप्रेस|क्लंप|क्लैंप|टूल|दबाना
⚖️;तराजू;तराजू|तुला|न्याय|राशि|संतुलन
🦯;नेत्रहीन की छड़ी;अंधा|अंधी|छड़ी|दिव्यांग की छड़ी|नेत्रहीन|नेत्रहीन की छड़ी|लाठी|सहायता
🔗;कड़ी;कड़ी|लिंक|शृंखला
⛓️‍💥;टूटी हुई ज़ंजीर;आज़ादी|कड़ी|ज़ंजीर|टूटना|टूटी हुई ज़ंजीर|तोड़ना
⛓️;ज़ंजीर;ज़ंजीर|शृंखला|सांकल
🪝;हुक;काँटा|कुंडा|क्रुक|पकड़ना|फँसाना|मोड़ना|वक्र|सेलिंग पॉइंट|हुक
🧰;टूलबॉक्स;उपकरण|औज़ार|कारीगर|टूल|टूल बॉक्स|टूलबॉक्स|डिब्बा|बैग|मकेनिक|मकैनिक|हथौड़ा
🧲;चुंबक;आकर्षक|आकर्षण|घोड़े की नाल|चुंबक|चुंबकीय|मैगनेट
🪜;सीढ़ी;चढ़ना|चढ़ाव|ज़ीना|सीढ़ी|स्टेप्स
🪏;फावड़ा;कुदाल|खोदना|छेद|दफ़नाना|पौधा|फावड़ा|बगीचा|बर्फ़|स्कूप
⚗️;रासायनिक उपकरण;उपकरण|टूल|रसायन|रासायनिक उपकरण
🧪;टेस्ट ट्यूब;कैमिस्ट्री|टयूब|टेस्ट|टेस्ट ट्यूब|प्रयोग|प्रयोगशाला|रसायनज्ञ|रसायनशास्त्र|लैब|विज्ञान|साइन्स|साइंस|स्कूल
🧫;पेट्री डिश;कल्चर|किटाणु|कीटाणु|जीवविज्ञान|जीवविज्ञानी|जीवाणु|पेट्री डिश|प्रयोगशाला|बायो|बैकटीरिया|बैक्टीरिया|लैब|विज्ञान|साइन्स|साइंस
🧬;डीएनए;आनुवंशिक विज्ञान|जीवन|जीवविज्ञानी|डी.एन.ए|डीएनए|फैल|फैलना|बायोलॉजिस्ट|लाइफ़|वंशाणु|विकास
🔬;माइक्रोस्कोप;उपकरण|प्रयोग|माइक्रोस्कोप|विज्ञान
🔭;दूरबीन;उपकरण|टेलिस्कोप|दूरबीन|विज्ञान
📡;सैटेलाइट एंटेना;उपग्रह|डिश|सैटेलाइट एंटेना|सैटेलाइट डिश
💉;सिरींज, सूई;डॉक्टर|दवाई|बीमार|मरीज़|सिरिंज|सिरींज|सिरींज, सूई|सुई|सूई
🩸;ख़ून की बूँद;खून|ख़ून|ख़ून की बूँद|चिकित्सा|पीरियड|मासिक धर्म|रक्त|रक्तदान
💊;गोली;गोली|डॉक्टर|दवाई
🩹;चिपकाने वाली पट्‍टी;चिपकाने वाली पट्‍टी|पट्टी|बैंड एड|बैंडेज
🩼;बैसाखी;क्रच|घायल|चलने फिरने में सहायक|चोट|छड़ी|बेंत|बैसाखी|मदद|विकलांगता
🩺;स्टेथोस्कोप;चिकित्सा|डॉक्टर|दवा|ब्लड प्रेशर|रक्तचाप|स्टेथोस्कोप
🩻;एक्स-रे;एक्स-रे|एक्सरे|कंकाल|चिकित्सा|डॉक्टर|हड्डियाँ|हड्डियां
🚪;दरवाज़ा;दरवाजा|दरवाज़ा|द्वार
🛗;एलिवेटर;एलिवेटर|लिफ़्ट|सुलभता
🪞;आईना;आईना|दर्पण|परछाईं|परावर्तक|प्रतिबिंब|मेकअप|शीशा
🪟;खिड़की;काँच|खिड़की|खोलना|ताज़ी हवा|दृश्य|पारदर्शी|फ़्रेम|विंडो
🛏️;बिस्तर;बिस्तर|होटल
🛋️;सोफ़ा और लैंप;लैंप|सोफ़ा|सोफ़ा और लैंप|होटल
🪑;कुर्सी;कुर्सी|चेयर|फ़र्निचर
🚽;शौचालय;गुसलखाना|शौचालय
🪠;पिस्टन;क्लीनर|खिंचाव|टॉयलेट|नलसाज़|पिस्टन|फ़ोर्स कप|वॉल्व|सक्शन
🚿;स्नान;पानी|स्नान
🛁;बाथ टब;बाथ टब|बाथटब|स्नान
🪤;चूहेदानी;चारा|चाल|चालाकी|चूहेदानी|जाल|पिंजरा|प्रलोभन|फंदा|फँसाना|लालच|लुभाना
🪒;उस्तरा;उस्तरा|छुरा|छुरी|दाढ़ी बनाना|ब्लेड|रेज़र|शेव|शेविंग
🧴;लोशन की बोतल;क्रीम|धोना|नमी|बाल धोना|बोतल|मॉइश्चरॉइज़र|लोशन|लोशन की बोतल|शैंपू|शैम्पू|सन स्क्रीन|सनस्क्रीन
🧷;सेफ़्टी पिन;डायपर|पंक रॉक|पिन|सेफ़टी पिन|सेफ़्टी पिन
🧹;झाड़ू;चुडैल|जादू|जादूगरनी|झाडू|झाड़ू|झाडू निकालना|डर|भूत|भूतनी|सफ़ाई|सफ़ाई करना|साफ़
🧺;बास्केट;कपड़े धोने|किसानी|खेती|टोकरी|थैला|थैली|पिकनिक|बास्किट|बास्केट|लॉन्ड्री|सामान
🧻;पेपर का रोल;कागज़|टॉयलेट|तौलिया|पेपर|पेपर का रोल|पेपर टावल|पेपर टॉवेल|पेपर रोल
🪣;बाल्टी;कंटेनर|टंकी|टब|डोल|पानी|पीपा|पॉट|बकेट|बाल्टी
🧼;साबुन;गुलाबी|झाग|टिकिया|नहा|नहाओ|नहाता|नहाना|पिंक|बार|सफाई|सफ़ाई|सफ़ाई करना|साफ|साफ़|साबुन|साबुन का झाग|सोपडिश
🫧;बुलबुले;डकार|तैरता हुआ|पर्ल|पानी के नीचे|बुलबुला|बुलबुले|मोती|साफ़|साबुन
🪥;टूथब्रश;टूथब्रश|डेंटल|दाँत|बाथरूम|ब्रश|सफ़ाई|हाइजीन
🧽;स्पंज;छिद्रयुक्त|धोना|पानी|बर्तन धोना|सफ़ाई|साफ़|सोक|सोकना|सोख|सोखना|स्पंज
🧯;अग्निशामक;अग्नि|अग्नि शामक|अग्निशमन|अग्निशामक|आग|आग बुझा|बुझ|बुझाना
🛒;शॉपिंग कार्ट;कार्ट|खरीदारी|ख़रीदारी|ट्राली|शॉपिंग कार्ट
🚬;धूम्रपान;धूम्रपान|धूम्रपान का चिह्न|सिगरेट
⚰️;ताबूत;ताबूत|मृत्यु
🪦;हेडस्टोन;अंतिम संस्कार|ओम शांति|कब्र|कब्रिस्तान|दफ़नाना|मौत|शमशान|शहीद|समाधि|समाधि का पत्थर|समाधि-क्षेत्र|समाधिस्थल|स्मारक|हेडस्टोन
⚱️;अस्थि कलश;अंतिम संस्कार|अस्थि कलश|दाह-संस्कार|मृत्यु|राख
🧿;नज़र तावीज़;एविल-आई|घर|चार्म|जादू|ताबीज|ताबीज़|तावीज़|नज़र|नज़र उतारना|नीला|बच|बचाता|बचाना|बीड|मोती
🪬;हम्सा;किस्मत|गाइड|ताबीज|ताबीज़|फातिमा|मरियम|मैरी|सुरक्षा|हथेली|हम्सा|हाथ
🗿;मोए;चेहरा|मूर्ति|मोए|मोयाई|यात्रा
🪧;घोषणा पत्र;एड्रेस|घोषणा|घोषणा पत्र|घोषणापत्र|जुलूस|तख़्ती|नोटिस|नोटिस बोर्ड|पता|पिकिट|पोस्टर|प्रोटेस्ट|साइन बोर्ड|सूचना|हस्ताक्षर
🪪;पहचान पत्र;I.D.|ID|आइडेंटिफ़िकेशन|आईडी|कार्ड|डॉक्यूमेंट|परिचय पत्र|पहचान पत्र|लाइसेंस|सुरक्षा

[symbols]
🏧;ATM का चिह्न;ATM का चिह्न|एटीएम|ऑटोमैटेड टेलर|टेलर|स्वचालित
🚮;पेटी में कचरा डालने का चिह्न;कचरा|कचरा पेटी|कूड़ा|कूड़ादान|पेटी में कचरा डालने का चिह्न|पेटी में कचरा डालें
🚰;पीने का पानी;पीने का पानी|पीने के पानी का चिह्न|पेयजल
♿;ह्वीलचेयर का प्रतीक;ऐक्सेस|व्हीलचेयर|व्हीलचेयर का प्रतीक|ह्वीलचेयर का प्रतीक
🚹;पुरुष कक्ष;चिह्न|पुरुष|पुरुष कक्ष|पुरुष का चिह्न|पुरुष का प्रतीक|शौचालय
🚺;महिला कक्ष;चिह्न|महिला|महिला कक्ष|महिला का चिह्न|महिला का प्रतीक|शौचालय
🚻;सुविधाघर;टॉयलेट|बाथरूम|शौचालय|सुविधाघर|सुविधाघर का चिह्न
🚼;गाड़ी में शिशु है;गाड़ी में शिशु है|बच्चे का चिह्न|बच्चे के कपड़े बदलने का स्थान|शिशु
🚾;वॉटर क्लोसेट;WC|पानी|लावाटोरी|वॉटर क्लोसेट|शौचालय|सुविधाघर
🛂;पासपोर्ट नियंत्रण;नियंत्रण|पासपोर्ट
🛃;कस्टम;कस्टम|पैकिंग|सीमा शुल्क
🛄;सामान वापसी;दावा|पहुंचना|बैगेज|सामान|सामान वापसी
🛅;छूटा सामान;छूटा सामान|बैग|सामान|सामान सेवा
⚠️;चेतावनी;चेतावनी|चेतावनी का चिह्न|सावधान
🚸;बच्चे निकल रहे हैं;चिह्न|पैदल यात्री|बच्चे|बच्चे निकल रहे हैं|यातायात|सड़क पार करना
⛔;प्रवेश निषेध;नहीं|निषिद्ध|प्रवेश|प्रवेश निषेध|प्रवेश निषेध चिह्न
🚫;निषिद्ध;निषिद्ध|प्रवेश|मनाही
🚳;साइकल नहीं;निषिद्ध|बाइक|बाइक निषेध|बाईसिकिल|साइकल नहीं|साइकिल की अनुमति नहीं|साइकिल नहीं|साइकिल निषेध
🚭;धूम्रपान निषेध;चिह्न|धूम्रपान निषेध|धूम्रपान निषेध का चिह्न|निषिद्ध
🚯;गंदगी न फैलाएँ;कूड़ा|गंदगी न करें|गंदगी न करें का चिह्न|गंदगी न फैलाएँ|गंदगी नहीं|चिह्न
🚱;पानी पीने योग्य नहीं;पानी|पानी पीने योग्य नहीं|पीने अयोग्य|पीने लायक नहीं
🚷;पदयात्री निषेध, पैदल चलने की अनुमति नहीं;चिह्न|निषिद्ध|पदयात्री|पदयात्री निषेध|पदयात्री निषेध, पैदल चलने की अनुमति नहीं|पैदल|पैदल चलने की अनुमति नहीं
📵;मोबाइल फ़ोन वर्जित है;निषेध|फ़ोन|फ़ोन पर बात करना मना है|फ़ोन मना है|मोबाइल|मोबाइल फ़ोन वर्जित है|यहाँ फ़ोन पर बात न करें|सेल|सेल फ़ोन निषिद्ध
🔞;18 से कम प्रतिबंधित;18|18 वर्ष से छोटे निषिद्ध|18 से कम प्रतिबंधित|उम्र प्रतिबंध|उम्र से कम|निषेध
☢️;रेडियो सक्रिय;पंखा|रेडियो|रेडियो एक्टिव|रेडियो सक्रिय
☣️;जैवसंकट;जैवसंकट|बायोहाज़र्ड|संकेत
⬆️;उर्ध्वमुखी तीर;उत्तर|उर्ध्वमुखी तीर|ऊपर तीर|कार्डिनल|तीर|दिशा
↗️;ऊपर-दायाँ तीर;इंटरकार्डिनल|उत्तर-पूर्व दिशा|उत्तरपूर्व दिशा|ऊपर-दायाँ तीर|दिशा
➡️;दायाँ तीर;कार्डिनल|तीर|दायाँ तीर|दिशा|पूर्व दिशा
↘️;नीचे-दायाँ तीर;इंटरकार्डिनल|दक्षिण-पूर्व दिशा|दक्षिणपूर्व|दिशा|नीचे-दायाँ तीर|नीचे-दायां तीर
⬇️;नीचे तीर;कार्डिनल|दक्षिण|दिशा|नीचे|नीचे तीर
↙️;नीचे-बायाँ तीर;इंटरकार्डिनल|दक्षिण-पश्चिम दिशा|दक्षिणपश्चिम|दिशा|नीचे-बायाँ तीर|नीचे-बायां तीर
⬅️;बायाँ तीर;कार्डिनल|तीर|दिशा|पश्चिम|बायाँ तीर|बायां तीर
↖️;ऊपर-बायाँ तीर;इंटरकार्डिनल|उत्तर पश्चिम|उत्तर-पश्चिम दिशा|ऊपर-बायाँ तीर|ऊपर-बायां तीर|दिशा
↕️;ऊपर-नीचे तीर;ऊपर-नीचे तीर|तीर
↔️;बाएँ-दाएँ तीर;तीर|बाएँ-दाएँ तीर
↩️;बाईं ओर मुड़ा दायाँ तीर;तीर|बाईं ओर मुड़ने वाला दायां तीर|बाईं ओर मुड़ा दायाँ तीर
↪️;दाईं ओर मुड़ा बायाँ तीर;तीर|दाईं ओर मुड़ने वाला बायां तीर|दाईं ओर मुड़ा बायाँ तीर
⤴️;ऊपर की ओर मुड़ा दायाँ तीर;ऊपर की ओर मुड़ा दायाँ तीर|तीर|दाहिने तीर ऊपर की तरफ
⤵️;नीचे की ओर मुड़ा दायाँ तीर;तीर|दाहिने तीर नीचे की तरफ|निचे|नीचे की ओर मुड़ा दायाँ तीर
🔃;घड़ी की दिशा में लंबवत तीर;घड़ी की दिशा में लंबवत तीर|तीर|दक्षिणावर्त|पुनः लोड करें|रिलोड
🔄;घड़ी की उल्टी दिशा में तीर;घड़ी की उल्टी दिशा में तीर|घड़ी की विपरीत दिशा में तीर|तीर|वामावर्त
🔙;वापस तीर;तीर|बाएँ तीर के साथ वापस|बायाँ तीर|वापस
🔚;END के साथ तीर;END के साथ तीर|तीर|बाएँ तीर के साथ समाप्ति|बायाँ तीर|समाप्ति
🔛;on! तीर;ON! तीर|चालू|चिह्न|तीर|निशान
🔜;SOON तीर;SOON तीर|जल्दी|जल्दी चिह्न|तीर
🔝;TOP तीर;TOP तीर|ऊपर|ऊपर तीर|ऊपर तीर के साथ शीर्ष|शीर्ष|शीर्ष चिह्न
🛐;पूजा स्थल;आराधना स्थल|धर्म|पूजा|पूजा स्थल|प्रार्थना
⚛️;अणु चिह्न;अणु|अणु चिह्न|नास्तिक
🕉️;ॐ;ॐ|ओम|धर्म|हिंदू
✡️;यहूदी धर्म का चिह्न;डेविड|तारा|धर्म|यहूदी|यहूदी धर्म का चिह्न
☸️;धर्म चक्र;चक्र|धर्म|बौद्ध
☯️;यिंग यांग;ताओ|ताओवादी|धर्म|यांग|यिंग
✝️;लैटिन क्रॉस;ईसाई|धर्म|लैटिन क्रॉस
☦️;ऑर्थडॉक्स क्रॉस;ईसाई|ऑर्थडॉक्स क्रॉस|क्रॉस|धर्म
☪️;चाँद और तारा;इस्लाम|चाँद और तारा|चांद और तारा|धर्म
☮️;शांति का प्रतीक;शांति|शांति का प्रतीक
🕎;मेनोरा;दीपाधार|धर्म|मेनोरा|मोमबत्ती|यहूदी
🔯;छह मुखी तारा, भविष्य;छह मुखी तारा|छह मुखी तारा, भविष्य|छह सिरे|तारा|भविष्य|भविष्य बताना
🪯;खंडा;खंडा|खालसा|धर्म|सिख
♈;मेष;मेष|राशि|राशिफल
♉;वृषभ;राशि|राशिफल|वृषभ
♊;मिथुन;मिथुन|राशि|राशिफल
♋;कर्क;कर्क|राशि|राशिफल
♌;सिंह;राशि|राशिफल|सिंह
♍;कन्या;कन्या|राशि|राशिफल
♎;तुला;तुला|राशि|राशिफल
♏;वृश्चिक;राशि|राशिफल|वृश्चिक
♐;धनु;धनु|राशि
♑;मकर;मकर|राशि|राशिफल
♒;कुंभ;कुंभ|राशि|राशिफल
♓;मीन, राशि;मीन|मीन, राशि|राशि|राशिफल
⛎;सर्प;राशि|राशिफल|सर्प
🔀;शफ़ल ट्रैक बटन;क्रॉस|तीर|पार|बटन|शफ़ल ट्रैक बटन
🔁;घड़ी की दिशा में तीर;घड़ी की दिशा में तीर|तीर|दक्षिणावर्त
🔂;एक बार दोहराएँ बटन;1 अंक के साथ घड़ी की दिशा में तीर|अंक 1|एक बार दोहराएँ बटन|घड़ी की दिशा में तीर|तीर|दक्षिणावर्त
▶️;प्ले बटन;चलाएं बटन|त्रिकोण|त्रिभुज|दाहिना|प्ले बटन
⏩;फ़ास्ट फ़ॉर्वर्ड बटन;तीर|तेज़|दायाँ|दोहरा दायाँ तीर|फास्ट फॉरवर्ड बटन|फ़ास्ट फ़ॉर्वर्ड|फ़ास्ट फ़ॉर्वर्ड बटन|फ़ॉरवर्ड
⏭️;अगला ट्रैक बटन;अगला ट्रैक|अगला ट्रैक बटन|अगला दृश्य|अगले दृश्य|तीर|त्रिकोण|त्रिभुज
⏯️;प्ले और पॉज़ बटन;चलाएँ|चलाएं|तीर|त्रिकोण|पॉज़|प्ले|प्ले और पॉज़ बटन|प्ले या पॉज़ बटन|रोकें
◀️;पीछे जाएँ बटन;तीर|त्रिकोण|त्रिभुज|पीछे जाएँ|पीछे जाएँ बटन|बाईं|बाई ओर|बाएँ|बायाँ|रिवर्स|वापस जाएँ
⏪;फ़ास्ट रिवर्स बटन;तीर|दोहरा|फ़ास्ट रिवर्स बटन|रिवाइंड|रीवाइंड
⏮️;पिछला ट्रैक बटन;तीर|त्रिकोण|दोहरा रीवाइंड तीर|पिछला ट्रैक|पिछला ट्रैक बटन|पिछला दृश्य|रीवाइंड
🔼;ऊपर त्रिभुज बटन;ऊपर त्रिभुज|ऊपर त्रिभुज बटन|ऊपर बटन|त्रिभुज|बटन
⏫;तेज़ ऊपर बटन;ऊपर|तीर|तेज़ ऊपर बटन|दोहरा
🔽;नीचे त्रिभुज बटन;त्रिभुज|नीचे त्रिभुज|नीचे त्रिभुज बटन|नीचे बटन|बटन
⏬;फ़ास्ट डाउन बटन;तीर|दोहरा नीचे तीर|नीचे|फ़ास्ट डाउन बटन
⏸️;पॉज़ बटन;दोहरा|पॉज़ बटन|बार|रोकें|रोकें बटन|लंबवत|स्थिर बटन
⏹️;रोकें बटन;रोकें|रोकें बटन|वर्ग
⏺️;रिकॉर्ड बटन;रिकॉर्ड|रिकॉर्ड बटन|वृत्त
⏏️;इजेक्ट बटन;इजेक्ट बटन|निकालें|निकालें बटन
🎦;सिनेमा;कैमरा|फिल्म|फ़िल्म|मनोरंजन|मूवी|मूवी का चिह्न|सिनेमा
🔅;मंद चमक;कम|कम चमक का चिह्न|चमक|मंद
🔆;अधिक चमक;अधिक चमक|अधिक चमक का चिह्न|चमक|चमकदार
📶;एंटेना संकेत;एंटीना|एंटेना संकेत|फ़ोन|बार के साथ एंटेना|मोबाइल|संकेत|संकेत प्रबलता|संचार|सिग्नल
🛜;वायरलेस;इंटरनेट|कंप्यूटर|नेटवर्क|वाई-फ़ाई|वायरलेस|हॉटस्पॉट
