# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
	👩🏽‍❤️‍💋‍👨🏾;נשיקה: אישה, איש, גוון עור בינוני, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👨🏿;נשיקה: אישה, איש, גוון עור בינוני, גוון עור כהה;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👨🏻;נשיקה: אישה, איש, גוון עור כהה בינוני, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👨🏼;נשיקה: אישה, איש, גוון עור כהה בינוני, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👨🏽;נשיקה: אישה, איש, גוון עור כהה בינוני, גוון עור בינוני;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👨🏾;נשיקה: אישה, איש, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👨🏿;נשיקה: אישה, איש, גוון עור כהה בינוני, גוון עור כהה;אהבה|איש|אישה|גוון עור כהה|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👨🏻;נשיקה: אישה, איש, גוון עור כהה, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👨🏼;נשיקה: אישה, איש, גוון עור כהה, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👨🏽;נשיקה: אישה, איש, גוון עור כהה, גוון עור בינוני;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👨🏾;נשיקה: אישה, איש, גוון עור כהה, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור כהה|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👨🏿;נשיקה: אישה, איש, גוון עור כהה;אהבה|איש|אישה|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
👨‍❤️‍💋‍👨;נשיקה: איש, איש;אהבה|איש|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏻‍❤️‍💋‍👨🏻;נשיקה: איש, איש, גוון עור בהיר;אהבה|איש|גוון עור בהיר|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏻‍❤️‍💋‍👨🏼;נשיקה: איש, איש, גוון עור בהיר, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר|גוון עור בהיר בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏻‍❤️‍💋‍👨🏽;נשיקה: איש, איש, גוון עור בהיר, גוון עור בינוני;אהבה|איש|גוון עור בהיר|גוון עור בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏻‍❤️‍💋‍👨🏾;נשיקה: איש, איש, גוון עור בהיר, גוון עור כהה בינוני;אהבה|איש|גוון עור בהיר|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏻‍❤️‍💋‍👨🏿;נשיקה: איש, איש, גוון עור בהיר, גוון עור כהה;אהבה|איש|גוון עור בהיר|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏼‍❤️‍💋‍👨🏻;נשיקה: איש, איש, גוון עור בהיר בינוני, גוון עור בהיר;אהבה|איש|גוון עור בהיר|גוון עור בהיר בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏼‍❤️‍💋‍👨🏼;נשיקה: איש, איש, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏼‍❤️‍💋‍👨🏽;נשיקה: איש, איש, גוון עור בהיר בינוני, גוון עור בינוני;אהבה|איש|גוון עור בהיר בינוני|גוון עור בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏼‍❤️‍💋‍👨🏾;נשיקה: איש, איש, גוון עור בהיר בינוני, גוון עור כהה בינוני;אהבה|איש|גוון עור בהיר בינוני|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏼‍❤️‍💋‍👨🏿;נשיקה: איש, איש, גוון עור בהיר בינוני, גוון עור כהה;אהבה|איש|גוון עור בהיר בינוני|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏽‍❤️‍💋‍👨🏻;נשיקה: איש, איש, גוון עור בינוני, גוון עור בהיר;אהבה|איש|גוון עור בהיר|גוון עור בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏽‍❤️‍💋‍👨🏼;נשיקה: איש, איש, גוון עור בינוני, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר בינוני|גוון עור בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏽‍❤️‍💋‍👨🏽;נשיקה: איש, איש, גוון עור בינוני;אהבה|איש|גוון עור בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏽‍❤️‍💋‍👨🏾;נשיקה: איש, איש, גוון עור בינוני, גוון עור כהה בינוני;אהבה|איש|גוון עור בינוני|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏽‍❤️‍💋‍👨🏿;נשיקה: איש, איש, גוון עור בינוני, גוון עור כהה;אהבה|איש|גוון עור בינוני|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏾‍❤️‍💋‍👨🏻;נשיקה: איש, איש, גוון עור כהה בינוני, גוון עור בהיר;אהבה|איש|גוון עור בהיר|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏾‍❤️‍💋‍👨🏼;נשיקה: איש, איש, גוון עור כהה בינוני, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר בינוני|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏾‍❤️‍💋‍👨🏽;נשיקה: איש, איש, גוון עור כהה בינוני, גוון עור בינוני;אהבה|איש|גוון עור בינוני|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏾‍❤️‍💋‍👨🏾;נשיקה: איש, איש, גוון עור כהה בינוני;אהבה|איש|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏾‍❤️‍💋‍👨🏿;נשיקה: איש, איש, גוון עור כהה בינוני, גוון עור כהה;אהבה|איש|גוון עור כהה|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏿‍❤️‍💋‍👨🏻;נשיקה: איש, איש, גוון עור כהה, גוון עור בהיר;אהבה|איש|גוון עור בהיר|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏿‍❤️‍💋‍👨🏼;נשיקה: איש, איש, גוון עור כהה, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר בינוני|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏿‍❤️‍💋‍👨🏽;נשיקה: איש, איש, גוון עור כהה, גוון עור בינוני;אהבה|איש|גוון עור בינוני|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏿‍❤️‍💋‍👨🏾;נשיקה: איש, איש, גוון עור כהה, גוון עור כהה בינוני;אהבה|איש|גוון עור כהה|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👨🏿‍❤️‍💋‍👨🏿;נשיקה: איש, איש, גוון עור כהה;אהבה|איש|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
👩‍❤️‍💋‍👩;נשיקה: אישה, אישה;אהבה|אישה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏻‍❤️‍💋‍👩🏻;נשיקה: אישה, אישה, גוון עור בהיר;אהבה|אישה|גוון עור בהיר|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏻‍❤️‍💋‍👩🏼;נשיקה: אישה, אישה, גוון עור בהיר, גוון עור בהיר בינוני;אהבה|אישה|גוון עור בהיר|גוון עור בהיר בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏻‍❤️‍💋‍👩🏽;נשיקה: אישה, אישה, גוון עור בהיר, גוון עור בינוני;אהבה|אישה|גוון עור בהיר|גוון עור בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏻‍❤️‍💋‍👩🏾;נשיקה: אישה, אישה, גוון עור בהיר, גוון עור כהה בינוני;אהבה|אישה|גוון עור בהיר|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏻‍❤️‍💋‍👩🏿;נשיקה: אישה, אישה, גוון עור בהיר, גוון עור כהה;אהבה|אישה|גוון עור בהיר|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏼‍❤️‍💋‍👩🏻;נשיקה: אישה, אישה, גוון עור בהיר בינוני, גוון עור בהיר;אהבה|אישה|גוון עור בהיר|גוון עור בהיר בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏼‍❤️‍💋‍👩🏼;נשיקה: אישה, אישה, גוון עור בהיר בינוני;אהבה|אישה|גוון עור בהיר בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏼‍❤️‍💋‍👩🏽;נשיקה: אישה, אישה, גוון עור בהיר בינוני, גוון עור בינוני;אהבה|אישה|גוון עור בהיר בינוני|גוון עור בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏼‍❤️‍💋‍👩🏾;נשיקה: אישה, אישה, גוון עור בהיר בינוני, גוון עור כהה בינוני;אהבה|אישה|גוון עור בהיר בינוני|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏼‍❤️‍💋‍👩🏿;נשיקה: אישה, אישה, גוון עור בהיר בינוני, גוון עור כהה;אהבה|אישה|גוון עור בהיר בינוני|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👩🏻;נשיקה: אישה, אישה, גוון עור בינוני, גוון עור בהיר;אהבה|אישה|גוון עור בהיר|גוון עור בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👩🏼;נשיקה: אישה, אישה, גוון עור בינוני, גוון עור בהיר בינוני;אהבה|אישה|גוון עור בהיר בינוני|גוון עור בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👩🏽;נשיקה: אישה, אישה, גוון עור בינוני;אהבה|אישה|גוון עור בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👩🏾;נשיקה: אישה, אישה, גוון עור בינוני, גוון עור כהה בינוני;אהבה|אישה|גוון עור בינוני|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👩🏿;נשיקה: אישה, אישה, גוון עור בינוני, גוון עור כהה;אהבה|אישה|גוון עור בינוני|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👩🏻;נשיקה: אישה, אישה, גוון עור כהה בינוני, גוון עור בהיר;אהבה|אישה|גוון עור בהיר|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👩🏼;נשיקה: אישה, אישה, גוון עור כהה בינוני, גוון עור בהיר בינוני;אהבה|אישה|גוון עור בהיר בינוני|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👩🏽;נשיקה: אישה, אישה, גוון עור כהה בינוני, גוון עור בינוני;אהבה|אישה|גוון עור בינוני|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👩🏾;נשיקה: אישה, אישה, גוון עור כהה בינוני;אהבה|אישה|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👩🏿;נשיקה: אישה, אישה, גוון עור כהה בינוני, גוון עור כהה;אהבה|אישה|גוון עור כהה|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👩🏻;נשיקה: אישה, אישה, גוון עור כהה, גוון עור בהיר;אהבה|אישה|גוון עור בהיר|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👩🏼;נשיקה: אישה, אישה, גוון עור כהה, גוון עור בהיר בינוני;אהבה|אישה|גוון עור בהיר בינוני|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👩🏽;נשיקה: אישה, אישה, גוון עור כהה, גוון עור בינוני;אהבה|אישה|גוון עור בינוני|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👩🏾;נשיקה: אישה, אישה, גוון עור כהה, גוון עור כהה בינוני;אהבה|אישה|גוון עור כהה|גוון עור כהה בינוני|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👩🏿;נשיקה: אישה, אישה, גוון עור כהה;אהבה|אישה|גוון עור כהה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
💑;זוג עם לב;אהבה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	💑🏻;זוג עם לב: גוון עור בהיר;אהבה|גוון עור בהיר|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	💑🏼;זוג עם לב: גוון עור בהיר בינוני;אהבה|גוון עור בהיר בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	💑🏽;זוג עם לב: גוון עור בינוני;אהבה|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	💑🏾;זוג עם לב: גוון עור כהה בינוני;אהבה|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	💑🏿;זוג עם לב: גוון עור כהה;אהבה|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏻‍❤️‍🧑🏼;זוג עם לב: אדם, אדם, גוון עור בהיר, גוון עור בהיר בינוני;אדם|אהבה|גוון עור בהיר|גוון עור בהיר בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏻‍❤️‍🧑🏽;זוג עם לב: אדם, אדם, גוון עור בהיר, גוון עור בינוני;אדם|אהבה|גוון עור בהיר|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏻‍❤️‍🧑🏾;זוג עם לב: אדם, אדם, גוון עור בהיר, גוון עור כהה בינוני;אדם|אהבה|גוון עור בהיר|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏻‍❤️‍🧑🏿;זוג עם לב: אדם, אדם, גוון עור בהיר, גוון עור כהה;אדם|אהבה|גוון עור בהיר|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏼‍❤️‍🧑🏻;זוג עם לב: אדם, אדם, גוון עור בהיר בינוני, גוון עור בהיר;אדם|אהבה|גוון עור בהיר|גוון עור בהיר בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏼‍❤️‍🧑🏽;זוג עם לב: אדם, אדם, גוון עור בהיר בינוני, גוון עור בינוני;אדם|אהבה|גוון עור בהיר בינוני|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏼‍❤️‍🧑🏾;זוג עם לב: אדם, אדם, גוון עור בהיר בינוני, גוון עור כהה בינוני;אדם|אהבה|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏼‍❤️‍🧑🏿;זוג עם לב: אדם, אדם, גוון עור בהיר בינוני, גוון עור כהה;אדם|אהבה|גוון עור בהיר בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏽‍❤️‍🧑🏻;זוג עם לב: אדם, אדם, גוון עור בינוני, גוון עור בהיר;אדם|אהבה|גוון עור בהיר|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏽‍❤️‍🧑🏼;זוג עם לב: אדם, אדם, גוון עור בינוני, גוון עור בהיר בינוני;אדם|אהבה|גוון עור בהיר בינוני|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏽‍❤️‍🧑🏾;זוג עם לב: אדם, אדם, גוון עור בינוני, גוון עור כהה בינוני;אדם|אהבה|גוון עור בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏽‍❤️‍🧑🏿;זוג עם לב: אדם, אדם, גוון עור בינוני, גוון עור כהה;אדם|אהבה|גוון עור בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏾‍❤️‍🧑🏻;זוג עם לב: אדם, אדם, גוון עור כהה בינוני, גוון עור בהיר;אדם|אהבה|גוון עור בהיר|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏾‍❤️‍🧑🏼;זוג עם לב: אדם, אדם, גוון עור כהה בינוני, גוון עור בהיר בינוני;אדם|אהבה|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏾‍❤️‍🧑🏽;זוג עם לב: אדם, אדם, גוון עור כהה בינוני, גוון עור בינוני;אדם|אהבה|גוון עור בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏾‍❤️‍🧑🏿;זוג עם לב: אדם, אדם, גוון עור כהה בינוני, גוון עור כהה;אדם|אהבה|גוון עור כהה|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏿‍❤️‍🧑🏻;זוג עם לב: אדם, אדם, גוון עור כהה, גוון עור בהיר;אדם|אהבה|גוון עור בהיר|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏿‍❤️‍🧑🏼;זוג עם לב: אדם, אדם, גוון עור כהה, גוון עור בהיר בינוני;אדם|אהבה|גוון עור בהיר בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏿‍❤️‍🧑🏽;זוג עם לב: אדם, אדם, גוון עור כהה, גוון עור בינוני;אדם|אהבה|גוון עור בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	🧑🏿‍❤️‍🧑🏾;זוג עם לב: אדם, אדם, גוון עור כהה, גוון עור כהה בינוני;אדם|אהבה|גוון עור כהה|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
👩‍❤️‍👨;זוג עם לב: אישה, איש;אהבה|איש|אישה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏻‍❤️‍👨🏻;זוג עם לב: אישה, איש, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏻‍❤️‍👨🏼;זוג עם לב: אישה, איש, גוון עור בהיר, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר|גוון עור בהיר בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏻‍❤️‍👨🏽;זוג עם לב: אישה, איש, גוון עור בהיר, גוון עור בינוני;אהבה|איש|אישה|גוון עור בהיר|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏻‍❤️‍👨🏾;זוג עם לב: אישה, איש, גוון עור בהיר, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור בהיר|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏻‍❤️‍👨🏿;זוג עם לב: אישה, איש, גוון עור בהיר, גוון עור כהה;אהבה|איש|אישה|גוון עור בהיר|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏼‍❤️‍👨🏻;זוג עם לב: אישה, איש, גוון עור בהיר בינוני, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|גוון עור בהיר בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏼‍❤️‍👨🏼;זוג עם לב: אישה, איש, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏼‍❤️‍👨🏽;זוג עם לב: אישה, איש, גוון עור בהיר בינוני, גוון עור בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏼‍❤️‍👨🏾;זוג עם לב: אישה, איש, גוון עור בהיר בינוני, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏼‍❤️‍👨🏿;זוג עם לב: אישה, איש, גוון עור בהיר בינוני, גוון עור כהה;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏽‍❤️‍👨🏻;זוג עם לב: אישה, איש, גוון עור בינוני, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏽‍❤️‍👨🏼;זוג עם לב: אישה, איש, גוון עור בינוני, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏽‍❤️‍👨🏽;זוג עם לב: אישה, איש, גוון עור בינוני;אהבה|איש|אישה|גוון עור בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏽‍❤️‍👨🏾;זוג עם לב: אישה, איש, גוון עור בינוני, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏽‍❤️‍👨🏿;זוג עם לב: אישה, איש, גוון עור בינוני, גוון עור כהה;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏾‍❤️‍👨🏻;זוג עם לב: אישה, איש, גוון עור כהה בינוני, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏾‍❤️‍👨🏼;זוג עם לב: אישה, איש, גוון עור כהה בינוני, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏾‍❤️‍👨🏽;זוג עם לב: אישה, איש, גוון עור כהה בינוני, גוון עור בינוני;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏾‍❤️‍👨🏾;זוג עם לב: אישה, איש, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏾‍❤️‍👨🏿;זוג עם לב: אישה, איש, גוון עור כהה בינוני, גוון עור כהה;אהבה|איש|אישה|גוון עור כהה|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏿‍❤️‍👨🏻;זוג עם לב: אישה, איש, גוון עור כהה, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏿‍❤️‍👨🏼;זוג עם לב: אישה, איש, גוון עור כהה, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏿‍❤️‍👨🏽;זוג עם לב: אישה, איש, גוון עור כהה, גוון עור בינוני;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏿‍❤️‍👨🏾;זוג עם לב: אישה, איש, גוון עור כהה, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור כהה|גוון עור כהה בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👩🏿‍❤️‍👨🏿;זוג עם לב: אישה, איש, גוון עור כהה;אהבה|איש|אישה|גוון עור כהה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
👨‍❤️‍👨;זוג עם לב: איש, איש;אהבה|איש|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏻‍❤️‍👨🏻;זוג עם לב: איש, איש, גוון עור בהיר;אהבה|איש|גוון עור בהיר|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	👨🏻‍❤️‍👨🏼;זוג עם לב: איש, איש, גוון עור בהיר, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר|גוון עור בהיר בינוני|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
