# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت|صورت با لبخند|لبخند|نیش باز
	👩🏽‍❤️‍💋‍👨🏻;بوسه: زن،‏ مرد،‏ پوست طلایی، و پوست سفید;بوسه|پوست سفید|پوست طلایی|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏽‍❤️‍💋‍👨🏼;بوسه: زن،‏ مرد،‏ پوست طلایی، و پوست روشن;بوسه|پوست روشن|پوست طلایی|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏽‍❤️‍💋‍👨🏽;بوسه: زن،‏ مرد، و پوست طلایی;بوسه|پوست طلایی|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏽‍❤️‍💋‍👨🏾;بوسه: زن،‏ مرد،‏ پوست طلایی، و پوست گندمی;بوسه|پوست طلایی|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏽‍❤️‍💋‍👨🏿;بوسه: زن،‏ مرد،‏ پوست طلایی، و پوست آبنوسی;بوسه|پوست آبنوسی|پوست طلایی|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏾‍❤️‍💋‍👨🏻;بوسه: زن،‏ مرد،‏ پوست گندمی، و پوست سفید;بوسه|پوست سفید|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏾‍❤️‍💋‍👨🏼;بوسه: زن،‏ مرد،‏ پوست گندمی، و پوست روشن;بوسه|پوست روشن|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏾‍❤️‍💋‍👨🏽;بوسه: زن،‏ مرد،‏ پوست گندمی، و پوست طلایی;بوسه|پوست طلایی|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏾‍❤️‍💋‍👨🏾;بوسه: زن،‏ مرد، و پوست گندمی;بوسه|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏾‍❤️‍💋‍👨🏿;بوسه: زن،‏ مرد،‏ پوست گندمی، و پوست آبنوسی;بوسه|پوست آبنوسی|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏿‍❤️‍💋‍👨🏻;بوسه: زن،‏ مرد،‏ پوست آبنوسی، و پوست سفید;بوسه|پوست آبنوسی|پوست سفید|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏿‍❤️‍💋‍👨🏼;بوسه: زن،‏ مرد،‏ پوست آبنوسی، و پوست روشن;بوسه|پوست آبنوسی|پوست روشن|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏿‍❤️‍💋‍👨🏽;بوسه: زن،‏ مرد،‏ پوست آبنوسی، و پوست طلایی;بوسه|پوست آبنوسی|پوست طلایی|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏿‍❤️‍💋‍👨🏾;بوسه: زن،‏ مرد،‏ پوست آبنوسی، و پوست گندمی;بوسه|پوست آبنوسی|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
	👩🏿‍❤️‍💋‍👨🏿;بوسه: زن،‏ مرد، و پوست آبنوسی;بوسه|پوست آبنوسی|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
👨‍❤️‍💋‍👨;بوسه: مرد،‏ مرد;بوسه|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏻‍❤️‍💋‍👨🏻;بوسه: مرد،‏ مرد، و پوست سفید;بوسه|پوست سفید|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏻‍❤️‍💋‍👨🏼;بوسه: مرد،‏ مرد،‏ پوست سفید، و پوست روشن;بوسه|پوست روشن|پوست سفید|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏻‍❤️‍💋‍👨🏽;بوسه: مرد،‏ مرد،‏ پوست سفید، و پوست طلایی;بوسه|پوست سفید|پوست طلایی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏻‍❤️‍💋‍👨🏾;بوسه: مرد،‏ مرد،‏ پوست سفید، و پوست گندمی;بوسه|پوست سفید|پوست گندمی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏻‍❤️‍💋‍👨🏿;بوسه: مرد،‏ مرد،‏ پوست سفید، و پوست آبنوسی;بوسه|پوست آبنوسی|پوست سفید|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏼‍❤️‍💋‍👨🏻;بوسه: مرد،‏ مرد،‏ پوست روشن، و پوست سفید;بوسه|پوست روشن|پوست سفید|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏼‍❤️‍💋‍👨🏼;بوسه: مرد،‏ مرد، و پوست روشن;بوسه|پوست روشن|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏼‍❤️‍💋‍👨🏽;بوسه: مرد،‏ مرد،‏ پوست روشن، و پوست طلایی;بوسه|پوست روشن|پوست طلایی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏼‍❤️‍💋‍👨🏾;بوسه: مرد،‏ مرد،‏ پوست روشن، و پوست گندمی;بوسه|پوست روشن|پوست گندمی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏼‍❤️‍💋‍👨🏿;بوسه: مرد،‏ مرد،‏ پوست روشن، و پوست آبنوسی;بوسه|پوست آبنوسی|پوست روشن|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏽‍❤️‍💋‍👨🏻;بوسه: مرد،‏ مرد،‏ پوست طلایی، و پوست سفید;بوسه|پوست سفید|پوست طلایی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏽‍❤️‍💋‍👨🏼;بوسه: مرد،‏ مرد،‏ پوست طلایی، و پوست روشن;بوسه|پوست روشن|پوست طلایی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏽‍❤️‍💋‍👨🏽;بوسه: مرد،‏ مرد، و پوست طلایی;بوسه|پوست طلایی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏽‍❤️‍💋‍👨🏾;بوسه: مرد،‏ مرد،‏ پوست طلایی، و پوست گندمی;بوسه|پوست طلایی|پوست گندمی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏽‍❤️‍💋‍👨🏿;بوسه: مرد،‏ مرد،‏ پوست طلایی، و پوست آبنوسی;بوسه|پوست آبنوسی|پوست طلایی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏾‍❤️‍💋‍👨🏻;بوسه: مرد،‏ مرد،‏ پوست گندمی، و پوست سفید;بوسه|پوست سفید|پوست گندمی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏾‍❤️‍💋‍👨🏼;بوسه: مرد،‏ مرد،‏ پوست گندمی، و پوست روشن;بوسه|پوست روشن|پوست گندمی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏾‍❤️‍💋‍👨🏽;بوسه: مرد،‏ مرد،‏ پوست گندمی، و پوست طلایی;بوسه|پوست طلایی|پوست گندمی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏾‍❤️‍💋‍👨🏾;بوسه: مرد،‏ مرد، و پوست گندمی;بوسه|پوست گندمی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏾‍❤️‍💋‍👨🏿;بوسه: مرد،‏ مرد،‏ پوست گندمی، و پوست آبنوسی;بوسه|پوست آبنوسی|پوست گندمی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏿‍❤️‍💋‍👨🏻;بوسه: مرد،‏ مرد،‏ پوست آبنوسی، و پوست سفید;بوسه|پوست آبنوسی|پوست سفید|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏿‍❤️‍💋‍👨🏼;بوسه: مرد،‏ مرد،‏ پوست آبنوسی، و پوست روشن;بوسه|پوست آبنوسی|پوست روشن|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏿‍❤️‍💋‍👨🏽;بوسه: مرد،‏ مرد،‏ پوست آبنوسی، و پوست طلایی;بوسه|پوست آبنوسی|پوست طلایی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏿‍❤️‍💋‍👨🏾;بوسه: مرد،‏ مرد،‏ پوست آبنوسی، و پوست گندمی;بوسه|پوست آبنوسی|پوست گندمی|خانواده|داستان عاشقانه|زوج|عشق|مرد
	👨🏿‍❤️‍💋‍👨🏿;بوسه: مرد،‏ مرد، و پوست آبنوسی;بوسه|پوست آبنوسی|خانواده|داستان عاشقانه|زوج|عشق|مرد
👩‍❤️‍💋‍👩;بوسه: زن،‏ زن;بوسه|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏻‍❤️‍💋‍👩🏻;بوسه: زن،‏ زن، و پوست سفید;بوسه|پوست سفید|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏻‍❤️‍💋‍👩🏼;بوسه: زن،‏ زن،‏ پوست سفید، و پوست روشن;بوسه|پوست روشن|پوست سفید|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏻‍❤️‍💋‍👩🏽;بوسه: زن،‏ زن،‏ پوست سفید، و پوست طلایی;بوسه|پوست سفید|پوست طلایی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏻‍❤️‍💋‍👩🏾;بوسه: زن،‏ زن،‏ پوست سفید، و پوست گندمی;بوسه|پوست سفید|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏻‍❤️‍💋‍👩🏿;بوسه: زن،‏ زن،‏ پوست سفید، و پوست آبنوسی;بوسه|پوست آبنوسی|پوست سفید|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏼‍❤️‍💋‍👩🏻;بوسه: زن،‏ زن،‏ پوست روشن، و پوست سفید;بوسه|پوست روشن|پوست سفید|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏼‍❤️‍💋‍👩🏼;بوسه: زن،‏ زن، و پوست روشن;بوسه|پوست روشن|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏼‍❤️‍💋‍👩🏽;بوسه: زن،‏ زن،‏ پوست روشن، و پوست طلایی;بوسه|پوست روشن|پوست طلایی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏼‍❤️‍💋‍👩🏾;بوسه: زن،‏ زن،‏ پوست روشن، و پوست گندمی;بوسه|پوست روشن|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏼‍❤️‍💋‍👩🏿;بوسه: زن،‏ زن،‏ پوست روشن، و پوست آبنوسی;بوسه|پوست آبنوسی|پوست روشن|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏽‍❤️‍💋‍👩🏻;بوسه: زن،‏ زن،‏ پوست طلایی، و پوست سفید;بوسه|پوست سفید|پوست طلایی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏽‍❤️‍💋‍👩🏼;بوسه: زن،‏ زن،‏ پوست طلایی، و پوست روشن;بوسه|پوست روشن|پوست طلایی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏽‍❤️‍💋‍👩🏽;بوسه: زن،‏ زن، و پوست طلایی;بوسه|پوست طلایی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏽‍❤️‍💋‍👩🏾;بوسه: زن،‏ زن،‏ پوست طلایی، و پوست گندمی;بوسه|پوست طلایی|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏽‍❤️‍💋‍👩🏿;بوسه: زن،‏ زن،‏ پوست طلایی، و پوست آبنوسی;بوسه|پوست آبنوسی|پوست طلایی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏾‍❤️‍💋‍👩🏻;بوسه: زن،‏ زن،‏ پوست گندمی، و پوست سفید;بوسه|پوست سفید|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏾‍❤️‍💋‍👩🏼;بوسه: زن،‏ زن،‏ پوست گندمی، و پوست روشن;بوسه|پوست روشن|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏾‍❤️‍💋‍👩🏽;بوسه: زن،‏ زن،‏ پوست گندمی، و پوست طلایی;بوسه|پوست طلایی|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏾‍❤️‍💋‍👩🏾;بوسه: زن،‏ زن، و پوست گندمی;بوسه|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏾‍❤️‍💋‍👩🏿;بوسه: زن،‏ زن،‏ پوست گندمی، و پوست آبنوسی;بوسه|پوست آبنوسی|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏿‍❤️‍💋‍👩🏻;بوسه: زن،‏ زن،‏ پوست آبنوسی، و پوست سفید;بوسه|پوست آبنوسی|پوست سفید|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏿‍❤️‍💋‍👩🏼;بوسه: زن،‏ زن،‏ پوست آبنوسی، و پوست روشن;بوسه|پوست آبنوسی|پوست روشن|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏿‍❤️‍💋‍👩🏽;بوسه: زن،‏ زن،‏ پوست آبنوسی، و پوست طلایی;بوسه|پوست آبنوسی|پوست طلایی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏿‍❤️‍💋‍👩🏾;بوسه: زن،‏ زن،‏ پوست آبنوسی، و پوست گندمی;بوسه|پوست آبنوسی|پوست گندمی|خانواده|داستان عاشقانه|زن|زوج|عشق
	👩🏿‍❤️‍💋‍👩🏿;بوسه: زن،‏ زن، و پوست آبنوسی;بوسه|پوست آبنوسی|خانواده|داستان عاشقانه|زن|زوج|عشق
💑;زوج عاشق;داستان عاشقانه|زوج|زوج عاشق|عشق|قلب
	💑🏻;زوج عاشق: پوست سفید;پوست سفید|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب
	💑🏼;زوج عاشق: پوست روشن;پوست روشن|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب
	💑🏽;زوج عاشق: پوست طلایی;پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب
	💑🏾;زوج عاشق: پوست گندمی;پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب
	💑🏿;زوج عاشق: پوست آبنوسی;پوست آبنوسی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب
	🧑🏻‍❤️‍🧑🏼;زوج عاشق: شخص،‏ شخص،‏ پوست سفید، و پوست روشن;پوست روشن|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏻‍❤️‍🧑🏽;زوج عاشق: شخص،‏ شخص،‏ پوست سفید، و پوست طلایی;پوست سفید|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏻‍❤️‍🧑🏾;زوج عاشق: شخص،‏ شخص،‏ پوست سفید، و پوست گندمی;پوست سفید|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏻‍❤️‍🧑🏿;زوج عاشق: شخص،‏ شخص،‏ پوست سفید، و پوست آبنوسی;پوست آبنوسی|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏼‍❤️‍🧑🏻;زوج عاشق: شخص،‏ شخص،‏ پوست روشن، و پوست سفید;پوست روشن|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏼‍❤️‍🧑🏽;زوج عاشق: شخص،‏ شخص،‏ پوست روشن، و پوست طلایی;پوست روشن|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏼‍❤️‍🧑🏾;زوج عاشق: شخص،‏ شخص،‏ پوست روشن، و پوست گندمی;پوست روشن|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏼‍❤️‍🧑🏿;زوج عاشق: شخص،‏ شخص،‏ پوست روشن، و پوست آبنوسی;پوست آبنوسی|پوست روشن|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏽‍❤️‍🧑🏻;زوج عاشق: شخص،‏ شخص،‏ پوست طلایی، و پوست سفید;پوست سفید|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏽‍❤️‍🧑🏼;زوج عاشق: شخص،‏ شخص،‏ پوست طلایی، و پوست روشن;پوست روشن|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏽‍❤️‍🧑🏾;زوج عاشق: شخص،‏ شخص،‏ پوست طلایی، و پوست گندمی;پوست طلایی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏽‍❤️‍🧑🏿;زوج عاشق: شخص،‏ شخص،‏ پوست طلایی، و پوست آبنوسی;پوست آبنوسی|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏾‍❤️‍🧑🏻;زوج عاشق: شخص،‏ شخص،‏ پوست گندمی، و پوست سفید;پوست سفید|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏾‍❤️‍🧑🏼;زوج عاشق: شخص،‏ شخص،‏ پوست گندمی، و پوست روشن;پوست روشن|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏾‍❤️‍🧑🏽;زوج عاشق: شخص،‏ شخص،‏ پوست گندمی، و پوست طلایی;پوست طلایی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏾‍❤️‍🧑🏿;زوج عاشق: شخص،‏ شخص،‏ پوست گندمی، و پوست آبنوسی;پوست آبنوسی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏿‍❤️‍🧑🏻;زوج عاشق: شخص،‏ شخص،‏ پوست آبنوسی، و پوست سفید;پوست آبنوسی|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏿‍❤️‍🧑🏼;زوج عاشق: شخص،‏ شخص،‏ پوست آبنوسی، و پوست روشن;پوست آبنوسی|پوست روشن|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏿‍❤️‍🧑🏽;زوج عاشق: شخص،‏ شخص،‏ پوست آبنوسی، و پوست طلایی;پوست آبنوسی|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
	🧑🏿‍❤️‍🧑🏾;زوج عاشق: شخص،‏ شخص،‏ پوست آبنوسی، و پوست گندمی;پوست آبنوسی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|شخص|عشق|قلب
👩‍❤️‍👨;زوج عاشق: زن،‏ مرد;داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏻‍❤️‍👨🏻;زوج عاشق: زن،‏ مرد، و پوست سفید;پوست سفید|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏻‍❤️‍👨🏼;زوج عاشق: زن،‏ مرد،‏ پوست سفید، و پوست روشن;پوست روشن|پوست سفید|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏻‍❤️‍👨🏽;زوج عاشق: زن،‏ مرد،‏ پوست سفید، و پوست طلایی;پوست سفید|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏻‍❤️‍👨🏾;زوج عاشق: زن،‏ مرد،‏ پوست سفید، و پوست گندمی;پوست سفید|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏻‍❤️‍👨🏿;زوج عاشق: زن،‏ مرد،‏ پوست سفید، و پوست آبنوسی;پوست آبنوسی|پوست سفید|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏼‍❤️‍👨🏻;زوج عاشق: زن،‏ مرد،‏ پوست روشن، و پوست سفید;پوست روشن|پوست سفید|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏼‍❤️‍👨🏼;زوج عاشق: زن،‏ مرد، و پوست روشن;پوست روشن|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏼‍❤️‍👨🏽;زوج عاشق: زن،‏ مرد،‏ پوست روشن، و پوست طلایی;پوست روشن|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏼‍❤️‍👨🏾;زوج عاشق: زن،‏ مرد،‏ پوست روشن، و پوست گندمی;پوست روشن|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏼‍❤️‍👨🏿;زوج عاشق: زن،‏ مرد،‏ پوست روشن، و پوست آبنوسی;پوست آبنوسی|پوست روشن|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏽‍❤️‍👨🏻;زوج عاشق: زن،‏ مرد،‏ پوست طلایی، و پوست سفید;پوست سفید|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏽‍❤️‍👨🏼;زوج عاشق: زن،‏ مرد،‏ پوست طلایی، و پوست روشن;پوست روشن|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏽‍❤️‍👨🏽;زوج عاشق: زن،‏ مرد، و پوست طلایی;پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏽‍❤️‍👨🏾;زوج عاشق: زن،‏ مرد،‏ پوست طلایی، و پوست گندمی;پوست طلایی|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏽‍❤️‍👨🏿;زوج عاشق: زن،‏ مرد،‏ پوست طلایی، و پوست آبنوسی;پوست آبنوسی|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏾‍❤️‍👨🏻;زوج عاشق: زن،‏ مرد،‏ پوست گندمی، و پوست سفید;پوست سفید|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏾‍❤️‍👨🏼;زوج عاشق: زن،‏ مرد،‏ پوست گندمی، و پوست روشن;پوست روشن|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏾‍❤️‍👨🏽;زوج عاشق: زن،‏ مرد،‏ پوست گندمی، و پوست طلایی;پوست طلایی|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏾‍❤️‍👨🏾;زوج عاشق: زن،‏ مرد، و پوست گندمی;پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏾‍❤️‍👨🏿;زوج عاشق: زن،‏ مرد،‏ پوست گندمی، و پوست آبنوسی;پوست آبنوسی|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏿‍❤️‍👨🏻;زوج عاشق: زن،‏ مرد،‏ پوست آبنوسی، و پوست سفید;پوست آبنوسی|پوست سفید|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏿‍❤️‍👨🏼;زوج عاشق: زن،‏ مرد،‏ پوست آبنوسی، و پوست روشن;پوست آبنوسی|پوست روشن|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏿‍❤️‍👨🏽;زوج عاشق: زن،‏ مرد،‏ پوست آبنوسی، و پوست طلایی;پوست آبنوسی|پوست طلایی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏿‍❤️‍👨🏾;زوج عاشق: زن،‏ مرد،‏ پوست آبنوسی، و پوست گندمی;پوست آبنوسی|پوست گندمی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
	👩🏿‍❤️‍👨🏿;زوج عاشق: زن،‏ مرد، و پوست آبنوسی;پوست آبنوسی|داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
👨‍❤️‍👨;زوج عاشق: مرد،‏ مرد;داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏻‍❤️‍👨🏻;زوج عاشق: مرد،‏ مرد، و پوست سفید;پوست سفید|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏻‍❤️‍👨🏼;زوج عاشق: مرد،‏ مرد،‏ پوست سفید، و پوست روشن;پوست روشن|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏻‍❤️‍👨🏽;زوج عاشق: مرد،‏ مرد،‏ پوست سفید، و پوست طلایی;پوست سفید|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏻‍❤️‍👨🏾;زوج عاشق: مرد،‏ مرد،‏ پوست سفید، و پوست گندمی;پوست سفید|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏻‍❤️‍👨🏿;زوج عاشق: مرد،‏ مرد،‏ پوست سفید، و پوست آبنوسی;پوست آبنوسی|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏼‍❤️‍👨🏻;زوج عاشق: مرد،‏ مرد،‏ پوست روشن، و پوست سفید;پوست روشن|پوست سفید|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏼‍❤️‍👨🏼;زوج عاشق: مرد،‏ مرد، و پوست روشن;پوست روشن|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏼‍❤️‍👨🏽;زوج عاشق: مرد،‏ مرد،‏ پوست روشن، و پوست طلایی;پوست روشن|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏼‍❤️‍👨🏾;زوج عاشق: مرد،‏ مرد،‏ پوست روشن، و پوست گندمی;پوست روشن|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏼‍❤️‍👨🏿;زوج عاشق: مرد،‏ مرد،‏ پوست روشن، و پوست آبنوسی;پوست آبنوسی|پوست روشن|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏽‍❤️‍👨🏻;زوج عاشق: مرد،‏ مرد،‏ پوست طلایی، و پوست سفید;پوست سفید|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏽‍❤️‍👨🏼;زوج عاشق: مرد،‏ مرد،‏ پوست طلایی، و پوست روشن;پوست روشن|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏽‍❤️‍👨🏽;زوج عاشق: مرد،‏ مرد، و پوست طلایی;پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏽‍❤️‍👨🏾;زوج عاشق: مرد،‏ مرد،‏ پوست طلایی، و پوست گندمی;پوست طلایی|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏽‍❤️‍👨🏿;زوج عاشق: مرد،‏ مرد،‏ پوست طلایی، و پوست آبنوسی;پوست آبنوسی|پوست طلایی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏾‍❤️‍👨🏻;زوج عاشق: مرد،‏ مرد،‏ پوست گندمی، و پوست سفید;پوست سفید|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
	👨🏾‍❤️‍👨🏼;زوج عاشق: مرد،‏ مرد،‏ پوست گندمی، و پوست روشن;پوست روشن|پوست گندمی|داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
