# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
	👩🏿‍❤️‍👩🏾;ҷуфт бо дил: зан, зан, ранги торики пӯст, ранги торики миёнаи пӯст;зан|муҳаббат|ранги торики миёнаи пӯст|ранги торики пӯст|ҷуфт|ҷуфт бо дил
	👩🏿‍❤️‍👩🏿;ҷуфт бо дил: зан, зан, ранги торики пӯст;зан|муҳаббат|ранги торики пӯст|ҷуфт|ҷуфт бо дил
👨‍👩‍👦;оила: мард, зан, писар;зан|мард|оила|писар
👨‍👩‍👧;оила: мард, зан, духтар;духтар|зан|мард|оила
👨‍👩‍👧‍👦;оила: мард, зан, духтар, писар;духтар|зан|мард|оила|писар
👨‍👩‍👦‍👦;оила: мард, зан, писар, писар;зан|мард|оила|писар
👨‍👩‍👧‍👧;оила: мард, зан, духтар, духтар;духтар|зан|мард|оила
👨‍👨‍👦;оила: мард, мард, писар;мард|оила|писар
👨‍👨‍👧;оила: мард, мард, духтар;духтар|мард|оила
👨‍👨‍👧‍👦;оила: мард, мард, духтар, писар;духтар|мард|оила|писар
👨‍👨‍👦‍👦;оила: мард, мард, писар, писар;мард|оила|писар
👨‍👨‍👧‍👧;оила: мард, мард, духтар, духтар;духтар|мард|оила
👩‍👩‍👦;оила: зан, зан, писар;зан|оила|писар
👩‍👩‍👧;оила: зан, зан, духтар;духтар|зан|оила
👩‍👩‍👧‍👦;оила: зан, зан, духтар, писар;духтар|зан|оила|писар
👩‍👩‍👦‍👦;оила: зан, зан, писар, писар;зан|оила|писар
👩‍👩‍👧‍👧;оила: зан, зан, духтар, духтар;духтар|зан|оила
👨‍👦;оила: мард ва писар;мард|оила|писар
👨‍👦‍👦;оила: мард, писар, писар;мард|оила|писар
👨‍👧;оила: мард ва духтар;духтар|мард|оила
👨‍👧‍👦;оила: мард, духтар, писар;духтар|мард|оила|писар
👨‍👧‍👧;оила: мард, духтар, духтар;духтар|мард|оила
👩‍👦;оила: зан ва писар;зан|оила|писар
👩‍👦‍👦;оила: зан, писар, писар;зан|оила|писар
👩‍👧;оила: зан ва духтар;духтар|зан|оила
👩‍👧‍👦;оила: зан, духтар, писар;духтар|зан|оила|писар
👩‍👧‍👧;оила: зан, духтар, духтар;духтар|зан|оила
🗣️;сари гап зада истода;гап зада истода|гап задан|рӯй|сар|сари гап зада истода|суроб
👤;нимпайкара дар суроб;нимпайкара|нимпайкара дар суроб|суроб
👥;нимпайкараҳо дар суроб;нимпайкара|нимпайкараҳо дар суроб|суроб
🫂;;
👪;оила;оила
🧑‍🧑‍🧒;;
🧑‍🧑‍🧒‍🧒;;
🧑‍🧒;;
🧑‍🧒‍🧒;;
👣;изҳои пой;изи пой|изҳои пой|либос|чоп кардан
🫆;;

[animals_nature]
🐵;рӯи маймун;маймун|рӯи маймун|рӯй
🐒;маймун;маймун
🦍;горилла;горилла
🦧;;
🐶;афти саг;афти саг|рӯй|саг|ҳайвони хонагӣ
🐕;саг;саг|ҳайвони хонагӣ
🦮;;
🐕‍🦺;;
🐩;пудел;пудел|саг
🐺;афти гург;афти гург|гург|рӯй
🦊;афти рӯбоҳ;афти рӯбоҳ|рӯбоҳ|рӯй
🦝;;
🐱;афти гурба;афти гурба|гурба|рӯй|ҳайвони хонагӣ
🐈;гурба;гурба|ҳайвони хонагӣ
🐈‍⬛;;
🦁;афти шер;Асад|афти шер|бурҷи дувоздаҳгона|рӯй|шер
🐯;афти паланг;афти паланг|паланг|рӯй
🐅;паланг;паланг
🐆;леопард;леопард
🐴;афти асп;асп|афти асп|рӯй
🫎;;
🫏;;
🐎;асп;асп|аспакӣ|аспи пойга|пойга
🦄;афти якшоха;афти якшоха|рӯй|якшоха
🦓;гӯрхар;гӯрхар|рах
🦌;оҳу;оҳу
🦬;;
🐮;афти гов;афти гов|гов|рӯй
🐂;буққа;буққа|бурҷи дувоздаҳгона|Савр
🐃;говмеши обӣ;говмеш|говмеши обӣ|об
🐄;гов;гов
🐷;афти хук;афти хук|рӯй|хук
🐖;хук;коштан|хук
🐗;хуки ваҳшӣ;хук|хуки ваҳшӣ
🐽;бинии хук;бинӣ|бинии хук|рӯй|хук
🐏;қӯшқор;бурҷи дувоздаҳгона|гӯсфанд|қӯшқор|мард|Ҳамал
🐑;меш;гӯсфанд|зан|меш
🐐;буз;буз|бурҷи дувоздаҳгона|Ҷадӣ
🐪;шутур;куҳон|шутур|яккуҳона
🐫;шутури дукуҳона;дукуҳона|куҳон|шутур|шутури дукуҳона
🦙;;
🦒;зарофа;зарофа|нуқтаҳо
🐘;фил;фил
🦣;;
🦏;карк;карк
🦛;;
🐭;афти муш;афти муш|муш|рӯй
🐁;муш;муш
🐀;каламуш;каламуш
🐹;афти миримушон;афти миримушон|миримушон|рӯй|ҳайвони хонагӣ
🐰;афти заргӯш;афти заргӯш|заргӯш|рӯй|харгӯш|ҳайвони хонагӣ
🐇;заргӯш;заргӯш|харгӯш|ҳайвони хонагӣ
🐿️;бурундуқ;бурундуқ
🦫;;
🦔;хорпушт;халанда|хорпушт
🦇;муши паррон;вампир|муши паррон
🐻;афти хирс;афти хирс|рӯй|хирс
🐻‍❄️;;
🐨;коала;коала|хирс
🐼;афти панда;афти панда|панда|рӯй
🦥;;
🦦;;
🦨;;
🦘;;
🦡;;
🐾;изҳои панҷа;из|изҳои панҷа|панҷа|пойҳо
🦃;мурғи марҷон;мурғи марҷон|парранда
🐔;чӯҷа;парранда|чӯҷа
🐓;хурӯс;парранда|хурӯс
🐣;чӯҷаи аз тухм баромада истода;аз тухм баромадан|кӯдак|парранда|чӯҷа|чӯҷаи аз тухм баромада истода
🐤;чӯҷаи хурд;кӯдак|парранда|чӯҷа|чӯҷаи хурд
🐥;чӯҷаи хурди ба тарафи пеш нигоҳ карда истода;кӯдак|парранда|чӯҷа|чӯҷаи хурди ба тарафи пеш нигоҳ карда истода
🐦;парранда;парранда
🐧;пингвин;парранда|пингвин
🕊️;кафтар;кафтар|паридан|парранда|сулҳ
🦅;уқоб;парранда|уқоб
🦆;мурғобӣ;мурғобӣ|парранда
🦢;;
🦉;бум;бум|парранда|хирадманд
🦤;;
🪶;;
🦩;;
🦚;;
🦜;;
🪽;;
🐦‍⬛;;
🪿;;
🐦‍🔥;;
🐸;афти қурбоққа;афти қурбоққа|қурбоққа|рӯй
🐊;тимсоҳ;тимсоҳ
🐢;сангпушти обӣ;сангпушт|сангпушт обӣ|сангпушти даштӣ|сангпушти обӣ
🦎;калтакалос;калтакалос|хазанда
🐍;мор;бурҷи дувоздаҳгона|доранда|мор|Ҳаввоъ
🐲;афти аждаҳор;аждаҳор|афсона|афти аждаҳор|рӯй
🐉;аждаҳор;аждаҳор|афсона
🦕;динозаври завропод;брахиозавр|бронтозавр|динозаври завропод|диплодок
🦖;Т-Рекс;Т-Рекс|Тираннозавр Рекс
🐳;наҳанги фаввора зада истода;наҳанг|наҳанги фаввора зада истода|рӯй|фаввора зада истода
🐋;наҳанг;наҳанг
🐬;делфин;делфин|қаноти моҳӣ
🫍;;
🦭;;
🐟;моҳӣ;бурҷи дувоздаҳгона|моҳӣ|Ҳут
🐠;моҳии тропикӣ;моҳӣ|моҳии тропикӣ|тропикӣ
🐡;сагмоҳӣ;моҳӣ|сагмоҳӣ
🦈;кӯсамоҳӣ;кӯсамоҳӣ|моҳӣ
🐙;ҳаштпо;ҳаштпо
🐚;садафи морпеч;морпеч|садаф|садафи морпеч
🪸;;
🪼;;
🦀;харчанг;бурҷи дувоздаҳгона|Саратон|харчанг
🦞;;
🦐;гамбусакча;гамбусак|гамбусакча|ғизо|моллюскҳо|хурд
🦑;калмар;ғизо|калмар|моллюск
🦪;;
🐌;тӯқумшуллуқ;тӯқумшуллуқ
🦋;шапалак;зебо|ҳашарот|шапалак
🐛;гамбуск;гамбуск|ҳашарот
🐜;мурча;мурча|ҳашарот
🐝;занбури асал;занбур|занбури асал|ҳашарот
🪲;;
🐞;ҳасанак;какана|нонхӯрак|халилихӯак|ҳасанак|ҳашарот
🦗;крикет;крикет|малах
🪳;;
🕷️;тортанак;тортанак|ҳашарот
🕸️;тори тортанак;тори тортанак|тортанак
🦂;каждум;Ақраб|бурҷи дувоздаҳгона|каждум
🦟;;
🪰;;
🪱;;
🦠;;
💐;Гулдаста;гул|Гулдаста
🌸;гули гелос;гелос|гул|гул кардан|гули гелос
💮;гули сафед;гул|гули сафед
🪷;;
🏵️;гулдоира;гулдоира|растанӣ
🌹;садбарг;гул|садбарг
🥀;гули пажмурда;гул|гули пажмурда|пажмурда
🌺;гибискус;гибискус|гул
🌻;офтобпараст;гул|офтоб|офтобпараст
🌼;гул кардан;гул|гул кардан
🌷;лола;гул|лола
🪻;;
🌱;навниҳол;навниҳол|ҷавон
🪴;;
🌲;дарахти ҳамешасабз;дарахт|дарахти ҳамешасабз
🌳;дарахти паҳнбарг;дарахт|дарахти паҳнбарг|паҳнбарг|резиш
🌴;дарахти нахл;дарахт|дарахти нахл|нахл
🌵;гули ханҷарӣ;гули ханҷарӣ|растанӣ
🌾;дарзаи биринҷ;биринҷ|гӯш|дарзаи биринҷ|дона
🌿;алаф;алаф|барг
☘️;себарга;растанӣ|себарга
🍀;бедаи чорбарга;4|барг|беда|бедаи чорбарга|чор
🍁;барги заранг;афтидан|барг|барги заранг|заранг
🍂;барги хазон;афтидан|барг|барги хазон
🍃;барги дар шамол лаппида истода;барг|барги дар шамол лаппида истода|лаппидан|пуф кардан|шамол
🪹;;
🪺;;
🍄;занбӯруғ;занбӯруғ|маргимагас
🪾;;

[food_drink]
🍇;ангур;ангур|мева
🍈;харбуза;мева|харбуза
🍉;тарбуз;мева|тарбуз
🍊;мандарин;апелсин|мандарин|мева
🍋;лиму;лиму|мева|ситрусӣ
🍋‍🟩;;
🍌;банан;банан|мева
🍍;ананас;ананас|мева
🥭;;
🍎;себи сурх;мева|себ|себи сурх|сурх
🍏;себи сабз;мева|сабз|себ|себи сабз
🍐;нок;мева|нок
🍑;шафтолу;мева|шафтолу
🍒;гелос;гелос|мева
🍓;тути заминӣ;буттамева|мева|тути заминӣ
🫐;;
🥝;меваи киви;ғизо|киви|мева|меваи киви
🍅;помидор;ғизо|помидор|сабзавот
🫒;;
🥥;норҷил;нахл|норҷил|пина колада
🥑;авакадо;авакадо|ғизо|мева
🍆;бодимҷон;бодимҷон|бодинҷон|сабзавот
🥔;картошка;ғизо|картошка|сабзавот
🥕;сабзӣ;ғизо|сабзавот|сабзӣ
🌽;сӯтаи ҷуворимакка;гӯш|лабиринт|сӯтаи ҷуворимакка|ҷуворӣ|ҷуворимакка
🌶️;қаланфури тез;гарм|қаланфур|қаланфури тез
🫑;;
🥒;бодиринг;бодиринг|ғизо|парварда|сабзавот
🥬;;
🥦;брокколи;брокколи|карами ёбоӣ
🧄;;
🧅;;
🥜;чормағзи заминӣ;ғизо|сабзавот|чормағз|чормағзи заминӣ
🫘;;
🌰;кастона;кастона|растанӣ
🫚;;
🫛;;
🍄‍🟫;;
🫜;;
🍞;нон;буханка|нон
🥐;кулчақанди &quot;Рогалик&quot;;ғизо|картошка бирён|кулчақанди &quot;Рогалик&quot;|кулчақанди рогалик|нон|рогалик
🥖;батон;батон|ғизо|картошкаи бирён|нон|нони дарози фаронсавӣ
🫓;;
🥨;кулчаи қоқи ҳалқашакл;каҷ|кулчаи қоқи ҳалқашакл
🥯;;
🥞;чалпак;ғизо|пироги гарм|чалпак|чалпаки тунук
🧇;;
🧀;пораи фонашакли панир;панир|пораи фонашакли панир
🍖;гушт дар устухон;гушт|гушт дар устухон|устухон
🍗;линги мурғ;линги мурғ|мурғ|пой|устухон|чӯҷа
🥩;буридаи гушт;бурида|буридаи гушт|буридаи гушти баррача|буридаи гушти хук
🥓;гушти хук;гушт|гушти хук|ғизо
🍔;гамбургер;бургер|гамбургер
🍟;картошка бирён;бирён|картошка бирён|фаронсавӣ
🍕;питса;панир|питса|порча
🌭;хот дог;хот дог|хотдог|ҳасиб|ҳасибча
🥪;сендвич;нон|сендвич
🌮;тако;мехиклӣ|тако
🌯;буритто;буритто|мехисоӣ|печондан
🫔;;
🥙;нони қима андохташуда;гирос|ғизо|кабоб|қима андохташуда|нони қима андохташуда|нони чапотӣ|фалафел
🧆;;
🥚;тухм;ғизо|тухм
🍳;пухта истодааст;бирён шудаистода|дег|пухта истодааст|тухм
🥘;дегчаи хурди ғизо;ғизо|дегча|дегчаи хурди ғизо|паеля|пастоб|тоба
🍲;деги ғизо;дег|деги ғизо|пазондан
🫕;;
🥣;табақ бо қошуқ;наҳорӣ|табақ бо қошуқ|шӯла|шӯлаи биринҷӣ
🥗;хӯриши сабз;ғизо|сабз|хӯриш|хӯриши сабз
🍿;ҷуворипақак;ҷуворипақак
🧈;;
🧂;;
🥫;маҳсулоти консервагӣ;қуттӣ|маҳсулоти консервагӣ
🍱;қуттии бенто;бенто|қуттӣ|қуттии бенто
🍘;брекери биринҷӣ;биринҷ|брекери биринҷӣ|крекер
🍙;курачаи биринҷӣ;биринҷ|курачаи биринҷӣ|тӯб|ҷопонӣ
🍚;биринҷи пухташуда;биринҷ|биринҷи пухташуда|пухташуда
🍛;биринҷ бо карри;биринҷ|биринҷ бо карри|карри
🍜;зарф барои ҷӯшондан;дар об пӯхтан|зарф барои ҷӯшондан|коса|макарон|рамен
🍝;спагетти;маҳсулоти макаронӣ|спагетти
🍠;картошкаи ширини пухташуда;картошка|картошкаи ширини пухташуда|пухташуда|ширин
🍢;оден;кабоб|маҳсулоти баҳрӣ|оден|сихкабоб|чӯб
🍣;суши;суши
🍤;креветкаи хурди бирён;бирён|креветка|креветкаи хурди бирён|криветкаи хурд|темпура
🍥;торт аз моҳӣ бо гирдоб;гирдоб|маҳсулоти қаннодӣ|моҳӣ|торт|торт аз моҳӣ бо гирдоб
🥮;;
🍡;данго;данго|десерт|сихкабоб|чӯб|ҷопонӣ|ширин
🥟;ғелаккабоб;гиёза|ғелаккабоб|пирог|тушбера|чалпаки гуштдор|ҷиёза
🥠;кулчаҳои қандини туҳфадор;кулчаҳои қандини туҳфадор|пешгӯӣ
🥡;қуттии хӯроки бо худ гирифташаванда;зарфи хӯрокхӯрии садафак|қуттии хӯроки бо худ гирифташаванда
🍦;яхмоси мулоим;десерт|крем|мулоим|ширин|ях|яхмос|яхмоси мулоим
🍧;тарошаи ях;десерт|тарошаи ях|тарошида|ширин|ях
🍨;яхмос;десерт|крем|ширин|ях|яхмос
🍩;кулча;десерт|кулча|ширин
🍪;кулчақанд;десерт|кулчақанд|ширин
🎂;торти зодрӯзӣ;десерт|маҳсулоти қаннодӣ|рӯзи таваллуд|торт|торти зодрӯзӣ|ҷашн|ширин
🍰;кулчақанди регак-регак;десерт|кулчақанди регак-регак|маҳсулоти қаннодӣ|порча|торт|ширин
🧁;;
🥧;пирог;адвия|қаннодӣ|пирог
🍫;як тахтача шоколад;десерт|тахтача|ширин|шоколад|як тахтача шоколад
🍬;конфет;десерт|конфет|ширин
🍭;оби дандон;десерт|конфет|оби дандон|ширин
🍮;крем;десерт|крем|пудинг|ширин
🍯;кӯзаи асал;асал|дег|кӯзаи асал|ширин
🍼;шишаи кӯдак;кӯдак|нӯшидан|шир|шиша|шишаи кӯдак
🥛;стакани шир;нӯшидан|стакан|стакани шир|шир
☕;нӯшокии гарм;гарм|қаҳва|нӯшидан|нӯшокӣ|нӯшокии гарм|чой|ҷӯшондан
🫖;;
🍵;пиёлаи чой бе даста;нӯшидан|нӯшокӣ|пиёла|пиёлаи чой|пиёлаи чой бе даста|чой
🍶;саке;бар|нӯшидан|нӯшокӣ|пиёла|саке|шиша
🍾;шиша бо пӯкаи он парида рафта истода;бар|нӯшидан|парида рафтан|пӯка|шиша|шиша бо пӯкаи он парида рафта истода
🍷;стакани май;бар|май|нӯшидан|нӯшокӣ|стакан|стакани май
🍸;стакани коктейл;бар|коктейл|нӯшидан|стакан|стакани коктейл
🍹;нӯшокии тропикӣ;бар|нӯшидан|нӯшокии тропикӣ|тропикӣ
🍺;дӯлчаи пиво;бар|дӯлча|дӯлчаи пиво|нӯшидан|пиво
🍻;ҷирингос задани дӯлчаҳои пиво;бар|дӯлча|нӯшидан|пиво|ҷиринго задан|ҷирингос задани дӯлчаҳои пиво
🥂;ҷирингос задани стаканҳо;нӯшидан|стакан|ҷашн гирифтан|ҷирингос задан|ҷирингос задани стаканҳо
🥃;стакан барои нӯшокиҳои спиртӣ;виски|ликёр|стакан|стакан барои нӯшокиҳои спиртӣ|стакани хурд|тирпаронӣ
🫗;;
🥤;пиёла бо чӯбак;оби газдор|пиёла бо чӯбак|шарбат
🧋;;
🧃;;
🧉;;
🧊;;
🥢;чӯбҳои хӯрокхӯрӣ;ҳаши|чӯбҳои хӯрокхӯрӣ
🍽️;чангол ва корд бо табақча;корд|пухтан|табақча|чангол|чангол ва корд бо табақча
🍴;чангол ва корд;корд|пухтан|чангол|чангол ва корд
🥄;қошуқ;зарфҳои хӯрокхӯрӣ|қошуқ
🔪;корди ошхона;асбоб|корд|корди ошхона|пухтан|силоҳ|ҳочо
🫙;;
🏺;амфора;амфора|асбоб|бурҷи дувоздаҳгона|Далв|қадаҳи дастадор|нӯшидан|пухта истода|силоҳ

[travel_places]
🌍;глобусе, ки Аврупо-Африкаро намоиш медиҳад;Аврупо|Африка|глобус|глобусе|глобусе, ки Аврупо-Африкаро намоиш медиҳад|замин|ки Аврупо-Африкаро намоиш медиҳад|ҷаҳон
🌎;глобусе, ки Америкаҳоро намоиш медиҳад;Америкаҳо|глобус|глобусе|глобусе, ки Америкаҳоро намоиш медиҳад|замин|ки Америкаҳоро намоиш медиҳад|ҷаҳон
🌏;глобусе, ки Осиё-Австралияро намоиш медиҳад;Австралия|глобус|глобусе|глобусе, ки Осиё-Австралияро намоиш медиҳад|замин|ки Осиё-Австралияро намоиш медиҳад|Осиё|ҷаҳон
🌐;глобус бо меридианаҳо;глобус|глобус бо меридианаҳо|замин|меридианҳо|ҷаҳон
🗺️;харитаи ҷаҳон;харита|харитаи ҷаҳон|ҷаҳон
🗾;харитаи Ҷопон;харита|харитаи Ҷопон|Ҷопон
🧭;;
🏔️;куҳи бо барф пӯшида;барф|куҳ|куҳи бо барф пӯшида|хунук
⛰️;куҳ;куҳ
🛘;;
🌋;вулқон;вулқон|куҳ|оташфишонӣ
🗻;теппаи Фуҷи;куҳ|теппаи Фуҷи|фуҷи
🏕️;хаймазанӣ;хаймазанӣ
🏖️;соҳил бо чатр;соҳил|соҳил бо чатр|чатр
🏜️;биёбон;биёбон
🏝️;ҷазираи биёбон;биёбон|ҷазира|ҷазираи биёбон
🏞️;парки миллӣ;парк|парки миллӣ
🏟️;варзишгоҳ;варзишгоҳ
🏛️;бинои классикӣ;бинои классикӣ|классикӣ
🏗️;сохтмони бино;сохтмон|сохтмони бино
🧱;;
🪨;;
🪵;;
🛖;;
🏘️;хонаҳо;хонаҳо
🏚️;хонаи бесоҳиб;бесоҳиб|хона|хонаи бесоҳиб
🏠;хона;хона
🏡;хона бо боғ;боғ|хона|хона бо боғ
🏢;бинои идора;бино|бинои идора
🏣;идораи почтаи ҷопонӣ;идораи почтаи ҷопонӣ|почта|ҷопонӣ
🏤;идораи почта;аврупоӣ|идораи почта|почта
🏥;беморхона;беморхона|дору|духтур
🏦;бонк;бино|бонк
🏨;меҳмонхона;бино|меҳмонхона
🏩;меҳмонхонаи муҳаббат;меҳмонхона|меҳмонхонаи муҳаббат|муҳаббат
🏪;мағозаи шабонарӯзӣ;мағоза|мағозаи шабонарӯзӣ|шароит
🏫;мактаб;бино|мактаб
🏬;универмаг;бахш|магазин|универмаг
🏭;фабрика;бино|фабрика
🏯;қалъаи ҷопонӣ;қалъа|қалъаи ҷопонӣ|ҷопонӣ
🏰;қалъа;аврупоӣ|қалъа
💒;тӯй;калисои хурд|роман|тӯй
🗼;бурҷи Токио;бурҷ|бурҷи Токио|Токио
🗽;ҳайкали Озодӣ;озодӣ|ҳайкал|ҳайкали Озодӣ
⛪;калисо;дин|калисо|Насронӣ|салиб
🕌;масҷид;дин|Ислом|масҷид|мусулмон
🛕;;
🕍;каниса;дин|каниса|маъбад|яҳуд|яҳудӣ
⛩️;ҷои муқаддаси синто;дин|синто|ҷои муқаддас|ҷои муқаддаси синто
🕋;каъба;дин|Ислом|каъба|мусулмон
⛲;фаввора;фаввора
⛺;хайма;хайма|хаймазанӣ
🌁;тумандор;туман|тумандор
🌃;шаби ситорадор;ситора|шаб|шаби ситорадор
🏙️;манзараи шаҳр;манзараи шаҳр|шаҳр
🌄;Тулӯи офтоб аз болои куҳҳо;куҳ|офтоб|саҳар|тулӯи офтоб|Тулӯи офтоб аз болои куҳҳо
🌅;тулӯъ;офтоб|саҳар|тулӯъ
🌆;манзараи шаҳр дар шом;бегоҳ|ғуруби офтоб|манзара|манзараи шаҳр дар шом|офтоб|шаҳр|шом
🌇;ғуруб;ғуруб|офтоб|шом
🌉;кӯпрук дар шаб;кӯпрук|кӯпрук дар шаб|шаб
♨️;чашмаҳои гарм;гарм|чашмаҳо|чашмаҳои гарм|ҷӯшидаистода
🎠;аспаки чархуфалак;аспак|аспаки чархуфалак|чархуфалак
🛝;;
🎡;чархуфалак;парки фароғатӣ|феррис|чарх|чархуфалак
🎢;роҳи оҳани лағжишбозӣ;каток|лағжишбозӣ|парки фароғатӣ|роҳи оҳани лағжишбозӣ
💈;сутун бо ранги сурху сафеди морпеч;қутб|мӯйгирӣ|сартарош|сутун бо ранги сурху сафеди морпеч
🎪;хаймаи сирк;сирк|хайма|хаймаи сирк
🚂;локомотив;буғ|қатора|локомотив|муҳаррик|роҳи оҳан
🚃;вагони роҳи оҳан;вагони роҳи оҳан|қатора|мошин|роҳи оҳан|трамвай|троллейбус|электрикӣ
🚄;қатораи баландсуръат;қатора|қатораи баландсуръат|роҳи оҳан|синкансен|суръат
🚅;қатораи баландсуръат бо нӯги тирмонанд;қатора|қатораи баландсуръат бо нӯги тирмонанд|роҳи оҳан|синкансен|суръат|тир
🚆;қатора;қатора|роҳи оҳан
🚇;метро;метро
🚈;метрои сабук;метрои сабук|роҳи оҳан
🚉;истгоҳ;истгоҳ|қатора|роҳи оҳан
🚊;трамвай;трамвай|троллейбус
🚝;якрелса;нақлиёт|якрелса
🚞;роҳи оҳани куҳӣ;куҳ|мошин|роҳи оҳан|роҳи оҳани куҳӣ
🚋;вагони трамвай;вагони трамвай|мошин|трамвай|троллейбус
🚌;автобус;автобус|нақлиёт
🚍;автобуси самти муқобил;автобус|автобуси самти муқобил|самти муқобил
🚎;троллейбус;автобус|трамвай|троллейбус
🚐;микроавтобус;автобус|микроавтобус
🚑;мошини ёрии таъҷилӣ;мошини ёрии таъҷилӣ|нақлиёт
🚒;мошини сӯхторхомӯшкунӣ;мошини боркаш|мошини сӯхторхомӯшкунӣ|муҳаррик|оташ
🚓;мошини пулис;мошин|мошини пулис|посбон|пулис
🚔;мошини пулис аз самти муқобил;аз самти муқобил|мошин|мошини пулис аз самти муқобил|пулис
🚕;такси;нақлиёт|такси
🚖;такси аз самти муқобил;аз самти муқобил|такси|такси аз самти муқобил
🚗;автомобил;автомобил|мошин
🚘;автомобили самти муқобил;автомобил|автомобили самти муқобил|мошин|самти муқобил
🚙;кроссовер;кроссовер|мошини варзишии ҳамаҷогард|фароғатӣ
🛻;;
🚚;автомобили боркаш;автомобили боркаш|бурдарасонӣ|мошини боркаш
🚛;нақлиёти боркаш;боркаш|мошини боркаш|нақлиёти боркаш|ним
🚜;трактор;нақлиёт|трактор
🏎️;автомобили пойга;автомобили пойга|мошин|пойга
🏍️;мотосикл;мотосикл|пойга
🛵;скутер;муҳаррик|скутер
🦽;;
🦼;;
🛺;;
🚲;дучарха;велосипед|дучарха
🛴;самокат;ба по задан|самокат|скутер
🛹;;
🛼;;
🚏;истгоҳи автобусҳо;автобус|истгоҳ|истгоҳи автобус|истгоҳи автобусҳо
🛣️;роҳи автомобилгард;роҳ|роҳи автомобилгард|шоҳроҳ
🛤️;роҳи оҳан;қатора|роҳи оҳан
🛢️;чалаки нафт;нақора|нафт|чалаки нафт
⛽;насоси сӯзишворӣ;газ|истгоҳ|насос|насоси сӯзишворӣ|сӯзишворӣ
🛞;;
🚨;рӯшноии мошини пулис;даврзананда|мино|мошин|пулис|рӯшноӣ|рӯшноии мошини пулис
🚥;чароғи раҳнамои уфуқӣ;рӯшноӣ|сигнал|ҳаракат|чароғи раҳнамои уфуқӣ
🚦;чароғи раҳнамои амудӣ;рӯшноӣ|сигнал|ҳаракат|чароғи раҳнамои амудӣ
🛑;аломати &quot;Ист&quot;;аломат|аломати &quot;Ист&quot;|ист|ҳашткунҷа
🚧;сохтмон;монеа|сохтмон
⚓;лангар;асбоб|киштӣ|лангар
🛟;;
⛵;заврақи бодбондор;баҳр|заврақи бодбондор|киштӣ|курорт|қаиқ
🛶;заврақ;заврақ|қаиқ
🚤;катери тезгард;катери тезгард|қаиқ
🛳️;киштии мусофиркаш;киштӣ|киштии мусофиркаш|мусофир
⛴️;киштии гузора;киштии гузора|қаиқ|мусофир
🛥️;қаиқи муҳаррикдор;қаиқ|қаиқи муҳаррикдор
🚢;киштӣ;киштӣ|қаиқ|мусофир
✈️;тайёра;тайёра|ҳавопаймо
🛩️;тайёраи хурд;тайёра|тайёраи хурд|ҳавопаймо
🛫;парвози тайёра;бақайдгирӣ|парвоз|парвози тайёра|парвозҳо|тайёра|ҳавопаймо
🛬;омадани тайёра;нишастан|омадаистода|омадан|омадани тайёра|тайёра|ҳавопаймо
🪂;;
💺;ҷои нишаст;курсӣ|ҷои нишаст
🚁;чархбол;нақлиёт|чархбол
🚟;роҳи оҳани овезон;овеза|роҳи оҳан|роҳи оҳани овезон
🚠;фуникулёр;гондола|куҳ|ноқил|фуникулёр
🚡;трамваи ҳавоӣ;гондола|мошин|ноқил|трамваи ҳавоӣ|трамвай|ҳавоӣ
🛰️;моҳвора;моҳвора|фазо
🚀;ракета;ракета|фазо
🛸;лаълии паррон;лаълии паррон
🛎️;зангулаи хизматгори меҳмонхона;зангула|зангулаи хизматгори меҳмонхона|меҳмонхона|хизматгори меҳмонхона
🧳;;
⌛;соати регӣ;вақтсанҷ|рег|соати регӣ
⏳;соати регӣ бо ҷорӣ шудани рег;вақтсанҷ|рег|соати регӣ|соати регӣ бо ҷорӣ шудани рег
⌚;соати дастӣ;соати дастӣ|соати деворӣ
⏰;соати зангдор;соат|соати зангдор|ҳушдор
⏱️;сониясанҷ;соати деворӣ|сониясанҷ
⏲️;соати вақтсанҷ;вақтсанҷ|соати вақтсанҷ|соати деворӣ
🕰️;соати сангӣ;соати деворӣ|соати сангӣ
🕛;соат дувоздаҳ;00|12|12:00|дувоздаҳ|соат
🕧;дувоздаҳу сӣ;12|12:30|30|дувоздаҳ|дувоздаҳу сӣ|сӣ|соат
🕐;соат як;00|1|1:00|соат|як
🕜;яку сӣ;1|1:30|30|сӣ|соат|як|яку сӣ
🕑;соат ду;00|2|2:00|ду|соат
🕝;дую сӣ;2|2:30|30|ду|дую сӣ|сӣ|соат
🕒;соат се;00|3|3:00|се|соат
🕞;севу сӣ;3|3:30|30|се|севу сӣ|сӣ|соат
🕓;соат чор;00|4|4:00|соат|чор
🕟;чору сӣ;30|4|4:30|сӣ|соат|чор|чору сӣ
🕔;соат панҷ;00|5|5:00|панҷ|соат
🕠;панҷу сӣ;30|5|5:30|панҷ|панҷу сӣ|сӣ|соат
🕕;соат шаш;00|6|6:00|соат|шаш
🕡;шашу сӣ;30|6|6:30|сӣ|соат|шаш|шашу сӣ
🕖;соат ҳафт;00|7|7:00|соат|ҳафт
