# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ansikte med stort leende;ansikte|glad|kul|leende|roligt|skratt
	🧑🏿‍❤️‍🧑🏽;par med hjärta: person, person, mörk hy, mellanfärgad hy;hjärta|kärlek|människor|mellanfärgad hy|mörk hy|par med hjärta|person
	🧑🏿‍❤️‍🧑🏾;par med hjärta: person, person, mörk hy, mellanmörk hy;hjärta|kärlek|människor|mellanmörk hy|mörk hy|par med hjärta|person
👩‍❤️‍👨;par med hjärta: kvinna, man;hjärta|kärlek|kvinna|man|människor|par med hjärta
	👩🏻‍❤️‍👨🏻;par med hjärta: kvinna, man, ljus hy;hjärta|kärlek|kvinna|ljus hy|man|människor|par med hjärta
	👩🏻‍❤️‍👨🏼;par med hjärta: kvinna, man, ljus hy, mellanljus hy;hjärta|kärlek|kvinna|ljus hy|man|människor|mellanljus hy|par med hjärta
	👩🏻‍❤️‍👨🏽;par med hjärta: kvinna, man, ljus hy, mellanfärgad hy;hjärta|kärlek|kvinna|ljus hy|man|människor|mellanfärgad hy|par med hjärta
	👩🏻‍❤️‍👨🏾;par med hjärta: kvinna, man, ljus hy, mellanmörk hy;hjärta|kärlek|kvinna|ljus hy|man|människor|mellanmörk hy|par med hjärta
	👩🏻‍❤️‍👨🏿;par med hjärta: kvinna, man, ljus hy, mörk hy;hjärta|kärlek|kvinna|ljus hy|man|människor|mörk hy|par med hjärta
	👩🏼‍❤️‍👨🏻;par med hjärta: kvinna, man, mellanljus hy, ljus hy;hjärta|kärlek|kvinna|ljus hy|man|människor|mellanljus hy|par med hjärta
	👩🏼‍❤️‍👨🏼;par med hjärta: kvinna, man, mellanljus hy;hjärta|kärlek|kvinna|man|människor|mellanljus hy|par med hjärta
	👩🏼‍❤️‍👨🏽;par med hjärta: kvinna, man, mellanljus hy, mellanfärgad hy;hjärta|kärlek|kvinna|man|människor|mellanfärgad hy|mellanljus hy|par med hjärta
	👩🏼‍❤️‍👨🏾;par med hjärta: kvinna, man, mellanljus hy, mellanmörk hy;hjärta|kärlek|kvinna|man|människor|mellanljus hy|mellanmörk hy|par med hjärta
	👩🏼‍❤️‍👨🏿;par med hjärta: kvinna, man, mellanljus hy, mörk hy;hjärta|kärlek|kvinna|man|människor|mellanljus hy|mörk hy|par med hjärta
	👩🏽‍❤️‍👨🏻;par med hjärta: kvinna, man, mellanfärgad hy, ljus hy;hjärta|kärlek|kvinna|ljus hy|man|människor|mellanfärgad hy|par med hjärta
	👩🏽‍❤️‍👨🏼;par med hjärta: kvinna, man, mellanfärgad hy, mellanljus hy;hjärta|kärlek|kvinna|man|människor|mellanfärgad hy|mellanljus hy|par med hjärta
	👩🏽‍❤️‍👨🏽;par med hjärta: kvinna, man, mellanfärgad hy;hjärta|kärlek|kvinna|man|människor|mellanfärgad hy|par med hjärta
	👩🏽‍❤️‍👨🏾;par med hjärta: kvinna, man, mellanfärgad hy, mellanmörk hy;hjärta|kärlek|kvinna|man|människor|mellanfärgad hy|mellanmörk hy|par med hjärta
	👩🏽‍❤️‍👨🏿;par med hjärta: kvinna, man, mellanfärgad hy, mörk hy;hjärta|kärlek|kvinna|man|människor|mellanfärgad hy|mörk hy|par med hjärta
	👩🏾‍❤️‍👨🏻;par med hjärta: kvinna, man, mellanmörk hy, ljus hy;hjärta|kärlek|kvinna|ljus hy|man|människor|mellanmörk hy|par med hjärta
	👩🏾‍❤️‍👨🏼;par med hjärta: kvinna, man, mellanmörk hy, mellanljus hy;hjärta|kärlek|kvinna|man|människor|mellanljus hy|mellanmörk hy|par med hjärta
	👩🏾‍❤️‍👨🏽;par med hjärta: kvinna, man, mellanmörk hy, mellanfärgad hy;hjärta|kärlek|kvinna|man|människor|mellanfärgad hy|mellanmörk hy|par med hjärta
	👩🏾‍❤️‍👨🏾;par med hjärta: kvinna, man, mellanmörk hy;hjärta|kärlek|kvinna|man|människor|mellanmörk hy|par med hjärta
	👩🏾‍❤️‍👨🏿;par med hjärta: kvinna, man, mellanmörk hy, mörk hy;hjärta|kärlek|kvinna|man|människor|mellanmörk hy|mörk hy|par med hjärta
	👩🏿‍❤️‍👨🏻;par med hjärta: kvinna, man, mörk hy, ljus hy;hjärta|kärlek|kvinna|ljus hy|man|människor|mörk hy|par med hjärta
	👩🏿‍❤️‍👨🏼;par med hjärta: kvinna, man, mörk hy, mellanljus hy;hjärta|kärlek|kvinna|man|människor|mellanljus hy|mörk hy|par med hjärta
	👩🏿‍❤️‍👨🏽;par med hjärta: kvinna, man, mörk hy, mellanfärgad hy;hjärta|kärlek|kvinna|man|människor|mellanfärgad hy|mörk hy|par med hjärta
	👩🏿‍❤️‍👨🏾;par med hjärta: kvinna, man, mörk hy, mellanmörk hy;hjärta|kärlek|kvinna|man|människor|mellanmörk hy|mörk hy|par med hjärta
	👩🏿‍❤️‍👨🏿;par med hjärta: kvinna, man, mörk hy;hjärta|kärlek|kvinna|man|människor|mörk hy|par med hjärta
👨‍❤️‍👨;par med hjärta: man, man;hjärta|kärlek|man|människor|par med hjärta
	👨🏻‍❤️‍👨🏻;par med hjärta: man, man, ljus hy;hjärta|kärlek|ljus hy|man|människor|par med hjärta
	👨🏻‍❤️‍👨🏼;par med hjärta: man, man, ljus hy, mellanljus hy;hjärta|kärlek|ljus hy|man|människor|mellanljus hy|par med hjärta
	👨🏻‍❤️‍👨🏽;par med hjärta: man, man, ljus hy, mellanfärgad hy;hjärta|kärlek|ljus hy|man|människor|mellanfärgad hy|par med hjärta
	👨🏻‍❤️‍👨🏾;par med hjärta: man, man, ljus hy, mellanmörk hy;hjärta|kärlek|ljus hy|man|människor|mellanmörk hy|par med hjärta
	👨🏻‍❤️‍👨🏿;par med hjärta: man, man, ljus hy, mörk hy;hjärta|kärlek|ljus hy|man|människor|mörk hy|par med hjärta
	👨🏼‍❤️‍👨🏻;par med hjärta: man, man, mellanljus hy, ljus hy;hjärta|kärlek|ljus hy|man|människor|mellanljus hy|par med hjärta
	👨🏼‍❤️‍👨🏼;par med hjärta: man, man, mellanljus hy;hjärta|kärlek|man|människor|mellanljus hy|par med hjärta
	👨🏼‍❤️‍👨🏽;par med hjärta: man, man, mellanljus hy, mellanfärgad hy;hjärta|kärlek|man|människor|mellanfärgad hy|mellanljus hy|par med hjärta
	👨🏼‍❤️‍👨🏾;par med hjärta: man, man, mellanljus hy, mellanmörk hy;hjärta|kärlek|man|människor|mellanljus hy|mellanmörk hy|par med hjärta
	👨🏼‍❤️‍👨🏿;par med hjärta: man, man, mellanljus hy, mörk hy;hjärta|kärlek|man|människor|mellanljus hy|mörk hy|par med hjärta
	👨🏽‍❤️‍👨🏻;par med hjärta: man, man, mellanfärgad hy, ljus hy;hjärta|kärlek|ljus hy|man|människor|mellanfärgad hy|par med hjärta
	👨🏽‍❤️‍👨🏼;par med hjärta: man, man, mellanfärgad hy, mellanljus hy;hjärta|kärlek|man|människor|mellanfärgad hy|mellanljus hy|par med hjärta
	👨🏽‍❤️‍👨🏽;par med hjärta: man, man, mellanfärgad hy;hjärta|kärlek|man|människor|mellanfärgad hy|par med hjärta
	👨🏽‍❤️‍👨🏾;par med hjärta: man, man, mellanfärgad hy, mellanmörk hy;hjärta|kärlek|man|människor|mellanfärgad hy|mellanmörk hy|par med hjärta
	👨🏽‍❤️‍👨🏿;par med hjärta: man, man, mellanfärgad hy, mörk hy;hjärta|kärlek|man|människor|mellanfärgad hy|mörk hy|par med hjärta
	👨🏾‍❤️‍👨🏻;par med hjärta: man, man, mellanmörk hy, ljus hy;hjärta|kärlek|ljus hy|man|människor|mellanmörk hy|par med hjärta
	👨🏾‍❤️‍👨🏼;par med hjärta: man, man, mellanmörk hy, mellanljus hy;hjärta|kärlek|man|människor|mellanljus hy|mellanmörk hy|par med hjärta
	👨🏾‍❤️‍👨🏽;par med hjärta: man, man, mellanmörk hy, mellanfärgad hy;hjärta|kärlek|man|människor|mellanfärgad hy|mellanmörk hy|par med hjärta
	👨🏾‍❤️‍👨🏾;par med hjärta: man, man, mellanmörk hy;hjärta|kärlek|man|människor|mellanmörk hy|par med hjärta
	👨🏾‍❤️‍👨🏿;par med hjärta: man, man, mellanmörk hy, mörk hy;hjärta|kärlek|man|människor|mellanmörk hy|mörk hy|par med hjärta
	👨🏿‍❤️‍👨🏻;par med hjärta: man, man, mörk hy, ljus hy;hjärta|kärlek|ljus hy|man|människor|mörk hy|par med hjärta
	👨🏿‍❤️‍👨🏼;par med hjärta: man, man, mörk hy, mellanljus hy;hjärta|kärlek|man|människor|mellanljus hy|mörk hy|par med hjärta
	👨🏿‍❤️‍👨🏽;par med hjärta: man, man, mörk hy, mellanfärgad hy;hjärta|kärlek|man|människor|mellanfärgad hy|mörk hy|par med hjärta
	👨🏿‍❤️‍👨🏾;par med hjärta: man, man, mörk hy, mellanmörk hy;hjärta|kärlek|man|människor|mellanmörk hy|mörk hy|par med hjärta
	👨🏿‍❤️‍👨🏿;par med hjärta: man, man, mörk hy;hjärta|kärlek|man|människor|mörk hy|par med hjärta
👩‍❤️‍👩;par med hjärta: kvinna, kvinna;hjärta|kärlek|kvinna|människor|par med hjärta
	👩🏻‍❤️‍👩🏻;par med hjärta: kvinna, kvinna, ljus hy;hjärta|kärlek|kvinna|ljus hy|människor|par med hjärta
	👩🏻‍❤️‍👩🏼;par med hjärta: kvinna, kvinna, ljus hy, mellanljus hy;hjärta|kärlek|kvinna|ljus hy|människor|mellanljus hy|par med hjärta
	👩🏻‍❤️‍👩🏽;par med hjärta: kvinna, kvinna, ljus hy, mellanfärgad hy;hjärta|kärlek|kvinna|ljus hy|människor|mellanfärgad hy|par med hjärta
	👩🏻‍❤️‍👩🏾;par med hjärta: kvinna, kvinna, ljus hy, mellanmörk hy;hjärta|kärlek|kvinna|ljus hy|människor|mellanmörk hy|par med hjärta
	👩🏻‍❤️‍👩🏿;par med hjärta: kvinna, kvinna, ljus hy, mörk hy;hjärta|kärlek|kvinna|ljus hy|människor|mörk hy|par med hjärta
	👩🏼‍❤️‍👩🏻;par med hjärta: kvinna, kvinna, mellanljus hy, ljus hy;hjärta|kärlek|kvinna|ljus hy|människor|mellanljus hy|par med hjärta
	👩🏼‍❤️‍👩🏼;par med hjärta: kvinna, kvinna, mellanljus hy;hjärta|kärlek|kvinna|människor|mellanljus hy|par med hjärta
	👩🏼‍❤️‍👩🏽;par med hjärta: kvinna, kvinna, mellanljus hy, mellanfärgad hy;hjärta|kärlek|kvinna|människor|mellanfärgad hy|mellanljus hy|par med hjärta
	👩🏼‍❤️‍👩🏾;par med hjärta: kvinna, kvinna, mellanljus hy, mellanmörk hy;hjärta|kärlek|kvinna|människor|mellanljus hy|mellanmörk hy|par med hjärta
	👩🏼‍❤️‍👩🏿;par med hjärta: kvinna, kvinna, mellanljus hy, mörk hy;hjärta|kärlek|kvinna|människor|mellanljus hy|mörk hy|par med hjärta
	👩🏽‍❤️‍👩🏻;par med hjärta: kvinna, kvinna, mellanfärgad hy, ljus hy;hjärta|kärlek|kvinna|ljus hy|människor|mellanfärgad hy|par med hjärta
	👩🏽‍❤️‍👩🏼;par med hjärta: kvinna, kvinna, mellanfärgad hy, mellanljus hy;hjärta|kärlek|kvinna|människor|mellanfärgad hy|mellanljus hy|par med hjärta
	👩🏽‍❤️‍👩🏽;par med hjärta: kvinna, kvinna, mellanfärgad hy;hjärta|kärlek|kvinna|människor|mellanfärgad hy|par med hjärta
	👩🏽‍❤️‍👩🏾;par med hjärta: kvinna, kvinna, mellanfärgad hy, mellanmörk hy;hjärta|kärlek|kvinna|människor|mellanfärgad hy|mellanmörk hy|par med hjärta
	👩🏽‍❤️‍👩🏿;par med hjärta: kvinna, kvinna, mellanfärgad hy, mörk hy;hjärta|kärlek|kvinna|människor|mellanfärgad hy|mörk hy|par med hjärta
	👩🏾‍❤️‍👩🏻;par med hjärta: kvinna, kvinna, mellanmörk hy, ljus hy;hjärta|kärlek|kvinna|ljus hy|människor|mellanmörk hy|par med hjärta
	👩🏾‍❤️‍👩🏼;par med hjärta: kvinna, kvinna, mellanmörk hy, mellanljus hy;hjärta|kärlek|kvinna|människor|mellanljus hy|mellanmörk hy|par med hjärta
	👩🏾‍❤️‍👩🏽;par med hjärta: kvinna, kvinna, mellanmörk hy, mellanfärgad hy;hjärta|kärlek|kvinna|människor|mellanfärgad hy|mellanmörk hy|par med hjärta
	👩🏾‍❤️‍👩🏾;par med hjärta: kvinna, kvinna, mellanmörk hy;hjärta|kärlek|kvinna|människor|mellanmörk hy|par med hjärta
	👩🏾‍❤️‍👩🏿;par med hjärta: kvinna, kvinna, mellanmörk hy, mörk hy;hjärta|kärlek|kvinna|människor|mellanmörk hy|mörk hy|par med hjärta
	👩🏿‍❤️‍👩🏻;par med hjärta: kvinna, kvinna, mörk hy, ljus hy;hjärta|kärlek|kvinna|ljus hy|människor|mörk hy|par med hjärta
	👩🏿‍❤️‍👩🏼;par med hjärta: kvinna, kvinna, mörk hy, mellanljus hy;hjärta|kärlek|kvinna|människor|mellanljus hy|mörk hy|par med hjärta
	👩🏿‍❤️‍👩🏽;par med hjärta: kvinna, kvinna, mörk hy, mellanfärgad hy;hjärta|kärlek|kvinna|människor|mellanfärgad hy|mörk hy|par med hjärta
	👩🏿‍❤️‍👩🏾;par med hjärta: kvinna, kvinna, mörk hy, mellanmörk hy;hjärta|kärlek|kvinna|människor|mellanmörk hy|mörk hy|par med hjärta
	👩🏿‍❤️‍👩🏿;par med hjärta: kvinna, kvinna, mörk hy;hjärta|kärlek|kvinna|människor|mörk hy|par med hjärta
👨‍👩‍👦;familj: man, kvinna, pojke;barn|familj|kvinna|mamma|man|människor|pappa|pojke
👨‍👩‍👧;familj: man, kvinna, flicka;barn|familj|flicka|kvinna|mamma|man|människor|pappa
👨‍👩‍👧‍👦;familj: man, kvinna, flicka, pojke;barn|familj|flicka|kvinna|mamma|man|människor|pappa|pojke
👨‍👩‍👦‍👦;familj: man, kvinna, pojke, pojke;barn|familj|kvinna|mamma|man|människor|pappa|pojke
👨‍👩‍👧‍👧;familj: man, kvinna, flicka, flicka;barn|familj|flicka|kvinna|mamma|man|människor|pappa
👨‍👨‍👦;familj: man, man, pojke;barn|familj|mamma|man|människor|pappa|pojke
👨‍👨‍👧;familj: man, man, flicka;barn|familj|flicka|mamma|man|människor|pappa
👨‍👨‍👧‍👦;familj: man, man, flicka, pojke;barn|familj|flicka|mamma|man|människor|pappa|pojke
👨‍👨‍👦‍👦;familj: man, man, pojke, pojke;barn|familj|mamma|man|människor|pappa|pojke
👨‍👨‍👧‍👧;familj: man, man, flicka, flicka;barn|familj|flicka|mamma|man|människor|pappa
👩‍👩‍👦;familj: kvinna, kvinna, pojke;barn|familj|kvinna|mamma|människor|pappa|pojke
👩‍👩‍👧;familj: kvinna, kvinna, flicka;barn|familj|flicka|kvinna|mamma|människor|pappa
👩‍👩‍👧‍👦;familj: kvinna, kvinna, flicka, pojke;barn|familj|flicka|kvinna|mamma|människor|pappa|pojke
👩‍👩‍👦‍👦;familj: kvinna, kvinna, pojke, pojke;barn|familj|kvinna|mamma|människor|pappa|pojke
👩‍👩‍👧‍👧;familj: kvinna, kvinna, flicka, flicka;barn|familj|flicka|kvinna|mamma|människor|pappa
👨‍👦;familj: man, pojke;barn|familj|mamma|man|människor|pappa|pojke
👨‍👦‍👦;familj: man, pojke, pojke;barn|familj|mamma|man|människor|pappa|pojke
👨‍👧;familj: man, flicka;barn|familj|flicka|mamma|man|människor|pappa
👨‍👧‍👦;familj: man, flicka, pojke;barn|familj|flicka|mamma|man|människor|pappa|pojke
👨‍👧‍👧;familj: man, flicka, flicka;barn|familj|flicka|mamma|man|människor|pappa
👩‍👦;familj: kvinna, pojke;barn|familj|kvinna|mamma|människor|pappa|pojke
👩‍👦‍👦;familj: kvinna, pojke, pojke;barn|familj|kvinna|mamma|människor|pappa|pojke
👩‍👧;familj: kvinna, flicka;barn|familj|flicka|kvinna|mamma|människor|pappa
👩‍👧‍👦;familj: kvinna, flicka, pojke;barn|familj|flicka|kvinna|mamma|människor|pappa|pojke
👩‍👧‍👧;familj: kvinna, flicka, flicka;barn|familj|flicka|kvinna|mamma|människor|pappa
🗣️;silhuett som talar;silhuett|silhuett som talar|talar
👤;figur i silhuett;figur|figur i silhuett|människa
👥;figurer i silhuett;figurer|figurer i silhuett|människor
🫂;personer kramas;adjö|hej|kram|personer kramas|tack
👪;familj;barn|familj|mamma|människor|pappa
🧑‍🧑‍🧒;familj: vuxen, vuxen, barn;barn|familj|vuxna
🧑‍🧑‍🧒‍🧒;familj: vuxen, vuxen, barn, barn;barn|familj|vuxen
🧑‍🧒;familj: vuxen, barn;barn|familj|vuxen
🧑‍🧒‍🧒;familj: vuxen, barn, barn;barn|familj|vuxen
👣;fotavtryck;avtryck|fotavtryck|fötter
🫆;fingeravtryck;fingeravtryck|identitet|kriminalteknik|säkerhet

[animals_nature]
🐵;apansikte;apa|apansikte|djur
🐒;apa;apa|djur
🦍;gorilla;djur|gorilla
🦧;orangutang;apa|orangutang
🐶;hundansikte;djur|hund|hundansikte
🐕;hund;djur|hund|valp
🦮;ledarhund;blindhund|hjälp|hund|ledarhund|service
🐕‍🦺;servicehund;hjälp|hund|service|servicehund|tillgång
🐩;pudel;djur|hund|pudel
🐺;vargansikte;djur|varg|vargansikte
🦊;rävansikte;ansikte|djur|räv|rävansikte
🦝;tvättbjörn;nyfiken|slug|tvättbjörn
🐱;kattansikte;djur|katt|kattansikte
🐈;katt;djur|katt
🐈‍⬛;svart katt;djur|halloween|katt|mjau|otur|skrock|svart
🦁;lejonansikte;djur|lejon|lejonansikte
🐯;tigeransikte;djur|tiger|tigeransikte
🐅;tiger;djur|tiger
🐆;leopard;djur|leopard
🐴;hästansikte;djur|häst|hästansikte
🫎;älg;
🫏;åsna;
🐎;häst;djur|galopp|galopperande häst|häst|hästlopp|trav
🦄;enhörningsansikte;djur|enhörning|enhörningsansikte
🦓;zebra;ränder|zebra
🦌;hjort;djur|hjort
🦬;bisonoxe;bisonoxe|buffalo|hjord|visent
🐮;koansikte;djur|ko|koansikte
🐂;oxe;oxe|oxen|stjärntecken|tjur
🐃;vattenbuffel;djur|vattenbuffel
🐄;ko;djur|ko|kossa
🐷;grisansikte;djur|gris|grisansikte
🐖;gris;gris|so|sugga
🐗;vildsvin;djur|svin|vildsvin
🐽;gristryne;djur|gris|gristryne|tryne
🐏;vädur;bagge|får|stjärntecken|vädur
🐑;tacka;får|tacka
🐐;get;get|stenbock|stjärntecken
🐪;dromedar;dromedar|puckel
🐫;kamel;kamel|puckel|pucklar
🦙;lama;alpaca|guanaco|lama|ull|vicuña
🦒;giraff;giraff|prickar
🐘;elefant;djur|elefant
🦣;mammut;betar|mammut|stor|utrotad
🦏;noshörning;djur|horn|näsa|noshörning
🦛;flodhäst;flodhäst|hovdjur
🐭;musansikte;djur|mus|musansikte
🐁;mus;djur|mus
🐀;råtta;djur|råtta
🐹;hamsteransikte;djur|hamster|hamsteransikte
🐰;kaninansikte;djur|kanin|kaninansikte
🐇;kanin;djur|kanin
🐿️;jordekorre;djur|jordekorre
🦫;bäver;bäver|damm
🦔;igelkott;igelkott|taggig
🦇;fladdermus;djur|fladdermus|vampyr
🐻;björnansikte;björn|björnansikte|djur
🐻‍❄️;isbjörn;djur|isbjörn|vit
🐨;koala;Australien|djur|koala|koala-ansikte|koalabjörn|pungdjur
🐼;pandaansikte;djur|panda|pandaansikte
🦥;sengångare;långsam|lat|sengångare
🦦;utter;fiskar|lekfull|utter
🦨;skunk;skunk|stank
🦘;känguru;Australien|hoppa|joey|känguru|pungdjur
🦡;grävling;grävling|honungsgrävling|plåga
🐾;tassavtryck;djur|tassar|tassavtryck
🦃;kalkon;fågel|kalkon
🐔;höna;fågel|höna
🐓;tupp;fågel|tupp
🐣;nykläckt kyckling;fågel|kläckt|kyckling|nykläckt kyckling
🐤;kyckling;
🐥;kyckling framifrån;fågel|kyckling|kyckling framifrån
🐦;fågel;
🐧;pingvin;
🕊️;duva;
🦅;örn;fågel|örn
🦆;and;and|fågel
🦢;svan;den fula ankungen|fågel|svan
🦉;uggla;fågel|uggla|vis
🦤;dront;dront|Dront|Mauritius|stor|utrotad
🪶;fågelfjäder;fågel|fågelfjäder|fjäder|fjäderdräkt|lätt
🦩;flamingo;flambojant|flamingo|tropisk
🦚;påfågel;fågel|påfågel|praktfull|stolt
🦜;papegoja;fågel|papegoja|pirat|prata
🪽;vinge;
🐦‍⬛;koltrast;
🪿;gås;
🐦‍🔥;fenix;
🐸;grodansikte;djur|groda|grodansikte
🐊;krokodil;djur|krokodil
🐢;sköldpadda;havssköldpadda|padda|sköldpadda
🦎;ödla;kräldjur|ödla
🐍;orm;djur|orm
🐲;drakansikte;djur|drakansikte|drake
🐉;drake;djur|drake
🦕;sauropod;brachiosaurus|brontosaurus|diplodocus|sauropod
🦖;T-rex;T-rex|Tyrannosaurus Rex
🐳;val som sprutar vatten;djur|val|val som sprutar vatten|vatten
🐋;val;djur|val
🐬;delfin;delfin|djur
🫍;späckhuggare;hav|ocean|val
🦭;säl;säl|sjölejon
🐟;fisk;fisk|fiskarna|stjärntecken
🐠;tropisk fisk;djur|fisk|tropisk
🐡;blåsfisk;blåsfisk|djur|fisk
🦈;haj;fisk|haj
🐙;bläckfisk;bläckfisk|djur
🐚;snäcka;djur|snäcka|snäckskal
🪸;korall;
🪼;manet;
🦀;krabba;krabba|kräfta|skaldjur|stjärntecken
🦞;hummer;fisksoppa|hummer|klor|skaldjur
🦐;räka;liten|mat|räka|skaldjur
🦑;mindre bläckfisk;bläck|bläckfisk|mat|mindre bläckfisk|skaldjur
🦪;ostron;dyka|ostron|pärlor
🐌;snigel;djur|snigel
🦋;fjäril;fjäril|insekt|sommar|vacker
🐛;tusenfoting;djur|kryp|larv|tusenfoting
🐜;myra;djur|insekt|myra
🐝;bi;bi|djur|geting|insekt
🪲;skalbagge;insekt|skalbagge|småkryp
🐞;nyckelpiga;djur|insekt|nyckelpiga|skalbagge
🦗;syrsa;gräshoppa|syrsa
🪳;kackerlacka;insekt|kackerlacka|skadedjur
🕷️;spindel;djur|insekt|spindel
🕸️;spindelnät;nät|spindel|spindelnät
🦂;skorpion;skorpion|skorpionen|stjärntecken
🦟;mygga;insekt|malaria|mygga|sjukdom|virus
🪰;fluga;asätande insekt|fluga|sjukdom
🪱;mask;daggmask|mask|parasit|ringmask
🦠;mikrob;
💐;blombukett;blombukett|blommor|kärlek
🌸;körsbärsblomma;blomma|körsbär|körsbärsblomma
💮;vit blomma;blomma|vit blomma
🪷;lotus;blomma|buddhism|frid|hinduism|lotus|renhet|stillhet
🏵️;bandros;bandros|blomma
🌹;ros;blomma|ros
🥀;vissnad blomma;blomma|torkad|vissen|vissnad blomma
🌺;hibiskus;
🌻;solros;blomma|solros
🌼;blomma;blomma|blomster|växt
🌷;tulpan;blomma|tulpan
🪻;hyacint;
🌱;skott;
🪴;krukväxt;inomhus|krukväxt|odla|växt
🌲;barrträd;barrträd|gran|träd|vintergrön
🌳;lövträd;lövfällande|lövträd|träd
🌴;palm;palm|träd
🌵;kaktus;kaktus|växt
🌾;risax;planta|ris|risax|risplanta
🌿;ört;blad|ört
☘️;treklöver;Irland|treklöver
🍀;fyrklöver;fyrklöver|Irland|klöver|lycka|tur
🍁;lönnlöv;höst|lönnlöv|löv
🍂;fallande löv;
🍃;löv i vinden;blåser|fladdrande|höst|löv|löv i vinden|vind
🪹;tomt bo;
🪺;bo med ägg;
🍄;svamp;
🪾;träd utan löv;kargt|torka|träd utan löv|vinter

[food_drink]
🍇;vindruvor;frukt|vindruvor
🍈;melon;frukt|melon
🍉;vattenmelon;frukt|melon|vattenmelon|vattenmelonskiva
🍊;mandarin;citrusfrukt|frukt|mandarin
🍋;citron;citron|citrusfrukt|frukt
🍋‍🟩;lime;citrusfrukt|frukt|lime|tropisk
🍌;banan;banan|frukt
🍍;ananas;ananas|frukt
🥭;mango;frukt|mango|tropisk frukt
🍎;rött äpple;äpple|frukt|hälsa|mat|moget|nyttigt|rött|sunt
🍏;grönt äpple;äpple|frukt|grönt
🍐;päron;frukt|päron
🍑;persika;frukt|persika
🍒;körsbär;frukt|körsbär
🍓;jordgubbe;bär|frukt|jordgubbe
🫐;blåbär;blåbär
🥝;kiwifrukt;frukt|kiwi|kiwifrukt|mat
🍅;tomat;grönsak|tomat
🫒;oliv;mat|oliv
🥥;kokosnöt;halv kokosnöt|kokosnöt|palm|piña colada
🥑;avokado;avokado|frukt|mat
🍆;aubergine;äggplanta|aubergine|grönsak
🥔;potatis;grönsak|mat|potatis
🥕;morot;grönsak|mat|morot|rotfrukt
🌽;majskolv;majs|majskolv
🌶️;chili;chili|peppar|starkt|växt
🫑;paprika;grönsak|paprika
🥒;gurka;grönsak|gurka|mat
🥬;sallat;bok choy|grönkål|kål|sallad|salladsblad|sallat
🥦;broccoli;broccoli|kål
🧄;vitlök;smaksättning|vitlök
🧅;lök;gul lök|lök|smaksättning
🥜;jordnötter;grönsak|jordnöt|jordnötter|mat|nöt
🫘;bönor;bönor|kidneybönor|mat|små
🌰;kastanj;kastanj|växt
🫚;ingefära;hälsa|ingefära|krydda|kryddväxt|öl|ört|rot
🫛;ärtskida;ärta|ärtskida|bönor|bönstjälk|edamame|grönsaker|sojaböna
🍄‍🟫;brun svamp;
🫜;rotfrukt;grönsak|rödbeta|rotfrukt|rova|trädgård
🍞;bröd;bröd|limpa
🥐;croissant;bröd|croissant|fransk|mat
🥖;baguette;baguette|bröd|fransk|mat
🫓;tunnbröd;naanbröd|pitabröd|tunnbröd
🥨;pretzel;pretzel|snurrad
🥯;bagel;bagel|bakverk|bröd
🥞;pannkakor;crêpes|mat|pannkaka|pannkakor
🧇;våffla;våffeldagen|våffeljärn|våffla
🧀;ostbit;ost|ostbit
🍖;köttben;kött|köttben|på ben
🍗;kycklinglår;kyckling|kycklinglår|lår
🥩;styckdel;fläskkotlett|lammkotlett|stek|styckdel
🥓;bacon;bacon|kött|mat
🍔;hamburgare;burgare|hamburgare
🍟;pommes frites;pommes|pommes frites
🍕;pizzabit;bit|pizza|pizzabit|slice
🌭;varmkorv;korv|mat|varmkorv
🥪;smörgås;bröd|macka|smörgås
🌮;taco;fredagsmys|mat|mexikanskt|taco
🌯;burrito;burrito|fredagsmys|mat|mexikanskt
🫔;tamale;mexikanskt|tamale|wrap
🥙;pitabröd;falafel|gyro|kebab|mat|pita|pitabröd
🧆;falafel;falafel|kikärter|köttbulle
🥚;ägg;ägg|mat
🍳;matlagning;laga mat|matlagning|steka ägg
🥘;paella;mat|paella|stekpanna
🍲;gryta;gryta|mat|varm gryta
🫕;fondue;choklad|fondue|gryta|ost|schweiziskt|smältande
🥣;skål och sked;flingor|frukost|skål och sked
🥗;grönsallad;grön|grönsallad|mat|sallad
🍿;popcorn;bio|popcorn|snacks
🧈;smör;mjölkprodukt|smör
🧂;salt;krydda|salt|saltkar|saltströare
🥫;konserv;burk|konserv|konservburk
🍱;bentolåda;bento|bentolåda|låda
🍘;riskaka;kex|ris|riskaka
🍙;risboll;ris|risboll|risportion
🍚;kokt ris;kokt ris|ris
🍛;curry och ris;curry|ris
🍜;skål nudelsoppa;nudelsoppa|nudlar|rykande|skål|soppa
🍝;spagetti;mat|pasta|spagetti
🍠;rostad sötpotatis;mat|rostad|sötpotatis
🍢;skaldjursspett;skaldjur|skaldjursspett|spett
🍣;sushi;sushi
🍤;friterad räka;friterad|räka|tempura
🍥;fiskkaka;fisk|fiskkaka|snurrad fiskkaka
🥮;månkaka;festival|höst|månfest|månkaka
🍡;dango;dango|efterrätt|japan
🥟;dumpling;degknyte|dumpling|empanada|gyōza|jiaozi|pirog
🥠;lyckokaka;lyckokaka|profetia
