# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|মুখে দেঁতো হাসি|হাসি
	👬🏼;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: মাঝারি-হালকা ত্বকের রঙ;জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি-হালকা ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
	👨🏼‍🤝‍👨🏽;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: মাঝারি-হালকা ত্বকের রঙ, মাঝারি ত্বকের রঙ;জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
	👨🏼‍🤝‍👨🏾;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: মাঝারি-হালকা ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি-কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
	👨🏼‍🤝‍👨🏿;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: মাঝারি-হালকা ত্বকের রঙ, কালো ত্বকের রঙ;কালো ত্বকের রঙ|জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি-হালকা ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
	👨🏽‍🤝‍👨🏻;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: মাঝারি ত্বকের রঙ, হালকা ত্বকের রঙ;জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা|হালকা ত্বকের রঙ
	👨🏽‍🤝‍👨🏼;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: মাঝারি ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
	👬🏽;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: মাঝারি ত্বকের রঙ;জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
	👨🏽‍🤝‍👨🏾;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: মাঝারি ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
	👨🏽‍🤝‍👨🏿;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: মাঝারি ত্বকের রঙ, কালো ত্বকের রঙ;কালো ত্বকের রঙ|জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
	👨🏾‍🤝‍👨🏻;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: মাঝারি-কালো ত্বকের রঙ, হালকা ত্বকের রঙ;জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি-কালো ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা|হালকা ত্বকের রঙ
	👨🏾‍🤝‍👨🏼;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: মাঝারি-কালো ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি-কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
	👨🏾‍🤝‍👨🏽;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: মাঝারি-কালো ত্বকের রঙ, মাঝারি ত্বকের রঙ;জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
	👬🏾;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: মাঝারি-কালো ত্বকের রঙ;জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি-কালো ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
	👨🏾‍🤝‍👨🏿;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: মাঝারি-কালো ত্বকের রঙ, কালো ত্বকের রঙ;কালো ত্বকের রঙ|জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি-কালো ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
	👨🏿‍🤝‍👨🏻;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: কালো ত্বকের রঙ, হালকা ত্বকের রঙ;কালো ত্বকের রঙ|জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা|হালকা ত্বকের রঙ
	👨🏿‍🤝‍👨🏼;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: কালো ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;কালো ত্বকের রঙ|জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি-হালকা ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
	👨🏿‍🤝‍👨🏽;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: কালো ত্বকের রঙ, মাঝারি ত্বকের রঙ;কালো ত্বকের রঙ|জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
	👨🏿‍🤝‍👨🏾;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: কালো ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;কালো ত্বকের রঙ|জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মাঝারি-কালো ত্বকের রঙ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
	👬🏿;দুজন পুরুষ হার ধরে দাড়িয়ে আছে: কালো ত্বকের রঙ;কালো ত্বকের রঙ|জোড়|দুজন পুরুষ|দুজন পুরুষ হার ধরে দাড়িয়ে আছে|পুরুষ|মিথুন|যমজ|রাশিচক্র|হাত|হাত ধরে থাকা
💏;চুম্বন;
	💏🏻;চুম্বন: হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|যুগল|রোমান্স|হালকা ত্বকের রঙ
	💏🏼;চুম্বন: মাঝারি-হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	💏🏽;চুম্বন: মাঝারি ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|মাঝারি ত্বকের রঙ|যুগল|রোমান্স
	💏🏾;চুম্বন: মাঝারি-কালো ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স
	💏🏿;চুম্বন: কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|যুগল|রোমান্স
	🧑🏻‍❤️‍💋‍🧑🏼;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, হালকা ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	🧑🏻‍❤️‍💋‍🧑🏽;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, হালকা ত্বকের রঙ, মাঝারি ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	🧑🏻‍❤️‍💋‍🧑🏾;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, হালকা ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	🧑🏻‍❤️‍💋‍🧑🏿;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, হালকা ত্বকের রঙ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|যুগল|রোমান্স|হালকা ত্বকের রঙ
	🧑🏼‍❤️‍💋‍🧑🏻;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, মাঝারি-হালকা ত্বকের রঙ, হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	🧑🏼‍❤️‍💋‍🧑🏽;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, মাঝারি-হালকা ত্বকের রঙ, মাঝারি ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	🧑🏼‍❤️‍💋‍🧑🏾;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, মাঝারি-হালকা ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি-কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	🧑🏼‍❤️‍💋‍🧑🏿;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, মাঝারি-হালকা ত্বকের রঙ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	🧑🏽‍❤️‍💋‍🧑🏻;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, মাঝারি ত্বকের রঙ, হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	🧑🏽‍❤️‍💋‍🧑🏼;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, মাঝারি ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	🧑🏽‍❤️‍💋‍🧑🏾;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, মাঝারি ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স
	🧑🏽‍❤️‍💋‍🧑🏿;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, মাঝারি ত্বকের রঙ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি ত্বকের রঙ|যুগল|রোমান্স
	🧑🏾‍❤️‍💋‍🧑🏻;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, মাঝারি-কালো ত্বকের রঙ, হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	🧑🏾‍❤️‍💋‍🧑🏼;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, মাঝারি-কালো ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি-কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	🧑🏾‍❤️‍💋‍🧑🏽;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, মাঝারি-কালো ত্বকের রঙ, মাঝারি ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স
	🧑🏾‍❤️‍💋‍🧑🏿;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, মাঝারি-কালো ত্বকের রঙ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স
	🧑🏿‍❤️‍💋‍🧑🏻;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, কালো ত্বকের রঙ, হালকা ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|যুগল|রোমান্স|হালকা ত্বকের রঙ
	🧑🏿‍❤️‍💋‍🧑🏼;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, কালো ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	🧑🏿‍❤️‍💋‍🧑🏽;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, কালো ত্বকের রঙ, মাঝারি ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি ত্বকের রঙ|যুগল|রোমান্স
	🧑🏿‍❤️‍💋‍🧑🏾;চুম্বন: প্রাপ্তবয়স্ক, প্রাপ্তবয়স্ক, কালো ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|প্রাপ্তবয়স্ক|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স
👩‍❤️‍💋‍👨;চুম্বন: মহিলা, পুরুষ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|যুগল|রোমান্স
	👩🏻‍❤️‍💋‍👨🏻;চুম্বন: মহিলা, পুরুষ, হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👩🏻‍❤️‍💋‍👨🏼;চুম্বন: মহিলা, পুরুষ, হালকা ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👩🏻‍❤️‍💋‍👨🏽;চুম্বন: মহিলা, পুরুষ, হালকা ত্বকের রঙ, মাঝারি ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👩🏻‍❤️‍💋‍👨🏾;চুম্বন: মহিলা, পুরুষ, হালকা ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👩🏻‍❤️‍💋‍👨🏿;চুম্বন: মহিলা, পুরুষ, হালকা ত্বকের রঙ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👩🏼‍❤️‍💋‍👨🏻;চুম্বন: মহিলা, পুরুষ, মাঝারি-হালকা ত্বকের রঙ, হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👩🏼‍❤️‍💋‍👨🏼;চুম্বন: মহিলা, পুরুষ, মাঝারি-হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👩🏼‍❤️‍💋‍👨🏽;চুম্বন: মহিলা, পুরুষ, মাঝারি-হালকা ত্বকের রঙ, মাঝারি ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👩🏼‍❤️‍💋‍👨🏾;চুম্বন: মহিলা, পুরুষ, মাঝারি-হালকা ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি-কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👩🏼‍❤️‍💋‍👨🏿;চুম্বন: মহিলা, পুরুষ, মাঝারি-হালকা ত্বকের রঙ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👩🏽‍❤️‍💋‍👨🏻;চুম্বন: মহিলা, পুরুষ, মাঝারি ত্বকের রঙ, হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👩🏽‍❤️‍💋‍👨🏼;চুম্বন: মহিলা, পুরুষ, মাঝারি ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👩🏽‍❤️‍💋‍👨🏽;চুম্বন: মহিলা, পুরুষ, মাঝারি ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি ত্বকের রঙ|যুগল|রোমান্স
	👩🏽‍❤️‍💋‍👨🏾;চুম্বন: মহিলা, পুরুষ, মাঝারি ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স
	👩🏽‍❤️‍💋‍👨🏿;চুম্বন: মহিলা, পুরুষ, মাঝারি ত্বকের রঙ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি ত্বকের রঙ|যুগল|রোমান্স
	👩🏾‍❤️‍💋‍👨🏻;চুম্বন: মহিলা, পুরুষ, মাঝারি-কালো ত্বকের রঙ, হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👩🏾‍❤️‍💋‍👨🏼;চুম্বন: মহিলা, পুরুষ, মাঝারি-কালো ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি-কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👩🏾‍❤️‍💋‍👨🏽;চুম্বন: মহিলা, পুরুষ, মাঝারি-কালো ত্বকের রঙ, মাঝারি ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স
	👩🏾‍❤️‍💋‍👨🏾;চুম্বন: মহিলা, পুরুষ, মাঝারি-কালো ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স
	👩🏾‍❤️‍💋‍👨🏿;চুম্বন: মহিলা, পুরুষ, মাঝারি-কালো ত্বকের রঙ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স
	👩🏿‍❤️‍💋‍👨🏻;চুম্বন: মহিলা, পুরুষ, কালো ত্বকের রঙ, হালকা ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👩🏿‍❤️‍💋‍👨🏼;চুম্বন: মহিলা, পুরুষ, কালো ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👩🏿‍❤️‍💋‍👨🏽;চুম্বন: মহিলা, পুরুষ, কালো ত্বকের রঙ, মাঝারি ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি ত্বকের রঙ|যুগল|রোমান্স
	👩🏿‍❤️‍💋‍👨🏾;চুম্বন: মহিলা, পুরুষ, কালো ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স
	👩🏿‍❤️‍💋‍👨🏿;চুম্বন: মহিলা, পুরুষ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মহিলা|যুগল|রোমান্স
👨‍❤️‍💋‍👨;চুম্বন: পুরুষ, পুরুষ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|যুগল|রোমান্স
	👨🏻‍❤️‍💋‍👨🏻;চুম্বন: পুরুষ, পুরুষ, হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👨🏻‍❤️‍💋‍👨🏼;চুম্বন: পুরুষ, পুরুষ, হালকা ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👨🏻‍❤️‍💋‍👨🏽;চুম্বন: পুরুষ, পুরুষ, হালকা ত্বকের রঙ, মাঝারি ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👨🏻‍❤️‍💋‍👨🏾;চুম্বন: পুরুষ, পুরুষ, হালকা ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি-কালো ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👨🏻‍❤️‍💋‍👨🏿;চুম্বন: পুরুষ, পুরুষ, হালকা ত্বকের রঙ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👨🏼‍❤️‍💋‍👨🏻;চুম্বন: পুরুষ, পুরুষ, মাঝারি-হালকা ত্বকের রঙ, হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
	👨🏼‍❤️‍💋‍👨🏼;চুম্বন: পুরুষ, পুরুষ, মাঝারি-হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👨🏼‍❤️‍💋‍👨🏽;চুম্বন: পুরুষ, পুরুষ, মাঝারি-হালকা ত্বকের রঙ, মাঝারি ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👨🏼‍❤️‍💋‍👨🏾;চুম্বন: পুরুষ, পুরুষ, মাঝারি-হালকা ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি-কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👨🏼‍❤️‍💋‍👨🏿;চুম্বন: পুরুষ, পুরুষ, মাঝারি-হালকা ত্বকের রঙ, কালো ত্বকের রঙ;কপল|কালো ত্বকের রঙ|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি-হালকা ত্বকের রঙ|যুগল|রোমান্স
	👨🏽‍❤️‍💋‍👨🏻;চুম্বন: পুরুষ, পুরুষ, মাঝারি ত্বকের রঙ, হালকা ত্বকের রঙ;কপল|কিস|চুমু|চুম্বন|জোড়|পুরুষ|মাঝারি ত্বকের রঙ|যুগল|রোমান্স|হালকা ত্বকের রঙ
