# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;широко улыбается;лицо|радость|смех|счастье|улыбка
	👨🏾‍❤️‍💋‍👨🏿;поцелуй: мужчина мужчина темный тон кожи очень темный тон кожи;любовь|мужчина|очень темный тон кожи|пара|поцелуй|романтика|темный тон кожи|чувства
	👨🏿‍❤️‍💋‍👨🏻;поцелуй: мужчина мужчина очень темный тон кожи очень светлый тон кожи;любовь|мужчина|очень светлый тон кожи|очень темный тон кожи|пара|поцелуй|романтика|чувства
	👨🏿‍❤️‍💋‍👨🏼;поцелуй: мужчина мужчина очень темный тон кожи светлый тон кожи;любовь|мужчина|очень темный тон кожи|пара|поцелуй|романтика|светлый тон кожи|чувства
	👨🏿‍❤️‍💋‍👨🏽;поцелуй: мужчина мужчина очень темный тон кожи средний тон кожи;любовь|мужчина|очень темный тон кожи|пара|поцелуй|романтика|средний тон кожи|чувства
	👨🏿‍❤️‍💋‍👨🏾;поцелуй: мужчина мужчина очень темный тон кожи темный тон кожи;любовь|мужчина|очень темный тон кожи|пара|поцелуй|романтика|темный тон кожи|чувства
	👨🏿‍❤️‍💋‍👨🏿;поцелуй: мужчина мужчина очень темный тон кожи;любовь|мужчина|очень темный тон кожи|пара|поцелуй|романтика|чувства
👩‍❤️‍💋‍👩;поцелуй: женщина женщина;женщина|любовь|пара|поцелуй|романтика|чувства
	👩🏻‍❤️‍💋‍👩🏻;поцелуй: женщина женщина очень светлый тон кожи;женщина|любовь|очень светлый тон кожи|пара|поцелуй|романтика|чувства
	👩🏻‍❤️‍💋‍👩🏼;поцелуй: женщина женщина очень светлый тон кожи светлый тон кожи;женщина|любовь|очень светлый тон кожи|пара|поцелуй|романтика|светлый тон кожи|чувства
	👩🏻‍❤️‍💋‍👩🏽;поцелуй: женщина женщина очень светлый тон кожи средний тон кожи;женщина|любовь|очень светлый тон кожи|пара|поцелуй|романтика|средний тон кожи|чувства
	👩🏻‍❤️‍💋‍👩🏾;поцелуй: женщина женщина очень светлый тон кожи темный тон кожи;женщина|любовь|очень светлый тон кожи|пара|поцелуй|романтика|темный тон кожи|чувства
	👩🏻‍❤️‍💋‍👩🏿;поцелуй: женщина женщина очень светлый тон кожи очень темный тон кожи;женщина|любовь|очень светлый тон кожи|очень темный тон кожи|пара|поцелуй|романтика|чувства
	👩🏼‍❤️‍💋‍👩🏻;поцелуй: женщина женщина светлый тон кожи очень светлый тон кожи;женщина|любовь|очень светлый тон кожи|пара|поцелуй|романтика|светлый тон кожи|чувства
	👩🏼‍❤️‍💋‍👩🏼;поцелуй: женщина женщина светлый тон кожи;женщина|любовь|пара|поцелуй|романтика|светлый тон кожи|чувства
	👩🏼‍❤️‍💋‍👩🏽;поцелуй: женщина женщина светлый тон кожи средний тон кожи;женщина|любовь|пара|поцелуй|романтика|светлый тон кожи|средний тон кожи|чувства
	👩🏼‍❤️‍💋‍👩🏾;поцелуй: женщина женщина светлый тон кожи темный тон кожи;женщина|любовь|пара|поцелуй|романтика|светлый тон кожи|темный тон кожи|чувства
	👩🏼‍❤️‍💋‍👩🏿;поцелуй: женщина женщина светлый тон кожи очень темный тон кожи;женщина|любовь|очень темный тон кожи|пара|поцелуй|романтика|светлый тон кожи|чувства
	👩🏽‍❤️‍💋‍👩🏻;поцелуй: женщина женщина средний тон кожи очень светлый тон кожи;женщина|любовь|очень светлый тон кожи|пара|поцелуй|романтика|средний тон кожи|чувства
	👩🏽‍❤️‍💋‍👩🏼;поцелуй: женщина женщина средний тон кожи светлый тон кожи;женщина|любовь|пара|поцелуй|романтика|светлый тон кожи|средний тон кожи|чувства
	👩🏽‍❤️‍💋‍👩🏽;поцелуй: женщина женщина средний тон кожи;женщина|любовь|пара|поцелуй|романтика|средний тон кожи|чувства
	👩🏽‍❤️‍💋‍👩🏾;поцелуй: женщина женщина средний тон кожи темный тон кожи;женщина|любовь|пара|поцелуй|романтика|средний тон кожи|темный тон кожи|чувства
	👩🏽‍❤️‍💋‍👩🏿;поцелуй: женщина женщина средний тон кожи очень темный тон кожи;женщина|любовь|очень темный тон кожи|пара|поцелуй|романтика|средний тон кожи|чувства
	👩🏾‍❤️‍💋‍👩🏻;поцелуй: женщина женщина темный тон кожи очень светлый тон кожи;женщина|любовь|очень светлый тон кожи|пара|поцелуй|романтика|темный тон кожи|чувства
	👩🏾‍❤️‍💋‍👩🏼;поцелуй: женщина женщина темный тон кожи светлый тон кожи;женщина|любовь|пара|поцелуй|романтика|светлый тон кожи|темный тон кожи|чувства
	👩🏾‍❤️‍💋‍👩🏽;поцелуй: женщина женщина темный тон кожи средний тон кожи;женщина|любовь|пара|поцелуй|романтика|средний тон кожи|темный тон кожи|чувства
	👩🏾‍❤️‍💋‍👩🏾;поцелуй: женщина женщина темный тон кожи;женщина|любовь|пара|поцелуй|романтика|темный тон кожи|чувства
	👩🏾‍❤️‍💋‍👩🏿;поцелуй: женщина женщина темный тон кожи очень темный тон кожи;женщина|любовь|очень темный тон кожи|пара|поцелуй|романтика|темный тон кожи|чувства
	👩🏿‍❤️‍💋‍👩🏻;поцелуй: женщина женщина очень темный тон кожи очень светлый тон кожи;женщина|любовь|очень светлый тон кожи|очень темный тон кожи|пара|поцелуй|романтика|чувства
	👩🏿‍❤️‍💋‍👩🏼;поцелуй: женщина женщина очень темный тон кожи светлый тон кожи;женщина|любовь|очень темный тон кожи|пара|поцелуй|романтика|светлый тон кожи|чувства
	👩🏿‍❤️‍💋‍👩🏽;поцелуй: женщина женщина очень темный тон кожи средний тон кожи;женщина|любовь|очень темный тон кожи|пара|поцелуй|романтика|средний тон кожи|чувства
	👩🏿‍❤️‍💋‍👩🏾;поцелуй: женщина женщина очень темный тон кожи темный тон кожи;женщина|любовь|очень темный тон кожи|пара|поцелуй|романтика|темный тон кожи|чувства
	👩🏿‍❤️‍💋‍👩🏿;поцелуй: женщина женщина очень темный тон кожи;женщина|любовь|очень темный тон кожи|пара|поцелуй|романтика|чувства
💑;влюбленная пара;влюбленные|любовь|люди|пара|свидание|сердце|чувства
	💑🏻;влюбленная пара: очень светлый тон кожи;влюбленные|любовь|люди|очень светлый тон кожи|пара|свидание|сердце|чувства
	💑🏼;влюбленная пара: светлый тон кожи;влюбленные|любовь|люди|пара|светлый тон кожи|свидание|сердце|чувства
	💑🏽;влюбленная пара: средний тон кожи;влюбленные|любовь|люди|пара|свидание|сердце|средний тон кожи|чувства
	💑🏾;влюбленная пара: темный тон кожи;влюбленные|любовь|люди|пара|свидание|сердце|темный тон кожи|чувства
	💑🏿;влюбленная пара: очень темный тон кожи;влюбленные|любовь|люди|очень темный тон кожи|пара|свидание|сердце|чувства
	🧑🏻‍❤️‍🧑🏼;влюбленная пара: взрослый взрослый очень светлый тон кожи светлый тон кожи;взрослый|влюбленные|любовь|люди|очень светлый тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	🧑🏻‍❤️‍🧑🏽;влюбленная пара: взрослый взрослый очень светлый тон кожи средний тон кожи;взрослый|влюбленные|любовь|люди|очень светлый тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	🧑🏻‍❤️‍🧑🏾;влюбленная пара: взрослый взрослый очень светлый тон кожи темный тон кожи;взрослый|влюбленные|любовь|люди|очень светлый тон кожи|пара|свидание|сердце|темный тон кожи|чувства
	🧑🏻‍❤️‍🧑🏿;влюбленная пара: взрослый взрослый очень светлый тон кожи очень темный тон кожи;взрослый|влюбленные|любовь|люди|очень светлый тон кожи|очень темный тон кожи|пара|свидание|сердце|чувства
	🧑🏼‍❤️‍🧑🏻;влюбленная пара: взрослый взрослый светлый тон кожи очень светлый тон кожи;взрослый|влюбленные|любовь|люди|очень светлый тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	🧑🏼‍❤️‍🧑🏽;влюбленная пара: взрослый взрослый светлый тон кожи средний тон кожи;взрослый|влюбленные|любовь|люди|пара|светлый тон кожи|свидание|сердце|средний тон кожи|чувства
	🧑🏼‍❤️‍🧑🏾;влюбленная пара: взрослый взрослый светлый тон кожи темный тон кожи;взрослый|влюбленные|любовь|люди|пара|светлый тон кожи|свидание|сердце|темный тон кожи|чувства
	🧑🏼‍❤️‍🧑🏿;влюбленная пара: взрослый взрослый светлый тон кожи очень темный тон кожи;взрослый|влюбленные|любовь|люди|очень темный тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	🧑🏽‍❤️‍🧑🏻;влюбленная пара: взрослый взрослый средний тон кожи очень светлый тон кожи;взрослый|влюбленные|любовь|люди|очень светлый тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	🧑🏽‍❤️‍🧑🏼;влюбленная пара: взрослый взрослый средний тон кожи светлый тон кожи;взрослый|влюбленные|любовь|люди|пара|светлый тон кожи|свидание|сердце|средний тон кожи|чувства
	🧑🏽‍❤️‍🧑🏾;влюбленная пара: взрослый взрослый средний тон кожи темный тон кожи;взрослый|влюбленные|любовь|люди|пара|свидание|сердце|средний тон кожи|темный тон кожи|чувства
	🧑🏽‍❤️‍🧑🏿;влюбленная пара: взрослый взрослый средний тон кожи очень темный тон кожи;взрослый|влюбленные|любовь|люди|очень темный тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	🧑🏾‍❤️‍🧑🏻;влюбленная пара: взрослый взрослый темный тон кожи очень светлый тон кожи;взрослый|влюбленные|любовь|люди|очень светлый тон кожи|пара|свидание|сердце|темный тон кожи|чувства
	🧑🏾‍❤️‍🧑🏼;влюбленная пара: взрослый взрослый темный тон кожи светлый тон кожи;взрослый|влюбленные|любовь|люди|пара|светлый тон кожи|свидание|сердце|темный тон кожи|чувства
	🧑🏾‍❤️‍🧑🏽;влюбленная пара: взрослый взрослый темный тон кожи средний тон кожи;взрослый|влюбленные|любовь|люди|пара|свидание|сердце|средний тон кожи|темный тон кожи|чувства
	🧑🏾‍❤️‍🧑🏿;влюбленная пара: взрослый взрослый темный тон кожи очень темный тон кожи;взрослый|влюбленные|любовь|люди|очень темный тон кожи|пара|свидание|сердце|темный тон кожи|чувства
	🧑🏿‍❤️‍🧑🏻;влюбленная пара: взрослый взрослый очень темный тон кожи очень светлый тон кожи;взрослый|влюбленные|любовь|люди|очень светлый тон кожи|очень темный тон кожи|пара|свидание|сердце|чувства
	🧑🏿‍❤️‍🧑🏼;влюбленная пара: взрослый взрослый очень темный тон кожи светлый тон кожи;взрослый|влюбленные|любовь|люди|очень темный тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	🧑🏿‍❤️‍🧑🏽;влюбленная пара: взрослый взрослый очень темный тон кожи средний тон кожи;взрослый|влюбленные|любовь|люди|очень темный тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	🧑🏿‍❤️‍🧑🏾;влюбленная пара: взрослый взрослый очень темный тон кожи темный тон кожи;взрослый|влюбленные|любовь|люди|очень темный тон кожи|пара|свидание|сердце|темный тон кожи|чувства
👩‍❤️‍👨;влюбленная пара: женщина мужчина;влюбленные|женщина|любовь|люди|мужчина|пара|свидание|сердце|чувства
	👩🏻‍❤️‍👨🏻;влюбленная пара: женщина мужчина очень светлый тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень светлый тон кожи|пара|свидание|сердце|чувства
	👩🏻‍❤️‍👨🏼;влюбленная пара: женщина мужчина очень светлый тон кожи светлый тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень светлый тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	👩🏻‍❤️‍👨🏽;влюбленная пара: женщина мужчина очень светлый тон кожи средний тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень светлый тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	👩🏻‍❤️‍👨🏾;влюбленная пара: женщина мужчина очень светлый тон кожи темный тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень светлый тон кожи|пара|свидание|сердце|темный тон кожи|чувства
	👩🏻‍❤️‍👨🏿;влюбленная пара: женщина мужчина очень светлый тон кожи очень темный тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень светлый тон кожи|очень темный тон кожи|пара|свидание|сердце|чувства
	👩🏼‍❤️‍👨🏻;влюбленная пара: женщина мужчина светлый тон кожи очень светлый тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень светлый тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	👩🏼‍❤️‍👨🏼;влюбленная пара: женщина мужчина светлый тон кожи;влюбленные|женщина|любовь|люди|мужчина|пара|светлый тон кожи|свидание|сердце|чувства
	👩🏼‍❤️‍👨🏽;влюбленная пара: женщина мужчина светлый тон кожи средний тон кожи;влюбленные|женщина|любовь|люди|мужчина|пара|светлый тон кожи|свидание|сердце|средний тон кожи|чувства
	👩🏼‍❤️‍👨🏾;влюбленная пара: женщина мужчина светлый тон кожи темный тон кожи;влюбленные|женщина|любовь|люди|мужчина|пара|светлый тон кожи|свидание|сердце|темный тон кожи|чувства
	👩🏼‍❤️‍👨🏿;влюбленная пара: женщина мужчина светлый тон кожи очень темный тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень темный тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	👩🏽‍❤️‍👨🏻;влюбленная пара: женщина мужчина средний тон кожи очень светлый тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень светлый тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	👩🏽‍❤️‍👨🏼;влюбленная пара: женщина мужчина средний тон кожи светлый тон кожи;влюбленные|женщина|любовь|люди|мужчина|пара|светлый тон кожи|свидание|сердце|средний тон кожи|чувства
	👩🏽‍❤️‍👨🏽;влюбленная пара: женщина мужчина средний тон кожи;влюбленные|женщина|любовь|люди|мужчина|пара|свидание|сердце|средний тон кожи|чувства
	👩🏽‍❤️‍👨🏾;влюбленная пара: женщина мужчина средний тон кожи темный тон кожи;влюбленные|женщина|любовь|люди|мужчина|пара|свидание|сердце|средний тон кожи|темный тон кожи|чувства
	👩🏽‍❤️‍👨🏿;влюбленная пара: женщина мужчина средний тон кожи очень темный тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень темный тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	👩🏾‍❤️‍👨🏻;влюбленная пара: женщина мужчина темный тон кожи очень светлый тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень светлый тон кожи|пара|свидание|сердце|темный тон кожи|чувства
	👩🏾‍❤️‍👨🏼;влюбленная пара: женщина мужчина темный тон кожи светлый тон кожи;влюбленные|женщина|любовь|люди|мужчина|пара|светлый тон кожи|свидание|сердце|темный тон кожи|чувства
	👩🏾‍❤️‍👨🏽;влюбленная пара: женщина мужчина темный тон кожи средний тон кожи;влюбленные|женщина|любовь|люди|мужчина|пара|свидание|сердце|средний тон кожи|темный тон кожи|чувства
	👩🏾‍❤️‍👨🏾;влюбленная пара: женщина мужчина темный тон кожи;влюбленные|женщина|любовь|люди|мужчина|пара|свидание|сердце|темный тон кожи|чувства
	👩🏾‍❤️‍👨🏿;влюбленная пара: женщина мужчина темный тон кожи очень темный тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень темный тон кожи|пара|свидание|сердце|темный тон кожи|чувства
	👩🏿‍❤️‍👨🏻;влюбленная пара: женщина мужчина очень темный тон кожи очень светлый тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень светлый тон кожи|очень темный тон кожи|пара|свидание|сердце|чувства
	👩🏿‍❤️‍👨🏼;влюбленная пара: женщина мужчина очень темный тон кожи светлый тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень темный тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	👩🏿‍❤️‍👨🏽;влюбленная пара: женщина мужчина очень темный тон кожи средний тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень темный тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	👩🏿‍❤️‍👨🏾;влюбленная пара: женщина мужчина очень темный тон кожи темный тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень темный тон кожи|пара|свидание|сердце|темный тон кожи|чувства
	👩🏿‍❤️‍👨🏿;влюбленная пара: женщина мужчина очень темный тон кожи;влюбленные|женщина|любовь|люди|мужчина|очень темный тон кожи|пара|свидание|сердце|чувства
👨‍❤️‍👨;влюбленная пара: мужчина мужчина;влюбленные|любовь|люди|мужчина|пара|свидание|сердце|чувства
	👨🏻‍❤️‍👨🏻;влюбленная пара: мужчина мужчина очень светлый тон кожи;влюбленные|любовь|люди|мужчина|очень светлый тон кожи|пара|свидание|сердце|чувства
	👨🏻‍❤️‍👨🏼;влюбленная пара: мужчина мужчина очень светлый тон кожи светлый тон кожи;влюбленные|любовь|люди|мужчина|очень светлый тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	👨🏻‍❤️‍👨🏽;влюбленная пара: мужчина мужчина очень светлый тон кожи средний тон кожи;влюбленные|любовь|люди|мужчина|очень светлый тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	👨🏻‍❤️‍👨🏾;влюбленная пара: мужчина мужчина очень светлый тон кожи темный тон кожи;влюбленные|любовь|люди|мужчина|очень светлый тон кожи|пара|свидание|сердце|темный тон кожи|чувства
	👨🏻‍❤️‍👨🏿;влюбленная пара: мужчина мужчина очень светлый тон кожи очень темный тон кожи;влюбленные|любовь|люди|мужчина|очень светлый тон кожи|очень темный тон кожи|пара|свидание|сердце|чувства
	👨🏼‍❤️‍👨🏻;влюбленная пара: мужчина мужчина светлый тон кожи очень светлый тон кожи;влюбленные|любовь|люди|мужчина|очень светлый тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	👨🏼‍❤️‍👨🏼;влюбленная пара: мужчина мужчина светлый тон кожи;влюбленные|любовь|люди|мужчина|пара|светлый тон кожи|свидание|сердце|чувства
	👨🏼‍❤️‍👨🏽;влюбленная пара: мужчина мужчина светлый тон кожи средний тон кожи;влюбленные|любовь|люди|мужчина|пара|светлый тон кожи|свидание|сердце|средний тон кожи|чувства
	👨🏼‍❤️‍👨🏾;влюбленная пара: мужчина мужчина светлый тон кожи темный тон кожи;влюбленные|любовь|люди|мужчина|пара|светлый тон кожи|свидание|сердце|темный тон кожи|чувства
	👨🏼‍❤️‍👨🏿;влюбленная пара: мужчина мужчина светлый тон кожи очень темный тон кожи;влюбленные|любовь|люди|мужчина|очень темный тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	👨🏽‍❤️‍👨🏻;влюбленная пара: мужчина мужчина средний тон кожи очень светлый тон кожи;влюбленные|любовь|люди|мужчина|очень светлый тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	👨🏽‍❤️‍👨🏼;влюбленная пара: мужчина мужчина средний тон кожи светлый тон кожи;влюбленные|любовь|люди|мужчина|пара|светлый тон кожи|свидание|сердце|средний тон кожи|чувства
	👨🏽‍❤️‍👨🏽;влюбленная пара: мужчина мужчина средний тон кожи;влюбленные|любовь|люди|мужчина|пара|свидание|сердце|средний тон кожи|чувства
	👨🏽‍❤️‍👨🏾;влюбленная пара: мужчина мужчина средний тон кожи темный тон кожи;влюбленные|любовь|люди|мужчина|пара|свидание|сердце|средний тон кожи|темный тон кожи|чувства
	👨🏽‍❤️‍👨🏿;влюбленная пара: мужчина мужчина средний тон кожи очень темный тон кожи;влюбленные|любовь|люди|мужчина|очень темный тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	👨🏾‍❤️‍👨🏻;влюбленная пара: мужчина мужчина темный тон кожи очень светлый тон кожи;влюбленные|любовь|люди|мужчина|очень светлый тон кожи|пара|свидание|сердце|темный тон кожи|чувства
	👨🏾‍❤️‍👨🏼;влюбленная пара: мужчина мужчина темный тон кожи светлый тон кожи;влюбленные|любовь|люди|мужчина|пара|светлый тон кожи|свидание|сердце|темный тон кожи|чувства
	👨🏾‍❤️‍👨🏽;влюбленная пара: мужчина мужчина темный тон кожи средний тон кожи;влюбленные|любовь|люди|мужчина|пара|свидание|сердце|средний тон кожи|темный тон кожи|чувства
	👨🏾‍❤️‍👨🏾;влюбленная пара: мужчина мужчина темный тон кожи;влюбленные|любовь|люди|мужчина|пара|свидание|сердце|темный тон кожи|чувства
	👨🏾‍❤️‍👨🏿;влюбленная пара: мужчина мужчина темный тон кожи очень темный тон кожи;влюбленные|любовь|люди|мужчина|очень темный тон кожи|пара|свидание|сердце|темный тон кожи|чувства
	👨🏿‍❤️‍👨🏻;влюбленная пара: мужчина мужчина очень темный тон кожи очень светлый тон кожи;влюбленные|любовь|люди|мужчина|очень светлый тон кожи|очень темный тон кожи|пара|свидание|сердце|чувства
	👨🏿‍❤️‍👨🏼;влюбленная пара: мужчина мужчина очень темный тон кожи светлый тон кожи;влюбленные|любовь|люди|мужчина|очень темный тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	👨🏿‍❤️‍👨🏽;влюбленная пара: мужчина мужчина очень темный тон кожи средний тон кожи;влюбленные|любовь|люди|мужчина|очень темный тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	👨🏿‍❤️‍👨🏾;влюбленная пара: мужчина мужчина очень темный тон кожи темный тон кожи;влюбленные|любовь|люди|мужчина|очень темный тон кожи|пара|свидание|сердце|темный тон кожи|чувства
	👨🏿‍❤️‍👨🏿;влюбленная пара: мужчина мужчина очень темный тон кожи;влюбленные|любовь|люди|мужчина|очень темный тон кожи|пара|свидание|сердце|чувства
👩‍❤️‍👩;влюбленная пара: женщина женщина;влюбленные|женщина|любовь|люди|пара|свидание|сердце|чувства
	👩🏻‍❤️‍👩🏻;влюбленная пара: женщина женщина очень светлый тон кожи;влюбленные|женщина|любовь|люди|очень светлый тон кожи|пара|свидание|сердце|чувства
	👩🏻‍❤️‍👩🏼;влюбленная пара: женщина женщина очень светлый тон кожи светлый тон кожи;влюбленные|женщина|любовь|люди|очень светлый тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	👩🏻‍❤️‍👩🏽;влюбленная пара: женщина женщина очень светлый тон кожи средний тон кожи;влюбленные|женщина|любовь|люди|очень светлый тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	👩🏻‍❤️‍👩🏾;влюбленная пара: женщина женщина очень светлый тон кожи темный тон кожи;влюбленные|женщина|любовь|люди|очень светлый тон кожи|пара|свидание|сердце|темный тон кожи|чувства
	👩🏻‍❤️‍👩🏿;влюбленная пара: женщина женщина очень светлый тон кожи очень темный тон кожи;влюбленные|женщина|любовь|люди|очень светлый тон кожи|очень темный тон кожи|пара|свидание|сердце|чувства
	👩🏼‍❤️‍👩🏻;влюбленная пара: женщина женщина светлый тон кожи очень светлый тон кожи;влюбленные|женщина|любовь|люди|очень светлый тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	👩🏼‍❤️‍👩🏼;влюбленная пара: женщина женщина светлый тон кожи;влюбленные|женщина|любовь|люди|пара|светлый тон кожи|свидание|сердце|чувства
	👩🏼‍❤️‍👩🏽;влюбленная пара: женщина женщина светлый тон кожи средний тон кожи;влюбленные|женщина|любовь|люди|пара|светлый тон кожи|свидание|сердце|средний тон кожи|чувства
	👩🏼‍❤️‍👩🏾;влюбленная пара: женщина женщина светлый тон кожи темный тон кожи;влюбленные|женщина|любовь|люди|пара|светлый тон кожи|свидание|сердце|темный тон кожи|чувства
	👩🏼‍❤️‍👩🏿;влюбленная пара: женщина женщина светлый тон кожи очень темный тон кожи;влюбленные|женщина|любовь|люди|очень темный тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	👩🏽‍❤️‍👩🏻;влюбленная пара: женщина женщина средний тон кожи очень светлый тон кожи;влюбленные|женщина|любовь|люди|очень светлый тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	👩🏽‍❤️‍👩🏼;влюбленная пара: женщина женщина средний тон кожи светлый тон кожи;влюбленные|женщина|любовь|люди|пара|светлый тон кожи|свидание|сердце|средний тон кожи|чувства
	👩🏽‍❤️‍👩🏽;влюбленная пара: женщина женщина средний тон кожи;влюбленные|женщина|любовь|люди|пара|свидание|сердце|средний тон кожи|чувства
	👩🏽‍❤️‍👩🏾;влюбленная пара: женщина женщина средний тон кожи темный тон кожи;влюбленные|женщина|любовь|люди|пара|свидание|сердце|средний тон кожи|темный тон кожи|чувства
	👩🏽‍❤️‍👩🏿;влюбленная пара: женщина женщина средний тон кожи очень темный тон кожи;влюбленные|женщина|любовь|люди|очень темный тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	👩🏾‍❤️‍👩🏻;влюбленная пара: женщина женщина темный тон кожи очень светлый тон кожи;влюбленные|женщина|любовь|люди|очень светлый тон кожи|пара|свидание|сердце|темный тон кожи|чувства
	👩🏾‍❤️‍👩🏼;влюбленная пара: женщина женщина темный тон кожи светлый тон кожи;влюбленные|женщина|любовь|люди|пара|светлый тон кожи|свидание|сердце|темный тон кожи|чувства
	👩🏾‍❤️‍👩🏽;влюбленная пара: женщина женщина темный тон кожи средний тон кожи;влюбленные|женщина|любовь|люди|пара|свидание|сердце|средний тон кожи|темный тон кожи|чувства
	👩🏾‍❤️‍👩🏾;влюбленная пара: женщина женщина темный тон кожи;влюбленные|женщина|любовь|люди|пара|свидание|сердце|темный тон кожи|чувства
	👩🏾‍❤️‍👩🏿;влюбленная пара: женщина женщина темный тон кожи очень темный тон кожи;влюбленные|женщина|любовь|люди|очень темный тон кожи|пара|свидание|сердце|темный тон кожи|чувства
	👩🏿‍❤️‍👩🏻;влюбленная пара: женщина женщина очень темный тон кожи очень светлый тон кожи;влюбленные|женщина|любовь|люди|очень светлый тон кожи|очень темный тон кожи|пара|свидание|сердце|чувства
	👩🏿‍❤️‍👩🏼;влюбленная пара: женщина женщина очень темный тон кожи светлый тон кожи;влюбленные|женщина|любовь|люди|очень темный тон кожи|пара|светлый тон кожи|свидание|сердце|чувства
	👩🏿‍❤️‍👩🏽;влюбленная пара: женщина женщина очень темный тон кожи средний тон кожи;влюбленные|женщина|любовь|люди|очень темный тон кожи|пара|свидание|сердце|средний тон кожи|чувства
	👩🏿‍❤️‍👩🏾;влюбленная пара: женщина женщина очень темный тон кожи темный тон кожи;влюбленные|женщина|любовь|люди|очень темный тон кожи|пара|свидание|сердце|темный тон кожи|чувства
	👩🏿‍❤️‍👩🏿;влюбленная пара: женщина женщина очень темный тон кожи;влюбленные|женщина|любовь|люди|очень темный тон кожи|пара|свидание|сердце|чувства
👨‍👩‍👦;семья: мужчина женщина мальчик;женщина|мальчик|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👩‍👧;семья: мужчина женщина девочка;девочка|женщина|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👩‍👧‍👦;семья: мужчина женщина девочка мальчик;девочка|женщина|мальчик|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👩‍👦‍👦;семья: мужчина женщина мальчик мальчик;женщина|мальчик|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👩‍👧‍👧;семья: мужчина женщина девочка девочка;девочка|женщина|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👨‍👦;семья: мужчина мужчина мальчик;мальчик|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👨‍👧;семья: мужчина мужчина девочка;девочка|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👨‍👧‍👦;семья: мужчина мужчина девочка мальчик;девочка|мальчик|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👨‍👦‍👦;семья: мужчина мужчина мальчик мальчик;мальчик|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👨‍👧‍👧;семья: мужчина мужчина девочка девочка;девочка|мужчина|портрет|ребенок|родители|семейный|семья
