# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cerenje;cerenje|lice
	🧑🏽‍❤️‍🧑🏾;par i srce: osoba, osoba, umjerena boja kože i umjereno tamna boja kože;ljubav|osoba|par|par i srce|srce|umjerena boja kože|umjereno tamna boja kože
	🧑🏽‍❤️‍🧑🏿;par i srce: osoba, osoba, umjerena boja kože i tamna boja kože;ljubav|osoba|par|par i srce|srce|tamna boja kože|umjerena boja kože
	🧑🏾‍❤️‍🧑🏻;par i srce: osoba, osoba, umjereno tamna boja kože i svijetla boja kože;ljubav|osoba|par|par i srce|srce|svijetla boja kože|umjereno tamna boja kože
	🧑🏾‍❤️‍🧑🏼;par i srce: osoba, osoba, umjereno tamna boja kože i umjereno svijetla boja kože;ljubav|osoba|par|par i srce|srce|umjereno svijetla boja kože|umjereno tamna boja kože
	🧑🏾‍❤️‍🧑🏽;par i srce: osoba, osoba, umjereno tamna boja kože i umjerena boja kože;ljubav|osoba|par|par i srce|srce|umjerena boja kože|umjereno tamna boja kože
	🧑🏾‍❤️‍🧑🏿;par i srce: osoba, osoba, umjereno tamna boja kože i tamna boja kože;ljubav|osoba|par|par i srce|srce|tamna boja kože|umjereno tamna boja kože
	🧑🏿‍❤️‍🧑🏻;par i srce: osoba, osoba, tamna boja kože i svijetla boja kože;ljubav|osoba|par|par i srce|srce|svijetla boja kože|tamna boja kože
	🧑🏿‍❤️‍🧑🏼;par i srce: osoba, osoba, tamna boja kože i umjereno svijetla boja kože;ljubav|osoba|par|par i srce|srce|tamna boja kože|umjereno svijetla boja kože
	🧑🏿‍❤️‍🧑🏽;par i srce: osoba, osoba, tamna boja kože i umjerena boja kože;ljubav|osoba|par|par i srce|srce|tamna boja kože|umjerena boja kože
	🧑🏿‍❤️‍🧑🏾;par i srce: osoba, osoba, tamna boja kože i umjereno tamna boja kože;ljubav|osoba|par|par i srce|srce|tamna boja kože|umjereno tamna boja kože
👩‍❤️‍👨;par i srce: žena i muškarac;ljubav|muškarac|par|par i srce|srce|žena
	👩🏻‍❤️‍👨🏻;par i srce: žena, muškarac i svijetla boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|žena
	👩🏻‍❤️‍👨🏼;par i srce: žena, muškarac, svijetla boja kože i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|umjereno svijetla boja kože|žena
	👩🏻‍❤️‍👨🏽;par i srce: žena, muškarac, svijetla boja kože i umjerena boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|umjerena boja kože|žena
	👩🏻‍❤️‍👨🏾;par i srce: žena, muškarac, svijetla boja kože i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|umjereno tamna boja kože|žena
	👩🏻‍❤️‍👨🏿;par i srce: žena, muškarac, svijetla boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|tamna boja kože|žena
	👩🏼‍❤️‍👨🏻;par i srce: žena, muškarac, umjereno svijetla boja kože i svijetla boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|umjereno svijetla boja kože|žena
	👩🏼‍❤️‍👨🏼;par i srce: žena, muškarac i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|srce|umjereno svijetla boja kože|žena
	👩🏼‍❤️‍👨🏽;par i srce: žena, muškarac, umjereno svijetla boja kože i umjerena boja kože;ljubav|muškarac|par|par i srce|srce|umjerena boja kože|umjereno svijetla boja kože|žena
	👩🏼‍❤️‍👨🏾;par i srce: žena, muškarac, umjereno svijetla boja kože i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|srce|umjereno svijetla boja kože|umjereno tamna boja kože|žena
	👩🏼‍❤️‍👨🏿;par i srce: žena, muškarac, umjereno svijetla boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|srce|tamna boja kože|umjereno svijetla boja kože|žena
	👩🏽‍❤️‍👨🏻;par i srce: žena, muškarac, umjerena boja kože i svijetla boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|umjerena boja kože|žena
	👩🏽‍❤️‍👨🏼;par i srce: žena, muškarac, umjerena boja kože i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|srce|umjerena boja kože|umjereno svijetla boja kože|žena
	👩🏽‍❤️‍👨🏽;par i srce: žena, muškarac i umjerena boja kože;ljubav|muškarac|par|par i srce|srce|umjerena boja kože|žena
	👩🏽‍❤️‍👨🏾;par i srce: žena, muškarac, umjerena boja kože i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|srce|umjerena boja kože|umjereno tamna boja kože|žena
	👩🏽‍❤️‍👨🏿;par i srce: žena, muškarac, umjerena boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|srce|tamna boja kože|umjerena boja kože|žena
	👩🏾‍❤️‍👨🏻;par i srce: žena, muškarac, umjereno tamna boja kože i svijetla boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|umjereno tamna boja kože|žena
	👩🏾‍❤️‍👨🏼;par i srce: žena, muškarac, umjereno tamna boja kože i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|srce|umjereno svijetla boja kože|umjereno tamna boja kože|žena
	👩🏾‍❤️‍👨🏽;par i srce: žena, muškarac, umjereno tamna boja kože i umjerena boja kože;ljubav|muškarac|par|par i srce|srce|umjerena boja kože|umjereno tamna boja kože|žena
	👩🏾‍❤️‍👨🏾;par i srce: žena, muškarac i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|srce|umjereno tamna boja kože|žena
	👩🏾‍❤️‍👨🏿;par i srce: žena, muškarac, umjereno tamna boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|srce|tamna boja kože|umjereno tamna boja kože|žena
	👩🏿‍❤️‍👨🏻;par i srce: žena, muškarac, tamna boja kože i svijetla boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|tamna boja kože|žena
	👩🏿‍❤️‍👨🏼;par i srce: žena, muškarac, tamna boja kože i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|srce|tamna boja kože|umjereno svijetla boja kože|žena
	👩🏿‍❤️‍👨🏽;par i srce: žena, muškarac, tamna boja kože i umjerena boja kože;ljubav|muškarac|par|par i srce|srce|tamna boja kože|umjerena boja kože|žena
	👩🏿‍❤️‍👨🏾;par i srce: žena, muškarac, tamna boja kože i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|srce|tamna boja kože|umjereno tamna boja kože|žena
	👩🏿‍❤️‍👨🏿;par i srce: žena, muškarac i tamna boja kože;ljubav|muškarac|par|par i srce|srce|tamna boja kože|žena
👨‍❤️‍👨;par i srce: muškarac i muškarac;ljubav|muškarac|par|par i srce|srce
	👨🏻‍❤️‍👨🏻;par i srce: muškarac, muškarac i svijetla boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože
	👨🏻‍❤️‍👨🏼;par i srce: muškarac, muškarac, svijetla boja kože i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|umjereno svijetla boja kože
	👨🏻‍❤️‍👨🏽;par i srce: muškarac, muškarac, svijetla boja kože i umjerena boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|umjerena boja kože
	👨🏻‍❤️‍👨🏾;par i srce: muškarac, muškarac, svijetla boja kože i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|umjereno tamna boja kože
	👨🏻‍❤️‍👨🏿;par i srce: muškarac, muškarac, svijetla boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|tamna boja kože
	👨🏼‍❤️‍👨🏻;par i srce: muškarac, muškarac, umjereno svijetla boja kože i svijetla boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|umjereno svijetla boja kože
	👨🏼‍❤️‍👨🏼;par i srce: muškarac, muškarac i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|srce|umjereno svijetla boja kože
	👨🏼‍❤️‍👨🏽;par i srce: muškarac, muškarac, umjereno svijetla boja kože i umjerena boja kože;ljubav|muškarac|par|par i srce|srce|umjerena boja kože|umjereno svijetla boja kože
	👨🏼‍❤️‍👨🏾;par i srce: muškarac, muškarac, umjereno svijetla boja kože i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|srce|umjereno svijetla boja kože|umjereno tamna boja kože
	👨🏼‍❤️‍👨🏿;par i srce: muškarac, muškarac, umjereno svijetla boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|srce|tamna boja kože|umjereno svijetla boja kože
	👨🏽‍❤️‍👨🏻;par i srce: muškarac, muškarac, umjerena boja kože i svijetla boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|umjerena boja kože
	👨🏽‍❤️‍👨🏼;par i srce: muškarac, muškarac, umjerena boja kože i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|srce|umjerena boja kože|umjereno svijetla boja kože
	👨🏽‍❤️‍👨🏽;par i srce: muškarac, muškarac i umjerena boja kože;ljubav|muškarac|par|par i srce|srce|umjerena boja kože
	👨🏽‍❤️‍👨🏾;par i srce: muškarac, muškarac, umjerena boja kože i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|srce|umjerena boja kože|umjereno tamna boja kože
	👨🏽‍❤️‍👨🏿;par i srce: muškarac, muškarac, umjerena boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|srce|tamna boja kože|umjerena boja kože
	👨🏾‍❤️‍👨🏻;par i srce: muškarac, muškarac, umjereno tamna boja kože i svijetla boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|umjereno tamna boja kože
	👨🏾‍❤️‍👨🏼;par i srce: muškarac, muškarac, umjereno tamna boja kože i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|srce|umjereno svijetla boja kože|umjereno tamna boja kože
	👨🏾‍❤️‍👨🏽;par i srce: muškarac, muškarac, umjereno tamna boja kože i umjerena boja kože;ljubav|muškarac|par|par i srce|srce|umjerena boja kože|umjereno tamna boja kože
	👨🏾‍❤️‍👨🏾;par i srce: muškarac, muškarac i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|srce|umjereno tamna boja kože
	👨🏾‍❤️‍👨🏿;par i srce: muškarac, muškarac, umjereno tamna boja kože i tamna boja kože;ljubav|muškarac|par|par i srce|srce|tamna boja kože|umjereno tamna boja kože
	👨🏿‍❤️‍👨🏻;par i srce: muškarac, muškarac, tamna boja kože i svijetla boja kože;ljubav|muškarac|par|par i srce|srce|svijetla boja kože|tamna boja kože
	👨🏿‍❤️‍👨🏼;par i srce: muškarac, muškarac, tamna boja kože i umjereno svijetla boja kože;ljubav|muškarac|par|par i srce|srce|tamna boja kože|umjereno svijetla boja kože
	👨🏿‍❤️‍👨🏽;par i srce: muškarac, muškarac, tamna boja kože i umjerena boja kože;ljubav|muškarac|par|par i srce|srce|tamna boja kože|umjerena boja kože
	👨🏿‍❤️‍👨🏾;par i srce: muškarac, muškarac, tamna boja kože i umjereno tamna boja kože;ljubav|muškarac|par|par i srce|srce|tamna boja kože|umjereno tamna boja kože
	👨🏿‍❤️‍👨🏿;par i srce: muškarac, muškarac i tamna boja kože;ljubav|muškarac|par|par i srce|srce|tamna boja kože
👩‍❤️‍👩;par i srce: žena i žena;ljubav|par|par i srce|srce|žena
	👩🏻‍❤️‍👩🏻;par i srce: žena, žena i svijetla boja kože;ljubav|par|par i srce|srce|svijetla boja kože|žena
	👩🏻‍❤️‍👩🏼;par i srce: žena, žena, svijetla boja kože i umjereno svijetla boja kože;ljubav|par|par i srce|srce|svijetla boja kože|umjereno svijetla boja kože|žena
	👩🏻‍❤️‍👩🏽;par i srce: žena, žena, svijetla boja kože i umjerena boja kože;ljubav|par|par i srce|srce|svijetla boja kože|umjerena boja kože|žena
	👩🏻‍❤️‍👩🏾;par i srce: žena, žena, svijetla boja kože i umjereno tamna boja kože;ljubav|par|par i srce|srce|svijetla boja kože|umjereno tamna boja kože|žena
	👩🏻‍❤️‍👩🏿;par i srce: žena, žena, svijetla boja kože i tamna boja kože;ljubav|par|par i srce|srce|svijetla boja kože|tamna boja kože|žena
	👩🏼‍❤️‍👩🏻;par i srce: žena, žena, umjereno svijetla boja kože i svijetla boja kože;ljubav|par|par i srce|srce|svijetla boja kože|umjereno svijetla boja kože|žena
	👩🏼‍❤️‍👩🏼;par i srce: žena, žena i umjereno svijetla boja kože;ljubav|par|par i srce|srce|umjereno svijetla boja kože|žena
	👩🏼‍❤️‍👩🏽;par i srce: žena, žena, umjereno svijetla boja kože i umjerena boja kože;ljubav|par|par i srce|srce|umjerena boja kože|umjereno svijetla boja kože|žena
	👩🏼‍❤️‍👩🏾;par i srce: žena, žena, umjereno svijetla boja kože i umjereno tamna boja kože;ljubav|par|par i srce|srce|umjereno svijetla boja kože|umjereno tamna boja kože|žena
	👩🏼‍❤️‍👩🏿;par i srce: žena, žena, umjereno svijetla boja kože i tamna boja kože;ljubav|par|par i srce|srce|tamna boja kože|umjereno svijetla boja kože|žena
	👩🏽‍❤️‍👩🏻;par i srce: žena, žena, umjerena boja kože i svijetla boja kože;ljubav|par|par i srce|srce|svijetla boja kože|umjerena boja kože|žena
	👩🏽‍❤️‍👩🏼;par i srce: žena, žena, umjerena boja kože i umjereno svijetla boja kože;ljubav|par|par i srce|srce|umjerena boja kože|umjereno svijetla boja kože|žena
	👩🏽‍❤️‍👩🏽;par i srce: žena, žena i umjerena boja kože;ljubav|par|par i srce|srce|umjerena boja kože|žena
	👩🏽‍❤️‍👩🏾;par i srce: žena, žena, umjerena boja kože i umjereno tamna boja kože;ljubav|par|par i srce|srce|umjerena boja kože|umjereno tamna boja kože|žena
	👩🏽‍❤️‍👩🏿;par i srce: žena, žena, umjerena boja kože i tamna boja kože;ljubav|par|par i srce|srce|tamna boja kože|umjerena boja kože|žena
	👩🏾‍❤️‍👩🏻;par i srce: žena, žena, umjereno tamna boja kože i svijetla boja kože;ljubav|par|par i srce|srce|svijetla boja kože|umjereno tamna boja kože|žena
	👩🏾‍❤️‍👩🏼;par i srce: žena, žena, umjereno tamna boja kože i umjereno svijetla boja kože;ljubav|par|par i srce|srce|umjereno svijetla boja kože|umjereno tamna boja kože|žena
	👩🏾‍❤️‍👩🏽;par i srce: žena, žena, umjereno tamna boja kože i umjerena boja kože;ljubav|par|par i srce|srce|umjerena boja kože|umjereno tamna boja kože|žena
	👩🏾‍❤️‍👩🏾;par i srce: žena, žena i umjereno tamna boja kože;ljubav|par|par i srce|srce|umjereno tamna boja kože|žena
	👩🏾‍❤️‍👩🏿;par i srce: žena, žena, umjereno tamna boja kože i tamna boja kože;ljubav|par|par i srce|srce|tamna boja kože|umjereno tamna boja kože|žena
	👩🏿‍❤️‍👩🏻;par i srce: žena, žena, tamna boja kože i svijetla boja kože;ljubav|par|par i srce|srce|svijetla boja kože|tamna boja kože|žena
	👩🏿‍❤️‍👩🏼;par i srce: žena, žena, tamna boja kože i umjereno svijetla boja kože;ljubav|par|par i srce|srce|tamna boja kože|umjereno svijetla boja kože|žena
	👩🏿‍❤️‍👩🏽;par i srce: žena, žena, tamna boja kože i umjerena boja kože;ljubav|par|par i srce|srce|tamna boja kože|umjerena boja kože|žena
	👩🏿‍❤️‍👩🏾;par i srce: žena, žena, tamna boja kože i umjereno tamna boja kože;ljubav|par|par i srce|srce|tamna boja kože|umjereno tamna boja kože|žena
	👩🏿‍❤️‍👩🏿;par i srce: žena, žena i tamna boja kože;ljubav|par|par i srce|srce|tamna boja kože|žena
👨‍👩‍👦;porodica: muškarac, žena i dječak;dijete|dječak|majka|muškarac|otac|porodica|žena
👨‍👩‍👧;porodica: muškarac, žena i djevojčica;dijete|djevojčica|majka|muškarac|otac|porodica|žena
👨‍👩‍👧‍👦;porodica: muškarac, žena, djevojčica i dječak;dijete|dječak|djevojčica|majka|muškarac|otac|porodica|žena
👨‍👩‍👦‍👦;porodica: muškarac, žena, dječak i dječak;dijete|dječak|majka|muškarac|otac|porodica|žena
👨‍👩‍👧‍👧;porodica: muškarac, žena, djevojčica i djevojčica;dijete|djevojčica|majka|muškarac|otac|porodica|žena
👨‍👨‍👦;porodica: muškarac, muškarac i dječak;dijete|dječak|majka|muškarac|otac|porodica
👨‍👨‍👧;porodica: muškarac, muškarac i djevojčica;dijete|djevojčica|majka|muškarac|otac|porodica
👨‍👨‍👧‍👦;porodica: muškarac, muškarac, djevojčica i dječak;dijete|dječak|djevojčica|majka|muškarac|otac|porodica
👨‍👨‍👦‍👦;porodica: muškarac, muškarac, dječak i dječak;dijete|dječak|majka|muškarac|otac|porodica
👨‍👨‍👧‍👧;porodica: muškarac, muškarac, djevojčica i djevojčica;dijete|djevojčica|majka|muškarac|otac|porodica
👩‍👩‍👦;porodica: žena, žena i dječak;dijete|dječak|majka|otac|porodica|žena
👩‍👩‍👧;porodica: žena, žena i djevojčica;dijete|djevojčica|majka|otac|porodica|žena
👩‍👩‍👧‍👦;porodica: žena, žena, djevojčica i dječak;dijete|dječak|djevojčica|majka|otac|porodica|žena
👩‍👩‍👦‍👦;porodica: žena, žena, dječak i dječak;dijete|dječak|majka|otac|porodica|žena
👩‍👩‍👧‍👧;porodica: žena, žena, djevojčica i djevojčica;dijete|djevojčica|majka|otac|porodica|žena
👨‍👦;porodica: muškarac i dječak;dijete|dječak|majka|muškarac|otac|porodica
👨‍👦‍👦;porodica: muškarac, dječak i dječak;dijete|dječak|majka|muškarac|otac|porodica
👨‍👧;porodica: muškarac i djevojčica;dijete|djevojčica|majka|muškarac|otac|porodica
👨‍👧‍👦;porodica: muškarac, djevojčica i dječak;dijete|dječak|djevojčica|majka|muškarac|otac|porodica
👨‍👧‍👧;porodica: muškarac, djevojčica i djevojčica;dijete|djevojčica|majka|muškarac|otac|porodica
👩‍👦;porodica: žena i dječak;dijete|dječak|majka|otac|porodica|žena
👩‍👦‍👦;porodica: žena, dječak i dječak;dijete|dječak|majka|otac|porodica|žena
👩‍👧;porodica: žena i djevojčica;dijete|djevojčica|majka|otac|porodica|žena
👩‍👧‍👦;porodica: žena, djevojčica i dječak;dijete|dječak|djevojčica|majka|otac|porodica|žena
👩‍👧‍👧;porodica: žena, djevojčica i djevojčica;dijete|djevojčica|majka|otac|porodica|žena
🗣️;silueta glave koja govori;govor|silueta|silueta glave koja govori
👤;silueta glave s ramenima;glava|ramena|silueta|silueta glave s ramenima
👥;siluete glave s ramenima;glava|ramena|silueta|siluete glave s ramenima
🫂;ljudi se grle;doviđenja|grljenje|ljudi se grle|pozdrav|zahvaljivanje
👪;porodica;dijete|majka|otac|porodica
🧑‍🧑‍🧒;porodica: odrasla osoba, odrasla osoba, dijete;dijete|odrasla osoba|porodica: odrasla osoba|porodica: odrasla osoba, odrasla osoba, dijete
🧑‍🧑‍🧒‍🧒;porodica: odrasla osoba, odrasla osoba, dijete, dijete;dijete|odrasla osoba|porodica: odrasla osoba|porodica: odrasla osoba, odrasla osoba, dijete, dijete
🧑‍🧒;porodica: odrasla osoba, dijete;dijete|porodica: odrasla osoba|porodica: odrasla osoba, dijete
🧑‍🧒‍🧒;porodica: odrasla osoba, dijete, dijete;dijete|porodica: odrasla osoba|porodica: odrasla osoba, dijete, dijete
👣;otisci stopala;dio tijela|otisak|otisci stopala|stopala
🫆;otisak prsta;detektiv|forenzika|identitet|misterija|otisak|otisak prsta|sigurnost|trag|zločin

[animals_nature]
🐵;glava majmuna;glava|glava majmuna|majmun
🐒;majmun;majmun
🦍;gorila;gorila|životinja
🦧;orangutan;bezrepi majmun|majmun|orangutan
🐶;glava psa;glava|glava psa|ljubimac|pas
🐕;pas;ljubimac|pas
🦮;pas vodič;pas vodič|pristup|slijep|vodič
🐕‍🦺;pas pomagač;pas|pomagač|pomoć|pristup
🐩;pudlica;pas|pudlica
🐺;vuk;lice|vuk
🦊;lisica;lice|lisica
🦝;rakun;lisica|lukav|rakun|znatiželjan
🐱;glava mačke;glava|glava mačke|ljubimac|mačka
🐈;mačka;ljubimac|mačka
🐈‍⬛;crna mačka;crna mačka|crno|loša sreća|mačka
🦁;glava lava;glava lava|horoskop|lav
🐯;glava tigra;glava|glava tigra|tigar
🐅;tigar;tigar
🐆;leopard;leopard
🐴;glava konja;glava|glava konja|konj
🫎;los;kanadski jelen|los|rogovi|sisar|životinja
🫏;magarac;kenjac|magarac|mula|sisar|tovar|tvrdoglavost|životinja
🐎;konj;konj|trkači konj|trkanje
🦄;jednorog;glava|jednorog
🦓;zebra;linije|zebra
🦌;jelen;jelen|životinja
🦬;bizon;bizon|divlji vo|evropski bizon|stado
🐮;glava krave;glava|glava krave|krava
🐂;vo;bik|horoskop|vo
🐃;bivo;bivo|voda
🐄;krava;krava
🐷;glava svinje;glava|glava svinje|svinja
🐖;svinja;krmača|svinja
🐗;vepar;svinja|vepar
🐽;svinjski nos;nos|svinja|svinjski nos
🐏;ovan;horoskop|mužjak|ovan
🐑;ovca;ovca|ženka
🐐;koza;jarac|koza
🐪;kamila;grba|jednogrba kamila|kamila
🐫;dvogrba kamila;dvogrba kamila|grba|kamila
🦙;lama;alpaka|guanaco|lama|vicuna|vuna
🦒;žirafa;tačke|žirafa
🐘;slon;slon
🦣;mamut;izumiranje|kljova|mamut|veliko|vuneno
🦏;nosorog;nosorog|životinja
🦛;nilski konj;hippo|hippopotamus|nilski konj
🐭;glava miša;glava|glava miša|miš
🐁;miš;miš
🐀;pacov;pacov
🐹;hrčak;glava hrčka|hrčak|ljubimac
🐰;glava zeca;glava zeca|ljubimac|zec|zeko
🐇;zec;ljubimac|zec|zeko
🐿️;vjeverica;vjeverica
🦫;dabar;brana|dabar
🦔;jež;bodlje|jež
🦇;šišmiš;šišmiš|vampir|životinja
🐻;medvjed;glava medvjeda|medvjed
🐻‍❄️;polarni medvjed;arktički|bijelo|medvjed|polarni medvjed
🐨;koala;koala|medvjed
🐼;panda;glava pande|panda
🦥;ljenivac;lijen|ljenivac|spor|trom
🦦;vidra;lovljenje riba|razigranost|vidra
🦨;tvor;smrad|tvor
🦘;kengur;Australija|kengur|skok|torbar
🦡;jazavac;jazavac|medojedni jazavac|štetočina
🐾;otisci šapa;otisak|otisci šapa|šapa|stopalo
🦃;ćurka;ćurka|ptica
🐔;kokoš;kokoš|ptica
🐓;pijetao;pijetao|ptica
🐣;izleglo pile;beba|izleglo|pile|ptica
🐤;pile;beba|pile|ptica
🐥;portet pileta;beba|pile|portet pileta
🐦;ptica;ptica
🐧;pingvin;pingvin|ptica
🕊️;golubica;golubica|let|mir|ptica
🦅;orao;orao|ptica
🦆;patka;patka|ptica
🦢;labud;labud|mladi labud|ptica|ružno pače
🦉;sova;mudrost|ptica|sova
🦤;dodo;dodo|izumiranje|Mauricijus|veliki dodo
🪶;pero;lagano|let|perje|pero|ptica
🦩;flamingo;flamingo|kitnjast|tropska ptica|tropski
🦚;paun;hvalisav|paun|ponosan|ptica|šepurenje
🦜;papagaj;papagaj|papiga|pričanje|ptica
🪽;krilo;anđeosko|avijacija|krilo|letenje|mitologija|ptica
🐦‍⬛;crna ptica;crna|gavran|ptica|vrana
🪿;guska;gakanje|guska|perad|ptica|smiješno
🐦‍🔥;feniks;besmrtan|fantazija|feniks|obnova|oživio|oživljenje|pojaviti se|ponovno rođenje|ponovo stvaranje|reinkarnacija|slava|transformiraj|ustao|ustati|uzaći|vatrena ptica
🐸;žaba;glava žabe|žaba
🐊;krokodil;krokodil
🐢;kornjača;kornjača
🦎;gušter;gušter|reptil
🐍;zmija;horoskopski znak|nositelj|zmija|zmijonosac
🐲;glava zmaja;bajka|glava zmaja|lice|zmaj
🐉;zmaj;bajka|zmaj
🦕;sauropod;brahiosaurus|brontosaurus|diplodok|sauropod
🦖;T-Rex;T-Rex|Tiranosaurus Reks
🐳;kit koji izdiše;izdiše|kit|kit koji izdiše
🐋;kit;kit
🐬;delfin;delfin
🫍;orka;kit|morski|okean
🦭;foka;foka|morski lav
🐟;riba;riba|ribe
🐠;tropska riba;riba|tropska
🐡;napuhača;napuhača|riba
🦈;ajkula;ajkula|riba
🐙;hobotnica;hobotnica
🐚;spiralna školjka;školjka|spirala|spiralna školjka
🪸;koral;greben|koral|okean
🪼;meduza;beskičmenjak|jao|meduza|morska|opekotine|žarenje|žarnjak
🦀;rak;horoskopski znak|rak
🦞;jastog;jastog|klješta|morski plodovi
🦐;škamp;hrana|račić|škamp|školjka
🦑;lignja;hrana|lignja|mekušac
🦪;kamenica;biser|kamenica|ronjenje|školjka
🐌;puž;puž
🦋;leptir;insekt|leptir|ljepota
🐛;buba;buba|insekt
🐜;mrav;insekt|mrav
🐝;pčela;insekt|pčela
🪲;tvrdokrilac;buba|insekt|tvrdokrilac
🐞;bubamara;buba|bubamara|insekt
🦗;cvrčak;cvrčak|skakavac
🪳;žohar;bubašvaba|insekt|štetočina|žohar
🕷️;pauk;insekt|pauk
🕸️;paukova mreža;mreža|pauk|paukova mreža
🦂;škorpion;horoskopski znak|škorpija|škorpion
🦟;komarac;bolest|groznica|komarac|malarija|virus
🪰;muha;bolest|larva|muha|štetočina|truljenje
🪱;crv;crv|glista|kišna glista|kišni crv|parazit|prstenasta glista|prstenasti crv
🦠;mikrob;ameba|bakterija|mikrob|virus
💐;buket;biljka|buket|cvijet
🌸;cvijet višnje;behar|biljka|cvijet|cvijet višnje
💮;bijeli cvijet;bijeli cvijet|cvijet
🪷;lotos;budizam|čistoća|cvijet|hinduizam|Indija|lotos|Vijetnam
🏵️;rozeta;biljka|rozeta
🌹;ruža;biljka|cvijet|ruža
🥀;uveli cvijet;cvijet|uveli cvijet|uvelo
🌺;hibiskus;biljka|cvijet|hibiskus
🌻;suncokret;biljka|cvijet|sunce|suncokret
🌼;procvjetati;biljka|cvijet|procvjetati
🌷;tulipan;biljka|cvijet|tulipan
🪻;zumbul;cvijet|lavanda|plava|zijevalice|zumbul|zvončići
🌱;rasad;biljka|rasad|sjeme
🪴;biljka u saksiji;beskorisno|biljka|biljka u saksiji|dosadno|kuća|raste|zalijevanje
🌲;zimzelen;biljka|drvo|zimzelen
🌳;bjelogorično drvo;bjelogorica|bjelogorično drvo|drvo|hrast|listopadno
🌴;palma;drvo|palma
🌵;kaktus;biljka|kaktus
🌾;snop riže;biljka|riža|snop|snop riže|zrno
🌿;ljekovita biljka;bijka|list|ljekovita biljka
☘️;djetelina;biljka|djetelina
🍀;djetelina s četiri lista;biljka|četiri|djetelina|djetelina s četiri lista|list
🍁;javorov list;hrast|javor|javorov list|list|opada
🍂;opao list;biljka|lišče|opada|opao list
🍃;list leprša;lepršanje|list|list leprša|puhanje|vjetar
🪹;prazno gnijezdo;gniježđenje|prazno gnijezdo
🪺;gnijezdo s jajima;gniježđenje|gnijezdo s jajima
🍄;gljiva;biljka|gljiva
🪾;drvo bez lišća;bez lišća|drvo|golo|grane|mrtvo|neplodno|stablo|suša|zima

[food_drink]
🍇;grožđe;biljka|grozd|grožđe|voće
🍈;dinja;biljka|dinja|voće
🍉;lubenica;biljka|lubenica|voće
🍊;mandarina;biljka|mandarina|narandža|voće
🍋;limun;biljka|citrus|limun|voće
🍋‍🟩;limeta;citrus|limeta|tropsko|voće
🍌;banana;banana|biljka|voće
🍍;ananas;ananas|biljka|voće
🥭;mango;mango|tropsko|voće
🍎;crvena jabuka;biljka|crvena|jabuka|voće
🍏;zelena jabuka;biljka|jabuka|voće|zelena
🍐;kruška;biljka|kruška|voće
🍑;breskva;biljka|breskva|voće
🍒;trešnje;biljka|trešnja|trešnje|voće
🍓;jagoda;biljka|bobica|jagoda|voće
🫐;borovnice;bobica|bobičasto voće|borovnica|borovnice|plavo
🥝;kivi;hrana|kivi|voće
🍅;paradajz;biljka|paradajz|povrće
🫒;maslina;hrana|maslina
🥥;kokos;kokos|palma|pinja kolada
🥑;avokado;avokado|hrana|voće
