# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
	👩🏾‍❤️‍👩🏾;ürəkli cütlük: qadın, qadın, orta-tünd dəri tonu;cütlük|orta-tünd dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük
	👩🏾‍❤️‍👩🏿;ürəkli cütlük: qadın, qadın, orta-tünd dəri tonu, tünd dəri tonu;cütlük|orta-tünd dəri tonu|qadın|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük
	👩🏿‍❤️‍👩🏻;ürəkli cütlük: qadın, qadın, tünd dəri tonu, açıq dəri tonu;açıq dəri tonu|cütlük|qadın|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük
	👩🏿‍❤️‍👩🏼;ürəkli cütlük: qadın, qadın, tünd dəri tonu, orta-açıq dəri tonu;cütlük|orta-açıq dəri tonu|qadın|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük
	👩🏿‍❤️‍👩🏽;ürəkli cütlük: qadın, qadın, tünd dəri tonu, orta dəri tonu;cütlük|orta dəri tonu|qadın|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük
	👩🏿‍❤️‍👩🏾;ürəkli cütlük: qadın, qadın, tünd dəri tonu, orta-tünd dəri tonu;cütlük|orta-tünd dəri tonu|qadın|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük
	👩🏿‍❤️‍👩🏿;ürəkli cütlük: qadın, qadın, tünd dəri tonu;cütlük|qadın|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük
👨‍👩‍👦;ailə: kişi, qadın, oğlan;ailə|ana|ata|kişi|oğlan|qadın|uşaq
👨‍👩‍👧;ailə: kişi, qadın, qız uşağı;ailə|ana|ata|kişi|qadın|qız uşağı|uşaq
👨‍👩‍👧‍👦;ailə: kişi, qadın, qız uşağı, oğlan;ailə|ana|ata|kişi|oğlan|qadın|qız uşağı|uşaq
👨‍👩‍👦‍👦;ailə: kişi, qadın, oğlan, oğlan;ailə|ana|ata|kişi|oğlan|qadın|uşaq
👨‍👩‍👧‍👧;ailə: kişi, qadın, qız uşağı, qız uşağı;ailə|ana|ata|kişi|qadın|qız uşağı|uşaq
👨‍👨‍👦;ailə: kişi, kişi, oğlan;ailə|ana|ata|kişi|oğlan|uşaq
👨‍👨‍👧;ailə: kişi, kişi, qız uşağı;ailə|ana|ata|kişi|qız uşağı|uşaq
👨‍👨‍👧‍👦;ailə: kişi, kişi, qız uşağı, oğlan;ailə|ana|ata|kişi|oğlan|qız uşağı|uşaq
👨‍👨‍👦‍👦;ailə: kişi, kişi, oğlan, oğlan;ailə|ana|ata|kişi|oğlan|uşaq
👨‍👨‍👧‍👧;ailə: kişi, kişi, qız uşağı, qız uşağı;ailə|ana|ata|kişi|qız uşağı|uşaq
👩‍👩‍👦;ailə: qadın, qadın, oğlan;ailə|ana|ata|oğlan|qadın|uşaq
👩‍👩‍👧;ailə: qadın, qadın, qız uşağı;ailə|ana|ata|qadın|qız uşağı|uşaq
👩‍👩‍👧‍👦;ailə: qadın, qadın, qız uşağı, oğlan;ailə|ana|ata|oğlan|qadın|qız uşağı|uşaq
👩‍👩‍👦‍👦;ailə: qadın, qadın, oğlan, oğlan;ailə|ana|ata|oğlan|qadın|uşaq
👩‍👩‍👧‍👧;ailə: qadın, qadın, qız uşağı, qız uşağı;ailə|ana|ata|qadın|qız uşağı|uşaq
👨‍👦;ailə: kişi, oğlan;ailə|ana|ata|kişi|oğlan|uşaq
👨‍👦‍👦;ailə: kişi, oğlan, oğlan;ailə|ana|ata|kişi|oğlan|uşaq
👨‍👧;ailə: kişi, qız uşağı;ailə|ana|ata|kişi|qız uşağı|uşaq
👨‍👧‍👦;ailə: kişi, qız uşağı, oğlan;ailə|ana|ata|kişi|oğlan|qız uşağı|uşaq
👨‍👧‍👧;ailə: kişi, qız uşağı, qız uşağı;ailə|ana|ata|kişi|qız uşağı|uşaq
👩‍👦;ailə: qadın, oğlan;ailə|ana|ata|oğlan|qadın|uşaq
👩‍👦‍👦;ailə: qadın, oğlan, oğlan;ailə|ana|ata|oğlan|qadın|uşaq
👩‍👧;ailə: qadın, qız uşağı;ailə|ana|ata|qadın|qız uşağı|uşaq
👩‍👧‍👦;ailə: qadın, qız uşağı, oğlan;ailə|ana|ata|oğlan|qadın|qız uşağı|uşaq
👩‍👧‍👧;ailə: qadın, qız uşağı, qız uşağı;ailə|ana|ata|qadın|qız uşağı|uşaq
🗣️;danışan baş;baş|danışan|danışan adam|danışmaq|siluet|üz
👤;büst silueti;büst|büst silueti|siluet
👥;büst siluetləri;büst|büst siluetləri|siluet
🫂;qucaqlaşan insanlar;dostluq|qucaqlaşan insanlar|qucaqlaşma|sağ ol|salam|sevgi|təşəkkürlər|vidalaşma
👪;ailə;ailə|ana|ata|uşaq
🧑‍🧑‍🧒;ailə: yetkin, yetkin, uşaq;ailə: yetkin|ailə: yetkin, yetkin, uşaq|uşaq|yetkin
🧑‍🧑‍🧒‍🧒;ailə: yetkin, yetkin, uşaq, uşaq;ailə: yetkin|ailə: yetkin, yetkin, uşaq, uşaq|uşaq|yetkin
🧑‍🧒;ailə: yetkin, uşaq;ailə: yetkin|ailə: yetkin, uşaq|uşaq
🧑‍🧒‍🧒;ailə: yetkin, uşaq, uşaq;ailə: yetkin|ailə: yetkin, uşaq, uşaq|uşaq
👣;ayaq izləri;ayaq izi|ayaq izləri|ayaqyalın|geyim|iz|yerimə
🫆;barmaq izi;barmaq izi|cinayət|detektiv|ipucu|iz|kimlik|məhkəmə ekspertizası|sirr|təhlükəszilik

[animals_nature]
🐵;meymun üzü;heyvan|meymun|meymun üzü|üz
🐒;meymun;meymun
🦍;qorilla;heyvan|qorilla
🦧;oranqutanq;böyük meymun|heyvan|meymun|oranqutan|oranqutanq
🐶;it üzü;ev heyvanı|it|it üzü|üz
🐕;it;ev heyvanı|heyvan|it
🦮;bələdçi it;bələdçi|bələdçi it|kor
🐕‍🦺;xidmətçi it;it|köməkçi it|xidmətçi
🐩;pudel;heyvan|it|pudel
🐺;canavar;canavar|canavar üzü|üz
🦊;tülkü;heyvan|sifət|tülkü
🦝;yenot;hiyləgər|maraq içində olan|yenot
🐱;pişik üzü;ev heyvanı|pişik|pişik üzü|üz
🐈;pişik;ev heyvanı|pişik
🐈‍⬛;qara pişik;hellouin|pişik|qara|uğursuz
🦁;aslan;aslan|şir|şir üzü|üz|zodiak
🐯;pələng üzü;pələng|pələng üzü|üz|vəhşi|yırtıcı
🐅;pələng;pələng|vəhşi|yırtıcı
🐆;bəbir;bəbir
🐴;at üzü;at|at üzü|üz
🫎;sığın;buynuzlar|heyvan|məməli|sığın
🫏;eşşək;burro|eşşək|heyvan|inadkar|məməli|qatır|tərs
🐎;at;at|yarış|yarış atı
🦄;təkbuynuz;təkbuynuz|təkbuynuz üzü|unikorn emojisi|üz
🦓;zebra;zebra|zolaq
🦌;maral;heyvan|maral
🦬;bizon;bizon|heyvan|kəl|sürü|vəhşi öküz|zubr
🐮;inək üzü;ferma|inək|inək başı|inək üzü|süd|üz
🐂;öküz;buğa|öküz|zodiak
🐃;su camışı;camış|su|su camışı
🐄;inək;inək|süd
🐷;donuz üzü;donuz|donuz üzü|üz
🐖;donuz;donuz|qar
🐗;qaban;donuz|qaban
🐽;donuz burnu;burun|donuz|donuz burnu|üz
🐏;qoç;heyvan|qoç|qoç bürcü|qoyun|zodiak
🐑;qoyun;dişi qoyun|heyvan|qoyun|quzu
🐐;keçi;keçi|oğlaq|zodiak
🐪;dəvə;birhürgüclüdəvə|dəvə|hörgüc
🐫;ikihürgüclü dəvə;baktrian|dəvə|hörgüc|ikihürgüclü dəvə
🦙;lama;alpaka|lama|quanako|vikunya|yun
🦒;zürafə;ləkələr|zürafə
🐘;fil;fil|heyvan
🦣;mamont;böyük|diş|heyvan|mamont|xovlu|yox olma
🦏;kərgədan;heyvan|kərgədan
🦛;hippopotam;begemot|heyvan|hippo|hippopotam
🐭;siçan üzü;siçan|siçan üzü|üz
🐁;siçan;siçan
🐀;siçovul;siçovul
🐹;dağsiçanı;dağsiçanı|ev heyvanı|üz
🐰;dovşan üzü;dovşan|dovşan üzü|ev heyvanı|üz
🐇;dovşan;dovşan|ev heyvanı
🐿️;brunduk;brunduk|burunduk|dələ
🦫;qunduz;dişi|dişlər|heyvan|qunduz
🦔;kirpi;kirpi|tikanlı
🦇;yarasa;vampir|yarasa
🐻;ayı üzü;ayı|ayı üzü|heyvan|üz
🐻‍❄️;qütb ayısı;ağ|arktika|ayı|qütb ayısı
🐨;koala;ayı|heyvan|koala
🐼;panda üzü;heyvan|panda|panda üzü|üz
🦥;tənbəl;ərincək|folivora|tənbəl|yavaş
🦦;samur;balıqtutma|oynamağa həvəsli|samur
🦨;skunsk;skunsk|üfunət
🦘;kenquru;Avstraliya|kenquru|kenquru balası|kisəli|tullanma
🦡;porsuq;porsuq|zəhlətökən
🐾;pəncə izləri;ayaq|iz|pəncə|pəncə izləri
🦃;hinduşka;hinduşka|quş|şükran günü
🐔;toyuq;quş|toyuq
🐓;xoruz;quş|xoruz
🐣;yumurtadan çıxan cücə;cücə|körpə|yumurtadan çıxan cücə|yumurtadan çıxmaq
🐤;körpə cücə;cücə|körpə|quş
🐥;qabağa baxan balaca cücə;cücə|körpə|qabağa baxan balaca cücə|quş|yenicə yumurtadan çıxmış cücə
🐦;quş;ornitologiya|quş
🐧;pinqvin;pinqvin|quş
🕊️;göyərçin;göyərçin|quş|sülh|uçmaq
🦅;qartal;qartal|quş
🦆;ördək;ördək|quş
🦢;qu;qu|qu balası|qu quşu|quş|suya girmə
🦉;bayquş;bayquş|müdrik|quş
🦤;dodo;böyük|dodo|heyvan|Mavriki|quş|yox olma
🪶;lələk;lələk|quş|tük|uçuş|yüngül
🦩;flaminqo;flaminqo|rəngli|tropik
🦚;tovuz;farmazon|qürrəli|quş|rəngli|tovuz|tovuzquşu
🦜;tutuquşu;pirat|quş|söhbət|tutuquşu
🪽;qanad;aviasiya|mələk|mifologiya|qanad|quş|uçan|uçmaq
🐦‍⬛;qara quş;alaqarğa|dimdik|heyvan|qara|qaraqarğa|qarğa|quş|zağca
🪿;qaz;axmaq|axmaq adam|dəstə|ev quşu|heyvan|korna|ördək|qaz|quş
🐦‍🔥;feniks;alov quşu|başdan-ayağa dəyişdirmək|bərpa|dirçəliş|dirçəlmək|əbədi|əzəmət|fantastika|feniks|feniks kimi küllərindən yenidən doğmaq|fentezi|peyda olmaq|reinkarnasiya|ruhu yeni bədənə keçmək|təkrar doğulma|yenidən yaratmaq|yüksəlmə|yüksəlmək
🐸;qurbağa üzü;qurbağa|qurbağa üzü|üz
🐊;timsah;heyvan|krokodil|timsah|zoopark
🐢;tısbağa;bağa|heyvan|su tısbağası|tısbağa
🦎;kərtənkələ;kərtənkələ|sürünən
🐍;ilan;daşıyan|ilan|ilandaşıyan|zodiak
🐲;əjdaha üzü;əjdaha|əjdaha üzü|nağıl|üz
🐉;əjdaha;əjdaha|nağıl
🦕;sauropod;braxiozavr|brontozavr|dinozavr|diplodok|sauropod
🦖;Tireks;dinozavr|Tirannozavr Reks|Tireks
🐳;su püskürdən balina;balina|dəniz|okean|püskürtmək|su püskürdən balina|üz
🐋;kit;balina|kit
🐬;delfin;delfin|üzgəc
🫍;orka;balina|dəniz|okean
🦭;suiti;dəniş şiri|okean|suiti
🐟;balıq;balıq|balıqlar|zodiak
🐠;tropik balıq;balıq|tropik
🐡;iynəqarın balıq;balıq|iynəqarın balıq
🦈;akula;akula|balıq|yırtıcı
🐙;osminoq;canlı|okean|osminoq
🐚;spiral balıqqulağı;balıqqulağı|spiral
🪸;mərcan;dəniz|iqlim dəyişikliyi|mərcan|okean|rif
🪼;meduza;akvarium|dəniz|dəniz həyatı|heyvan|jele|meduza|okean|onurğasız|plankton|sancmaq|uu|yandırmaq
🦀;qırmızı xərçəng;qırmızı xərçəng|xərçəng|zodiak
🦞;lobster;caynaq|dəniz məhsulu|dəniz mətbəxi|lobster|omar|xərçəng əti
🦐;krevet;krevet|su canlısı|xərçəng
🦑;səkkiz ayaq;kalmar|molyuska|səkkiz ayaq|su canlısı
🦪;stridiya;mirvari|stridiya|suyagirmə
🐌;ilbiz;ilbiz|təbiət
🦋;kəpənək;həşərat|kəpənək|uçan canlı
🐛;böcək;bağça|böcək|həşərat
🐜;qarışqa;həşərat|qarışqa
🐝;bal arısı;arı|bal arısı|həşərat|təbiət|yaz
🪲;tarakan;böcək|heyvan|həşərat|tarakan
🐞;parabüzən;böcək|həşərat|parabizən|parabüzən|uğur böcəyi
🦗;cırcırama;böcək|çəyirtkə|cırcırama|həşərat|kriket
🪳;mətbəxqurdu;heyvan|həşərat|mətbəxqurdu|parazit|tarakan
🕷️;hörümçək;həşərat|hörümçək
🕸️;hörümçək toru;hörümçək|hörümçək toru|tor
🦂;əqrəb;əqrəb|zodiak
🦟;ağcaqanad;ağcaqanad|həşərat|malariya|malyariya|qızdırma|virus|xəstəlik
🪰;milçək;çürümə|həşərat|milçək|sürfə|xəstəlik|ziyanverici
🪱;soxulcan;həlqəvi qurd|soxulcan|torpaq qurdu
🦠;mikrob;amöb|bakteriya|elm|mikrob|virus
💐;buket;ad günü|buket|çiçək|gül|gül dəstəsi
🌸;albalı çiçəyi;albalı|albalı çiçəyi|bitki|çiçək|gül
💮;ağ gül;ağ gül|gül
🪷;lotus;Buddizm|çiçək|dinclik|gözəllik|Hindistan|Hinduizm|lotus|saflıq|sakitlik|sükunət|Vyetnam
🏵️;rozetka;bitki|gül forması|rosette|rozetka
🌹;qızılgül;bitki|gül|qızılgül
🥀;solmuş gül;gül|qurumuş çiçək|solmaq|solmuş gül
🌺;hibiskus;bitki|çiçək|gül|hibiskus
🌻;günəbaxan;bitki|gül|günəbaxan|günəş
🌼;çiçək;bitki|çiçək|gül
🌷;liliya;bitki|çiçək|gül|lalə|liliya
🪻;sümbül;bənövşə|bənövşəyi|bitki|əkin güləvəri|göypapaq|gül|indiqo|lavanda|lupin|snapdragon|sümbül|sünbül|sünbülçiçəyi|yasəmən|yaz
🌱;şitil;bitki|cavan|şitil|toxum
🪴;dibçək bitkisi;becərmək|bitki|dibçək|dibçək bitkisi|ev|faydasız|qazma|yetişdirmə
🌲;həmişəyaşıl;ağac|bitki|həmişəyaşıl|meşə|şam ağacı|yeni ildə bəzədilən şam ağacı
🌳;enliyarpaqlı ağac;ağac|bitki|enliyarpaqlı|tökmək
🌴;palma ağacı;ağac|bitki|palma|palma ağacı|tropik
🌵;kaktus;bitki|kaktus
🌾;düyü sünbülü;bitki|dən|düyü|düyü sünbülü|qulaq|sünbül|taxıl
🌿;dərman bitkisi;bitki|dərman bitkisi|ot|yarpaq
☘️;yonca;bitki|yonca
🍀;dörd yarpaq yonca;4|bitki|dörd|dördyarpaq yonca|yarpaq|yonca
🍁;ağcaqayın yarpağı;ağcaqayın|ağcaqayın yarpağı|bitki|tökülmək|yarpaq
🍂;tökülən yarpaq;bitki|payız|tökülən yarpaq|tökülmək|yarpaq
🍃;küləkdə əsən yarpaq;bitki|əsmək|külək|küləkdə əsən yarpaq|titrəmək|yarpaq
🪹;boş yuva;boş yuva|budaq|ev|yuva|yuvalama
🪺;yumurtalı yuva;budaq|quş|yumurta|yumurtalar|yumurtalı yuva|yuva|yuvalama
🍄;göbələk;göbələk|milçəkqıran
🪾;yarpaqsız ağac;ağac|barsız|budaqlar|çılpaq|ğlü|gövdə|oduncaq|qış|quraqlıq|yarpaqsız

[food_drink]
🍇;üzüm;meyvə|üzüm
🍈;yemiş;bostan bitkisi|meyvə|qovun|yemiş
🍉;qarpız;bostan bitkisi|meyvə|qarpız
🍊;mandarin;mandarin|meyvə|portağal|sitrus|vitamin c
🍋;limon;limon|meyvə|sitrus
🍋‍🟩;laym;içkiyə dad verən ədviyyat|kokteyl|kokteyl bəzəyi|laym|limonlu piroq|marqarita|meyvə|mohito|salsa|sərinləşdirici|şirə|sitrus|tekila|tropik|turş|turşməzə|turşuluq dərəcəsi|yaşıl limon
🍌;banan;banan|meyvə
🍍;ananas;ananas|kolada|meyvə|pina|tropik
🥭;manqo;manqo|meyvə|tropik
🍎;qırmızı alma;alma|meyvə|qırmızı
🍏;yaşıl alma;alma|meyvə|yaşıl
🍐;armud;armud|meyvə
🍑;şaftalı;meyvə|şaftalı
🍒;albalı;albalı|bitki|meyvə
🍓;çiyələk;çiyələk|giləmeyvə|meyvə
🫐;qaragilələr;giləmeyvə|meyvə|qaragilə|qaragilələr
🥝;kivi;kivi|meyvə
🍅;pomidor;meyvə|pomidor|tərəvəz
🫒;zeytun;meyvə|zeytun
🥥;kokos;kokos|palma
🥑;avokado;avokado|meyvə|yemək
🍆;badımcan;badımcan|tərəvəz
🥔;kartof;kartof|tərəvəz
🥕;kök;kök|tərəvəz
🌽;qarğıdalı sünbülü;qarğıdalı|qarğıdalı qamışı|qarğıdalı sünbülü|sünbül|tarla
🌶️;acı bibər;acı|acı bibər|bitki|istiot
🫑;bolqar bibəri;bibər|bolqar bibəri|ispan bibəri|tərəvəz
🥒;xiyar;tərəvəz|xiyar
🥬;kahı;göyərti|kahı|kələm|salat
🥦;brokkoli;brokkoli|yabanı kələm
🧄;sarımsaq;dad|dadlandırma|qoxu|sarımsaq
🧅;soğan;dad|dadlandırma|soğan
🥜;yer fındığı;çərəz|yer fındığı|yerfındığı
🫘;lobya;böyrək|kiçik|lobya|paxlalı|qida
🌰;şabalıd;bitki|şabalıd
🫚;zəncəfil kökü;bitki|ədviyyat|kök|pivə|sağlamlıq|təbii|zəncəfil|zəncəfil kökü
🫛;noxud qabığı;edamame|lobya|noxud|noxud qabığı|paxlalı|pod|soya|tərəvəz|vegetarian
🍄‍🟫;qəhvəyi göbələk;cücərti|əlavələr|göbələk|göbələk növü|göbələklər|hallüsinasiya yaradan göbələk|pizzanın üzərinə vurulan əlavələr|portobello|qəhvəyi göbələk|qida|Şiitake göbələyi|spor|təbiət|tərəvəz|tərəvəz növləri|trüfel göbələyi|vegetarian
🫜;meyvəköklü;bağ|çuğundur|kök|qida|salat|şalğam|tərəvəz|turp|vegetarian
🍞;çörək;bulka|çörək
🥐;kruasan;çay|kökə|kruasan|qəlyanaltı
🥖;kərpic çörək;baget çörəyi|çörək|kərpic çörək|tikə|yemək
🫓;yumru çörək;çörək|lavaş|yumru çörək
🥨;pretsel;burulmuş|kraker|pretsel
🥯;bublik;bublik|bulka|bulki|çörək|çörəkxana|səhər yeməyi
🥞;blin;blin|kökə|pankeyk|yemək
🧇;vafli;dəmir|qərarsız|səhər yeməyi|vafli
🧀;pendir;pendir
🍖;sümükdə ət;ət|sümük|sümükdə ət
🍗;toyuq budu;ayaq|cücə|ev quşları|sümük|toyuq budu
🥩;ət tikəsi;ət tikəsi|quzu əti|steyk
🥓;bekon;bekon|ərzaq|ət
🍔;hamburger;burger|hamburger
🍟;kartof qızartması;fransız|fri|kartof qızartması|qızartma
🍕;pizza;dilim|pendir|pizza|pizza dilimi
🌭;hot doq;frankfurter|hot doq|hot-doq|hotdoq|sosiska
🥪;sendviç;çörək|sendviç
🌮;tako;meksika|meksika mətbəxi|tako
🌯;buritto;buritto|meksika|Meksika mətbəxi
🫔;tamal;dürüm|meksika|tamal|yemək
🥙;qutab;bişirmək|ərzaq|kabab|qutab|yemək
🧆;falafel;falafel|küftə|noxud|paxlakimilər|qoyunnoxudu
🥚;yumurta;yemək|yumurta
🍳;bişirmək;bişirmək|qayğanaq|qızartmaq|tava|yumurta
🥘;dayaz qazan;dayaz|qazan|qida|tava|yemək
🍲;yemək qazanı;qab|raqu|sup|yemək qazanı
🫕;fondyu;əridilmiş|fondyu|güvəc|İsveçrə|pendir|şokolad|yemək
🥣;qaşıq ilə kasa;dənəvər|qaşıq ilə kasa|səhər yeməyi|yulaf sıyığı
🥗;salat;göyərti|salat|tərəvəz|yaşıl
🍿;popkorn;film|popkorn
🧈;kərə yağı;kərə yağı|süd məhsulu
🧂;duz;dad|duz|duzqabı|ədviyyat
🥫;konserv qida;konserv|konserv qida|konservləşdirilmiş qida
🍱;bentu qutusu;bento qutusu|bentu|bentu qutusu|qutu
🍘;düyü krekeri;düyü|düyü krekeri|ərzaq|kreker
🍙;düyü küftəsi;düyü|düyü küftəsi|küftə|yapon
🍚;bişmiş düyü;bişmiş|düyü
🍛;karri düyüsü;düyü|karri|karri düyüsü|yemək
🍜;buxarlanan kasa;buğlanan|buxarlanan kasa|əriştə|kasa|qaynar|ramen|yemək|yemək çubuqları
🍝;spagetti;İtaliya mətbəxi|makaron|spagetti
🍠;qızardılmış şirin kartof;ərzaq|kartof|qızardılmış|şirin|yemək
🍢;oden;çubuq|dəniz məhsulu|kabab|oden|şiş
🍣;suşi;çin mətbəxi|suşi|yemək
🍤;qızardılmış krivet;krevet|qızardılmış|qızardılmış krivet|tempura
🍥;spiralşəkilli balıq piroqu;balıq|balıq tortu|burulğan|piroq|restoran|spiralşəkilli balıq piroqu|xəmir|Yapon mətbəxi
🥮;ay piroqu;ay piroqu|festival|payız|yuebin
🍡;danqo;çubuq|danqo|desert|şirin|şiş|yapon|Yapon şirniyyatı
🥟;klyotek;empanada|gyoza|jiaozi|klyotek|pierogi|potsticker
🥠;bəxt peçenyesi;bəxt peçenyesi|Çin mətbəxi|peyğəmbərlik
🥡;özünlə aparmaq qutusu;özünlə aparmaq qutusu|paketləmə xidməti|stridiya vedrəsi|yemək çatdırılması|yemək çubuqları
🍦;yumşaq dondurma;buz|desert|dondurma|krem|şirin|yumşaq dondurma|yumuşaq
🍧;rəndələnmiş dondurma;buz|desert|restoran|rəndələnmiş|rəndələnmiş dondurma|şirin
🍨;dondurma;buz|desert|dondurma|krem|şirin
🍩;ponçik;desert|ponçik|şirin
🍪;peçenye;desert|peçenye|şirin
🎂;ad günü tortu;ad günü|ad günü tortu|bayram|desert|doğum günü tortu|şirin|tort|xəmir
🍰;bir dilim tort;bir dilim tort|desert|dilim|şirin|şirniyyat|tort|xəmir
🧁;keks;çörəkxana|keks|şəkər tozu|şirniyyat
🥧;piroq;meyvəli keks|piroq|şirniyyat|tort
🍫;şokolad plitkası;desert|plitka|şirin|şirniyyat|şokolad|şokolad plitkası
🍬;konfet;desert|konfet|şirin
🍭;şüşəli karamel;desert|konfet|nabat|şirin|şüşəli karamel
🍮;bişirilmiş krem;bişirilmiş krem|desert|pudinq|şirin|şirniyyat
🍯;bal qabı;bal|bal küpü|bal qabı|qab|şirin
🍼;uşaq şüşəsi;içmək|körpə|süd|şüşə|uşağın süd şüşəsi|uşaq şüşəsi
🥛;bir stəkan süd;bir stəkan süd|içki|stəkan|süd
☕;isti içki;buxarlanan|çay|içki|içmək|isti|kofe
🫖;çaynik;çay|çaynik|dəmləmək|içmək|kupə
🍵;qulpsuz çay fincanı;çay|fincan|içki|içmək|qulpsuz çay fincanı
🍶;sake;bar|fincan|fincan dəsti|içki|içmək|restoran|sake|şüşə
🍾;tıxacı çıxan şüşə;bar|dartmaq|içmək|şüşə|tıxac|tıxacı çıxan şüşə
🍷;şərab bakalı;bar|içki|içmək|şərab|şərab bakalı|spirtli içki|şüşə
🍸;kokteyl bakalı;bar|içki|içmək|kokteyl|kokteyl bakalı|şüşə
🍹;tropik içki;alkoqol|bar|içmək|kokteyl|tropik|tropik içki
🍺;pivə krujkası;bar|içmək|krujka|pivə|pivə bakalı|pivə krujkası|spirtli içki
🍻;pivə krujkalarını toqquşdurmaq;bar|cingilti|içmək|krujka|pivə|pivə bakallarını toqquşdurmaq|pivə krujkalarını toqquşdurmaq
🥂;badələri qaldırmaq;badə|badələri qaldırmaq|qeyd etmək|sağlıq demək|toqquşdurmaq
🥃;viski stəkanı;içki|likör|skoç|spirtli|stəkan|viski|viski stəkanı
🫗;maye süzülməsi;boş|içki|maye süzülməsi|su|şüşə|süzmək|tökmək|tökülmək|ups
🥤;borucuqlu stəkan;borucuqlu stəkan|içki|şirə|soda|su|təbii şirə
🧋;köpüklü çay;çay|köpük|köpüklü çay|mirvari|süd|tayvan
🧃;içki qutusu;içki qutusu|şirə|şirə qutusu|şirin
🧉;mate;içki|mate
🧊;buz kubu;aysberq|buz kubu|soyuq
🥢;yemək çubuqları;haşi|yemək çubuqları
🍽️;çəngəl və bıçaq ilə boşqab;bişirmək|bıçaq|boşqab|boşqab və çəngəl-bıçaq dəsti|çəngəl|çəngəl və bıçaq ilə boşqab|nahar|yemək
🍴;çəngəl və bıçaq;ac|bişirmək|bıçaq|çəngəl|çəngəl və bıçaq|çəngəl-bıçaq|yemək
🥄;qaşıq;qaşıq|süfrə|yemək
🔪;mətbəx bıçağı;alət|bişirmək|bıçaq|hoço|kəsmək|mətbəx bıçağı|silah
🫙;banka;banka|boş|çeşni|ədva|heç nə|konteyner|mağaza|sous
🏺;amfora;alət|amfora|bişirmək|dolça|içmək|silah|suqabı|zodiak

[travel_places]
🌍;Avropa-Afrikanı göstərən qlobus;afrika|Afrika|avropa|Avropa|Avropa-Afrikanı göstərən qlobus|dünya|qlobus|yer kürəsi
🌎;amerika-qitələrini göstərən qlobus;amerika|Amerika qitələrini göstərən qlobus|amerika-qitələrini göstərən qlobus|dünya|qlobus|yer kürəsi
🌏;asiya-avstraliya qitələrini göstərən qlobus;asiya|asiya-avstraliya qitələrini göstərən qlobus|avstraliya|dünya|qlobus|yer kürəsi
🌐;meridianları olan qlobus;dünya|meridianlar|meridianları olan qlobus|qlobus|yer kürəsi
🗺️;dünya xəritəsi;dünya|dünya xəritəsi|xəritə
🗾;yaponiyanın xəritəsi;xəritə|yaponiya|yaponiyanın xəritəsi
🧭;kompas;kompas|maqnit|naviqasiya|orientasiya
🏔️;başı qarla örtülmüş dağ;başı qarla örtülmüş dağ|dağ|qar|soyuq
⛰️;dağ;dağ
🛘;torpaq sürüşməsi;dağ|fəlakət|qayalar|sel|təhlükə|uçqun|zəlzələ
🌋;vulkan;dağ|hava|püskürmə|vulkan
🗻;fuji dağı;dağ|fuji|fuji dağı
🏕️;kempinq;düşərgə|kempinq
🏖️;çətirli çimərlik;çətir|çətirli çimərlik|çimərlik
🏜️;səhra;səhra
🏝️;tənha ada;ada|səhra|tənha ada
🏞️;milli park;milli park|park
🏟️;stadion;stadion
🏛️;klassik bina;bina|klassik
🏗️;bina tikintisi;bina|bina tikintisi|kran|tikinti
🧱;kərpic;divar|kərpic|sement
🪨;qaya;ağır|bərk|daş|qaya|qaya parçası
🪵;odun;ağac|kötük|odun|taxta-şalban
🛖;alaçıq;alaçıq|çadır|depo|ev
🏘️;ev binaları;bina|ev|ev binaları
🏚️;baxımsız ev binası;baxımsız ev|baxımsız ev binası|bina|ev|tərk edilmiş|tərk edilmiş ev
🏠;ev binası;bina|ev|ev binası|mənzil
🏡;bağı olan ev;bağ|bağ evi|bağı olan ev|bina|ev|mənzil
🏢;ofis binası;bina|ofis binası
🏣;yapon poçt idarəsi;bina|poçt|yapon|yapon poçt idarəsi
🏤;poçt idarəsi;Avropa|bina|poçt|poçt idarəsi
🏥;xəstəxana;bina|həkim|tibb|xəstəxana
🏦;bank;bank|bina
🏨;otel;bina|otel
🏩;sevgi oteli;bina|otel|sevgi|sevgi oteli
🏪;7/24 açıq olan mağaza;7/24 açıq olan mağaza|bina|mağaza|rahatlıq
🏫;məktəb;bina|məktəb
🏬;univermaq;bina|mağaza|şöbə|univermaq
🏭;fabrik;bina|fabrik
🏯;yapon qəsri;bina|qəsr|yapon|yapon qəsri
🏰;qəsr;avropa|bina|qəsr
💒;toy;kilsə|romantika|toy
🗼;tokiyo qalası;qala|tokio|tokiyo qalası|Tokyo qalası
🗽;azadlıq heykəli;azadlıq|azadlıq heykəli|heykəl|Nyu-york
