# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;にっこり笑う;スマイル|にっこり|にっこり笑う|笑う|笑顔|顔
🚔;パトカー正面;パトカー|パトカー正面|乗り物|警察
🚕;タクシー;タクシー|乗り物
🚖;タクシー正面;タクシー|タクシー正面|乗り物
🚗;自動車;乗り物|自動車|車
🚘;自動車正面;乗り物|自動車|自動車正面|車
🚙;アールブイ車;RV車|SUV車|アールブイ車|乗り物|自動車|車
🛻;軽トラック;トラック|ピックアップトラック|乗り物|車|軽トラック|配達
🚚;トラック;トラック|乗り物|車|配達
🚛;トレーラー;トラック|トレーラー|乗り物|車
🚜;トラクター;トラクター|乗り物|車
🏎️;レーシングカー;F1|スポーツ|モータースポーツ|レーシングカー|乗り物|車
🏍️;オートバイ;オートバイ|オートレース|スポーツ|バイク|モータースポーツ|乗り物
🛵;スクーター;スクーター|原付
🦽;手動式車椅子;アクセシビリティ|手動式車椅子|椅子|車椅子
🦼;電動車椅子;アクセシビリティ|椅子|車椅子|電動車椅子
🛺;三輪タクシー;オートリクシャー|タクシー|トゥクトゥク|リクシャー|三輪タクシー
🚲;自転車;乗り物|自転車
🛴;キックボード;キックスクーター|キックスケーター|キックボード
🛹;スケートボード;スケートボード|スケボー|ボード
🛼;ローラースケート;スケート|スポーツ|ローラースケート
🚏;バス停;バス乗り場|バス停|乗り物
🛣️;高速道路;道路|高速|高速道路
🛤️;線路;線路|鉄道
🛢️;ドラム缶;ドラム缶|石油
⛽;ガソリンスタンド;ガソリン|ガソリンスタンド|ガソリンノズル
🛞;ホイール;スポーク|タイヤ|ホイール|車輪
🚨;パトランプ;パトカー|パトランプ
🚥;信号横;信号|信号横|信号機
🚦;信号縦;信号|信号機|信号縦
🛑;止まれの標識;ストップ|標識|止まれ|止まれの標識
🚧;工事中;サイン|工事中|通行止め
⚓;錨;いかり|碇|船|錨
🛟;救命浮環;ライフセーバー|レスキュー|安全|救命具|救命浮環|浮き輪
⛵;ヨット;ヨット|乗り物|帆船|船
🛶;カヌー;カヌー|カヤック|ボート|乗り物|船
🚤;スピードボート;スピードボート|ボート|乗り物|船
🛳️;客船;乗り物|客船|旅客船|船
⛴️;フェリー;フェリー|乗り物|船
🛥️;モーターボート;ボート|モーターボート|乗り物|船
🚢;船;乗り物|船
✈️;飛行機;乗り物|飛行機
🛩️;小型飛行機;乗り物|小型機|小型飛行機|飛行機
🛫;飛行機離陸;乗り物|離陸|飛行機|飛行機離陸
🛬;飛行機着陸;乗り物|着陸|飛行機|飛行機着陸
🪂;パラシュート;スカイダイビング|パラグライダー|パラシュート
💺;座席;席|座席|椅子
🚁;ヘリコプター;ヘリ|ヘリコプター|乗り物
🚟;懸垂式モノレール;モノレール|乗り物|懸垂式モノレール|電車
🚠;ケーブルカー;ケーブルカー|ゴンドラ|乗り物
🚡;ロープウェイ;ゴンドラ|ロープウェイ|乗り物
🛰️;人工衛星;人工衛星|宇宙
🚀;ロケット;ロケット|乗り物|宇宙
🛸;空飛ぶ円盤;UFO|乗り物|宇宙|空飛ぶ円盤
🛎️;ベルボーイベル;ベル|ベルボーイベル|ホテル
🧳;スーツケース;スーツケース|パッキング|旅行|旅行かばん
⌛;砂時計;時計|砂|砂時計
⏳;砂が落ちている砂時計;時計|砂|砂が落ちている砂時計|砂時計
⌚;腕時計;時計|腕時計
⏰;目覚まし時計;アラーム|時計|目覚まし|目覚まし時計
⏱️;ストップウォッチ;ストップウォッチ|時計
⏲️;タイマー;タイマー|時計
🕰️;置時計;マンテルクロック|時計|置き時計|置時計
🕛;12時;12:00|12時|時計|正午
🕧;12時半;12:30|12時半|時計
🕐;1時;1:00|1時|時計
🕜;1時半;1:30|1時半|時計
🕑;2時;2:00|2時|時計
🕝;2時半;2:30|2時半|時計
🕒;3時;3:00|3時|時計
🕞;3時半;3:30|3時半|時計
🕓;4時;4:00|4時|時計
🕟;4時半;4:30|4時半|時計
🕔;5時;5:00|5時|時計
🕠;5時半;5:30|5時半|時計
🕕;6時;6:00|6時|時計
🕡;6時半;6:30|6時半|時計
🕖;7時;7:00|7時|時計
🕢;7時半;7:30|7時半|時計
🕗;8時;8:00|8時|時計
🕣;8時半;8:30|8時半|時計
🕘;9時;9:00|9時|時計
🕤;9時半;9:30|9時半|時計
🕙;10時;10:00|10時|時計
🕥;10時半;10:30|10時半|時計
🕚;11時;11:00|11時|時計
🕦;11時半;11:30|11時半|時計
🌑;新月;新月|月
🌒;初月;三日月|初月|月
🌓;上弦の月;上弦|上弦の月|半月|月
🌔;十三夜月;十三夜月|十日夜の月|月
🌕;満月;月|満月
🌖;寝待月;寝待月|居待月|月
🌗;下弦の月;下弦|下弦の月|半月|月
🌘;有明月;三日月|月|有明月
🌙;三日月;三日月|月
🌚;顔のある新月;新月|月|顔|顔のある新月
🌛;顔のある上弦の月;上弦の月|月|顔|顔のある上弦の月
🌜;顔のある下弦の月;下弦の月|月|顔|顔のある下弦の月
🌡️;温度計;天気|気温|温度|温度計
☀️;太陽;太陽|晴れ
🌝;顔のある満月;月|顔|顔のある満月
🌞;顔のある太陽;太陽|顔|顔のある太陽
🪐;環のある惑星;リング|土星|天体|惑星|星|環のある惑星
⭐;スター;スター|星
🌟;きらきら星;きらきら|きらきら星|スター|星|輝き
🌠;流れ星;スター|星|流れ星
🌌;天の川;夜空|天の川|星空|銀河
☁️;雲;天気|曇り|雲
⛅;曇り時々晴れ;天気|太陽|曇り|曇り時々晴れ|雲
⛈️;雷雨;天気|稲妻|雨|雲|雷|雷雨
🌤️;晴れ時々曇り;天気|太陽|晴れ|晴れ時々曇り|雲
🌥️;曇り一時晴れ;天気|太陽|曇り|曇り一時晴れ|雲
🌦️;雨時々晴れ;天気|天気雨|太陽|曇り|雨時々晴れ|雲
🌧️;雨雲;天気|雨|雨雲|雲
🌨️;雪雲;天気|雪|雪雲|雲
🌩️;雷雲;天気|稲妻|雲|雷|雷雲
🌪️;竜巻;天気|突風|竜巻
🌫️;霧;天気|霧
🌬️;顔のある風;顔|顔のある風|風
🌀;渦巻き;サイクロン|ハリケーン|めまい|もやもや|台風|渦巻き
🌈;虹;レインボー|虹
🌂;閉じた傘;傘|天気|持ち物|閉じた傘|雨
☂️;傘;傘|天気|持ち物|雨
☔;傘と雨;傘|傘と雨|天気|持ち物|雨
⛱️;パラソル;パラソル|ビーチ|傘|砂浜
⚡;高電圧;危険|稲妻|雷|電気|高電圧
❄️;雪の結晶;結晶|雪|雪の結晶
☃️;雪だるまと雪;雪|雪だるま|雪だるまと雪
⛄;雪だるま;雪|雪だるま
☄️;彗星;すい星|宇宙|彗星
🔥;火;ファイアー|ファイヤー|火|炎
💧;水滴;しずく|たらーっ|水滴|汗|涙
🌊;波;天気|波|波浪|海

[activities]
🎃;ハロウィンかぼちゃ;かぼちゃ|ハロウィーン|ハロウィン|ハロウィンかぼちゃ
🎄;クリスマスツリー;クリスマス|クリスマスイブ|クリスマスツリー|ツリー
🎆;打ち上げ花火;お祭り|打ち上げ花火|花火|花火大会
🎇;線香花火;お祭り|線香花火|花火
🧨;爆竹;ダイナマイト|火薬|爆発|爆竹|爆薬
✨;きらきら;きらきら|スター|ぴかぴか|星
🎈;風船;バルーン|風船
🎉;クラッカー;お祝い|クラッカー|パーティー|パーティークラッカー
🎊;くす玉;お祝い|くす玉|パーティー
🎋;七夕;七夕|和|日本|短冊
🎍;門松;お祝い|和|日本|正月|竹|門松
🎎;ひな祭り;おだいり様|おひな様|お祝い|ひな祭り|人形|和|日本
🎏;こいのぼり;お祝い|こいのぼり|子供の日
🎐;風鈴;夏|鈴|風|風鈴
🎑;月見;ススキ|十五夜|月|月見
🧧;赤い封筒;お年玉|お金|ご祝儀|幸運|紅包|赤い封筒
🎀;リボン;お祝い|リボン
🎁;プレゼント;お祝い|ギフト|プレゼント|箱
🎗️;リマインダーリボン;お祝い|リボン|リマインダー|リマインダーリボン
🎟️;入場券;チケット|入場パス|入場券|半券
🎫;チケット;チケット|切符
🎖️;勲章;お祝い|メダル|勲章|表彰
🏆;トロフィー;トロフィー|優勝カップ|表彰|賞杯
🏅;メダル;スポーツ|メダル|表彰
🥇;金メダル;1位|ゴールド|メダル|金|金メダル
🥈;銀メダル;2位|シルバー|メダル|銀|銀メダル
🥉;銅メダル;3位|ブロンズ|メダル|銅|銅メダル
⚽;サッカー;サッカー|サッカーボール|スポーツ|ボール
⚾;野球;スポーツ|ボール|野球
🥎;ソフトボール;スポーツ|ソフトボール|ボール|下手投げ
🏀;バスケットボール;スポーツ|バスケ|バスケットボール|ボール
🏐;バレーボール;スポーツ|バレー|バレーボール|ボール
🏈;アメフト;アメフト|アメリカンフットボール|スポーツ|ボール
🏉;ラグビー;スポーツ|ボール|ラグビー|ラグビーボール
🎾;テニス;スポーツ|テニス|テニスボール|ボール|ラケット
🥏;フリスビー;アルティメット|フライングディスク|フリスビー
🎳;ボウリング;スポーツ|ボール|ボウリング|球
🏏;クリケット;クリケット|スポーツ|バット|ボール
🏑;ホッケー;スティック|スポーツ|フィールドホッケー|ボール|ホッケー
🏒;アイスホッケー;アイスホッケー|スティック|スポーツ|パック|ホッケー
🥍;ラクロス;ゴール|スティック|スポーツ|ボール|ラクロス
🏓;卓球;スポーツ|ピンポン|ボール|ラケット|卓球
🏸;バドミントン;シャトル|スポーツ|バドミントン|ラケット
🥊;ボクシング;グローブ|スポーツ|ボクシング|ボクシンググローブ
🥋;武道;スポーツ|テコンドー|柔道|武道|空手|道着
🥅;ゴールネット;ゴール|ゴールネット|スポーツ|ネット
⛳;ゴルフ;ゴルフ|スポーツ|フラグ|フラッグ|ホール|旗
⛸️;アイススケート;アイススケート|スケート|スポーツ|フィギュアスケート
🎣;釣り;スポーツ|釣り|釣り竿|魚
🤿;ダイビング マスク;シュノーケリング|スキューバ|スポーツ|ダイビング マスク|マスク
🎽;長距離走;スポーツ|たすき|ランニング|ランニングシャツ|長距離走|駅伝
🎿;スキー;スキー|ストック|スポーツ|板|雪
🛷;そり競技;スケルトン|スポーツ|そり|そり競技|ボブスレー|リュージュ
🥌;カーリング;カーリング|ストーン|スポーツ
🎯;的;スポーツ|ダーツ|ブルズアイ|当たり|的
🪀;ヨーヨー;おもちゃ|ヨーヨー|回転|玩具
🪁;たこ;おもちゃ|カイト|たこ|凧揚げ|玩具
🔫;水鉄砲;ピストル|リボルバー|拳銃|武器|水鉄砲|銃
🎱;ビリヤード;エイトボール|スポーツ|ビリヤード|ボール
🔮;水晶玉;占い|水晶|水晶玉|玉|運命
🪄;魔法の杖;つえ|杖|魔法の杖|魔術
🎮;テレビゲーム;ゲーム|コントローラ|テレビゲーム|ビデオゲーム
🕹️;ジョイスティック;ゲーム|コントローラ|ジョイスティック|スティック|テレビゲーム
🎰;スロットマシン;スリーセブン|スロット|スロットマシン
🎲;サイコロ;ゲーム|サイコロ|ダイス
🧩;ジグソーパズル;ジグソーパズル|パズル|ピース|組み合わせ|鍵
🧸;テディベア;おもちゃ|くま|テディベア|ぬいぐるみ|玩具
🪅;ピニャータ;お祝い|パーティー|ピニャータ|人形|誕生日
🪩;ミラーボール;キラキラ|ダンス|ディスコ|パーティー|ミラーボール
🪆;マトリョーシカ;マトリョーシカ|ロシア|人形|入れ子
♠️;スペード;カード|スペード|トランプ
♥️;ハート;カード|トランプ|ハート
♦️;ダイヤ;カード|ダイア|ダイヤ|トランプ
♣️;クラブ;カード|クラブ|クローバー|トランプ
♟️;チェスの駒;チェス|チェスの駒|捨て駒|駒
🃏;ジョーカー;カード|ジジ|ジョーカー|トランプ|ババ
🀄;麻雀;ゲーム|牌|麻雀|麻雀牌
🎴;花札;カード|ゲーム|花札
🎭;舞台芸術;仮面|劇場|演劇|演芸|舞台芸術|芸術
🖼️;絵画;絵|絵画|美術館|芸術
🎨;絵の具パレット;パレット|絵|絵の具パレット|美術館
🧵;糸;ひも|糸|糸巻き|縫い針|裁縫
🪡;縫い針;ステッチ|刺繍|縫い針|縫う|裁縫|針
🧶;毛糸;かぎ針|ニット|毛糸|毛糸玉|編み物
🪢;結び目;ねじれ|ノット|ひも|ロープ|結び目|綱

[objects]
👓;メガネ;メガネ
🕶️;サングラス;サングラス|メガネ
🥽;ゴーグル;ゴーグル|保護メガネ|水泳|溶接
🥼;白衣;医者|実験|白衣|科学者
🦺;安全ベスト;チョッキ|ベスト|反射|安全ベスト|工事|緊急
👔;ネクタイ;シャツ|ネクタイ|ワイシャツ|服
👕;Tシャツ;Tシャツ|シャツ|服
👖;ジーンズ;ジーンズ|ズボン|デニム|パンツ|服
🧣;マフラー;スカーフ|マフラー|襟巻き|首巻き
🧤;手袋;手袋
🧥;コート;アウター|オーバー|コート|ジャケット|服
🧦;ソックス;ソックス|靴下
👗;ワンピース;ドレス|ワンピース|服
👘;着物;服|着物
🥻;サリー;サリー|服|民族衣装
🩱;ワンピースの水着;スイムウェア|ワンピースの水着|水着
🩲;ブリーフ;スイムウェア|パンツ|ブリーフ|下着|水着
🩳;ショーツ;ショーツ|スイムウェア|パンツ|下着|水着
👙;ビキニ;ビキニ|水着
👚;婦人服;シャツ|ブラウス|婦人服|服
🪭;扇子;あおぐ|団扇|夏|扇|扇子|風
👛;がま口;がま口|小銭入れ|財布
👜;ハンドバッグ;かばん|バッグ|ハンドバッグ
👝;ポーチ;バッグ|ポーチ
🛍️;紙袋;ショッピングバッグ|バッグ|紙手提げ|紙袋
🎒;バックパック;バックパック|ランドセル|リュックサック|学校|小学校|小学生
🩴;ビーチサンダル;ゴムぞうり|サンダル|トングサンダル|ビーサン|ビーチサンダル|靴
👞;紳士靴;ローファー|紳士靴|革靴|靴
👟;スニーカー;スニーカー|靴
🥾;ハイキングシューズ;キャンプ|ハイキング|ハイキングシューズ|ブーツ|登山靴
🥿;フラットシューズ;スリッポン|バレエシューズ|フラットシューズ|ぺたんこ靴
👠;ハイヒール;ハイヒール|ピンヒール|靴
👡;サンダル;サンダル|靴
🩰;トウシューズ;シューズ|ダンス|トウシューズ|バレエ|靴
👢;ブーツ;ブーツ|ロングブーツ|靴
🪮;アフロコーム;アフロ|アフロコーム|くし|コーム|髪
👑;王冠;クラウン|冠|王冠
👒;婦人帽子;婦人帽子|帽子|麦わら|麦わら帽子
🎩;シルクハット;シルクハット|帽子
🎓;角帽;卒業|帽子|角帽
🧢;キャップ;キャップ|帽子|野球帽
🪖;軍用ヘルメット;ヘルメット|ミリタリー|兵士|戦闘|軍用ヘルメット|軍隊
⛑️;白十字ヘルメット;ヘルメット|救急|白十字|白十字ヘルメット
📿;数珠;ネックレス|ロザリオ|念珠|数珠|祈る
💄;口紅;リップ|リップスティック|化粧|口紅
💍;指輪;ジュエリー|ダイア|ダイヤ|リング|指輪
💎;宝石;ジュエリー|ダイア|ダイヤ|宝石
🔇;スピーカー消音;スピーカー|スピーカー消音|ミュート|消音|音無し
🔈;スピーカー;スピーカー|ボリューム|音量
🔉;スピーカー音量小;スピーカー|スピーカー音量小|ボリューム|音量|音量小
🔊;スピーカー音量大;スピーカー|スピーカー音量大|ボリューム|大音量|音量|音量大
📢;拡声器;スピーカー|メガホン|拡声器
📣;メガホン;スピーカー|メガホン|拡声器
📯;郵便ラッパ;ラッパ|郵便|郵便ラッパ
🔔;ベル;ベル|鈴|鐘
🔕;ベル消音;ベル消音|ミュート|消音|鈴|鐘|音無し
🎼;楽譜;スコア|ト音記号|五線譜|楽譜|音楽
🎵;音符;8分音符|連符|音楽|音符
🎶;複数の音符;8分音符|複数の音符|音楽|音符
🎙️;スタジオマイク;スタジオマイク|マイク|音楽
🎚️;レベルスライダー;スライダー|レベル|レベルスライダー|音楽
🎛️;コントロールつまみ;コントロール|コントロールつまみ|つまみ|ノブ|音楽
🎤;マイク;カラオケ|マイク|歌|音楽
🎧;ヘッドホン;イヤホン|ヘッドフォン|ヘッドホン|音楽
📻;ラジオ;ラジオ|受信機|放送|音楽
🎷;サックス;サキソフォン|サクソフォン|サックス|楽器|音楽
🪗;アコーディオン;アコーディオン|じゃばら|楽器|音楽
🎸;ギター;ギター|楽器|音楽
🎹;鍵盤;キーボード|ピアノ|楽器|鍵盤|音楽
🎺;トランペット;トランペット|ラッパ|楽器|音楽
🎻;バイオリン;ヴィオラ|バイオリン|楽器|音楽
🪕;バンジョー;バンジョー|楽器|音楽
🥁;ドラム;ドラム|太鼓|楽器|音楽
🪘;コンガ;コンガ|ビート|リズム|太鼓|楽器|音楽
🪇;マラカス;シェイカー|マラカス|リズム|楽器|音楽
🪈;笛;フルート|リコーダー|吹奏楽|楽器|笛|音楽
📱;携帯電話;スマートフォン|スマホ|携帯|携帯電話
📲;着信中;スマートフォン|スマホ|受信|携帯受信|携帯電話|着信中
☎️;固定電話;ボタン式電話|固定電話|親機|電話|黒電話
📞;受話器;受話器|子機|電話
📟;ポケベル;ページャー|ポケットベル|ポケベル
📠;ファックス;FAX|ファックス|複合機|電話
🔋;電池;バッテリー|乾電池|電池
🪫;バッテリー残量低下;バッテリー|バッテリー残量低下|充電不足|電池残量低下
🔌;コンセント;コンセント|プラグ|電源
💻;ノートパソコン;PC|コンピューター|ノートパソコン|パソコン|ラップトップ
🖥️;デスクトップパソコン;PC|コンピューター|デスクトップ|デスクトップパソコン|パソコン
🖨️;プリンタ;コピー機|プリンタ|プリンター|印刷機|複合機
⌨️;キーボード;PC|キーボード|コンピューター|パソコン
🖱️;マウス;PC|コンピューター|パソコン|マウス
🖲️;トラックボール;PC|コンピューター|トラックボール|パソコン
💽;MD;MD|MO|コンピューター|ミニディスク
💾;フロッピー;FD|コンピューター|ディスク|フロッピー
💿;CD;Blu-ray|CD|DVD|ディスク|ブルーレイ
📀;DVD;Blu-ray|CD|DVD|ディスク|ブルーレイ
🧮;そろばん;アバカス|そろばん|算盤
🎥;映画カメラ;カメラ|ムービー|映画|映画カメラ
🎞️;映画フィルム;フィルム|フレーム|ムービー|映画|映画フィルム
📽️;映写機;プロジェクター|ムービー|映写機|映画
🎬;カチンコ;カチンコ|映画
📺;テレビ;TV|テレビ|ビデオ
📷;カメラ;カメラ|写真
📸;フラッシュを焚いているカメラ;カメラ|カメラフラッシュ|フラッシュを焚いているカメラ|写真
📹;ビデオカメラ;カメラ|ビデオ|ビデオカメラ|ムービー|動画
📼;ビデオテープ;VHS|ビデオカセット|ビデオテープ|動画
🔍;虫眼鏡左;ルーペ|検索|虫めがね|虫眼鏡左
🔎;虫眼鏡右;ルーペ|検索|虫めがね|虫眼鏡右
🕯️;ろうそく;キャンドル|ろうそく|ロウソク|明かり
💡;電球;ぴこーん|ひらめき|明かり|電球
🔦;懐中電灯;ライト|懐中電灯|明かり
🏮;赤ちょうちん;ちょうちん|居酒屋|赤ちょうちん|飲み屋
🪔;ディヤランプ;オイル|ディヤランプ|ランプ|明かり
📔;表紙付きノート;文具|文房具|表紙付きノート
📕;閉じた本;書籍|閉じた本
📖;開いた本;書籍|開いた本
📗;緑の本;書籍|緑の本
📘;青の本;書籍|青の本
📙;オレンジの本;オレンジの本|書籍
📚;本の山;書籍|本の山
📓;ノート;ノート|文具|文房具
📒;リングノート;リングノート|台帳|文具|文房具
📃;巻きページ;カール|巻きページ|文書|書類
📜;巻き物;巻き物|文書|書類
📄;ページ;ページ|文書|書類
📰;新聞;ニュース|新聞|新聞紙
🗞️;丸めた新聞;ニュース|丸めた新聞|新聞|新聞紙
📑;ページに付箋;ふせん|ページに付箋|付箋|文具|文房具
🔖;しおり;しおり|タグ|ブックマーク|付箋
🏷️;荷札;タグ|ラベル|荷札
💰;ドル袋;お金|ドル|ドル袋|賞金|金袋
🪙;コイン;お金|コイン|小銭|硬貨|金貨|銀貨
💴;円札;お札|お金|円|円札|札束|通貨
💵;ドル札;お札|お金|ドル|ドル札|札束|通貨
💶;ユーロ札;お札|お金|ユーロ|ユーロ札|札束|通貨
💷;ポンド札;お札|お金|ポンド|ポンド札|札束|通貨
💸;羽が生えたお金;お札|お金|ドル|札束|羽が生えたお金
💳;クレジットカード;お金|カード|キャッシュカード|クレジットカード|銀行
🧾;レシート;レシート|会計|簿記|領収書
💹;為替;グラフ|チャート|市場|株|株価|為替
✉️;封筒;Eメール|封筒|手紙|郵便|電子メール
📧;Eメール;Eメール|封筒|手紙|郵便|電子メール
📨;メール受信中;Eメール|メール受信中|受信中|電子メール
📩;メール受信;Eメール|メール受信|送信|電子メール
📤;送信トレイ;Eメール|トレイ|送信|送信トレイ|電子メール
📥;受信トレイ;Eメール|トレイ|受信|受信トレイ|電子メール
📦;荷物;宅急便|宅配便|小包|段ボール|荷物
📫;閉じた郵便受け（手紙あり）;ポスト|手紙あり|郵便受け|郵便箱|閉じた|閉じた郵便受け（手紙あり）
📪;閉じた郵便受け（手紙なし）;ポスト|手紙なし|郵便受け|郵便箱|閉じた|閉じた郵便受け（手紙なし）
📬;開いた郵便受け（手紙あり）;ポスト|手紙あり|郵便受け|郵便箱|開いた|開いた郵便受け（手紙あり）
📭;開いた郵便受け（手紙なし）;ポスト|手紙なし|郵便受け|郵便箱|開いた|開いた郵便受け（手紙なし）
📮;郵便ポスト;ポスト|手紙|郵便|郵便ポスト|郵便箱
🗳️;投票箱;投票箱|選挙
✏️;鉛筆;文具|文房具|鉛筆
✒️;ペン先;ペン先|万年筆|文具|文房具
🖋️;万年筆;万年筆|文具|文房具
🖊️;ペン;ペン|ボールペン|文具|文房具
🖌️;絵筆;文具|文房具|絵の具|絵筆
🖍️;クレヨン;クレヨン|文具|文房具
📝;鉛筆とメモ;メモ|文具|文房具|紙と鉛筆|鉛筆とメモ
💼;ブリーフケース;かばん|ブリーフケース
📁;フォルダー;ファイル|フォルダー|文具|文房具
📂;開いたフォルダー;ファイル|フォルダー|文具|文房具|開いたフォルダー
🗂️;カードフォルダー;インデックス|カードフォルダー|フォルダー|文具|文房具
📅;カレンダー;カレンダー|スケジュール|予定|日付
📆;日めくりカレンダー;カレンダー|スケジュール|予定|日めくりカレンダー|日付
🗒️;メモ帳;ノート|メモ帳|リングメモ|文具|文房具
🗓️;月めくりカレンダー;カレンダー|スケジュール|予定|日付|月めくりカレンダー
📇;カードインデックス;カードインデックス|名刺ホルダー|文具|文房具
📈;グラフ上向き;グラフ|グラフ上向き|上向き|上昇|折れ線グラフ
📉;グラフ下向き;グラフ下向き|下向き|下降|折れ線グラフ
📊;棒グラフ;グラフ|チャート|棒グラフ
📋;クリップボード;クリップ|クリップボード|文具|文房具
📌;押しピン;押しピン|文具|文房具|画鋲
📍;丸い押しピン;プッシュピン|丸い押しピン|押しピン|文具|文房具|画びょう
📎;クリップ;クリップ|ゼムクリップ|ペーパークリップ|文具|文房具|紙クリップ
🖇️;つながったクリップ;つながったクリップ|ペーパークリップ|文具|文房具|紙クリップ
📏;定規;ものさし|定規|文具|文房具
📐;三角定規;三角定規|定規|文具|文房具
✂️;はさみ;カット|はさみ|切る|文具|文房具
🗃️;カードファイルボックス;カードファイルボックス|ファイル|ボックス|文具|文房具|箱
🗄️;ファイルキャビネット;キャビネット|ファイル|ファイルキャビネット|引き出し
🗑️;ごみ箱;くずかご|ごみかご|ごみ箱|ゴミ箱
🔒;閉じた錠;ロック|施錠|錠|鍵|閉じた錠
🔓;開いた錠;ロック|解錠|錠|鍵|開いた錠
🔏;閉じた錠とペン;プライバシー|ロック|鍵|閉じた錠とペン
🔐;閉じた錠と鍵;キー|セキュリティ|ロック|安全|閉じた錠と鍵
🔑;鍵;キー|パスワード|鍵
🗝️;古い鍵;キー|パスワード|古い鍵|手がかり
🔨;ハンマー;かなづち|とんかち|ハンマー|工具
🪓;斧;おの|ハチェット|工具|斧|木|薪割り
⛏️;つるはし;つるはし|工具|採掘
⚒️;ハンマーとつるはし;かなづち|つるはし|とんかち|ハンマーとつるはし|工具
🛠️;ハンマーとレンチ;かなづち|とんかち|ハンマーとレンチ|レンチ|工具
🗡️;短刀;ダガー|ナイフ|武器|短刀
⚔️;クロスした剣;クロスした剣|つるぎ|刀|剣|武器
💣;爆弾;爆弾
🪃;ブーメラン;オーストラリア|ブーメラン|武器|玩具|跳ね返り|返って来る
🏹;弓矢;射手|弓矢|星座|武器|矢
🛡️;盾;シールド|盾|防具
🪚;のこぎり;ノコ|のこぎり|刃|大工|工具|木工
🔧;レンチ;スパナ|レンチ|工具
🪛;ねじ回し;スクリュードライバー|ドライバー|ねじ回し|工具
🔩;ボルトとナット;ナット|ボルト|ボルトとナット|工具
⚙️;歯車;ギア|工具|歯車
🗜️;万力;クランプ|バイス|万力|工具
⚖️;天秤;はかり|化学|天秤|実験|星座
🦯;白杖;アクセシビリティ|つえ|白杖|視覚|障がい
🔗;リンクシンボル;リンク|リンクシンボル
⛓️‍💥;壊れた鎖;くさり|チェーン|壊れた|壊れた鎖
⛓️;鎖;くさり|チェーン|鎖
🪝;フック;フック|引っ掛け|掛け金|留め金
🧰;工具箱;ツールボックス|メカニック|工具箱|整備士|機械工
🧲;U字型磁石;U字型磁石|マグネット|蹄鉄
🪜;はしご;ステッパー|はしご|登る|高所作業
⚗️;蒸留器;化学|実験|蒸留器
🧪;試験管;ラボ|化学|実験|試験管
🧫;ペトリ皿;バクテリア|ペトリ皿|培養|生物学
🧬;DNA;DNA|生物学|進化|遺伝子
🔬;顕微鏡;サイエンス|研究|科学|顕微鏡
🔭;望遠鏡;サイエンス|天体観測|望遠鏡|科学|観測
📡;パラボラアンテナ;アンテナ|パラボラ|パラボラアンテナ|衛星アンテナ|電波
💉;注射器;医者|注射|注射器|病気|薬
🩸;血液;けが|医者|献血|生理|血液
💊;薬;カプセル|医者|病気|薬
🩹;絆創膏;けが|ばんそうこう|傷|手当て|絆創膏|薬
🩼;松葉杖;ステッキ|怪我|杖|松葉杖|歩行補助|障がい
🩺;聴診器;医者|心臓|病気|聴診器
🩻;X線;X線|レントゲン|医者|骨|骨格
🚪;ドア;ドア|戸|扉
🛗;エレベーター;アクセシビリティ|エレベーター|バリアフリー|リフト|昇降機
🪞;鏡;ミラー|反射|姿見|身だしなみ|鏡
🪟;窓;フレーム|換気|眺め|窓|開ける
🛏️;ベッド;ベッド|ホテル|寝る|睡眠
🛋️;ソファとランプ;ソファ|ソファとランプ|ホテル|ランプ
🪑;椅子;シート|チェア|家具|椅子|腰掛け
🚽;便器;お手洗い|トイレ|便器|便座
🪠;ラバーカップ;すっぽん|トイレ|プランジャー|ラバーカップ|吸引カップ|通水カップ
🚿;シャワー;シャワー|風呂
🛁;バスタブ;バスタブ|浴槽|風呂
🪤;ねずみ捕り;おびき寄せる|ねずみ捕り|ばね|マウストラップ|わな|仕掛け
🪒;剃刀;ひげそり|レーザー|刃|剃刀
🧴;ローション;シャンプー|ローション|化粧水|日焼け止め
🧷;安全ピン;安全ピン|止めピン
🧹;ほうき;ほうき|掃く|掃除|魔女
🧺;かご;かご|ピクニック|収穫|洗濯
🧻;トイレットペーパー;キッチンペーパー|トイレットペーパー|ペーパータオル
🪣;バケツ;おけ|ばけつ|バケツ|ポリバケツ|容器
🧼;石けん;ソープ|石けん|風呂
🫧;泡;あぶく|シャボン玉|水中|泡|石けん
🪥;歯ブラシ;お手入れ|歯ブラシ|歯磨き|洗面所|虫歯|衛生
🧽;スポンジ;スポンジ|吸収|掃除|海綿
🧯;消火器;消火|消火器|消火器具|消防
🛒;ショッピングカート;カート|ショッピング|ショッピングカート|スーパー|買い物
🚬;煙草;タバコ|喫煙|煙草
⚰️;棺桶;埋葬|棺|棺桶|死
🪦;墓石;お墓|埋葬|墓地|墓場|墓石|石碑
⚱️;骨壺;埋葬|死|葬儀|遺灰|骨壺
🧿;ナザール・ボンジュウ;お守り|ナザール|ナザール・ボンジュウ|ビーズ|邪視|魔除け
🪬;ハムサ;お守り|ハムサ|ファーティマ|ミリアム|手|目|護符
