[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
	👨🏽‍❤️‍👨🏿;ürəkli cütlük: kişi, kişi, orta dəri tonu, tünd dəri tonu;cütlük|kişi|orta dəri tonu|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: kişi, kişi, orta dəri tonu, tünd dəri tonu
	👨🏾‍❤️‍👨🏻;ürəkli cütlük: kişi, kişi, orta-tünd dəri tonu, açıq dəri tonu;açıq dəri tonu|cütlük|kişi|orta-tünd dəri tonu|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: kişi, kişi, orta-tünd dəri tonu, açıq dəri tonu
	👨🏾‍❤️‍👨🏼;ürəkli cütlük: kişi, kişi, orta-tünd dəri tonu, orta-açıq dəri tonu;cütlük|kişi|orta-açıq dəri tonu|orta-tünd dəri tonu|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: kişi, kişi, orta-tünd dəri tonu, orta-açıq dəri tonu
	👨🏾‍❤️‍👨🏽;ürəkli cütlük: kişi, kişi, orta-tünd dəri tonu, orta dəri tonu;cütlük|kişi|orta dəri tonu|orta-tünd dəri tonu|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: kişi, kişi, orta-tünd dəri tonu, orta dəri tonu
	👨🏾‍❤️‍👨🏾;ürəkli cütlük: kişi, kişi, orta-tünd dəri tonu;cütlük|kişi|orta-tünd dəri tonu|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: kişi, kişi, orta-tünd dəri tonu
	👨🏾‍❤️‍👨🏿;ürəkli cütlük: kişi, kişi, orta-tünd dəri tonu, tünd dəri tonu;cütlük|kişi|orta-tünd dəri tonu|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: kişi, kişi, orta-tünd dəri tonu, tünd dəri tonu
	👨🏿‍❤️‍👨🏻;ürəkli cütlük: kişi, kişi, tünd dəri tonu, açıq dəri tonu;açıq dəri tonu|cütlük|kişi|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: kişi, kişi, tünd dəri tonu, açıq dəri tonu
	👨🏿‍❤️‍👨🏼;ürəkli cütlük: kişi, kişi, tünd dəri tonu, orta-açıq dəri tonu;cütlük|kişi|orta-açıq dəri tonu|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: kişi, kişi, tünd dəri tonu, orta-açıq dəri tonu
	👨🏿‍❤️‍👨🏽;ürəkli cütlük: kişi, kişi, tünd dəri tonu, orta dəri tonu;cütlük|kişi|orta dəri tonu|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: kişi, kişi, tünd dəri tonu, orta dəri tonu
	👨🏿‍❤️‍👨🏾;ürəkli cütlük: kişi, kişi, tünd dəri tonu, orta-tünd dəri tonu;cütlük|kişi|orta-tünd dəri tonu|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: kişi, kişi, tünd dəri tonu, orta-tünd dəri tonu
	👨🏿‍❤️‍👨🏿;ürəkli cütlük: kişi, kişi, tünd dəri tonu;cütlük|kişi|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: kişi, kişi, tünd dəri tonu
👩‍❤️‍👩;ürəkli cütlük: qadın, qadın;cütlük|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın
	👩🏻‍❤️‍👩🏻;ürəkli cütlük: qadın, qadın, açıq dəri tonu;açıq dəri tonu|cütlük|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, açıq dəri tonu
	👩🏻‍❤️‍👩🏼;ürəkli cütlük: qadın, qadın, açıq dəri tonu, orta-açıq dəri tonu;açıq dəri tonu|cütlük|orta-açıq dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, açıq dəri tonu, orta-açıq dəri tonu
	👩🏻‍❤️‍👩🏽;ürəkli cütlük: qadın, qadın, açıq dəri tonu, orta dəri tonu;açıq dəri tonu|cütlük|orta dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, açıq dəri tonu, orta dəri tonu
	👩🏻‍❤️‍👩🏾;ürəkli cütlük: qadın, qadın, açıq dəri tonu, orta-tünd dəri tonu;açıq dəri tonu|cütlük|orta-tünd dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, açıq dəri tonu, orta-tünd dəri tonu
	👩🏻‍❤️‍👩🏿;ürəkli cütlük: qadın, qadın, açıq dəri tonu, tünd dəri tonu;açıq dəri tonu|cütlük|qadın|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, açıq dəri tonu, tünd dəri tonu
	👩🏼‍❤️‍👩🏻;ürəkli cütlük: qadın, qadın, orta-açıq dəri tonu, açıq dəri tonu;açıq dəri tonu|cütlük|orta-açıq dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, orta-açıq dəri tonu, açıq dəri tonu
	👩🏼‍❤️‍👩🏼;ürəkli cütlük: qadın, qadın, orta-açıq dəri tonu;cütlük|orta-açıq dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, orta-açıq dəri tonu
	👩🏼‍❤️‍👩🏽;ürəkli cütlük: qadın, qadın, orta-açıq dəri tonu, orta dəri tonu;cütlük|orta dəri tonu|orta-açıq dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, orta-açıq dəri tonu, orta dəri tonu
	👩🏼‍❤️‍👩🏾;ürəkli cütlük: qadın, qadın, orta-açıq dəri tonu, orta-tünd dəri tonu;cütlük|orta-açıq dəri tonu|orta-tünd dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, orta-açıq dəri tonu, orta-tünd dəri tonu
	👩🏼‍❤️‍👩🏿;ürəkli cütlük: qadın, qadın, orta-açıq dəri tonu, tünd dəri tonu;cütlük|orta-açıq dəri tonu|qadın|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, orta-açıq dəri tonu, tünd dəri tonu
	👩🏽‍❤️‍👩🏻;ürəkli cütlük: qadın, qadın, orta dəri tonu, açıq dəri tonu;açıq dəri tonu|cütlük|orta dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, orta dəri tonu, açıq dəri tonu
	👩🏽‍❤️‍👩🏼;ürəkli cütlük: qadın, qadın, orta dəri tonu, orta-açıq dəri tonu;cütlük|orta dəri tonu|orta-açıq dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, orta dəri tonu, orta-açıq dəri tonu
	👩🏽‍❤️‍👩🏽;ürəkli cütlük: qadın, qadın, orta dəri tonu;cütlük|orta dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, orta dəri tonu
	👩🏽‍❤️‍👩🏾;ürəkli cütlük: qadın, qadın, orta dəri tonu, orta-tünd dəri tonu;cütlük|orta dəri tonu|orta-tünd dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, orta dəri tonu, orta-tünd dəri tonu
	👩🏽‍❤️‍👩🏿;ürəkli cütlük: qadın, qadın, orta dəri tonu, tünd dəri tonu;cütlük|orta dəri tonu|qadın|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, orta dəri tonu, tünd dəri tonu
	👩🏾‍❤️‍👩🏻;ürəkli cütlük: qadın, qadın, orta-tünd dəri tonu, açıq dəri tonu;açıq dəri tonu|cütlük|orta-tünd dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, orta-tünd dəri tonu, açıq dəri tonu
	👩🏾‍❤️‍👩🏼;ürəkli cütlük: qadın, qadın, orta-tünd dəri tonu, orta-açıq dəri tonu;cütlük|orta-açıq dəri tonu|orta-tünd dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, orta-tünd dəri tonu, orta-açıq dəri tonu
	👩🏾‍❤️‍👩🏽;ürəkli cütlük: qadın, qadın, orta-tünd dəri tonu, orta dəri tonu;cütlük|orta dəri tonu|orta-tünd dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, orta-tünd dəri tonu, orta dəri tonu
	👩🏾‍❤️‍👩🏾;ürəkli cütlük: qadın, qadın, orta-tünd dəri tonu;cütlük|orta-tünd dəri tonu|qadın|romantika|sevgi|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, orta-tünd dəri tonu
	👩🏾‍❤️‍👩🏿;ürəkli cütlük: qadın, qadın, orta-tünd dəri tonu, tünd dəri tonu;cütlük|orta-tünd dəri tonu|qadın|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, orta-tünd dəri tonu, tünd dəri tonu
	👩🏿‍❤️‍👩🏻;ürəkli cütlük: qadın, qadın, tünd dəri tonu, açıq dəri tonu;açıq dəri tonu|cütlük|qadın|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, tünd dəri tonu, açıq dəri tonu
	👩🏿‍❤️‍👩🏼;ürəkli cütlük: qadın, qadın, tünd dəri tonu, orta-açıq dəri tonu;cütlük|orta-açıq dəri tonu|qadın|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, tünd dəri tonu, orta-açıq dəri tonu
	👩🏿‍❤️‍👩🏽;ürəkli cütlük: qadın, qadın, tünd dəri tonu, orta dəri tonu;cütlük|orta dəri tonu|qadın|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, tünd dəri tonu, orta dəri tonu
	👩🏿‍❤️‍👩🏾;ürəkli cütlük: qadın, qadın, tünd dəri tonu, orta-tünd dəri tonu;cütlük|orta-tünd dəri tonu|qadın|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, tünd dəri tonu, orta-tünd dəri tonu
	👩🏿‍❤️‍👩🏿;ürəkli cütlük: qadın, qadın, tünd dəri tonu;cütlük|qadın|romantika|sevgi|tünd dəri tonu|ürək|ürəkli cütlük|ürəkli cütlük: qadın, qadın, tünd dəri tonu
👨‍👩‍👦;ailə: kişi, qadın, oğlan;ailə|ailə: kişi, qadın, oğlan|ana|ata|kişi|oğlan|qadın|uşaq
👨‍👩‍👧;ailə: kişi, qadın, qız uşağı;ailə|ailə: kişi, qadın, qız uşağı|ana|ata|kişi|qadın|qız uşağı|uşaq
👨‍👩‍👧‍👦;ailə: kişi, qadın, qız uşağı, oğlan;ailə|ailə: kişi, qadın, qız uşağı, oğlan|ana|ata|kişi|oğlan|qadın|qız uşağı|uşaq
👨‍👩‍👦‍👦;ailə: kişi, qadın, oğlan, oğlan;ailə|ailə: kişi, qadın, oğlan, oğlan|ana|ata|kişi|oğlan|qadın|uşaq
👨‍👩‍👧‍👧;ailə: kişi, qadın, qız uşağı, qız uşağı;ailə|ailə: kişi, qadın, qız uşağı, qız uşağı|ana|ata|kişi|qadın|qız uşağı|uşaq
👨‍👨‍👦;ailə: kişi, kişi, oğlan;ailə|ailə: kişi, kişi, oğlan|ana|ata|kişi|oğlan|uşaq
👨‍👨‍👧;ailə: kişi, kişi, qız uşağı;ailə|ailə: kişi, kişi, qız uşağı|ana|ata|kişi|qız uşağı|uşaq
👨‍👨‍👧‍👦;ailə: kişi, kişi, qız uşağı, oğlan;ailə|ailə: kişi, kişi, qız uşağı, oğlan|ana|ata|kişi|oğlan|qız uşağı|uşaq
👨‍👨‍👦‍👦;ailə: kişi, kişi, oğlan, oğlan;ailə|ailə: kişi, kişi, oğlan, oğlan|ana|ata|kişi|oğlan|uşaq
👨‍👨‍👧‍👧;ailə: kişi, kişi, qız uşağı, qız uşağı;ailə|ailə: kişi, kişi, qız uşağı, qız uşağı|ana|ata|kişi|qız uşağı|uşaq
👩‍👩‍👦;ailə: qadın, qadın, oğlan;ailə|ailə: qadın, qadın, oğlan|ana|ata|oğlan|qadın|uşaq
👩‍👩‍👧;ailə: qadın, qadın, qız uşağı;ailə|ailə: qadın, qadın, qız uşağı|ana|ata|qadın|qız uşağı|uşaq
👩‍👩‍👧‍👦;ailə: qadın, qadın, qız uşağı, oğlan;ailə|ailə: qadın, qadın, qız uşağı, oğlan|ana|ata|oğlan|qadın|qız uşağı|uşaq
👩‍👩‍👦‍👦;ailə: qadın, qadın, oğlan, oğlan;ailə|ailə: qadın, qadın, oğlan, oğlan|ana|ata|oğlan|qadın|uşaq
👩‍👩‍👧‍👧;ailə: qadın, qadın, qız uşağı, qız uşağı;ailə|ailə: qadın, qadın, qız uşağı, qız uşağı|ana|ata|qadın|qız uşağı|uşaq
👨‍👦;ailə: kişi, oğlan;ailə|ailə: kişi, oğlan|ana|ata|kişi|oğlan|uşaq
👨‍👦‍👦;ailə: kişi, oğlan, oğlan;ailə|ailə: kişi, oğlan, oğlan|ana|ata|kişi|oğlan|uşaq
👨‍👧;ailə: kişi, qız uşağı;ailə|ailə: kişi, qız uşağı|ana|ata|kişi|qız uşağı|uşaq
👨‍👧‍👦;ailə: kişi, qız uşağı, oğlan;ailə|ailə: kişi, qız uşağı, oğlan|ana|ata|kişi|oğlan|qız uşağı|uşaq
👨‍👧‍👧;ailə: kişi, qız uşağı, qız uşağı;ailə|ailə: kişi, qız uşağı, qız uşağı|ana|ata|kişi|qız uşağı|uşaq
👩‍👦;ailə: qadın, oğlan;ailə|ailə: qadın, oğlan|ana|ata|oğlan|qadın|uşaq
👩‍👦‍👦;ailə: qadın, oğlan, oğlan;ailə|ailə: qadın, oğlan, oğlan|ana|ata|oğlan|qadın|uşaq
👩‍👧;ailə: qadın, qız uşağı;ailə|ailə: qadın, qız uşağı|ana|ata|qadın|qız uşağı|uşaq
👩‍👧‍👦;ailə: qadın, qız uşağı, oğlan;ailə|ailə: qadın, qız uşağı, oğlan|ana|ata|oğlan|qadın|qız uşağı|uşaq
👩‍👧‍👧;ailə: qadın, qız uşağı, qız uşağı;ailə|ailə: qadın, qız uşağı, qız uşağı|ana|ata|qadın|qız uşağı|uşaq
🗣️;danışan baş;baş|danışan|danışmaq|siluet|üz
👤;büst silueti;büst|büst silueti|siluet
👥;büst siluetləri;büst|büst siluetləri|siluet
🫂;qucaqlaşan insanlar;qucaqlaşan insanlar|qucaqlaşma|sağ ol|salam|təşəkkürlər
👪;ailə;ailə|ana|ata|uşaq
🧑‍🧑‍🧒;ailə: yetkin, yetkin, uşaq;ailə: yetkin|ailə: yetkin, yetkin, uşaq|uşaq|yetkin
🧑‍🧑‍🧒‍🧒;ailə: yetkin, yetkin, uşaq, uşaq;ailə: yetkin|ailə: yetkin, yetkin, uşaq, uşaq|uşaq|yetkin
🧑‍🧒;ailə: yetkin, uşaq;ailə: yetkin|ailə: yetkin, uşaq|uşaq
🧑‍🧒‍🧒;ailə: yetkin, uşaq, uşaq;ailə: yetkin|ailə: yetkin, uşaq, uşaq|uşaq
👣;ayaq izləri;ayaq izi|ayaq izləri|geyim|iz

[animals_nature]
🐵;meymun üzü;meymun|meymun üzü|üz
🐒;meymun;meymun
🦍;qorilla;qorilla
🦧;oranqutanq;böyük meymun|oranqutanq
🐶;it üzü;ev heyvanı|it|it üzü|üz
🐕;it;ev heyvanı|it
🦮;bələdçi it;bələdçi|bələdçi it|kor
🐕‍🦺;xidmətçi it;it|xidmətçi
🐩;pudel;it|pudel
🐺;canavar;canavar|canavar üzü|üz
🦊;tülkü;heyvan|sifət|tülkü
🦝;yenot;hiyləgər|maraq içində olan|yenot
🐱;pişik üzü;ev heyvanı|pişik|pişik üzü|üz
🐈;pişik;ev heyvanı|pişik
🐈‍⬛;qara pişik;pişik|qara|uğursuz
🦁;aslan;aslan|şir|şir üzü|üz|zodiak
🐯;pələng üzü;pələng|pələng üzü|üz
🐅;pələng;pələng
🐆;bəbir;bəbir
🐴;at üzü;at|at üzü|üz
🫎;sığın;buynuzlar|heyvan|məməli|sığın
🫏;eşşək;burro|eşşək|heyvan|inadkar|məməli|qatır|tərs
🐎;at;at|yarış|yarış atı
🦄;təkbuynuz;təkbuynuz|təkbuynuz üzü|üz
🦓;zebra;zebra|zolaq
🦌;maral;heyvan|maral
🦬;bizon;bizon|kəl|sürü|zubr
🐮;inək üzü;inək|inək üzü|üz
🐂;öküz;buğa|öküz|zodiak
🐃;su camışı;camış|su|su camışı
🐄;inək;inək
🐷;donuz üzü;donuz|donuz üzü|üz
🐖;donuz;donuz|qar
🐗;qaban;donuz|qaban
🐽;donuz burnu;burun|donuz|donuz burnu|üz
🐏;qoç;qoç|qoyun|zodiak
🐑;qoyun;dişi qoyun|qoyun
🐐;keçi;keçi|oğlaq|zodiak
🐪;dəvə;birhürgüclüdəvə|dəvə|hörgüc
🐫;ikihürgüclü dəvə;baktrian|dəvə|hörgüc|ikihürgüclü dəvə
🦙;lama;alpaka|lama|quanako|vikunya|yun
🦒;zürafə;ləkələr|zürafə
🐘;fil;fil
🦣;mamont;böyük|diş|mamont|xovlu|yox olma
🦏;kərgədan;heyvan|kərgədan
🦛;hippopotam;hippo|hippopotam
🐭;siçan üzü;siçan|siçan üzü|üz
🐁;siçan;siçan
🐀;siçovul;siçovul
🐹;dağsiçanı;dağsiçanı|ev heyvanı|üz
🐰;dovşan üzü;dovşan|dovşan üzü|ev heyvanı|üz
🐇;dovşan;dovşan|ev heyvanı
🐿️;brunduk;brunduk|burunduk
🦫;qunduz;dişi|qunduz
🦔;kirpi;kirpi|tikanlı
🦇;yarasa;vampir|yarasa
🐻;ayı üzü;ayı|ayı üzü|üz
🐻‍❄️;qütb ayısı;ağ|arktika|ayı|qütb ayısı
🐨;koala;ayı|koala
🐼;panda üzü;panda|panda üzü|üz
🦥;tənbəl;tənbəl|yavaş
🦦;samur;balıqtutma|oynamağa həvəsli|samur
🦨;skunsk;skunsk|üfunət
🦘;kenquru;Avstraliya|kenquru|kenquru balası|kisəli|tullanma
🦡;porsuq;porsuq|zəhlətökən
🐾;pəncə izləri;ayaq|iz|pəncə|pəncə izləri
🦃;hinduşka;hinduşka|quş
🐔;toyuq;quş|toyuq
🐓;xoruz;quş|xoruz
🐣;yumurtadan çıxan cücə;cücə|körpə|yumurtadan çıxan cücə|yumurtadan çıxmaq
🐤;körpə cücə;cücə|körpə|quş
🐥;qabağa baxan balaca cücə;cücə|körpə|qabağa baxan balaca cücə|quş
🐦;quş;quş
🐧;pinqvin;pinqvin|quş
🕊️;göyərçin;göyərçin|quş|sülh|uçmaq
🦅;qartal;qartal|quş
🦆;ördək;ördək|quş
🦢;qu;qu|qu balası|quş|suya girmə
🦉;bayquş;bayquş|müdrik|quş
🦤;dodo;böyük|dodo|Mavriki|yox olma
🪶;lələk;lələk|quş|tük|uçuş|yüngül
🦩;flaminqo;flaminqo|rəngli|tropik
🦚;tovuz;farmazon|qürrəli|quş|tovuz
🦜;tutuquşu;pirat|quş|söhbət|tutuquşu
🪽;qanad;aviasiya|mələk|mifologiya|qanad|quş|uçan
🐦‍⬛;qara quş;qara|qarğa|quş|zağca
🪿;qaz;axmaq|korna|qaz|quş
🐦‍🔥;feniks;alov quşu|feniks|fentezi|reinkarnasiya|təkrar doğulma
🐸;qurbağa üzü;qurbağa|qurbağa üzü|üz
🐊;timsah;timsah
🐢;tısbağa;bağa|su tısbağası|tısbağa
🦎;kərtənkələ;kərtənkələ|sürünən
🐍;ilan;daşıyan|ilan|ilandaşıyan|zodiak
🐲;əjdaha üzü;əjdaha|əjdaha üzü|nağıl|üz
🐉;əjdaha;əjdaha|nağıl
🦕;sauropod;braxiozavr|brontozavr|diplodok|sauropod
🦖;Tireks;Tirannozavr Reks|Tireks
🐳;su püskürdən balina;balina|püskürtmək|su püskürdən balina|üz
🐋;kit;balina|kit
🐬;delfin;delfin|üzgəc
🦭;suiti;dəniş şiri|suiti
🐟;balıq;balıq|balıqlar|zodiak
🐠;tropik balıq;balıq|tropik
🐡;iynəqarın balıq;balıq|iynəqarın balıq
🦈;akula;akula|balıq|yırtıcı
🐙;osminoq;osminoq
🐚;spiral balıqqulağı;balıqqulağı|spiral
🪸;mərcan;mərcan|okean|rif
🪼;meduza;dəniz|jele|meduza|onurğasız|sancmaq|uu|yandırmaq
🐌;ilbiz;ilbiz
🦋;kəpənək;həşərat|kəpənək|uçan canlı
🐛;böcək;böcək|həşərat
🐜;qarışqa;həşərat|qarışqa
🐝;bal arısı;arı|bal arısı|həşərat
🪲;tarakan;böcək|həşərat|tarakan
🐞;parabüzən;böcək|həşərat|parabizən|parabüzən
🦗;cırcırama;çəyirtkə|cırcırama
🪳;mətbəxqurdu;həşərat|mətbəxqurdu|parazit|tarakan
🕷️;hörümçək;həşərat|hörümçək
🕸️;hörümçək toru;hörümçək|hörümçək toru|tor
🦂;əqrəb;əqrəb|zodiak
🦟;ağcaqanad;ağcaqanad|həşərat|malariya|qızdırma|virus|xəstəlik
🪰;milçək;çürümə|milçək|sürfə|xəstəlik|ziyanverici
🪱;soxulcan;həlqəvi qurd|soxulcan|torpaq qurdu
🦠;mikrob;amöb|bakteriya|mikrob|virus
💐;buket;buket|gül
🌸;albalı çiçəyi;albalı|albalı çiçəyi|bitki|çiçək|gül
💮;ağ gül;ağ gül|gül
🪷;lotus;Buddizm|çiçək|Hindistan|Hinduizm|lotus|saflıq|Vyetnam
🏵️;rozetka;bitki|rozetka
🌹;qızılgül;bitki|gül|qızılgül
🥀;solmuş gül;gül|solmaq|solmuş gül
🌺;hibiskus;bitki|gül|hibiskus
🌻;günəbaxan;bitki|gül|günəbaxan|günəş
🌼;çiçək;bitki|çiçək|gül
🌷;liliya;bitki|gül|liliya
🪻;sümbül;göypapaq|gül|lavanda|lupin|snapdragon|sümbül
🌱;şitil;bitki|cavan|şitil
🪴;dibçək bitkisi;becərmək|bitki|dibçək bitkisi|ev|faydasız|qazma|yetişdirmə
🌲;həmişəyaşıl;ağac|bitki|həmişəyaşıl
🌳;enliyarpaqlı ağac;ağac|bitki|enliyarpaqlı|tökmək
🌴;palma ağacı;ağac|bitki|palma|palma ağacı
🌵;kaktus;bitki|kaktus
🌾;düyü sünbülü;bitki|düyü|düyü sünbülü|qulaq
🌿;dərman bitkisi;bitki|dərman bitkisi|yarpaq
☘️;yonca;bitki|yonca
🍀;dörd yarpaq yonca;4|bitki|dörd|yarpaq|yonca
🍁;ağcaqayın yarpağı;ağcaqayın|ağcaqayın yarpağı|bitki|tökülmək|yarpaq
🍂;tökülən yarpaq;bitki|tökülən yarpaq|tökülmək|yarpaq
🍃;küləkdə əsən yarpaq;bitki|əsmək|külək|küləkdə əsən yarpaq|titrəmək|yarpaq
🪹;boş yuva;boş yuva|yuvalama
🪺;yumurtalı yuva;yumurtalı yuva|yuvalama
🍄;göbələk;göbələk|milçəkqıran

[food_drink]
🍇;üzüm;meyvə|üzüm
🍈;yemiş;meyvə|yemiş
🍉;qarpız;meyvə|qarpız
🍊;mandarin;mandarin|meyvə|portağal
🍋;limon;limon|meyvə|sitrus
🍋‍🟩;laym;laym|meyvə|sitrus|tropik
🍌;banan;banan|meyvə
🍍;ananas;ananas|meyvə
🥭;manqo;manqo|meyvə|tropik
🍎;qırmızı alma;alma|meyvə|qırmızı
🍏;yaşıl alma;alma|meyvə|yaşıl
🍐;armud;armud|meyvə
🍑;şaftalı;meyvə|şaftalı
🍒;albalı;albalı|bitki|meyvə
🍓;çiyələk;çiyələk|giləmeyvə|meyvə
🫐;qaragilələr;giləmeyvə|qaragilə|qaragilələr
🥝;kivi;kivi|meyvə
🍅;pomidor;meyvə|pomidor|tərəvəz
🫒;zeytun;meyvə|zeytun
🥥;kokos;kokos|palma
🥑;avokado;avokado|meyvə
🍆;badımcan;badımcan|tərəvəz
🥔;kartof;kartof|tərəvəz
🥕;kök;kök|tərəvəz
🌽;qarğıdalı sünbülü;qarğıdalı|qarğıdalı qamışı|qarğıdalı sünbülü|sünbül
🌶️;acı bibər;acı|acı bibər|bitki|istiot
🫑;bolqar bibəri;bibər|bolqar bibəri|ispan bibəri|tərəvəz
🥒;xiyar;tərəvəz|xiyar
🥬;kahı;göyərti|kahı|kələm|salat
🥦;brokkoli;brokkoli|yabanı kələm
🧄;sarımsaq;dadlandırma|sarımsaq
🧅;soğan;dadlandırma|soğan
🥜;yer fındığı;çərəz|yer fındığı
🫘;lobya;böyrək|lobya|paxlalı|qida
🌰;şabalıd;bitki|şabalıd
🫚;zəncəfil kökü;ədviyyat|kök|pivə|zəncəfil kökü
🫛;noxud qabığı;edamame|lobya|noxud|noxud qabığı|paxlalı|pod|tərəvəz
🍄‍🟫;qəhvəyi göbələk;göbələk|qəhvəyi göbələk|qida|təbiət|tərəvəz
🍞;çörək;bulka|çörək
🥐;kruasan;çay|kökə|kruasan|qəlyanaltı
🥖;kərpic çörək;çörək|kərpic çörək|tikə|yemək
🫓;yumru çörək;çörək|lavaş|yumru çörək
🥨;pretsel;burulmuş|pretsel
🥯;bublik;bublik|bulki|çörəkxana
🥞;blin;blin|kökə|yemək
🧇;vafli;dəmir|qərarsız|vafli
🧀;pendir;pendir
🍖;sümükdə ət;ət|sümük|sümükdə ət
🍗;toyuq budu;ayaq|cücə|ev quşları|sümük|toyuq budu
🥩;ət tikəsi;ət tikəsi|steyk
🥓;bekon;bekon|ət
🍔;hamburger;burger|hamburger
🍟;kartof qızartması;fransız|kartof qızartması|qızartma
🍕;pizza;dilim|pendir|pizza
🌭;hot doq;frankfurter|hot doq|hotdoq|sosiska
🥪;sendviç;çörək|sendviç
🌮;tako;meksika|tako
🌯;buritto;buritto|meksika
🫔;tamal;dürüm|meksika|tamal
🥙;qutab;bişirmək|qutab|yemək
🧆;falafel;falafel|küftə|noxud
🥚;yumurta;yemək|yumurta
🍳;bişirmək;bişirmək|qızartmaq|tava|yumurta
🥘;dayaz qazan;dayaz|qazan|qida|yemək
🍲;yemək qazanı;qab|raqu|yemək qazanı
🫕;fondyu;əridilmiş|fondyu|güvəc|İsveçrə|pendir|şokolad
🥣;qaşıq ilə kasa;dənəvər|qaşıq ilə kasa|səhər yeməyi
🥗;salat;salat|tərəvəz|yaşıl
🍿;popkorn;popkorn
🧈;kərə yağı;kərə yağı|süd məhsulu
🧂;duz;duz|duzqabı|ədviyyat
🥫;konserv qida;konserv|konserv qida
🍱;bentu qutusu;bentu|bentu qutusu|qutu
🍘;düyü krekeri;düyü|düyü krekeri|kreker
🍙;düyü küftəsi;düyü|düyü küftəsi|küftə|yapon
🍚;bişmiş düyü;bişmiş|düyü
🍛;karri düyüsü;düyü|karri|karri düyüsü
🍜;buxarlanan kasa;buğlanan|buxarlanan kasa|əriştə|kasa|ramen
🍝;spagetti;makaron|spagetti
🍠;qızardılmış şirin kartof;kartof|qızardılmış|şirin
🍢;oden;çubuq|dəniz məhsulu|kabab|oden|şiş
🍣;suşi;suşi
🍤;qızardılmış krivet;krevet|qızardılmış|qızardılmış krivet|tempura
🍥;spiralşəkilli balıq piroqu;balıq|burulğan|piroq|spiralşəkilli balıq piroqu|xəmir
🥮;ay piroqu;ay piroqu|festival|payız|yuebin
🍡;danqo;çubuq|danqo|desert|şirin|şiş|yapon
🥟;klyotek;empanada|gyoza|jiaozi|klyotek|pierogi|potsticker
