# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cara moi riseira;cara|cara moi riseira|sorriso
	👩🏾‍❤️‍👨🏼;parella cun corazón: muller, home, ton de pel escuro, ton de pel claro;corazón|home|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, home, ton de pel escuro, ton de pel claro|ton de pel claro|ton de pel escuro
	👩🏾‍❤️‍👨🏽;parella cun corazón: muller, home, ton de pel escuro, ton de pel medio;corazón|home|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, home, ton de pel escuro, ton de pel medio|ton de pel escuro|ton de pel medio
	👩🏾‍❤️‍👨🏾;parella cun corazón: muller, home, ton de pel escuro;corazón|home|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, home, ton de pel escuro|ton de pel escuro
	👩🏾‍❤️‍👨🏿;parella cun corazón: muller, home, ton de pel escuro, ton de pel moi escuro;corazón|home|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, home, ton de pel escuro, ton de pel moi escuro|ton de pel escuro|ton de pel moi escuro
	👩🏿‍❤️‍👨🏻;parella cun corazón: muller, home, ton de pel moi escuro, ton de pel moi claro;corazón|home|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, home, ton de pel moi escuro, ton de pel moi claro|ton de pel moi claro|ton de pel moi escuro
	👩🏿‍❤️‍👨🏼;parella cun corazón: muller, home, ton de pel moi escuro, ton de pel claro;corazón|home|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, home, ton de pel moi escuro, ton de pel claro|ton de pel claro|ton de pel moi escuro
	👩🏿‍❤️‍👨🏽;parella cun corazón: muller, home, ton de pel moi escuro, ton de pel medio;corazón|home|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, home, ton de pel moi escuro, ton de pel medio|ton de pel medio|ton de pel moi escuro
	👩🏿‍❤️‍👨🏾;parella cun corazón: muller, home, ton de pel moi escuro, ton de pel escuro;corazón|home|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, home, ton de pel moi escuro, ton de pel escuro|ton de pel escuro|ton de pel moi escuro
	👩🏿‍❤️‍👨🏿;parella cun corazón: muller, home, ton de pel moi escuro;corazón|home|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, home, ton de pel moi escuro|ton de pel moi escuro
👨‍❤️‍👨;parella cun corazón: home, home;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home
	👨🏻‍❤️‍👨🏻;parella cun corazón: home, home, ton de pel moi claro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel moi claro|ton de pel moi claro
	👨🏻‍❤️‍👨🏼;parella cun corazón: home, home, ton de pel moi claro, ton de pel claro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel moi claro, ton de pel claro|ton de pel claro|ton de pel moi claro
	👨🏻‍❤️‍👨🏽;parella cun corazón: home, home, ton de pel moi claro, ton de pel medio;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel moi claro, ton de pel medio|ton de pel medio|ton de pel moi claro
	👨🏻‍❤️‍👨🏾;parella cun corazón: home, home, ton de pel moi claro, ton de pel escuro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel moi claro, ton de pel escuro|ton de pel escuro|ton de pel moi claro
	👨🏻‍❤️‍👨🏿;parella cun corazón: home, home, ton de pel moi claro, ton de pel moi escuro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel moi claro, ton de pel moi escuro|ton de pel moi claro|ton de pel moi escuro
	👨🏼‍❤️‍👨🏻;parella cun corazón: home, home, ton de pel claro, ton de pel moi claro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel claro, ton de pel moi claro|ton de pel claro|ton de pel moi claro
	👨🏼‍❤️‍👨🏼;parella cun corazón: home, home, ton de pel claro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel claro|ton de pel claro
	👨🏼‍❤️‍👨🏽;parella cun corazón: home, home, ton de pel claro, ton de pel medio;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel claro, ton de pel medio|ton de pel claro|ton de pel medio
	👨🏼‍❤️‍👨🏾;parella cun corazón: home, home, ton de pel claro, ton de pel escuro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel claro, ton de pel escuro|ton de pel claro|ton de pel escuro
	👨🏼‍❤️‍👨🏿;parella cun corazón: home, home, ton de pel claro, ton de pel moi escuro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel claro, ton de pel moi escuro|ton de pel claro|ton de pel moi escuro
	👨🏽‍❤️‍👨🏻;parella cun corazón: home, home, ton de pel medio, ton de pel moi claro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel medio, ton de pel moi claro|ton de pel medio|ton de pel moi claro
	👨🏽‍❤️‍👨🏼;parella cun corazón: home, home, ton de pel medio, ton de pel claro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel medio, ton de pel claro|ton de pel claro|ton de pel medio
	👨🏽‍❤️‍👨🏽;parella cun corazón: home, home, ton de pel medio;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel medio|ton de pel medio
	👨🏽‍❤️‍👨🏾;parella cun corazón: home, home, ton de pel medio, ton de pel escuro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel medio, ton de pel escuro|ton de pel escuro|ton de pel medio
	👨🏽‍❤️‍👨🏿;parella cun corazón: home, home, ton de pel medio, ton de pel moi escuro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel medio, ton de pel moi escuro|ton de pel medio|ton de pel moi escuro
	👨🏾‍❤️‍👨🏻;parella cun corazón: home, home, ton de pel escuro, ton de pel moi claro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel escuro, ton de pel moi claro|ton de pel escuro|ton de pel moi claro
	👨🏾‍❤️‍👨🏼;parella cun corazón: home, home, ton de pel escuro, ton de pel claro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel escuro, ton de pel claro|ton de pel claro|ton de pel escuro
	👨🏾‍❤️‍👨🏽;parella cun corazón: home, home, ton de pel escuro, ton de pel medio;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel escuro, ton de pel medio|ton de pel escuro|ton de pel medio
	👨🏾‍❤️‍👨🏾;parella cun corazón: home, home, ton de pel escuro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel escuro|ton de pel escuro
	👨🏾‍❤️‍👨🏿;parella cun corazón: home, home, ton de pel escuro, ton de pel moi escuro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel escuro, ton de pel moi escuro|ton de pel escuro|ton de pel moi escuro
	👨🏿‍❤️‍👨🏻;parella cun corazón: home, home, ton de pel moi escuro, ton de pel moi claro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel moi escuro, ton de pel moi claro|ton de pel moi claro|ton de pel moi escuro
	👨🏿‍❤️‍👨🏼;parella cun corazón: home, home, ton de pel moi escuro, ton de pel claro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel moi escuro, ton de pel claro|ton de pel claro|ton de pel moi escuro
	👨🏿‍❤️‍👨🏽;parella cun corazón: home, home, ton de pel moi escuro, ton de pel medio;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel moi escuro, ton de pel medio|ton de pel medio|ton de pel moi escuro
	👨🏿‍❤️‍👨🏾;parella cun corazón: home, home, ton de pel moi escuro, ton de pel escuro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel moi escuro, ton de pel escuro|ton de pel escuro|ton de pel moi escuro
	👨🏿‍❤️‍👨🏿;parella cun corazón: home, home, ton de pel moi escuro;corazón|home|namorados|parella|parella cun corazón|parella cun corazón: home, home, ton de pel moi escuro|ton de pel moi escuro
👩‍❤️‍👩;parella cun corazón: muller, muller;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller
	👩🏻‍❤️‍👩🏻;parella cun corazón: muller, muller, ton de pel moi claro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel moi claro|ton de pel moi claro
	👩🏻‍❤️‍👩🏼;parella cun corazón: muller, muller, ton de pel moi claro, ton de pel claro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel moi claro, ton de pel claro|ton de pel claro|ton de pel moi claro
	👩🏻‍❤️‍👩🏽;parella cun corazón: muller, muller, ton de pel moi claro, ton de pel medio;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel moi claro, ton de pel medio|ton de pel medio|ton de pel moi claro
	👩🏻‍❤️‍👩🏾;parella cun corazón: muller, muller, ton de pel moi claro, ton de pel escuro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel moi claro, ton de pel escuro|ton de pel escuro|ton de pel moi claro
	👩🏻‍❤️‍👩🏿;parella cun corazón: muller, muller, ton de pel moi claro, ton de pel moi escuro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel moi claro, ton de pel moi escuro|ton de pel moi claro|ton de pel moi escuro
	👩🏼‍❤️‍👩🏻;parella cun corazón: muller, muller, ton de pel claro, ton de pel moi claro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel claro, ton de pel moi claro|ton de pel claro|ton de pel moi claro
	👩🏼‍❤️‍👩🏼;parella cun corazón: muller, muller, ton de pel claro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel claro|ton de pel claro
	👩🏼‍❤️‍👩🏽;parella cun corazón: muller, muller, ton de pel claro, ton de pel medio;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel claro, ton de pel medio|ton de pel claro|ton de pel medio
	👩🏼‍❤️‍👩🏾;parella cun corazón: muller, muller, ton de pel claro, ton de pel escuro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel claro, ton de pel escuro|ton de pel claro|ton de pel escuro
	👩🏼‍❤️‍👩🏿;parella cun corazón: muller, muller, ton de pel claro, ton de pel moi escuro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel claro, ton de pel moi escuro|ton de pel claro|ton de pel moi escuro
	👩🏽‍❤️‍👩🏻;parella cun corazón: muller, muller, ton de pel medio, ton de pel moi claro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel medio, ton de pel moi claro|ton de pel medio|ton de pel moi claro
	👩🏽‍❤️‍👩🏼;parella cun corazón: muller, muller, ton de pel medio, ton de pel claro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel medio, ton de pel claro|ton de pel claro|ton de pel medio
	👩🏽‍❤️‍👩🏽;parella cun corazón: muller, muller, ton de pel medio;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel medio|ton de pel medio
	👩🏽‍❤️‍👩🏾;parella cun corazón: muller, muller, ton de pel medio, ton de pel escuro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel medio, ton de pel escuro|ton de pel escuro|ton de pel medio
	👩🏽‍❤️‍👩🏿;parella cun corazón: muller, muller, ton de pel medio, ton de pel moi escuro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel medio, ton de pel moi escuro|ton de pel medio|ton de pel moi escuro
	👩🏾‍❤️‍👩🏻;parella cun corazón: muller, muller, ton de pel escuro, ton de pel moi claro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel escuro, ton de pel moi claro|ton de pel escuro|ton de pel moi claro
	👩🏾‍❤️‍👩🏼;parella cun corazón: muller, muller, ton de pel escuro, ton de pel claro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel escuro, ton de pel claro|ton de pel claro|ton de pel escuro
	👩🏾‍❤️‍👩🏽;parella cun corazón: muller, muller, ton de pel escuro, ton de pel medio;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel escuro, ton de pel medio|ton de pel escuro|ton de pel medio
	👩🏾‍❤️‍👩🏾;parella cun corazón: muller, muller, ton de pel escuro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel escuro|ton de pel escuro
	👩🏾‍❤️‍👩🏿;parella cun corazón: muller, muller, ton de pel escuro, ton de pel moi escuro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel escuro, ton de pel moi escuro|ton de pel escuro|ton de pel moi escuro
	👩🏿‍❤️‍👩🏻;parella cun corazón: muller, muller, ton de pel moi escuro, ton de pel moi claro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel moi escuro, ton de pel moi claro|ton de pel moi claro|ton de pel moi escuro
	👩🏿‍❤️‍👩🏼;parella cun corazón: muller, muller, ton de pel moi escuro, ton de pel claro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel moi escuro, ton de pel claro|ton de pel claro|ton de pel moi escuro
	👩🏿‍❤️‍👩🏽;parella cun corazón: muller, muller, ton de pel moi escuro, ton de pel medio;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel moi escuro, ton de pel medio|ton de pel medio|ton de pel moi escuro
	👩🏿‍❤️‍👩🏾;parella cun corazón: muller, muller, ton de pel moi escuro, ton de pel escuro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel moi escuro, ton de pel escuro|ton de pel escuro|ton de pel moi escuro
	👩🏿‍❤️‍👩🏿;parella cun corazón: muller, muller, ton de pel moi escuro;corazón|muller|namorados|parella|parella cun corazón|parella cun corazón: muller, muller, ton de pel moi escuro|ton de pel moi escuro
👨‍👩‍👦;familia: home, muller, neno;familia|familia: home, muller, neno|home|muller|nai|neno|pai
👨‍👩‍👧;familia: home, muller, nena;familia|familia: home, muller, nena|home|muller|nai|nena|neno|pai
👨‍👩‍👧‍👦;familia: home, muller, nena, neno;familia|familia: home, muller, nena, neno|home|muller|nai|nena|neno|pai
👨‍👩‍👦‍👦;familia: home, muller, neno, neno;familia|familia: home, muller, neno, neno|home|muller|nai|neno|pai
👨‍👩‍👧‍👧;familia: home, muller, nena, nena;familia|familia: home, muller, nena, nena|home|muller|nai|nena|neno|pai
👨‍👨‍👦;familia: home, home, neno;familia|familia: home, home, neno|home|nai|neno|pai
👨‍👨‍👧;familia: home, home, nena;familia|familia: home, home, nena|home|nai|nena|neno|pai
👨‍👨‍👧‍👦;familia: home, home, nena, neno;familia|familia: home, home, nena, neno|home|nai|nena|neno|pai
👨‍👨‍👦‍👦;familia: home, home, neno, neno;familia|familia: home, home, neno, neno|home|nai|neno|pai
👨‍👨‍👧‍👧;familia: home, home, nena, nena;familia|familia: home, home, nena, nena|home|nai|nena|neno|pai
👩‍👩‍👦;familia: muller, muller, neno;familia|familia: muller, muller, neno|muller|nai|neno|pai
👩‍👩‍👧;familia: muller, muller, nena;familia|familia: muller, muller, nena|muller|nai|nena|neno|pai
👩‍👩‍👧‍👦;familia: muller, muller, nena, neno;familia|familia: muller, muller, nena, neno|muller|nai|nena|neno|pai
👩‍👩‍👦‍👦;familia: muller, muller, neno, neno;familia|familia: muller, muller, neno, neno|muller|nai|neno|pai
👩‍👩‍👧‍👧;familia: muller, muller, nena, nena;familia|familia: muller, muller, nena, nena|muller|nai|nena|neno|pai
👨‍👦;familia: home, neno;familia|familia: home, neno|home|nai|neno|pai
👨‍👦‍👦;familia: home, neno, neno;familia|familia: home, neno, neno|home|nai|neno|pai
👨‍👧;familia: home, nena;familia|familia: home, nena|home|nai|nena|neno|pai
👨‍👧‍👦;familia: home, nena, neno;familia|familia: home, nena, neno|home|nai|nena|neno|pai
👨‍👧‍👧;familia: home, nena, nena;familia|familia: home, nena, nena|home|nai|nena|neno|pai
👩‍👦;familia: muller, neno;familia|familia: muller, neno|muller|nai|neno|pai
👩‍👦‍👦;familia: muller, neno, neno;familia|familia: muller, neno, neno|muller|nai|neno|pai
👩‍👧;familia: muller, nena;familia|familia: muller, nena|muller|nai|nena|neno|pai
👩‍👧‍👦;familia: muller, nena, neno;familia|familia: muller, nena, neno|muller|nai|nena|neno|pai
👩‍👧‍👧;familia: muller, nena, nena;familia|familia: muller, nena, nena|muller|nai|nena|neno|pai
🗣️;silueta de persoa falando;cabeza|cara|falar|silueta|silueta de persoa falando
👤;silueta dun busto;busto|persoa|silueta|silueta dun busto
👥;silueta de dous bustos;bustos|persoas|silueta|silueta de dous bustos
🫂;persoas abrazándose;abrazo|adeus|aperta|persoas abrazándose
👪;familia;familia|nai|neno|pai
🧑‍🧑‍🧒;familia: adulto, adulto, neno;adulto|dous adultos|familia|familia: adulto|familia: adulto, adulto, neno|neno
🧑‍🧑‍🧒‍🧒;familia: adulto, adulto, neno, neno;adulto|dous adultos|dous nenos|familia|familia: adulto|familia: adulto, adulto, neno, neno|neno
🧑‍🧒;familia: adulto, neno;adulto|familia|familia: adulto|familia: adulto, neno|neno
🧑‍🧒‍🧒;familia: adulto, neno, neno;adulto|dous nenos|familia|familia: adulto|familia: adulto, neno, neno|neno
👣;pegadas de pés;pegada|pegadas de pés|pés

[animals_nature]
🐵;cara de mono;cara|cara de mono|mono
🐒;mono;mono
🦍;gorila;animal|gorila|simio
🦧;orangután;mono|orangután|simio
🐶;cara de can;can|cara|cara de can|mascota
🐕;can;can|mascota
🦮;can guía;asistencia|can|cega|cego|guía
🐕‍🦺;can de servizo;asistencia|can de servizo|discapacidade|servizo
🐩;caniche;can|caniche|mascota
🐺;lobo;cara|cara de lobo|lobo
🦊;raposo;animal|arteiro|astuto|golpe|raposo
🦝;mapache;animal|galopín|mapache|pillabán
🐱;cara de gato;cara de gato|gato|mascota
🐈;gato;gato|mascota
🐈‍⬛;gato negro;gato negro|mala sorte|negro
🦁;cara de león;cara|cara de león|Leo|león|zodíaco
🐯;cara de tigre;cara|cara de tigre|tigre
🐅;tigre;tigre
🐆;leopardo;leopardo
🐴;cara de cabalo;cabalo|cara|cara de cabalo
🫎;alce;alce|animal|ante|corno|hasta
🫏;burro;animal|burro|mula|testán
🐎;cabalo;cabalo|cabalo de carreiras|carreira de cabalos
🦄;unicornio;cara|cara de unicornio|unicornio
🦓;cebra;cebra|raias
🦌;cervo;animal|cervo
🦬;bisonte;bisonte|búfalo
🐮;cara de vaca;cara|cara de vaca|vaca
🐂;boi;boi|Tauro|touro|zodíaco
🐃;búfalo acuático;auga|búfalo|búfalo acuático|doméstico
🐄;vaca;vaca
🐷;cara de porco;cara|cara de porco|porco
🐖;porco;porco
🐗;xabaril;porco bravo|xabaril|xabarín
🐽;morro de porco;morro de porco|nariz de porco|porco
🐏;carneiro;Aries|carneiro|ovella|zodíaco
🐑;ovella;ovella
🐐;cabra;cabra|Capricornio|zodíaco
🐪;dromedario;dromedario|xiba
🐫;camelo;camelo|xibas
🦙;llama;alpaca|la|llama|vicuña
🦒;xirafa;xirafa
🐘;elefante;elefante
🦣;mamut;extinción|mamut|mastodonte|prehistórico
🦏;rinoceronte;animal|rinoceronte
🦛;hipopótamo;hipopótamo
🐭;cara de rato;cara de rato|dentes|Pérez|rato
🐁;rato;dentes|Pérez|rato
🐀;rata;rata
🐹;hámster;cara de hámster|hámster|mascota
🐰;cara de coello;cara|cara de coello|coello|mascota
🐇;coello;coello|mascota
🐿️;esquío;esquío
🦫;castor;castor
🦔;ourizo;orizo|ourizo|ourizo cacho
🦇;morcego;animal|morcego|vampiro
🐻;oso;cara|cara de oso|oso
🐻‍❄️;oso polar;ártico|branco|oso polar
🐨;coala;coala|koala
🐼;oso panda;cara|cara de oso panda|oso panda|panda
🦥;preguiceiro;folgazán|lento|preguiceiro|preguiza
🦦;londra;londra|lontra
🦨;mofeta;alcatreo|cheirume|fedorento|mofeta
🦘;canguro;Australia|canguro|marsupial|saltar
🦡;teixugo;porco teixo|teixugo|tourón
🐾;pegadas de patas;patas|pegada|pegadas de patas
🦃;pavo;pavo
🐔;polo;polo
🐓;galo;galo
🐣;pitiño saíndo da casca;casca|ovo|pitiño|pitiño saíndo da casca|pito
🐤;pitiño;pitiño|pito
🐥;pitiño de fronte;pitiño|pitiño de fronte|pito
🐦;paxaro;paxaro
🐧;pingüín;pingüín
🕊️;pomba;ave|paz|pomba|voar
🦅;aguia;aguia|aiga|animal|paxaro|rapina
🦆;pato;animal|parrulo|pato|paxaro
🦢;cisne;ave|cisne|parrulo feo|patiño feo
🦉;moucho;animal|curuxa|moucho|paxaro|sabio
🦤;dodo;ave|dodo|extinta|Mauricio
🪶;pluma;lixeiro|pluma|suave
🦩;flamengo;ave|flamengo|rosa
🦚;pavón;ave|pavo real|pavón
🦜;loro;ave|charlatán|falangueiro|loro|pirata
🪽;á;á|anxo|ave|aviación|mitoloxía|voar
🐦‍⬛;paxaro negro;corvo|gralla|negro|paxaro negro
🪿;ganso;ave|ganso|grallar|oca|paxaro
🐦‍🔥;fénix;fantasía|fénix|paxaro de fogo|reencarnación|renacemento
🐸;ra;cara|cara de ra|ra
🐊;crocodilo;crocodilo
🐢;tartaruga;tartaruga
🦎;lagarto;animal|lagarto|réptil
🐍;serpe;Ofiúco|réptil|serpe|zodíaco
🐲;cara de dragón;cara de dragón|dragón
🐉;dragón;dragón
🦕;saurópodo;branquiosauro|brontosauro|dinosauro|diplodoco|saurópodo
🦖;Tyrannosaurus rex;dinosauro|Tyrannosaurus rex
🐳;balea botando un chorro;balea|balea botando un chorro|chorro
🐋;balea;balea
🐬;golfiño;delfín|golfiño
🦭;foca;foca|león mariño
🐟;peixe;peixe|Pisces|zodíaco
🐠;peixe tropical;peixe|tropical
🐡;peixe globo;globo|peixe
🦈;tiburón;animal|escualo|peixe|quenlla|tiburón
🐙;polbo;polbo|tentáculos
🐚;bucina mariña;bucina|bucina mariña|bucio|buguina|corno
🪸;coral;arrecife|coral|océano
🪼;medusa;aguamar|augamar|invertebrado|medusa|picar
🐌;caracol;caracol
🦋;bolboreta;animal|bolboreta|insecto
🐛;cempés;becho|bicho|cempés|verme
🐜;formiga;formiga
🐝;abella;abella|avespa|mel|vespa
🪲;escaravello;becho|bicho|escaravello|insecto
🐞;xoaniña;barrosiña|maruxiña|reirrei|voaniña|xoaniña
🦗;grilo;grilo|saltón
🪳;cascuda;becho|bicho|cascuda|cucaracha|insecto
🕷️;araña;araña
🕸️;tea de araña;araña|arañeira|tea de araña
🦂;alacrán;alacrán|Escorpión|zodíaco
🦟;mosquito;malaria|mosquito|picada
🪰;mosca;enfermidade|insecto|mosca|tabán|tse-tse
🪱;verme;becho|bicho|lombriga|miñoca|parásito|verme
🦠;microbio;ameba|bacteria|microbio|virus
💐;ramo de flores;flores|ramo|ramo de flores
🌸;flor de cerdeira;cerdeira|cereixa|flor|flor de cerdeira
💮;flor branca;flor|flor branca
🪷;loto;budismo|flor|hinduísmo|loto|pureza
🏵️;roseta;flor|roseta
🌹;rosa;flor|rosa
🥀;flor murcha;flor|murcha|planta
🌺;flor de hibisco;flor|flor de hibisco
🌻;xirasol;flor|xirasol
🌼;flor;flor
🌷;tulipán;flor|tulipán
🪻;xacinto;flor|lavanda|lupinus|xacinto
🌱;plántula;planta|plántula|xerminar
🪴;planta en testo;planta en testo|tarro|testo
🌲;árbore de folla perenne;abeto|árbore|árbore de folla perenne
🌳;árbore de folla caduca;árbore|árbore de folla caduca
🌴;palmeira;árbore|palmeira
🌵;cacto;cacto|planta
🌾;planta de arroz;arroz|cereais|planta|planta de arroz
🌿;planta;follas|planta
☘️;trevo;planta|trevo
🍀;trevo de catro follas;4|planta|sorte|trevo de catro follas
🍁;folla de pradairo;folla de pradairo|outono|pradairo|sicómoro
🍂;folla seca;folla|folla seca|outono|planta
🍃;folla ao vento;folla|folla ao vento|planta|vento
🪹;niño baleiro;aniñar|niño baleiro
🪺;niño con ovos;aniñar|niño con ovos
🍄;cogomelo;champiñón|cogomelo

[food_drink]
🍇;uvas;acio|froita|uva|uvas
🍈;melón;froita|melón
🍉;sandía;froita|sandía
🍊;mandarina;froita|laranxa|mandarina
🍋;limón;froita|limón
🍋‍🟩;lima;cítrico|froita|lima|tropical
🍌;plátano;banana|froita|plátano
🍍;piña;ananás|froita|piña
🥭;manga;froita|manga|tropical
🍎;mazá vermella;froita|mazá vermella
🍏;mazá verde;froita|mazá verde
🍐;pera;froita|pera
🍑;pexego;froita|pexego
🍒;cereixas;cereixa|cereixas|froita
🍓;amorodo;amorodo|froita
🫐;arando;arando|bagas|froitas silvestres
🥝;kiwi;comida|froita|kiwi
🍅;tomate;tomate|vexetal
🫒;oliva;oliva
🥥;coco;coco|froita|piña colada
🥑;aguacate;aguacate|comida|froita
🍆;berenxena;berenxena|vexetal
🥔;pataca;comida|pataca|vexetal
🥕;cenoria;cenoria|comida|vexetal
🌽;mazaroca;espiga|mazaroca|millo|vexetal
🌶️;chile picante;chile|picante
🫑;pemento;hortaliza|pemento|vexetal
🥒;cogombro;cogombro|comida|hortaliza|vexetal
🥬;verdura de folla;acelgas|espinacas|leituga|verdura de folla
🥦;brócoli;brócoli
🧄;allo;allo|cheiro|condimento
🧅;cebola;cebola|chorar|condimento|hortaliza|vexetal
🥜;cacahuete;cacahuete|comida|froito|seco
🫘;fabas;comida|fabas|legume|ril
🌰;castaña;castaña|magosto|outono
🫚;xenxibre;especia|raíz|tubérculo|xenxibre
🫛;vaíña;chícharo|legume|soia|vaíña|vexetal
🍄‍🟫;cogomelo marrón;cogomelo marrón|comida|fungo|natureza|vexetal
🍞;pan de molde;pan|pan de molde
🥐;croissant;almorzo|bolo|comida|croissant
🥖;barra de pan;barra|barra de pan|comida|pan|panadería
🫓;pan plano;arepa|pan de pita|pan plano
🥨;pretzel;bretzel|pretzel
🥯;bagel;bagel|beigel|panadaría
🥞;chulas;chulas|comida|pancakes|tortas
🧇;gofre;doce|gofre
🧀;queixo;queixo
🍖;óso con carne;carne|óso|óso con carne
🍗;zanco de polo;carne|óso|polo|zanco de polo
🥩;costeleta;año|carne|chuleta|chuletón|costeleta|porco
🥓;touciño;carne|comida|touciño|unto
🍔;hamburguesa;hamburguesa
🍟;patacas fritas;patacas fritas
🍕;pizza;pizza|porción
🌭;bocadillo de salchicha;bocadillo de salchicha|bolo con salchicha|pan de salchicha|salchicha
🥪;sándwhich;bocadillo|pan de molde|sándwhich
🌮;taco;mexicano|taco
🌯;burrito;burrito|mexicano
🫔;tamal;mexicano|tamal
🥙;kebab;comida|falafel|kebab
🧆;faláfel;albóndegas|faláfel|garavanzo
🥚;ovo;comida|ovo
🍳;tixola;ovo|ovo frito|tixola
🥘;paella;arroz|comida|paella|paelleira
🍲;pota con comida;comida|guiso|pota|pota con comida|tarteira
🫕;fondue;carne|chocolate|fondue|fundir|queixo|Suíza
🥣;cunca con culler;almorzo|cereais|cunca con culler|potaxe
🥗;ensalada;comida|ensalada|leituga
🍿;flocos de millo;flocos|flocos de millo|millo
🧈;manteiga;almorzo|manteiga|margarina|torrada
🧂;sal;condimento|sal|saleiro
🥫;lata de comida;comida|enlatada|lata|lata de comida
🍱;caixa de bento;bento|caixa de bento|comida xaponesa|xaponés
🍘;galleta de arroz;arroz|comida xaponesa|galleta|galleta de arroz
🍙;bola de arroz;arroz|bola de arroz|comida xaponesa
🍚;cunca de arroz;arroz|cocido|comida chinesa|comida xaponesa|cunca de arroz
🍛;arroz con curry;arroz|arroz con curry|curry
