# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;嘿嘿;嘿嘿|笑脸|脸
	👨🏿‍❤️‍💋‍👨🏿;亲吻: 男人男人较深肤色;亲吻|亲吻: 男人男人较深肤色|情侣|接吻|浪漫|男人|较深肤色
👩‍❤️‍💋‍👩;亲吻: 女人女人;亲吻|亲吻: 女人女人|女人|情侣|接吻|浪漫
	👩🏻‍❤️‍💋‍👩🏻;亲吻: 女人女人较浅肤色;亲吻|亲吻: 女人女人较浅肤色|女人|情侣|接吻|浪漫|较浅肤色
	👩🏻‍❤️‍💋‍👩🏼;亲吻: 女人女人较浅肤色中等-浅肤色;中等-浅肤色|亲吻|亲吻: 女人女人较浅肤色中等-浅肤色|女人|情侣|接吻|浪漫|较浅肤色
	👩🏻‍❤️‍💋‍👩🏽;亲吻: 女人女人较浅肤色中等肤色;中等肤色|亲吻|亲吻: 女人女人较浅肤色中等肤色|女人|情侣|接吻|浪漫|较浅肤色
	👩🏻‍❤️‍💋‍👩🏾;亲吻: 女人女人较浅肤色中等-深肤色;中等-深肤色|亲吻|亲吻: 女人女人较浅肤色中等-深肤色|女人|情侣|接吻|浪漫|较浅肤色
	👩🏻‍❤️‍💋‍👩🏿;亲吻: 女人女人较浅肤色较深肤色;亲吻|亲吻: 女人女人较浅肤色较深肤色|女人|情侣|接吻|浪漫|较浅肤色|较深肤色
	👩🏼‍❤️‍💋‍👩🏻;亲吻: 女人女人中等-浅肤色较浅肤色;中等-浅肤色|亲吻|亲吻: 女人女人中等-浅肤色较浅肤色|女人|情侣|接吻|浪漫|较浅肤色
	👩🏼‍❤️‍💋‍👩🏼;亲吻: 女人女人中等-浅肤色;中等-浅肤色|亲吻|亲吻: 女人女人中等-浅肤色|女人|情侣|接吻|浪漫
	👩🏼‍❤️‍💋‍👩🏽;亲吻: 女人女人中等-浅肤色中等肤色;中等-浅肤色|中等肤色|亲吻|亲吻: 女人女人中等-浅肤色中等肤色|女人|情侣|接吻|浪漫
	👩🏼‍❤️‍💋‍👩🏾;亲吻: 女人女人中等-浅肤色中等-深肤色;中等-浅肤色|中等-深肤色|亲吻|亲吻: 女人女人中等-浅肤色中等-深肤色|女人|情侣|接吻|浪漫
	👩🏼‍❤️‍💋‍👩🏿;亲吻: 女人女人中等-浅肤色较深肤色;中等-浅肤色|亲吻|亲吻: 女人女人中等-浅肤色较深肤色|女人|情侣|接吻|浪漫|较深肤色
	👩🏽‍❤️‍💋‍👩🏻;亲吻: 女人女人中等肤色较浅肤色;中等肤色|亲吻|亲吻: 女人女人中等肤色较浅肤色|女人|情侣|接吻|浪漫|较浅肤色
	👩🏽‍❤️‍💋‍👩🏼;亲吻: 女人女人中等肤色中等-浅肤色;中等-浅肤色|中等肤色|亲吻|亲吻: 女人女人中等肤色中等-浅肤色|女人|情侣|接吻|浪漫
	👩🏽‍❤️‍💋‍👩🏽;亲吻: 女人女人中等肤色;中等肤色|亲吻|亲吻: 女人女人中等肤色|女人|情侣|接吻|浪漫
	👩🏽‍❤️‍💋‍👩🏾;亲吻: 女人女人中等肤色中等-深肤色;中等-深肤色|中等肤色|亲吻|亲吻: 女人女人中等肤色中等-深肤色|女人|情侣|接吻|浪漫
	👩🏽‍❤️‍💋‍👩🏿;亲吻: 女人女人中等肤色较深肤色;中等肤色|亲吻|亲吻: 女人女人中等肤色较深肤色|女人|情侣|接吻|浪漫|较深肤色
	👩🏾‍❤️‍💋‍👩🏻;亲吻: 女人女人中等-深肤色较浅肤色;中等-深肤色|亲吻|亲吻: 女人女人中等-深肤色较浅肤色|女人|情侣|接吻|浪漫|较浅肤色
	👩🏾‍❤️‍💋‍👩🏼;亲吻: 女人女人中等-深肤色中等-浅肤色;中等-浅肤色|中等-深肤色|亲吻|亲吻: 女人女人中等-深肤色中等-浅肤色|女人|情侣|接吻|浪漫
	👩🏾‍❤️‍💋‍👩🏽;亲吻: 女人女人中等-深肤色中等肤色;中等-深肤色|中等肤色|亲吻|亲吻: 女人女人中等-深肤色中等肤色|女人|情侣|接吻|浪漫
	👩🏾‍❤️‍💋‍👩🏾;亲吻: 女人女人中等-深肤色;中等-深肤色|亲吻|亲吻: 女人女人中等-深肤色|女人|情侣|接吻|浪漫
	👩🏾‍❤️‍💋‍👩🏿;亲吻: 女人女人中等-深肤色较深肤色;中等-深肤色|亲吻|亲吻: 女人女人中等-深肤色较深肤色|女人|情侣|接吻|浪漫|较深肤色
	👩🏿‍❤️‍💋‍👩🏻;亲吻: 女人女人较深肤色较浅肤色;亲吻|亲吻: 女人女人较深肤色较浅肤色|女人|情侣|接吻|浪漫|较浅肤色|较深肤色
	👩🏿‍❤️‍💋‍👩🏼;亲吻: 女人女人较深肤色中等-浅肤色;中等-浅肤色|亲吻|亲吻: 女人女人较深肤色中等-浅肤色|女人|情侣|接吻|浪漫|较深肤色
	👩🏿‍❤️‍💋‍👩🏽;亲吻: 女人女人较深肤色中等肤色;中等肤色|亲吻|亲吻: 女人女人较深肤色中等肤色|女人|情侣|接吻|浪漫|较深肤色
	👩🏿‍❤️‍💋‍👩🏾;亲吻: 女人女人较深肤色中等-深肤色;中等-深肤色|亲吻|亲吻: 女人女人较深肤色中等-深肤色|女人|情侣|接吻|浪漫|较深肤色
	👩🏿‍❤️‍💋‍👩🏿;亲吻: 女人女人较深肤色;亲吻|亲吻: 女人女人较深肤色|女人|情侣|接吻|浪漫|较深肤色
💑;情侣;恋爱|情侣|浪漫|红心
	💑🏻;情侣: 较浅肤色;恋爱|情侣|情侣: 较浅肤色|浪漫|红心|较浅肤色
	💑🏼;情侣: 中等-浅肤色;中等-浅肤色|恋爱|情侣|情侣: 中等-浅肤色|浪漫|红心
	💑🏽;情侣: 中等肤色;中等肤色|恋爱|情侣|情侣: 中等肤色|浪漫|红心
	💑🏾;情侣: 中等-深肤色;中等-深肤色|恋爱|情侣|情侣: 中等-深肤色|浪漫|红心
	💑🏿;情侣: 较深肤色;恋爱|情侣|情侣: 较深肤色|浪漫|红心|较深肤色
	🧑🏻‍❤️‍🧑🏼;情侣: 成人成人较浅肤色中等-浅肤色;中等-浅肤色|恋爱|情侣|情侣: 成人成人较浅肤色中等-浅肤色|成人|浪漫|红心|较浅肤色
	🧑🏻‍❤️‍🧑🏽;情侣: 成人成人较浅肤色中等肤色;中等肤色|恋爱|情侣|情侣: 成人成人较浅肤色中等肤色|成人|浪漫|红心|较浅肤色
	🧑🏻‍❤️‍🧑🏾;情侣: 成人成人较浅肤色中等-深肤色;中等-深肤色|恋爱|情侣|情侣: 成人成人较浅肤色中等-深肤色|成人|浪漫|红心|较浅肤色
	🧑🏻‍❤️‍🧑🏿;情侣: 成人成人较浅肤色较深肤色;恋爱|情侣|情侣: 成人成人较浅肤色较深肤色|成人|浪漫|红心|较浅肤色|较深肤色
	🧑🏼‍❤️‍🧑🏻;情侣: 成人成人中等-浅肤色较浅肤色;中等-浅肤色|恋爱|情侣|情侣: 成人成人中等-浅肤色较浅肤色|成人|浪漫|红心|较浅肤色
	🧑🏼‍❤️‍🧑🏽;情侣: 成人成人中等-浅肤色中等肤色;中等-浅肤色|中等肤色|恋爱|情侣|情侣: 成人成人中等-浅肤色中等肤色|成人|浪漫|红心
	🧑🏼‍❤️‍🧑🏾;情侣: 成人成人中等-浅肤色中等-深肤色;中等-浅肤色|中等-深肤色|恋爱|情侣|情侣: 成人成人中等-浅肤色中等-深肤色|成人|浪漫|红心
	🧑🏼‍❤️‍🧑🏿;情侣: 成人成人中等-浅肤色较深肤色;中等-浅肤色|恋爱|情侣|情侣: 成人成人中等-浅肤色较深肤色|成人|浪漫|红心|较深肤色
	🧑🏽‍❤️‍🧑🏻;情侣: 成人成人中等肤色较浅肤色;中等肤色|恋爱|情侣|情侣: 成人成人中等肤色较浅肤色|成人|浪漫|红心|较浅肤色
	🧑🏽‍❤️‍🧑🏼;情侣: 成人成人中等肤色中等-浅肤色;中等-浅肤色|中等肤色|恋爱|情侣|情侣: 成人成人中等肤色中等-浅肤色|成人|浪漫|红心
	🧑🏽‍❤️‍🧑🏾;情侣: 成人成人中等肤色中等-深肤色;中等-深肤色|中等肤色|恋爱|情侣|情侣: 成人成人中等肤色中等-深肤色|成人|浪漫|红心
	🧑🏽‍❤️‍🧑🏿;情侣: 成人成人中等肤色较深肤色;中等肤色|恋爱|情侣|情侣: 成人成人中等肤色较深肤色|成人|浪漫|红心|较深肤色
	🧑🏾‍❤️‍🧑🏻;情侣: 成人成人中等-深肤色较浅肤色;中等-深肤色|恋爱|情侣|情侣: 成人成人中等-深肤色较浅肤色|成人|浪漫|红心|较浅肤色
	🧑🏾‍❤️‍🧑🏼;情侣: 成人成人中等-深肤色中等-浅肤色;中等-浅肤色|中等-深肤色|恋爱|情侣|情侣: 成人成人中等-深肤色中等-浅肤色|成人|浪漫|红心
	🧑🏾‍❤️‍🧑🏽;情侣: 成人成人中等-深肤色中等肤色;中等-深肤色|中等肤色|恋爱|情侣|情侣: 成人成人中等-深肤色中等肤色|成人|浪漫|红心
	🧑🏾‍❤️‍🧑🏿;情侣: 成人成人中等-深肤色较深肤色;中等-深肤色|恋爱|情侣|情侣: 成人成人中等-深肤色较深肤色|成人|浪漫|红心|较深肤色
	🧑🏿‍❤️‍🧑🏻;情侣: 成人成人较深肤色较浅肤色;恋爱|情侣|情侣: 成人成人较深肤色较浅肤色|成人|浪漫|红心|较浅肤色|较深肤色
	🧑🏿‍❤️‍🧑🏼;情侣: 成人成人较深肤色中等-浅肤色;中等-浅肤色|恋爱|情侣|情侣: 成人成人较深肤色中等-浅肤色|成人|浪漫|红心|较深肤色
	🧑🏿‍❤️‍🧑🏽;情侣: 成人成人较深肤色中等肤色;中等肤色|恋爱|情侣|情侣: 成人成人较深肤色中等肤色|成人|浪漫|红心|较深肤色
	🧑🏿‍❤️‍🧑🏾;情侣: 成人成人较深肤色中等-深肤色;中等-深肤色|恋爱|情侣|情侣: 成人成人较深肤色中等-深肤色|成人|浪漫|红心|较深肤色
👩‍❤️‍👨;情侣: 女人男人;女人|恋爱|情侣|情侣: 女人男人|浪漫|男人|红心
	👩🏻‍❤️‍👨🏻;情侣: 女人男人较浅肤色;女人|恋爱|情侣|情侣: 女人男人较浅肤色|浪漫|男人|红心|较浅肤色
	👩🏻‍❤️‍👨🏼;情侣: 女人男人较浅肤色中等-浅肤色;中等-浅肤色|女人|恋爱|情侣|情侣: 女人男人较浅肤色中等-浅肤色|浪漫|男人|红心|较浅肤色
	👩🏻‍❤️‍👨🏽;情侣: 女人男人较浅肤色中等肤色;中等肤色|女人|恋爱|情侣|情侣: 女人男人较浅肤色中等肤色|浪漫|男人|红心|较浅肤色
	👩🏻‍❤️‍👨🏾;情侣: 女人男人较浅肤色中等-深肤色;中等-深肤色|女人|恋爱|情侣|情侣: 女人男人较浅肤色中等-深肤色|浪漫|男人|红心|较浅肤色
	👩🏻‍❤️‍👨🏿;情侣: 女人男人较浅肤色较深肤色;女人|恋爱|情侣|情侣: 女人男人较浅肤色较深肤色|浪漫|男人|红心|较浅肤色|较深肤色
	👩🏼‍❤️‍👨🏻;情侣: 女人男人中等-浅肤色较浅肤色;中等-浅肤色|女人|恋爱|情侣|情侣: 女人男人中等-浅肤色较浅肤色|浪漫|男人|红心|较浅肤色
	👩🏼‍❤️‍👨🏼;情侣: 女人男人中等-浅肤色;中等-浅肤色|女人|恋爱|情侣|情侣: 女人男人中等-浅肤色|浪漫|男人|红心
	👩🏼‍❤️‍👨🏽;情侣: 女人男人中等-浅肤色中等肤色;中等-浅肤色|中等肤色|女人|恋爱|情侣|情侣: 女人男人中等-浅肤色中等肤色|浪漫|男人|红心
	👩🏼‍❤️‍👨🏾;情侣: 女人男人中等-浅肤色中等-深肤色;中等-浅肤色|中等-深肤色|女人|恋爱|情侣|情侣: 女人男人中等-浅肤色中等-深肤色|浪漫|男人|红心
	👩🏼‍❤️‍👨🏿;情侣: 女人男人中等-浅肤色较深肤色;中等-浅肤色|女人|恋爱|情侣|情侣: 女人男人中等-浅肤色较深肤色|浪漫|男人|红心|较深肤色
	👩🏽‍❤️‍👨🏻;情侣: 女人男人中等肤色较浅肤色;中等肤色|女人|恋爱|情侣|情侣: 女人男人中等肤色较浅肤色|浪漫|男人|红心|较浅肤色
	👩🏽‍❤️‍👨🏼;情侣: 女人男人中等肤色中等-浅肤色;中等-浅肤色|中等肤色|女人|恋爱|情侣|情侣: 女人男人中等肤色中等-浅肤色|浪漫|男人|红心
	👩🏽‍❤️‍👨🏽;情侣: 女人男人中等肤色;中等肤色|女人|恋爱|情侣|情侣: 女人男人中等肤色|浪漫|男人|红心
	👩🏽‍❤️‍👨🏾;情侣: 女人男人中等肤色中等-深肤色;中等-深肤色|中等肤色|女人|恋爱|情侣|情侣: 女人男人中等肤色中等-深肤色|浪漫|男人|红心
	👩🏽‍❤️‍👨🏿;情侣: 女人男人中等肤色较深肤色;中等肤色|女人|恋爱|情侣|情侣: 女人男人中等肤色较深肤色|浪漫|男人|红心|较深肤色
	👩🏾‍❤️‍👨🏻;情侣: 女人男人中等-深肤色较浅肤色;中等-深肤色|女人|恋爱|情侣|情侣: 女人男人中等-深肤色较浅肤色|浪漫|男人|红心|较浅肤色
	👩🏾‍❤️‍👨🏼;情侣: 女人男人中等-深肤色中等-浅肤色;中等-浅肤色|中等-深肤色|女人|恋爱|情侣|情侣: 女人男人中等-深肤色中等-浅肤色|浪漫|男人|红心
	👩🏾‍❤️‍👨🏽;情侣: 女人男人中等-深肤色中等肤色;中等-深肤色|中等肤色|女人|恋爱|情侣|情侣: 女人男人中等-深肤色中等肤色|浪漫|男人|红心
	👩🏾‍❤️‍👨🏾;情侣: 女人男人中等-深肤色;中等-深肤色|女人|恋爱|情侣|情侣: 女人男人中等-深肤色|浪漫|男人|红心
	👩🏾‍❤️‍👨🏿;情侣: 女人男人中等-深肤色较深肤色;中等-深肤色|女人|恋爱|情侣|情侣: 女人男人中等-深肤色较深肤色|浪漫|男人|红心|较深肤色
	👩🏿‍❤️‍👨🏻;情侣: 女人男人较深肤色较浅肤色;女人|恋爱|情侣|情侣: 女人男人较深肤色较浅肤色|浪漫|男人|红心|较浅肤色|较深肤色
	👩🏿‍❤️‍👨🏼;情侣: 女人男人较深肤色中等-浅肤色;中等-浅肤色|女人|恋爱|情侣|情侣: 女人男人较深肤色中等-浅肤色|浪漫|男人|红心|较深肤色
	👩🏿‍❤️‍👨🏽;情侣: 女人男人较深肤色中等肤色;中等肤色|女人|恋爱|情侣|情侣: 女人男人较深肤色中等肤色|浪漫|男人|红心|较深肤色
	👩🏿‍❤️‍👨🏾;情侣: 女人男人较深肤色中等-深肤色;中等-深肤色|女人|恋爱|情侣|情侣: 女人男人较深肤色中等-深肤色|浪漫|男人|红心|较深肤色
	👩🏿‍❤️‍👨🏿;情侣: 女人男人较深肤色;女人|恋爱|情侣|情侣: 女人男人较深肤色|浪漫|男人|红心|较深肤色
👨‍❤️‍👨;情侣: 男人男人;恋爱|情侣|情侣: 男人男人|浪漫|男人|红心
	👨🏻‍❤️‍👨🏻;情侣: 男人男人较浅肤色;恋爱|情侣|情侣: 男人男人较浅肤色|浪漫|男人|红心|较浅肤色
	👨🏻‍❤️‍👨🏼;情侣: 男人男人较浅肤色中等-浅肤色;中等-浅肤色|恋爱|情侣|情侣: 男人男人较浅肤色中等-浅肤色|浪漫|男人|红心|较浅肤色
	👨🏻‍❤️‍👨🏽;情侣: 男人男人较浅肤色中等肤色;中等肤色|恋爱|情侣|情侣: 男人男人较浅肤色中等肤色|浪漫|男人|红心|较浅肤色
	👨🏻‍❤️‍👨🏾;情侣: 男人男人较浅肤色中等-深肤色;中等-深肤色|恋爱|情侣|情侣: 男人男人较浅肤色中等-深肤色|浪漫|男人|红心|较浅肤色
	👨🏻‍❤️‍👨🏿;情侣: 男人男人较浅肤色较深肤色;恋爱|情侣|情侣: 男人男人较浅肤色较深肤色|浪漫|男人|红心|较浅肤色|较深肤色
	👨🏼‍❤️‍👨🏻;情侣: 男人男人中等-浅肤色较浅肤色;中等-浅肤色|恋爱|情侣|情侣: 男人男人中等-浅肤色较浅肤色|浪漫|男人|红心|较浅肤色
	👨🏼‍❤️‍👨🏼;情侣: 男人男人中等-浅肤色;中等-浅肤色|恋爱|情侣|情侣: 男人男人中等-浅肤色|浪漫|男人|红心
	👨🏼‍❤️‍👨🏽;情侣: 男人男人中等-浅肤色中等肤色;中等-浅肤色|中等肤色|恋爱|情侣|情侣: 男人男人中等-浅肤色中等肤色|浪漫|男人|红心
	👨🏼‍❤️‍👨🏾;情侣: 男人男人中等-浅肤色中等-深肤色;中等-浅肤色|中等-深肤色|恋爱|情侣|情侣: 男人男人中等-浅肤色中等-深肤色|浪漫|男人|红心
	👨🏼‍❤️‍👨🏿;情侣: 男人男人中等-浅肤色较深肤色;中等-浅肤色|恋爱|情侣|情侣: 男人男人中等-浅肤色较深肤色|浪漫|男人|红心|较深肤色
	👨🏽‍❤️‍👨🏻;情侣: 男人男人中等肤色较浅肤色;中等肤色|恋爱|情侣|情侣: 男人男人中等肤色较浅肤色|浪漫|男人|红心|较浅肤色
	👨🏽‍❤️‍👨🏼;情侣: 男人男人中等肤色中等-浅肤色;中等-浅肤色|中等肤色|恋爱|情侣|情侣: 男人男人中等肤色中等-浅肤色|浪漫|男人|红心
	👨🏽‍❤️‍👨🏽;情侣: 男人男人中等肤色;中等肤色|恋爱|情侣|情侣: 男人男人中等肤色|浪漫|男人|红心
	👨🏽‍❤️‍👨🏾;情侣: 男人男人中等肤色中等-深肤色;中等-深肤色|中等肤色|恋爱|情侣|情侣: 男人男人中等肤色中等-深肤色|浪漫|男人|红心
	👨🏽‍❤️‍👨🏿;情侣: 男人男人中等肤色较深肤色;中等肤色|恋爱|情侣|情侣: 男人男人中等肤色较深肤色|浪漫|男人|红心|较深肤色
	👨🏾‍❤️‍👨🏻;情侣: 男人男人中等-深肤色较浅肤色;中等-深肤色|恋爱|情侣|情侣: 男人男人中等-深肤色较浅肤色|浪漫|男人|红心|较浅肤色
	👨🏾‍❤️‍👨🏼;情侣: 男人男人中等-深肤色中等-浅肤色;中等-浅肤色|中等-深肤色|恋爱|情侣|情侣: 男人男人中等-深肤色中等-浅肤色|浪漫|男人|红心
	👨🏾‍❤️‍👨🏽;情侣: 男人男人中等-深肤色中等肤色;中等-深肤色|中等肤色|恋爱|情侣|情侣: 男人男人中等-深肤色中等肤色|浪漫|男人|红心
	👨🏾‍❤️‍👨🏾;情侣: 男人男人中等-深肤色;中等-深肤色|恋爱|情侣|情侣: 男人男人中等-深肤色|浪漫|男人|红心
	👨🏾‍❤️‍👨🏿;情侣: 男人男人中等-深肤色较深肤色;中等-深肤色|恋爱|情侣|情侣: 男人男人中等-深肤色较深肤色|浪漫|男人|红心|较深肤色
	👨🏿‍❤️‍👨🏻;情侣: 男人男人较深肤色较浅肤色;恋爱|情侣|情侣: 男人男人较深肤色较浅肤色|浪漫|男人|红心|较浅肤色|较深肤色
	👨🏿‍❤️‍👨🏼;情侣: 男人男人较深肤色中等-浅肤色;中等-浅肤色|恋爱|情侣|情侣: 男人男人较深肤色中等-浅肤色|浪漫|男人|红心|较深肤色
	👨🏿‍❤️‍👨🏽;情侣: 男人男人较深肤色中等肤色;中等肤色|恋爱|情侣|情侣: 男人男人较深肤色中等肤色|浪漫|男人|红心|较深肤色
	👨🏿‍❤️‍👨🏾;情侣: 男人男人较深肤色中等-深肤色;中等-深肤色|恋爱|情侣|情侣: 男人男人较深肤色中等-深肤色|浪漫|男人|红心|较深肤色
	👨🏿‍❤️‍👨🏿;情侣: 男人男人较深肤色;恋爱|情侣|情侣: 男人男人较深肤色|浪漫|男人|红心|较深肤色
👩‍❤️‍👩;情侣: 女人女人;女人|恋爱|情侣|情侣: 女人女人|浪漫|红心
	👩🏻‍❤️‍👩🏻;情侣: 女人女人较浅肤色;女人|恋爱|情侣|情侣: 女人女人较浅肤色|浪漫|红心|较浅肤色
	👩🏻‍❤️‍👩🏼;情侣: 女人女人较浅肤色中等-浅肤色;中等-浅肤色|女人|恋爱|情侣|情侣: 女人女人较浅肤色中等-浅肤色|浪漫|红心|较浅肤色
	👩🏻‍❤️‍👩🏽;情侣: 女人女人较浅肤色中等肤色;中等肤色|女人|恋爱|情侣|情侣: 女人女人较浅肤色中等肤色|浪漫|红心|较浅肤色
	👩🏻‍❤️‍👩🏾;情侣: 女人女人较浅肤色中等-深肤色;中等-深肤色|女人|恋爱|情侣|情侣: 女人女人较浅肤色中等-深肤色|浪漫|红心|较浅肤色
	👩🏻‍❤️‍👩🏿;情侣: 女人女人较浅肤色较深肤色;女人|恋爱|情侣|情侣: 女人女人较浅肤色较深肤色|浪漫|红心|较浅肤色|较深肤色
	👩🏼‍❤️‍👩🏻;情侣: 女人女人中等-浅肤色较浅肤色;中等-浅肤色|女人|恋爱|情侣|情侣: 女人女人中等-浅肤色较浅肤色|浪漫|红心|较浅肤色
	👩🏼‍❤️‍👩🏼;情侣: 女人女人中等-浅肤色;中等-浅肤色|女人|恋爱|情侣|情侣: 女人女人中等-浅肤色|浪漫|红心
	👩🏼‍❤️‍👩🏽;情侣: 女人女人中等-浅肤色中等肤色;中等-浅肤色|中等肤色|女人|恋爱|情侣|情侣: 女人女人中等-浅肤色中等肤色|浪漫|红心
	👩🏼‍❤️‍👩🏾;情侣: 女人女人中等-浅肤色中等-深肤色;中等-浅肤色|中等-深肤色|女人|恋爱|情侣|情侣: 女人女人中等-浅肤色中等-深肤色|浪漫|红心
	👩🏼‍❤️‍👩🏿;情侣: 女人女人中等-浅肤色较深肤色;中等-浅肤色|女人|恋爱|情侣|情侣: 女人女人中等-浅肤色较深肤色|浪漫|红心|较深肤色
	👩🏽‍❤️‍👩🏻;情侣: 女人女人中等肤色较浅肤色;中等肤色|女人|恋爱|情侣|情侣: 女人女人中等肤色较浅肤色|浪漫|红心|较浅肤色
	👩🏽‍❤️‍👩🏼;情侣: 女人女人中等肤色中等-浅肤色;中等-浅肤色|中等肤色|女人|恋爱|情侣|情侣: 女人女人中等肤色中等-浅肤色|浪漫|红心
	👩🏽‍❤️‍👩🏽;情侣: 女人女人中等肤色;中等肤色|女人|恋爱|情侣|情侣: 女人女人中等肤色|浪漫|红心
	👩🏽‍❤️‍👩🏾;情侣: 女人女人中等肤色中等-深肤色;中等-深肤色|中等肤色|女人|恋爱|情侣|情侣: 女人女人中等肤色中等-深肤色|浪漫|红心
	👩🏽‍❤️‍👩🏿;情侣: 女人女人中等肤色较深肤色;中等肤色|女人|恋爱|情侣|情侣: 女人女人中等肤色较深肤色|浪漫|红心|较深肤色
	👩🏾‍❤️‍👩🏻;情侣: 女人女人中等-深肤色较浅肤色;中等-深肤色|女人|恋爱|情侣|情侣: 女人女人中等-深肤色较浅肤色|浪漫|红心|较浅肤色
	👩🏾‍❤️‍👩🏼;情侣: 女人女人中等-深肤色中等-浅肤色;中等-浅肤色|中等-深肤色|女人|恋爱|情侣|情侣: 女人女人中等-深肤色中等-浅肤色|浪漫|红心
	👩🏾‍❤️‍👩🏽;情侣: 女人女人中等-深肤色中等肤色;中等-深肤色|中等肤色|女人|恋爱|情侣|情侣: 女人女人中等-深肤色中等肤色|浪漫|红心
	👩🏾‍❤️‍👩🏾;情侣: 女人女人中等-深肤色;中等-深肤色|女人|恋爱|情侣|情侣: 女人女人中等-深肤色|浪漫|红心
	👩🏾‍❤️‍👩🏿;情侣: 女人女人中等-深肤色较深肤色;中等-深肤色|女人|恋爱|情侣|情侣: 女人女人中等-深肤色较深肤色|浪漫|红心|较深肤色
	👩🏿‍❤️‍👩🏻;情侣: 女人女人较深肤色较浅肤色;女人|恋爱|情侣|情侣: 女人女人较深肤色较浅肤色|浪漫|红心|较浅肤色|较深肤色
	👩🏿‍❤️‍👩🏼;情侣: 女人女人较深肤色中等-浅肤色;中等-浅肤色|女人|恋爱|情侣|情侣: 女人女人较深肤色中等-浅肤色|浪漫|红心|较深肤色
	👩🏿‍❤️‍👩🏽;情侣: 女人女人较深肤色中等肤色;中等肤色|女人|恋爱|情侣|情侣: 女人女人较深肤色中等肤色|浪漫|红心|较深肤色
	👩🏿‍❤️‍👩🏾;情侣: 女人女人较深肤色中等-深肤色;中等-深肤色|女人|恋爱|情侣|情侣: 女人女人较深肤色中等-深肤色|浪漫|红心|较深肤色
	👩🏿‍❤️‍👩🏿;情侣: 女人女人较深肤色;女人|恋爱|情侣|情侣: 女人女人较深肤色|浪漫|红心|较深肤色
👨‍👩‍👦;家庭: 男人女人男孩;女人|家庭|家庭: 男人女人男孩|男人|男孩
👨‍👩‍👧;家庭: 男人女人女孩;女人|女孩|家庭|家庭: 男人女人女孩|男人
👨‍👩‍👧‍👦;家庭: 男人女人女孩男孩;女人|女孩|家庭|家庭: 男人女人女孩男孩|男人|男孩
👨‍👩‍👦‍👦;家庭: 男人女人男孩男孩;女人|家庭|家庭: 男人女人男孩男孩|男人|男孩
👨‍👩‍👧‍👧;家庭: 男人女人女孩女孩;女人|女孩|家庭|家庭: 男人女人女孩女孩|男人
👨‍👨‍👦;家庭: 男人男人男孩;家庭|家庭: 男人男人男孩|男人|男孩
👨‍👨‍👧;家庭: 男人男人女孩;女孩|家庭|家庭: 男人男人女孩|男人
👨‍👨‍👧‍👦;家庭: 男人男人女孩男孩;女孩|家庭|家庭: 男人男人女孩男孩|男人|男孩
👨‍👨‍👦‍👦;家庭: 男人男人男孩男孩;家庭|家庭: 男人男人男孩男孩|男人|男孩
👨‍👨‍👧‍👧;家庭: 男人男人女孩女孩;女孩|家庭|家庭: 男人男人女孩女孩|男人
👩‍👩‍👦;家庭: 女人女人男孩;女人|家庭|家庭: 女人女人男孩|男孩
👩‍👩‍👧;家庭: 女人女人女孩;女人|女孩|家庭|家庭: 女人女人女孩
👩‍👩‍👧‍👦;家庭: 女人女人女孩男孩;女人|女孩|家庭|家庭: 女人女人女孩男孩|男孩
👩‍👩‍👦‍👦;家庭: 女人女人男孩男孩;女人|家庭|家庭: 女人女人男孩男孩|男孩
👩‍👩‍👧‍👧;家庭: 女人女人女孩女孩;女人|女孩|家庭|家庭: 女人女人女孩女孩
👨‍👦;家庭: 男人男孩;家庭|家庭: 男人男孩|男人|男孩
👨‍👦‍👦;家庭: 男人男孩男孩;家庭|家庭: 男人男孩男孩|男人|男孩
👨‍👧;家庭: 男人女孩;女孩|家庭|家庭: 男人女孩|男人
👨‍👧‍👦;家庭: 男人女孩男孩;女孩|家庭|家庭: 男人女孩男孩|男人|男孩
👨‍👧‍👧;家庭: 男人女孩女孩;女孩|家庭|家庭: 男人女孩女孩|男人
👩‍👦;家庭: 女人男孩;女人|家庭|家庭: 女人男孩|男孩
👩‍👦‍👦;家庭: 女人男孩男孩;女人|家庭|家庭: 女人男孩男孩|男孩
👩‍👧;家庭: 女人女孩;女人|女孩|家庭|家庭: 女人女孩
👩‍👧‍👦;家庭: 女人女孩男孩;女人|女孩|家庭|家庭: 女人女孩男孩|男孩
👩‍👧‍👧;家庭: 女人女孩女孩;女人|女孩|家庭|家庭: 女人女孩女孩
🗣️;说话;剪影|头|讲话|说话
👤;人像;人像|剪影|半身像
👥;双人像;剪影|半身像|双人像
🫂;人的拥抱;人的拥抱|再见|您好|感谢|拥抱
👪;家庭;家庭
🧑‍🧑‍🧒;一孩家庭;一孩|一孩家庭|家庭|父母|独生子女
🧑‍🧑‍🧒‍🧒;二孩家庭;二孩|二孩家庭|家庭|父母|非独生子女
🧑‍🧒;单亲一孩家庭;一孩|单亲|单亲一孩家庭|孩子|家庭|母亲|父亲
🧑‍🧒‍🧒;单亲二孩家庭;二孩|单亲|单亲二孩家庭|孩子|家庭|母亲|父亲
👣;脚印;脚印|足迹

[animals_nature]
