[smileys_emotion]
😀;활짝 웃는 얼굴;미소|스마일|얼굴|웃음|활짝 웃는 얼굴
🥈;은메달;메달|실버|은메달|이등
🥉;동메달;동메달|메달|브론즈|삼등
⚽;축구공;공|축구|축구공
⚾;야구공;공|야구|야구공
🥎;소프트볼;공|소프트볼|야구공
🏀;농구;농구|농구공|스포츠|운동
🏐;배구공;배구|배구공
🏈;미식축구공;미식축구|미식축구공|스포츠|운동
🏉;럭비공;럭비|럭비공|스포츠|운동
🎾;테니스;스포츠|운동|테니스|테니스 공
🥏;원반;야외 운동|원반
🎳;볼링;볼링|볼링 게임|볼링공|볼링핀
🏏;크리켓;공|운동|크리켓
🏑;필드 하키;필드 하키|하키 스틱
🏒;아이스 하키와 퍽;아이스 하키|아이스 하키와 퍽|퍽|하키 스틱
🥍;라크로스;골|그물채|라크로스|스틱
🏓;탁구;탁구|탁구공|탁구채
🏸;배드민턴;배드민턴|배드민턴채|셔틀콕
🥊;권투 글러브;권투|글러브|복싱|스포츠
🥋;도복;가라데|도복|유니폼|유도|태권도|합기도
🥅;골대;골대|구기종목|네트|스포츠
⛳;골프;골프|구멍
⛸️;아이스 스케이트;스케이트|아이스
🎣;낚싯대;낚시|낚싯대|물고기
🤿;다이빙 마스크;다이빙|다이빙 마스크|스노클링|스킨스쿠버
🎽;러닝 셔츠;러닝 셔츠|민소매 상의|운동복|운동복 상의
🎿;스키;스키|스키 부츠|스포츠|운동
🛷;썰매;눈썰매|썰매
🥌;컬링 스톤;컬링|컬링 스톤
🎯;과녁 명중;과녁|명중|양궁|화살
🪀;요요;오르락내리락|요요|장난감
🪁;연;연|연날리기|활공
🔫;물총;권총|물총|총
🎱;당구;당구|당구 게임|당구공
🔮;수정 구슬;구슬|수정|예언|운세
🪄;마술 지팡이;마녀|마법사|마술|마술 지팡이
🎮;비디오 게임;게임 컨트롤러|게임패드|비디오 게임
🕹️;조이스틱;게임|비디오 게임|조이스틱|조종대
🎰;슬롯 머신;게임|슬롯 머신|파칭코
🎲;주사위;게임|주사위
🧩;퍼즐;조각|조각퍼즐|직소퍼즐|퍼즐
🧸;테디 베어;곰인형|솜인형|장난감|테디 베어
🪅;피냐타;축하|파티|피냐타
🪩;미러볼;댄스|디스코|미러볼|반짝반짝|춤|파티
🪆;네스팅 인형;네스팅 인형|러시아|마트료시카|인형
♠️;스페이드;스페이드|카드 게임
♥️;하트;카드 게임|하트
♦️;다이아몬드;다이아몬드|카드 게임
♣️;클럽;카드 게임|클럽
♟️;체스 폰;소모품|체스 말|체스 폰|폰
🃏;조커;조커|카드
🀄;마작;마작|마작 기호
🎴;화투;고스톱|도박|화투|화투패
🎭;가면;가면|공연|마스크|영화관|예술
🖼️;그림 액자;그림|박물관|액자|작품
🎨;팔레트;그림|그림 그리기|미술|팔레트
🧵;실타래;뜨개질|바느질|바늘|실|실타래
🪡;바늘;바느질|바늘|봉합|자수|재단
🧶;실뭉치;니트|실뭉치|코바늘
🪢;매듭;꼬인|노끈|매듭|밧줄|엉킨

[objects]
👓;안경;눈|안경
🕶️;선글라스;선글라스|안경
🥽;고글;고글|물안경|수영|수영 안경|안구 보호 장비|용접
🥼;실험실 가운;과학자|실험실|실험실 가운|의사
🦺;구명조끼;구명조끼|안전|응급|조끼
👔;넥타이;넥타이|샐러리맨|타이
👕;티셔츠;티|티셔츠
👖;바지;면바지|바지|청바지
🧣;스카프;스카프
🧤;장갑;장갑
🧥;코트;재킷|코트
🧦;양말;양말
👗;원피스;드레스|원피스
👘;기모노;기모노|일본 기모노
🥻;사리;드레스|사리|의복
🩱;원피스 수영복;수영복|원피스 수영복
🩲;삼각 수영복;삼각 수영복|수영복|언더웨어
🩳;반바지;반바지|수영복
👙;비키니;비키니|수영복
👚;여성복;블라우스|여성복
🪭;접이식 손 부채;더운|부끄러운|부채|시원한|접이식 손 부채|춤|펄럭 펄럭
👛;지갑;동전|지갑
👜;핸드백;가방|백|핸드백
👝;파우치;가방|파우치
🛍️;쇼핑백;쇼핑가방|쇼핑백
🎒;학교 가방;가방|학교 가방|학생 가방
🩴;가락신;가락신|가죽 끈|비치 샌들|샌들|조리
👞;남성용 구두;구두|남성용 구두|남성용 신발|신발
👟;운동화;스니커즈|신발|운동화
🥾;등산화;등산|등산화|부츠|캠핑|하이킹
🥿;플랫 슈즈;단화|발레 슈즈|플랫 슈즈
👠;하이힐;구두|신발|여성용 구두|여성용 신발|하이힐
👡;샌들;샌들|신발|여성용 샌들|여성용 신발
🩰;발레 슈즈;발레|발레 슈즈|춤
👢;부츠;부츠|신발|여성용 부츠|여성용 신발
🪮;머리 빗;머리 빗|빗|아프로|헤어
👑;왕관;왕|왕관|왕족
👒;여성용 모자;모자|여성용 모자|챙 넓은 모자
🎩;마술사 모자;마술사|마술사 모자
🎓;졸업 모자;졸업|졸업 모자|졸업생|졸업식
🧢;야구모자;야구모자
🪖;군용 헬멧;군대|군용|군인|전사|헬멧
⛑️;흰 십자가가 있는 헬멧;도움|모자|안전요원|헬멧|흰 십자가가 있는 헬멧
📿;묵주;기도|묵주|예배
💄;립스틱;립스틱|화장|화장품
💍;반지;다이아몬드 반지|링|반지
💎;원석;다이아몬드|보석|원석
🔇;무음;무음|소리 끄기|소리 없음
🔈;스피커;소리|소리 있음|스피커
🔉;스피커 소리 작게;소리 작게|소리 작음|소리 줄이기|스피커 소리 작게
🔊;스피커 소리 크게;소리 크게|소리 큼|소리 키우기|스피커 소리 크게
📢;확성기;메가폰|확성기
📣;메가폰;메가폰|응원
📯;호른;악기|호른
🔔;종;벨|종
🔕;음소거;소리 금지|소리 없음|음소거
🎼;높은음자리표;높은음자리|높은음자리표|악보|음악
🎵;음표;음악|음표
🎶;노래 음표;노래 음표|음악
🎙️;스튜디오 마이크;마이크|사회자 마이크|스튜디오 마이크
🎚️;레벨 슬라이더;레벨 슬라이더|음악
🎛️;컨트롤 레버;조작 레버|컨트롤 레버
🎤;마이크;가라오케|노래방|마이크|행사
🎧;헤드폰;음악 감상|이어폰|헤드폰
📻;라디오;FM|라디오
🎷;색소폰;색소폰|악기|연주|음악
🪗;아코디언;아코디언|콘서티나
🎸;기타;기타|악기|연주|음악|통기타
🎹;피아노;건반|악기|연주|음악|피아노
🎺;트럼펫;악기|연주|음악|트럼펫
🎻;바이올린;바이올린|악기|연주|음악
🪕;밴조;밴조|음악|현악기
🥁;드럼;드럼|북|북채|음악
🪘;긴 북;긴 북|드럼|리듬|박자|콩가
🪇;마라카스;달가닥 소리|떨림|마라카스|악기|음악|타악기
🪈;플루트;리코더|목관악기|음악|파이프|플루트|피리
📱;휴대전화;모바일폰|휴대전화|휴대폰
📲;왼쪽에 화살표가 있는 휴대전화;모바일폰|왼쪽에 화살표가 있는 휴대전화|통화|휴대전화|휴대폰
☎️;전화기;유선전화|전화기
📞;수화기;수화기|전화
📟;삐삐;삐삐|호출기
📠;팩스;팩스|팩스기|팩시밀리
🔋;배터리;건전지|배터리|배터리 충전
🪫;배터리 부족;배터리 부족|전기
🔌;전기 플러그;전기|플러그
💻;노트북;PC|노트북|랩탑
🖥️;데스크톱 컴퓨터;데스크톱|컴퓨터
🖨️;프린터;인쇄기|프린터
⌨️;키보드;키보드
🖱️;컴퓨터 마우스;마우스|컴퓨터
🖲️;트랙볼;마우스|컴퓨터|트랙볼
💽;엠디;MD|디스크|미니 디스크|엠디
💾;플로피 디스크;디스켓|플로피 디스크
💿;씨디;CD|DVD|광학 디스크|디비디|블루레이|씨디
📀;디비디;DVD|디비디
🧮;주판;암산|주판
🎥;영화 카메라;영화 카메라|촬영|카메라 촬영
🎞️;영화 프레임;영화|영화 프레임|필름
📽️;영화 프로젝터;무비|영화|프로젝터
🎬;슬레이트;슬레이트|영화|영화 촬영|클래퍼보드
📺;텔레비전;TV|텔레비전|티비
📷;카메라;사진|사진 촬영|카메라
📸;플래시를 터트리고 있는 카메라;카메라|플래시|플래시를 터트리고 있는 카메라
📹;캠코더;동영상 촬영|비디오 카메라|캠코더
📼;비디오테이프;비디오|비디오테이프|테이프
🔍;왼쪽으로 향한 돋보기;검색|검색하기|왼쪽으로 향한 돋보기
🔎;오른쪽으로 향한 돋보기;검색|검색하기|오른쪽으로 향한 돋보기
🕯️;양초;양초|캔들
💡;전구;기발한 생각|아이디어|아하|전구
🔦;손전등;손전등|전등
🏮;일본식 등;선술집|이자카야|일본식 등|일본식 선술집|홍등
🪔;기름 램프;기름|디야|램프
📔;표지가 있는 노트;공책|노트|표지가 있는 노트
📕;펼치지 않은 책;도서|책|펼치지 않은 책
📖;펼쳐진 책;책|펼쳐진 책
📗;초록색 책;녹색 책|책|초록색 책
📘;파란색 책;책|파란 책|파란색 책
📙;주황색 책;오렌지색 책|주황색 책|책
📚;책 여러 권;책|책 여러 권
📓;공책;공책|노트
📒;노트;공책|노트|원장
📃;안으로 말린 문서;안으로 말린 문서|페이지
📜;문서;문서|스크롤
📄;오른쪽 모서리가 접힌 문서;오른쪽 모서리가 접힌 문서|페이지
📰;신문;소식|신문|정보
🗞️;돌돌 말린 신문;돌돌 말린 신문|신문|신문 뭉치
📑;북마크 탭;마커|북마크 탭|포스트잇
🔖;북마크;마크|북마크|책갈피|표시
🏷️;라벨;라벨|택
💰;돈주머니;돈가방|돈주머니|주머니
🪙;동전;금|금속|돈|동전|보물|은
💴;엔;엔|엔화|일본 돈|일본 화폐
💵;달러;달러|달러화|미국 돈|미국 화폐
💶;유로;유럽 돈|유럽 화폐|유로|유로화
💷;파운드;영국 돈|영국 화폐|파운드|파운드화
💸;날개 달린 돈;날개 달린 돈|날아가는 돈|돈|돈 날림|손해|지폐
💳;신용카드;신용카드|카드
🧾;영수증;기록|영수증|증빙|회계
💹;엔화 관련 상승하는 그래프;시장 호황|엔화 관련 상승하는 그래프|호황
✉️;봉투;봉투|이메일|편지
📧;이메일;이메일|편지
📨;받은 편지;받은 이메일|받은 편지|수신된 이메일|수신된 편지|이메일|편지
📩;보낸 편지;보낸 이메일|보낸 편지|이메일|전송된 이메일|전송된 편지|편지
📤;보낸 편지함;메일 전송|보낸 편지함|보낸편지함|이메일|편지|편지 보내기
📥;받은 편지함;메일 수신|받은 편지함|받은편지함|이메일|편지|편지 받기
📦;소포;꾸러미|소포|소포 박스|소포 상자
📫;표지가 올라간 닫힌 우편함;우편함|편지|표지가 올라간 닫힌 우편함
📪;표지가 내려간 닫힌 우편함;우편함|편지|표지가 내려간 닫힌 우편함
📬;표지가 올라간 열린 우편함;우편함|편지|표지가 올라간 열린 우편함
📭;표지가 내려간 열린 우편함;우편함|편지|표지가 내려간 열린 우편함
📮;우편함;우체국|우편함|편지
🗳️;투표 용지가 있는 투표 상자;투표|투표 용지가 있는 투표 상자|투표상자
✏️;연필;연필|필기도구
✒️;검은색 펜촉;검은색 펜촉|펜|펜촉
🖋️;만년필;만년필|펜촉|필기도구
🖊️;펜;볼펜|펜
🖌️;붓;붓|페인트 브러쉬|페인트붓
🖍️;크레용;크레용|크레파스
📝;메모;메모|메모장|메모지
💼;서류 가방;가방|서류 가방
📁;폴더;파일|폴더
📂;폴더 열기;열기|열린 폴더|파일|폴더
🗂️;카드 색인 파일;색인|카드|파일|폴더
📅;달력;달력|일정|캘린더
📆;뜯어진 달력;달력|뜯어진 달력|일정|캘린더
🗒️;스프링 노트;노트|노트 패드|스프링 노트
🗓️;스프링 달력;달력|벽걸이 달력|스프링 달력
📇;카드 인덱스;명함|인덱스|카드
📈;상승하는 그래프;그래프|상승하는 그래프|상향|호황
📉;내려가는 그래프;그래프|내려가는 그래프|불황|하향
📊;막대 그래프;그래프|막대 그래프|막대그래프
📋;클립보드;클리핑|클립|클립보드
📌;압정;압정|핀
📍;둥근 머리 핀;둥근 머리 압정|둥근 머리 핀|압정|핀
📎;클립;종이 클립|클립
🖇️;이어져 있는 클립;이어져 있는 클립|클립
📏;자;자|직각
📐;삼각자;삼각자|삼각형|자
✂️;가위;가위|기구|도구
🗃️;카드 파일 상자;카드 상자|카드 파일 상자
🗄️;파일 보관 서랍장;캐비닛|파일|파일 보관 서랍장
🗑️;쓰레기통;쓰레기통|휴지통
🔒;자물쇠;락|자물쇠|잠금
🔓;열린 자물쇠;락|열린 자물쇠|자물쇠|잠금풀림
🔏;자물쇠와 펜;사생활|자물쇠|자물쇠와 펜|펜|프라이버시
🔐;자물쇠와 열쇠;보안|열쇠|자물쇠|자물쇠와 열쇠
🔑;열쇠;열쇠|패스워드
🗝️;오래된 열쇠;보물 열쇠|열쇠|오래된 열쇠
🔨;망치;도구|망치|해머
🪓;도끼;나무|도끼|손도끼|쪼개기
⛏️;곡괭이;곡괭이|광산
⚒️;망치와 곡괭이;곡괭이|망치|망치와 곡괭이
🛠️;망치와 렌치;렌치|망치|망치와 렌치|스패너
🗡️;단검;단검|단도|대거
⚔️;쌍검;검|쌍검
💣;폭탄;폭발|폭탄
🪃;부메랑;반동|부메랑|영향|호주
🏹;활과 화살;궁수|사수자리|화살|활|활과 화살
🛡️;방패;방패|보호
🪚;목공 톱;도구|목공 톱|목수|목재|톱
🔧;렌치;도구|렌치
🪛;드라이버;나사|도구|드라이버
🔩;볼트와 너트;나사|너트|도구|볼트|볼트와 너트
⚙️;톱니바퀴;기어|톱니바퀴
🗜️;압축기;압축기|콤프레셔
⚖️;접시저울;균형|저울|접시저울|정의|천칭자리
🦯;시각장애인 지팡이;시각장애|시각장애인 지팡이|접근성|지팡이
🔗;링크;링크|링크 표시
⛓️‍💥;끊어진 쇠사슬;끊어진|끊어진 쇠사슬|부서진|사슬|수갑|자유|족쇄
⛓️;쇠사슬;사슬|쇠사슬|체인
🪝;갈고리;갈고리|걸리게 하다|고리|곡선|팔리는
🧰;공구통;공구|공구통|공구함|정비공
🧲;자석;말굽 자석|자석|편자
🪜;사다리;계단|단계|사다리|상승
⚗️;증류기;정류|정화|증류|증류기
🧪;시험관;과학|시험관|실험|연구실|화학
🧫;페트리 접시;미생물|박테리아|생물학|실험실|페트리 접시
🧬;DNA;DNA|생물|생물학|유전|유전학|진화
🔬;현미경;기구|도구|장치|현미경
🔭;망원경;도구|망원경|장비
📡;위성 안테나;안테나|위성 방송|위성 안테나
💉;주사기;병원|주사 바늘|주사기|치료
🩸;핏방울;생리|핏방울|헌혈
💊;알약;알약|약
🩹;반창고;반창고|밴드
🩼;목발;다치다|막대|목발|이동 보조|장애|지팡이
🩺;청진기;심박수|의사|청진기
🩻;엑스레이;뼈|엑스레이|의료|의사|해골
🚪;문;도어|문
🛗;엘리베이터;승강 장치|승강기|엘리베이터|접근성
🪞;거울;거울|검경|반사|반사체
🪟;창문;맑은 공기|전망|창문|창틀|투명한
🛏️;침대;침대|호텔
🛋️;소파와 전등;소파|소파와 전등|전등
🪑;의자;앉기|의자
🚽;변기;변기
🪠;뚫어뻥;뚫어뻥|배관공|변기|화장실|흡입
🚿;샤워;물|샤워
🛁;욕조;목욕|샤워|욕조
🪤;쥐덫;덫|미끼|쥐덫|함정
🪒;면도칼;날카로운|면도|면도칼
🧴;로션;로션|모이스처라이저|샴푸|선크림
🧷;옷핀;고정용 핀|옷핀
🧹;빗자루;마녀|비질|빗자루
🧺;바구니;바구니|빨래바구니
🧻;두루마리;두루마리|종이 수건|화장지|휴지
🪣;양동이;들통|양동이|통
🧼;비누;목욕|비누|비누 거품|비누 그릇|클렌징
🫧;거품;거품|물 속|비누|청소|트림
🪥;칫솔;깨끗한|솔|욕실|위생|이|칫솔
🧽;스펀지;스펀지|청소|흡수
🧯;소화기;소화|소화기|진화
🛒;쇼핑카트;쇼핑카트|장보기|카트
🚬;흡연 구역 신호;담배|흡연|흡연 구역 신호
⚰️;관;관|장례식|죽음
🪦;묘비;묘비|묘석|묘지|무덤
⚱️;납골 단지;납골 단지|단지|죽음
🧿;악마의 눈;구슬|나자르|부적|악마의 눈|탈리스만
🪬;함사;마리아|미리암|보호|부적|손|파티마|함사
🗿;모아이;모아이|모아이상|석상
🪧;플래카드;데모|시위|표지판|플래카드|피켓
🪪;신분증;ID|보안|신분증|자격증|허가증

[symbols]
🏧;에이티엠;ATM|에이티엠|현금인출기
🚮;쓰레기는 쓰레기통에;쓰레기|쓰레기는 쓰레기통에|쓰레기통
🚰;음수대;식수대|음수대
♿;휠체어;장애인|휠체어
🚹;남자 화장실;남성|남성용|남자 화장실|남자용
🚺;여자 화장실;여성|여성용|여자 화장실|여자용
🚻;화장실;공중화장실|화장실
🚼;수유실;기저귀|수유실
🚾;더블유씨;공중화장실|더블유씨|화장실
🛂;출입국 심사;여권|출입국 심사
🛃;세관;세관
🛄;짐 찾는 곳;짐|짐 찾는 곳|화물
🛅;화물 서비스;짐|화물|화물 서비스
⚠️;주의;경고|주의
🚸;어린이 보호 구역;어린이|어린이 구역|어린이 보호 구역
⛔;진입 금지;들어오지 마시오|진입 금지|진입 금지 표시
🚫;금지;금지|들어오지 마시오|진입 금지 표시
🚳;자전거 금지;자전거 금지|자전거 주행 금지
🚭;금연 신호;금연 구역|금연 구역 신호|금연 신호
🚯;쓰레기 투기 금지;금지|쓰레기|쓰레기 투기|쓰레기 투기 금지
🚱;마실 수 없는 물;마시지 마시오|마실 수 없는 물|섭취 금지
🚷;보행자 금지;보행자 금지|보행자 통행 금지
📵;휴대전화 사용금지;전화 사용금지|휴대전화 끄기|휴대전화 사용금지
🔞;성인용;18금|18세|18세 이하 금지|성인용
☢️;방사능;방사능|방사선|위험|주의
☣️;생물학적 위험;바이오해저드|생물학적 위험
⬆️;상향 화살표;북쪽|상향 화살표|위쪽|화살표
↗️;우상향 화살표;북동쪽|우상향 화살표|화살표
➡️;우향 화살표;동쪽|우향 화살표|화살표
↘️;우하향 화살표;남동쪽|우하향 화살표|화살표
⬇️;하향 화살표;남쪽|하향 화살표|화살표
↙️;좌하향 화살표;남서쪽|좌하향 화살표|화살표
⬅️;좌향 화살표;서쪽|좌향 화살표|화살표
↖️;좌상향 화살표;북서쪽|좌상향 화살표|화살표
↕️;상하향 화살표;상하향 화살표|위아래|화살표
↔️;좌우향 화살표;좌우|좌우향 화살표|화살표
↩️;왼쪽으로 꺾어지는 우향 화살표;왼쪽으로 꺾어지는 우향 화살표|좌회전|화살표
↪️;오른쪽으로 꺾어지는 좌향 화살표;오른쪽으로 꺾어지는 좌향 화살표|우회전|화살표
⤴️;위쪽으로 꺾어지는 우향 화살표;위쪽으로 꺾어지는 우향 화살표|좌회전|화살표
⤵️;아래쪽으로 꺾어지는 우향 화살표;아래쪽으로 꺾어지는 우향 화살표|우회전|화살표
🔃;시계 방향 화살표;새로고침|새로고침 표시|시계 방향 화살표|화살표
🔄;반시계 방향 화살표;반시계 방향|반시계 방향 화살표|화살표
🔙;뒤로;뒤로|왼쪽 화살표|화살표
🔚;종료;끝내기 화살표|종료|화살표
🔛;켜짐;양쪽 방향 화살표|켜짐|화살표
🔜;곧;곧|곧 진행된다는 신호|곧 진행된다는 표시|곧 진행된다는 화살표|화살표
🔝;위로 화살표;상단|위로 화살표|위쪽 화살표|위쪽으로|화살표
🛐;예배공간;기도|사원|예배|예배공간
⚛️;원자 기호;원자|원자 기호
🕉️;옴;옴|힌두교
✡️;다비드별;다비드|다비드별|별|유대교
☸️;진리의 수레바퀴;다르마|바퀴|불교|수레바퀴|진리의 수레바퀴
☯️;음양;양|음|음양
✝️;라틴 십자가;기독교|라틴 십자가|십자가|종교
☦️;전통적인 십자가;기독교|십자가|전통적인 십자가|종교
☪️;초승달과 별;별|이슬람|종교|초승달|초승달과 별
☮️;평화 기호;평화|평화 기호
🕎;메노라;메노라|유대교|촛대
🔯;육각 별;별|육각 별|육각형 별
🪯;칸다;시크교|종교|칸다
♈;양자리;별|별자리|양|양자리
♉;황소자리;별|별자리|황소|황소자리
♊;쌍둥이 자리;별|별자리|쌍둥이|쌍둥이 자리
♋;게자리;게자리|별자리
♌;사자자리;별|별자리|사자|사자자리
♍;처녀자리;별|별자리|처녀|처녀자리
♎;천칭자리;별|별자리|천칭|천칭자리
♏;전갈자리;별|별자리|스콜피온|전갈|전갈자리
♐;사수자리;별|별자리|사수자리|활
♑;염소자리;별|별자리|염소|염소자리
♒;물병자리;물|물병|물병자리|별|별자리
♓;물고기자리;물고기|물고기자리|별|별자리
⛎;뱀주인자리;뱀주인자리|별자리
🔀;랜덤 재생;랜덤 재생|엇갈린 화살표|화살표
🔁;전곡 반복 재생;꼬리를 무는 화살표|전곡 반복 재생|화살표
🔂;한 곡 반복 재생;꼬리를 무는 화살표와 숫자 1|한 곡 반복 재생|화살표
▶️;재생 버튼;삼각형|재생|재생 버튼|플레이
⏩;빨리 감기;빨리 감기|오른쪽 화살표 두 개
⏭️;다음 트랙 버튼;다음 장면|다음 트랙|다음 트랙 버튼
⏯️;재생 또는 일시 정지 버튼;일시 정지|재생|재생 또는 일시 정지 버튼
◀️;반대로 버튼;반대|반대로 버튼|복귀
⏪;되감기;되감기|왼쪽 화살표 두 개
⏮️;마지막 트랙 버튼;마지막 노래|마지막 트랙|마지막 트랙 버튼|최종 트랙
🔼;위쪽 삼각형;삼각형|위쪽 삼각형|위쪽 삼각형 버튼
⏫;위쪽 화살표;위로|위쪽|위쪽 화살표
🔽;아래쪽 삼각형;삼각형|아래쪽 삼각형|아래쪽 삼각형 버튼
⏬;아래쪽 화살표;아래로|아래쪽 화살표|아랫쪽
⏸️;일시 정지 버튼;일시 정지|일시 정지 버튼|정지
⏹️;정지 버튼;사각형|정지|정지 버튼|중단|중지
⏺️;녹음 버튼;기록|녹음|녹음 버튼|동그라미|원
⏏️;꺼냄 버튼;꺼내기|꺼냄|꺼냄 버튼|추출
🎦;영화;극장|영화|영화관
🔅;밝기 낮음;낮은 밝기|밝기 낮음|어두움|어두움 표시
🔆;밝기 높음;높은 밝기|밝기 높음|밝음|밝음 표시
📶;안테나 신호;신호 강도|안테나|안테나 신호|휴대전화
🛜;무선;네트워크|무선|인터넷|컴퓨터
📳;진동 모드;진동 모드|휴대전화 진동모드
📴;휴대전화 끄기;전원이 꺼진 휴대전화|휴대전화 끄기|휴대전화 전원 끄기
♀️;여성 기호;기호|여성
♂️;남성 기호;기호|남성
⚧️;트랜스젠더 기호;트랜스젠더|트랜스젠더 기호
✖️;곱하기;곱셈|곱셈기호|곱하기|엑스|취소
➕;더하기;더하기|더하기 표시|플러스
➖;빼기;마이너스|빼기|빼기 표시
➗;나누기;나누기|나누기 표시
🟰;등호 기호;같음|등호 기호
♾️;무한;뫼비우스|무한|영원
‼️;두 개의 느낌표;느낌표|두 개의 느낌표
⁉️;느낌표와 물음표;느낌표|느낌표와 물음표|물음표|부호
❓;빨간색 물음표;물음|물음표|빨간색 물음표|의문|질문
❔;하얀색 물음표;물음|의문|질문|하얀색 물음표
❕;하얀색 느낌표;느낌|하얀색 느낌표
❗;빨간색 느낌표;느낌표|부호|빨간색 느낌표
〰️;물결 모양 대시;물결|물결 모양 대시|물결표
💱;환전;교환|돈|화폐|환전
💲;미국 달러;달러화|돈|미국 달러|미국 돈|미국 화폐|불
⚕️;의학 기호;의술의 신|의학|의학 기호
♻️;재활용 표시;재활용|재활용 표시
⚜️;백합 문장;문장|백합
🔱;삼지창;삼지창|창
📛;이름표;명찰|이름표
🔰;노란색 초록색 이파리 모양;노란색 초록색|노란색 초록색 이파리 모양|초보자
⭕;크고 진한 동그라미;동그라미|원|크고 진한 동그라미
✅;체크 표시;체크|체크 표시
☑️;체크박스;체크박스|체크상자|체크표시된 투표란|투표
✔️;진한 체크 표시;진한 체크 표시|진한 체크표시|체크표시
❌;엑스 표시;엑스|엑스 표시|엑스표
❎;초록 상자 안 엑스표;상자 안 엑스표|엑스표|초록 상자 안 엑스표
➰;고리;고리|루프
➿;두 개의 고리;두 개의 고리|두 개의 루프
〽️;부분 교체 기호;기호|부분|부분 교체 기호
✳️;여덟 갈래 별표;별표|여덟 갈래 별표
✴️;팔각 별;별|팔각 별
❇️;반짝임;반짝|반짝임
©️;저작권;동그라미 C|씨|저작권
®️;등록상표;동그라미 R|등록상표|알
™️;상표;상표|상표 표시|트레이드 마크 표시
#️⃣;키 캡: #;키 캡|키 캡: #
*️⃣;키 캡: *;키 캡|키 캡: *
0️⃣;키 캡: 0;키 캡|키 캡: 0
1️⃣;키 캡: 1;키 캡|키 캡: 1
2️⃣;키 캡: 2;키 캡|키 캡: 2
3️⃣;키 캡: 3;키 캡|키 캡: 3
4️⃣;키 캡: 4;키 캡|키 캡: 4
5️⃣;키 캡: 5;키 캡|키 캡: 5
6️⃣;키 캡: 6;키 캡|키 캡: 6
7️⃣;키 캡: 7;키 캡|키 캡: 7
8️⃣;키 캡: 8;키 캡|키 캡: 8
9️⃣;키 캡: 9;키 캡|키 캡: 9
🔟;키 캡: 10;키 캡|키 캡: 10
🔠;대문자;대문자|대문자 입력|영어 대문자
🔡;소문자;소문자|소문자 입력|영어 소문자
🔢;숫자;숫자|숫자 입력
🔣;기호;기호|기호 입력
🔤;라틴어 알파벳;라틴어 알파벳|라틴어 알파벳 입력
🅰️;에이형;A|에이형|혈액형 에이형
🆎;에이비형;AB|에이비형|혈액형 에이비형
🅱️;비형;B|비형|혈액형 비형
🆑;씨엘;CL|네모 안에 씨엘|씨엘|씨엘 네모 안
🆒;쿨;cool|쿨|쿨 신호
🆓;프리;자유|자유 신호|프리|프리 신호
ℹ️;정보 출처;I|정보|정보 출처
🆔;아이디;ID|아이디|아이디 신호|아이디 표시
Ⓜ️;원글자 엠;M|동그라미|원|원글자 엠
🆕;뉴;NEW|뉴|뉴 신호|새로운|새로운 소식|새로운 신호|새롭다
🆖;엔지;NG|노굿|노굿 신호|엔지|엔지 신호|엔지 표시
🅾️;오형;O|오형|혈액형 오형
🆗;오케이;OK|네|예|오케이|오케이 신호|좋다
🅿️;주차 표시;P|음각 피|주차|주차 표시|주차장|파킹
🆘;에스오에스;SOS|구조|구조 신호|에스오에스|에스오에스 신호
🆙;위로 버튼;UP|업|위로 버튼|위쪽으로
🆚;대;VS|대|브이에스
🈁;일본어 &quot;여기&quot; 버튼;koko|일본어|일본어 &quot;여기&quot; 버튼|카타카나
🈂️;일본어 &quot;봉사료&quot; 버튼;sa|일본어|일본어 &quot;봉사료&quot; 버튼|카타카나
🈷️;달 월;개월|달|달 월|한달
🈶;있을 유;있을 유|있음
🈯;가리킬 지;가리키다|가리킬 지|손가락|지칭
🉐;얻을 득;얻을 득|이득|이익|획득
🈹;나눌 할;나누기|나눌 할|나눔|분리
🈚;없을 무;없을 무|없음
🈲;금할 금;금지|금하다|금할 금|차단
🉑;옳을 가;맞음|옮음|옳을 가|허가
🈸;거듭 신;거듭 신
🈴;합할 합;전체|합하기|합할 합
🈳;빌 공;비어있음|빌 공|텅 빈 상태
㊗️;원 안의 축하 표의문자;원 안의 축하 표의문자|원 표시된 축하 표의문자|중국어|축하|표의문자
㊙️;원 표시된 비밀 표의문자;비밀|원 표시된 비밀 표의문자|중국어|표의문자
🈺;벼슬 관;벼슬 관
🈵;찰 만;가득|찰 만
🔴;빨간 원;빨간 원|빨강|원|큰 빨간 원
🟠;오렌지색 원;오렌지색|원
🟡;노란색 원;노란색|원
🟢;녹색 원;녹색|원
🔵;파란 원;원|큰 파란 원|파란 원|파랑
🟣;보라색 원;보라색|원
🟤;갈색 원;갈색|원
⚫;검은색 원;검은색 원|동그라미|원
⚪;흰색 원;동그라미|원|흰색 원
🟥;빨간색 사각형;빨간색|사각형
🟧;오렌지색 사각형;사각형|오렌지색
🟨;노란색 사각형;노란색|사각형
🟩;녹색 사각형;녹색|사각형
🟦;파란색 사각형;사각형|파란색
🟪;보라색 사각형;보라색|사각형
🟫;갈색 사각형;갈색|사각형
⬛;큰 검은색 사각형;무늬|사각형|큰 검은색 사각형
⬜;큰 흰색 사각형;무늬|사각형|큰 흰색 사각형
