# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
	🧑🏿‍❤️‍💋‍🧑🏼;נשיקה: אדם, אדם, גוון עור כהה, גוון עור בהיר בינוני;אדם|אהבה|גוון עור בהיר בינוני|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אדם, אדם, גוון עור כהה, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	🧑🏿‍❤️‍💋‍🧑🏽;נשיקה: אדם, אדם, גוון עור כהה, גוון עור בינוני;אדם|אהבה|גוון עור בינוני|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אדם, אדם, גוון עור כהה, גוון עור בינוני|רומנטי|רומנטיקה
	🧑🏿‍❤️‍💋‍🧑🏾;נשיקה: אדם, אדם, גוון עור כהה, גוון עור כהה בינוני;אדם|אהבה|גוון עור כהה|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אדם, אדם, גוון עור כהה, גוון עור כהה בינוני|רומנטי|רומנטיקה
👩‍❤️‍💋‍👨;נשיקה: אישה, איש;אהבה|איש|אישה|זוג|לב|נשיקה|נשיקה: אישה, איש|רומנטי|רומנטיקה
	👩🏻‍❤️‍💋‍👨🏻;נשיקה: אישה, איש, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור בהיר|רומנטי|רומנטיקה
	👩🏻‍❤️‍💋‍👨🏼;נשיקה: אישה, איש, גוון עור בהיר, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר|גוון עור בהיר בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור בהיר, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	👩🏻‍❤️‍💋‍👨🏽;נשיקה: אישה, איש, גוון עור בהיר, גוון עור בינוני;אהבה|איש|אישה|גוון עור בהיר|גוון עור בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור בהיר, גוון עור בינוני|רומנטי|רומנטיקה
	👩🏻‍❤️‍💋‍👨🏾;נשיקה: אישה, איש, גוון עור בהיר, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור בהיר|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור בהיר, גוון עור כהה בינוני|רומנטי|רומנטיקה
	👩🏻‍❤️‍💋‍👨🏿;נשיקה: אישה, איש, גוון עור בהיר, גוון עור כהה;אהבה|איש|אישה|גוון עור בהיר|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור בהיר, גוון עור כהה|רומנטי|רומנטיקה
	👩🏼‍❤️‍💋‍👨🏻;נשיקה: אישה, איש, גוון עור בהיר בינוני, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|גוון עור בהיר בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור בהיר בינוני, גוון עור בהיר|רומנטי|רומנטיקה
	👩🏼‍❤️‍💋‍👨🏼;נשיקה: אישה, איש, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	👩🏼‍❤️‍💋‍👨🏽;נשיקה: אישה, איש, גוון עור בהיר בינוני, גוון עור בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור בהיר בינוני, גוון עור בינוני|רומנטי|רומנטיקה
	👩🏼‍❤️‍💋‍👨🏾;נשיקה: אישה, איש, גוון עור בהיר בינוני, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור בהיר בינוני, גוון עור כהה בינוני|רומנטי|רומנטיקה
	👩🏼‍❤️‍💋‍👨🏿;נשיקה: אישה, איש, גוון עור בהיר בינוני, גוון עור כהה;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור בהיר בינוני, גוון עור כהה|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👨🏻;נשיקה: אישה, איש, גוון עור בינוני, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|גוון עור בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור בינוני, גוון עור בהיר|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👨🏼;נשיקה: אישה, איש, גוון עור בינוני, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור בינוני, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👨🏽;נשיקה: אישה, איש, גוון עור בינוני;אהבה|איש|אישה|גוון עור בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור בינוני|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👨🏾;נשיקה: אישה, איש, גוון עור בינוני, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור בינוני, גוון עור כהה בינוני|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👨🏿;נשיקה: אישה, איש, גוון עור בינוני, גוון עור כהה;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור בינוני, גוון עור כהה|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👨🏻;נשיקה: אישה, איש, גוון עור כהה בינוני, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור כהה בינוני, גוון עור בהיר|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👨🏼;נשיקה: אישה, איש, גוון עור כהה בינוני, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור כהה בינוני, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👨🏽;נשיקה: אישה, איש, גוון עור כהה בינוני, גוון עור בינוני;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור כהה בינוני, גוון עור בינוני|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👨🏾;נשיקה: אישה, איש, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור כהה בינוני|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👨🏿;נשיקה: אישה, איש, גוון עור כהה בינוני, גוון עור כהה;אהבה|איש|אישה|גוון עור כהה|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור כהה בינוני, גוון עור כהה|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👨🏻;נשיקה: אישה, איש, גוון עור כהה, גוון עור בהיר;אהבה|איש|אישה|גוון עור בהיר|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור כהה, גוון עור בהיר|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👨🏼;נשיקה: אישה, איש, גוון עור כהה, גוון עור בהיר בינוני;אהבה|איש|אישה|גוון עור בהיר בינוני|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור כהה, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👨🏽;נשיקה: אישה, איש, גוון עור כהה, גוון עור בינוני;אהבה|איש|אישה|גוון עור בינוני|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור כהה, גוון עור בינוני|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👨🏾;נשיקה: אישה, איש, גוון עור כהה, גוון עור כהה בינוני;אהבה|איש|אישה|גוון עור כהה|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור כהה, גוון עור כהה בינוני|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👨🏿;נשיקה: אישה, איש, גוון עור כהה;אהבה|איש|אישה|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אישה, איש, גוון עור כהה|רומנטי|רומנטיקה
👨‍❤️‍💋‍👨;נשיקה: איש, איש;אהבה|איש|זוג|לב|נשיקה|נשיקה: איש, איש|רומנטי|רומנטיקה
	👨🏻‍❤️‍💋‍👨🏻;נשיקה: איש, איש, גוון עור בהיר;אהבה|איש|גוון עור בהיר|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור בהיר|רומנטי|רומנטיקה
	👨🏻‍❤️‍💋‍👨🏼;נשיקה: איש, איש, גוון עור בהיר, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר|גוון עור בהיר בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור בהיר, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	👨🏻‍❤️‍💋‍👨🏽;נשיקה: איש, איש, גוון עור בהיר, גוון עור בינוני;אהבה|איש|גוון עור בהיר|גוון עור בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור בהיר, גוון עור בינוני|רומנטי|רומנטיקה
	👨🏻‍❤️‍💋‍👨🏾;נשיקה: איש, איש, גוון עור בהיר, גוון עור כהה בינוני;אהבה|איש|גוון עור בהיר|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור בהיר, גוון עור כהה בינוני|רומנטי|רומנטיקה
	👨🏻‍❤️‍💋‍👨🏿;נשיקה: איש, איש, גוון עור בהיר, גוון עור כהה;אהבה|איש|גוון עור בהיר|גוון עור כהה|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור בהיר, גוון עור כהה|רומנטי|רומנטיקה
	👨🏼‍❤️‍💋‍👨🏻;נשיקה: איש, איש, גוון עור בהיר בינוני, גוון עור בהיר;אהבה|איש|גוון עור בהיר|גוון עור בהיר בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור בהיר בינוני, גוון עור בהיר|רומנטי|רומנטיקה
	👨🏼‍❤️‍💋‍👨🏼;נשיקה: איש, איש, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	👨🏼‍❤️‍💋‍👨🏽;נשיקה: איש, איש, גוון עור בהיר בינוני, גוון עור בינוני;אהבה|איש|גוון עור בהיר בינוני|גוון עור בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור בהיר בינוני, גוון עור בינוני|רומנטי|רומנטיקה
	👨🏼‍❤️‍💋‍👨🏾;נשיקה: איש, איש, גוון עור בהיר בינוני, גוון עור כהה בינוני;אהבה|איש|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור בהיר בינוני, גוון עור כהה בינוני|רומנטי|רומנטיקה
	👨🏼‍❤️‍💋‍👨🏿;נשיקה: איש, איש, גוון עור בהיר בינוני, גוון עור כהה;אהבה|איש|גוון עור בהיר בינוני|גוון עור כהה|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור בהיר בינוני, גוון עור כהה|רומנטי|רומנטיקה
	👨🏽‍❤️‍💋‍👨🏻;נשיקה: איש, איש, גוון עור בינוני, גוון עור בהיר;אהבה|איש|גוון עור בהיר|גוון עור בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור בינוני, גוון עור בהיר|רומנטי|רומנטיקה
	👨🏽‍❤️‍💋‍👨🏼;נשיקה: איש, איש, גוון עור בינוני, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר בינוני|גוון עור בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור בינוני, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	👨🏽‍❤️‍💋‍👨🏽;נשיקה: איש, איש, גוון עור בינוני;אהבה|איש|גוון עור בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור בינוני|רומנטי|רומנטיקה
	👨🏽‍❤️‍💋‍👨🏾;נשיקה: איש, איש, גוון עור בינוני, גוון עור כהה בינוני;אהבה|איש|גוון עור בינוני|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור בינוני, גוון עור כהה בינוני|רומנטי|רומנטיקה
	👨🏽‍❤️‍💋‍👨🏿;נשיקה: איש, איש, גוון עור בינוני, גוון עור כהה;אהבה|איש|גוון עור בינוני|גוון עור כהה|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור בינוני, גוון עור כהה|רומנטי|רומנטיקה
	👨🏾‍❤️‍💋‍👨🏻;נשיקה: איש, איש, גוון עור כהה בינוני, גוון עור בהיר;אהבה|איש|גוון עור בהיר|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור כהה בינוני, גוון עור בהיר|רומנטי|רומנטיקה
	👨🏾‍❤️‍💋‍👨🏼;נשיקה: איש, איש, גוון עור כהה בינוני, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור כהה בינוני, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	👨🏾‍❤️‍💋‍👨🏽;נשיקה: איש, איש, גוון עור כהה בינוני, גוון עור בינוני;אהבה|איש|גוון עור בינוני|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור כהה בינוני, גוון עור בינוני|רומנטי|רומנטיקה
	👨🏾‍❤️‍💋‍👨🏾;נשיקה: איש, איש, גוון עור כהה בינוני;אהבה|איש|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור כהה בינוני|רומנטי|רומנטיקה
	👨🏾‍❤️‍💋‍👨🏿;נשיקה: איש, איש, גוון עור כהה בינוני, גוון עור כהה;אהבה|איש|גוון עור כהה|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור כהה בינוני, גוון עור כהה|רומנטי|רומנטיקה
	👨🏿‍❤️‍💋‍👨🏻;נשיקה: איש, איש, גוון עור כהה, גוון עור בהיר;אהבה|איש|גוון עור בהיר|גוון עור כהה|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור כהה, גוון עור בהיר|רומנטי|רומנטיקה
	👨🏿‍❤️‍💋‍👨🏼;נשיקה: איש, איש, גוון עור כהה, גוון עור בהיר בינוני;אהבה|איש|גוון עור בהיר בינוני|גוון עור כהה|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור כהה, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	👨🏿‍❤️‍💋‍👨🏽;נשיקה: איש, איש, גוון עור כהה, גוון עור בינוני;אהבה|איש|גוון עור בינוני|גוון עור כהה|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור כהה, גוון עור בינוני|רומנטי|רומנטיקה
	👨🏿‍❤️‍💋‍👨🏾;נשיקה: איש, איש, גוון עור כהה, גוון עור כהה בינוני;אהבה|איש|גוון עור כהה|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור כהה, גוון עור כהה בינוני|רומנטי|רומנטיקה
	👨🏿‍❤️‍💋‍👨🏿;נשיקה: איש, איש, גוון עור כהה;אהבה|איש|גוון עור כהה|זוג|לב|נשיקה|נשיקה: איש, איש, גוון עור כהה|רומנטי|רומנטיקה
👩‍❤️‍💋‍👩;נשיקה: אישה, אישה;אהבה|אישה|זוג|לב|נשיקה|נשיקה: אישה, אישה|רומנטי|רומנטיקה
	👩🏻‍❤️‍💋‍👩🏻;נשיקה: אישה, אישה, גוון עור בהיר;אהבה|אישה|גוון עור בהיר|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור בהיר|רומנטי|רומנטיקה
	👩🏻‍❤️‍💋‍👩🏼;נשיקה: אישה, אישה, גוון עור בהיר, גוון עור בהיר בינוני;אהבה|אישה|גוון עור בהיר|גוון עור בהיר בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור בהיר, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	👩🏻‍❤️‍💋‍👩🏽;נשיקה: אישה, אישה, גוון עור בהיר, גוון עור בינוני;אהבה|אישה|גוון עור בהיר|גוון עור בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור בהיר, גוון עור בינוני|רומנטי|רומנטיקה
	👩🏻‍❤️‍💋‍👩🏾;נשיקה: אישה, אישה, גוון עור בהיר, גוון עור כהה בינוני;אהבה|אישה|גוון עור בהיר|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור בהיר, גוון עור כהה בינוני|רומנטי|רומנטיקה
	👩🏻‍❤️‍💋‍👩🏿;נשיקה: אישה, אישה, גוון עור בהיר, גוון עור כהה;אהבה|אישה|גוון עור בהיר|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור בהיר, גוון עור כהה|רומנטי|רומנטיקה
	👩🏼‍❤️‍💋‍👩🏻;נשיקה: אישה, אישה, גוון עור בהיר בינוני, גוון עור בהיר;אהבה|אישה|גוון עור בהיר|גוון עור בהיר בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור בהיר בינוני, גוון עור בהיר|רומנטי|רומנטיקה
	👩🏼‍❤️‍💋‍👩🏼;נשיקה: אישה, אישה, גוון עור בהיר בינוני;אהבה|אישה|גוון עור בהיר בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	👩🏼‍❤️‍💋‍👩🏽;נשיקה: אישה, אישה, גוון עור בהיר בינוני, גוון עור בינוני;אהבה|אישה|גוון עור בהיר בינוני|גוון עור בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור בהיר בינוני, גוון עור בינוני|רומנטי|רומנטיקה
	👩🏼‍❤️‍💋‍👩🏾;נשיקה: אישה, אישה, גוון עור בהיר בינוני, גוון עור כהה בינוני;אהבה|אישה|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור בהיר בינוני, גוון עור כהה בינוני|רומנטי|רומנטיקה
	👩🏼‍❤️‍💋‍👩🏿;נשיקה: אישה, אישה, גוון עור בהיר בינוני, גוון עור כהה;אהבה|אישה|גוון עור בהיר בינוני|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור בהיר בינוני, גוון עור כהה|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👩🏻;נשיקה: אישה, אישה, גוון עור בינוני, גוון עור בהיר;אהבה|אישה|גוון עור בהיר|גוון עור בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור בינוני, גוון עור בהיר|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👩🏼;נשיקה: אישה, אישה, גוון עור בינוני, גוון עור בהיר בינוני;אהבה|אישה|גוון עור בהיר בינוני|גוון עור בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור בינוני, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👩🏽;נשיקה: אישה, אישה, גוון עור בינוני;אהבה|אישה|גוון עור בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור בינוני|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👩🏾;נשיקה: אישה, אישה, גוון עור בינוני, גוון עור כהה בינוני;אהבה|אישה|גוון עור בינוני|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור בינוני, גוון עור כהה בינוני|רומנטי|רומנטיקה
	👩🏽‍❤️‍💋‍👩🏿;נשיקה: אישה, אישה, גוון עור בינוני, גוון עור כהה;אהבה|אישה|גוון עור בינוני|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור בינוני, גוון עור כהה|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👩🏻;נשיקה: אישה, אישה, גוון עור כהה בינוני, גוון עור בהיר;אהבה|אישה|גוון עור בהיר|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור כהה בינוני, גוון עור בהיר|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👩🏼;נשיקה: אישה, אישה, גוון עור כהה בינוני, גוון עור בהיר בינוני;אהבה|אישה|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור כהה בינוני, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👩🏽;נשיקה: אישה, אישה, גוון עור כהה בינוני, גוון עור בינוני;אהבה|אישה|גוון עור בינוני|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור כהה בינוני, גוון עור בינוני|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👩🏾;נשיקה: אישה, אישה, גוון עור כהה בינוני;אהבה|אישה|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור כהה בינוני|רומנטי|רומנטיקה
	👩🏾‍❤️‍💋‍👩🏿;נשיקה: אישה, אישה, גוון עור כהה בינוני, גוון עור כהה;אהבה|אישה|גוון עור כהה|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור כהה בינוני, גוון עור כהה|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👩🏻;נשיקה: אישה, אישה, גוון עור כהה, גוון עור בהיר;אהבה|אישה|גוון עור בהיר|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור כהה, גוון עור בהיר|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👩🏼;נשיקה: אישה, אישה, גוון עור כהה, גוון עור בהיר בינוני;אהבה|אישה|גוון עור בהיר בינוני|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור כהה, גוון עור בהיר בינוני|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👩🏽;נשיקה: אישה, אישה, גוון עור כהה, גוון עור בינוני;אהבה|אישה|גוון עור בינוני|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור כהה, גוון עור בינוני|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👩🏾;נשיקה: אישה, אישה, גוון עור כהה, גוון עור כהה בינוני;אהבה|אישה|גוון עור כהה|גוון עור כהה בינוני|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור כהה, גוון עור כהה בינוני|רומנטי|רומנטיקה
	👩🏿‍❤️‍💋‍👩🏿;נשיקה: אישה, אישה, גוון עור כהה;אהבה|אישה|גוון עור כהה|זוג|לב|נשיקה|נשיקה: אישה, אישה, גוון עור כהה|רומנטי|רומנטיקה
💑;זוג עם לב;אהבה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
	💑🏻;זוג עם לב: גוון עור בהיר;אהבה|גוון עור בהיר|זוג|זוג עם לב|זוג עם לב: גוון עור בהיר|לב|רומנטי|רומנטיקה
	💑🏼;זוג עם לב: גוון עור בהיר בינוני;אהבה|גוון עור בהיר בינוני|זוג|זוג עם לב|זוג עם לב: גוון עור בהיר בינוני|לב|רומנטי|רומנטיקה
	💑🏽;זוג עם לב: גוון עור בינוני;אהבה|גוון עור בינוני|זוג|זוג עם לב|זוג עם לב: גוון עור בינוני|לב|רומנטי|רומנטיקה
	💑🏾;זוג עם לב: גוון עור כהה בינוני;אהבה|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: גוון עור כהה בינוני|לב|רומנטי|רומנטיקה
	💑🏿;זוג עם לב: גוון עור כהה;אהבה|גוון עור כהה|זוג|זוג עם לב|זוג עם לב: גוון עור כהה|לב|רומנטי|רומנטיקה
	🧑🏻‍❤️‍🧑🏼;זוג עם לב: אדם, אדם, גוון עור בהיר, גוון עור בהיר בינוני;אדם|אהבה|גוון עור בהיר|גוון עור בהיר בינוני|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור בהיר, גוון עור בהיר בינוני|לב|רומנטי|רומנטיקה
	🧑🏻‍❤️‍🧑🏽;זוג עם לב: אדם, אדם, גוון עור בהיר, גוון עור בינוני;אדם|אהבה|גוון עור בהיר|גוון עור בינוני|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור בהיר, גוון עור בינוני|לב|רומנטי|רומנטיקה
	🧑🏻‍❤️‍🧑🏾;זוג עם לב: אדם, אדם, גוון עור בהיר, גוון עור כהה בינוני;אדם|אהבה|גוון עור בהיר|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור בהיר, גוון עור כהה בינוני|לב|רומנטי|רומנטיקה
	🧑🏻‍❤️‍🧑🏿;זוג עם לב: אדם, אדם, גוון עור בהיר, גוון עור כהה;אדם|אהבה|גוון עור בהיר|גוון עור כהה|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור בהיר, גוון עור כהה|לב|רומנטי|רומנטיקה
	🧑🏼‍❤️‍🧑🏻;זוג עם לב: אדם, אדם, גוון עור בהיר בינוני, גוון עור בהיר;אדם|אהבה|גוון עור בהיר|גוון עור בהיר בינוני|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור בהיר בינוני, גוון עור בהיר|לב|רומנטי|רומנטיקה
	🧑🏼‍❤️‍🧑🏽;זוג עם לב: אדם, אדם, גוון עור בהיר בינוני, גוון עור בינוני;אדם|אהבה|גוון עור בהיר בינוני|גוון עור בינוני|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור בהיר בינוני, גוון עור בינוני|לב|רומנטי|רומנטיקה
	🧑🏼‍❤️‍🧑🏾;זוג עם לב: אדם, אדם, גוון עור בהיר בינוני, גוון עור כהה בינוני;אדם|אהבה|גוון עור בהיר בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור בהיר בינוני, גוון עור כהה בינוני|לב|רומנטי|רומנטיקה
	🧑🏼‍❤️‍🧑🏿;זוג עם לב: אדם, אדם, גוון עור בהיר בינוני, גוון עור כהה;אדם|אהבה|גוון עור בהיר בינוני|גוון עור כהה|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור בהיר בינוני, גוון עור כהה|לב|רומנטי|רומנטיקה
	🧑🏽‍❤️‍🧑🏻;זוג עם לב: אדם, אדם, גוון עור בינוני, גוון עור בהיר;אדם|אהבה|גוון עור בהיר|גוון עור בינוני|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור בינוני, גוון עור בהיר|לב|רומנטי|רומנטיקה
	🧑🏽‍❤️‍🧑🏼;זוג עם לב: אדם, אדם, גוון עור בינוני, גוון עור בהיר בינוני;אדם|אהבה|גוון עור בהיר בינוני|גוון עור בינוני|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור בינוני, גוון עור בהיר בינוני|לב|רומנטי|רומנטיקה
	🧑🏽‍❤️‍🧑🏾;זוג עם לב: אדם, אדם, גוון עור בינוני, גוון עור כהה בינוני;אדם|אהבה|גוון עור בינוני|גוון עור כהה בינוני|זוג|זוג עם לב|זוג עם לב: אדם, אדם, גוון עור בינוני, גוון עור כהה בינוני|לב|רומנטי|רומנטיקה
